store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,11936,19049,,Xtreme Industrial Concrete Sprayer,,Xtreme Industrial Concrete Sprayer,Chapin 19049 Xtreme Industrial Concrete Sprayer,/\C\h\Chapin-19049-Xtreme-Industrial-Concrete.jpg,/\C\h\Chapin-19049-Xtreme-Industrial-Concrete.jpg,http://www.48ws.com/images/product/C/h/Chapin-19049-Xtreme-Industrial-Concrete.jpg,Chapin-19049-Xtreme-Industrial-Concrete-Sprayer,Chapin-19049-Xtreme-Industrial-Concrete-Sprayer,,No layout updates.,Block after Info Column,,Xtreme Industrial Concrete Sprayer,Xtreme Industrial Concrete Sprayer,Use config,/external-url.aspx?u=www.chapinmfg.com/products/product:19049-xtreme-industrial-concrete-sprayer-3-5g/,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,Sprayer Model Number: 19049,"The following parts come with this sprayer:

	
		
			Nozzle:
		
		
		
		
			Industrial Brass Fan Tip Nozzle
			
	
	
		
			Extension Wand:
		
		
		
		
			24 Industrial Brass Male Extension
			
	
	
		
			Sprayer Handle:
		
		
		
		
			KIT REPL SHUT OFF 301219 EXTR
			
	
	
		
			Hose:
		
		
		
		
			HOSE INDUSTRIAL 48 HEAVY DUTY
			
	
	
		
			Repair Kit:
		
		
		
		
			KIT Open Head EXTREME W BLISTER
			
	
	
		
			Holster:
		
		
		
		
			REPL HOLSTER
			
	
	
		
			Complete Pump:
		
		
		
		
			Complete Pump Assembly
			
	
	
		
			Outlet Tube:
		
		
		
		
			OUTLET TUBE ASSY W/VITON O-RING
			
	

",,Chapin 19049 Xtreme Industrial Concrete Sprayer,Xtreme Industrial Concrete Sprayer,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|20754,Standard Sprayers|Tire Spreaders,11937,1949,,Industrial Viton Concrete Open Head - 3.5G,,Industrial Viton Concrete Open Head - 3.5G,Chapin 1949 Industrial Viton Concrete Open Head - 3.5G,/\C\h\Chapin-1949-Industrial-Viton-Concrete-Open-Head.jpg,/\C\h\Chapin-1949-Industrial-Viton-Concrete-Open-Head.jpg,http://www.48ws.com/images/product/C/h/Chapin-1949-Industrial-Viton-Concrete-Open-Head.jpg,Chapin-1949-Industrial-Viton-Concrete-Open-Head-35G,Chapin-1949-Industrial-Viton-Concrete-Open-Head-35G,,No layout updates.,Block after Info Column,,Industrial Viton Concrete Open Head - 3.5G,Industrial Viton Concrete Open Head - 3.5G,Use config,/external-url.aspx?u=www.chapinmfg.com/products/product:1949-industrial-viton-concrete-open-head-3-5g/,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,Sprayer Model Number: 1949,"The following parts come with this sprayer:

	
		
			Nozzle:
		
		
		
		
			Industrial Brass Fan Tip Nozzle
			
	
	
		
			Extension Wand:
		
		
		
		
			24 Industrial Brass Male Extension
			
	
	
		
			Sprayer Handle:
		
		
		
		
			Industrial Brass Shutoff w Fitting
			
	
	
		
			Hose:
		
		
		
		
			48 Industrial Hose w Fittings
			
	
	
		
			Repair Kit:
		
		
		
		
			Seal and Gasket Kit
			
	
	
		
			Holster:
		
		
		
		
			REPL HOLSTER
			
	
	
		
			Pump Barrel Assy:
		
		
		
		
			14 in 35 6 cm Brass Pump Bar
			
	
	
		
			Pump Rod Assy:
		
		
		
		
			14 in 35 6 cm Pump Rod Assem
			
	
	
		
			Complete Pump:
		
		
		
		
			REPL COMPLETE PUMP ASSY
			
	
	
		
			Outlet Tube:
		
		
		
		
			OUTLET TUBE ASSY W/VITON O-RING
			
	
",,Chapin 1949 Industrial Viton Concrete Open Head - 3.5G,Industrial Viton Concrete Open Head - 3.5G,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|20754,Standard Sprayers|Tire Spreaders,11938,22049,,SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,,SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,Chapin 22049 SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,/\C\h\Chapin-22049-SPR-30G114L-CHAPIN-XTREME-OH.jpg,/\C\h\Chapin-22049-SPR-30G114L-CHAPIN-XTREME-OH.jpg,http://www.48ws.com/images/product/C/h/Chapin-22049-SPR-30G114L-CHAPIN-XTREME-OH.jpg,Chapin-22049-SPR-30G114L-CHAPIN-XTREME-OH-LDBH,Chapin-22049-SPR-30G114L-CHAPIN-XTREME-OH-LDBH,,No layout updates.,Block after Info Column,,SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,Use config,http://www.chapinmfg.com/products/?q=22049,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,Sprayer Model Number: 22049,"The following parts come with this sprayer:

	
		
			Nozzle:
		
		
		
		
			Industrial Brass Fan Tip Nozzle
			
	
	
		
			Extension Wand:
		
		
		
		
			24 Industrial Brass Male Extension
			
	
	
		
			Sprayer Handle:
		
		
		
		
			KIT REPL SHUT OFF 301219 EXTR
			
	
	
		
			Hose:
		
		
		
		
			HOSE 48"" BLK EXTREME LDBH KIT
			
	
	
		
			Complete Pump:
		
		
		
		
			Pump Assembly PRIME OH XTREME BLK CHAPIN
			
		
",,Chapin 22049 SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,SPR 3.0G/11.4L CHAPIN XTREME OH LDBH,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,37275,1449,,3.5 Gal Metal Sprayer,,3.5 Gal Metal Sprayer,Industrial Viton Concrete Funnel Top - 3.5G ,/\1\4\1449-Chapin-35-Gal-Metal.gif,/\1\4\1449-Chapin-35-Gal-Metal.gif,http://www.48ws.com/images/product/1/4/1449-Chapin-35-Gal-Metal.gif,1449-Chapin-35-Gal-Metal-Sprayer,1449-Chapin-35-Gal-Metal-Sprayer,,No layout updates.,Block after Info Column,,3.5 Gal Metal Sprayer,3.5 Gal Metal Sprayer,Use config,http://www.chapinmfg.com/products/?q=1449,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Industrial Viton Concrete Funnel Top - 3.5G ,,,,1449 Chapin 3.5 Gal Metal Sprayer,3.5 Gal Metal Sprayer,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,37276,1480,,3.5 Gal Metal Sprayer,,3.5 Gal Metal Sprayer,Industrial Funnel Top General Duty - 3.5G ,/\1\4\1480-Chapin-35-Gal-Metal.gif,/\1\4\1480-Chapin-35-Gal-Metal.gif,http://www.48ws.com/images/product/1/4/1480-Chapin-35-Gal-Metal.gif,1480-Chapin-35-Gal-Metal-Sprayer,1480-Chapin-35-Gal-Metal-Sprayer,,No layout updates.,Block after Info Column,,3.5 Gal Metal Sprayer,3.5 Gal Metal Sprayer,Use config,http://www.chapinmfg.com/products/?q=1480,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Industrial Funnel Top General Duty - 3.5G ,,,,1480 Chapin 3.5 Gal Metal Sprayer,3.5 Gal Metal Sprayer,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,37277,22170,,Industrial Poly Concrete Sprayer - 3 Gallon,,Industrial Poly Concrete Sprayer - 3 Gallon,"3.0 gallon Industrial Concrete Poly Sprayer for form oils, curing compounds and sealers
",/\2\2\2217-Chapin-3-Gal-Metal.gif,/\2\2\2217-Chapin-3-Gal-Metal.gif,http://www.48ws.com/images/product/2/2/2217-Chapin-3-Gal-Metal.gif,22170-Chapin-Industrial-Poly-Concrete-Sprayer-3-Gallon,22170-Chapin-Industrial-Poly-Concrete-Sprayer-3-Gallon,,No layout updates.,Block after Info Column,,Industrial Poly Concrete Sprayer - 3 Gallon,Industrial Poly Concrete Sprayer - 3 Gallon,Use config,http://www.chapinmfg.com/products/product:22170-industrial-poly-concrete-sprayer-3g/,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3.0 gallon Industrial Concrete Poly Sprayer for form oils, curing compounds and sealers
","Viton® seals and Gaskets
Brass shut-off with Lock-on feature
24"" brass extension wand
Pressure Relief valve","Industries
Concrete, Decorative Concrete
Applications
Concrete Additives
Materials
Poly
Brass Extension
Includes a Brass extension
Brass Shut off
Cast in brass for durability and easy cleaning.
Lock-on Feature
Locks sprayer in spray mode to reduce fatigue
Metal Industrial Pump Handle
Chapin industrial die cast handle
Nitrile Seals
A synthetic rubber copolymer of acrylonitrile (ACN) and butadiene. (Note: always consult the chemical manufacturer's instructions before choosing the type of Chapin sprayer for your specific need.)
Open Head
Large 4 inch Opening for easy filling and cleaning.
Poly Tank
Polyethylene tanks - non corrosive to most fertilizers, herbicides and pesticides yet light weight and durable.
Pressure Relief Valve
A valve on the tank or pump cap to remove compressed air from a pressurized tank before opening to fill or clean.
Reinforced Hose
Reinforced Hose
SureSpray® Anti-Clog Filter
Patented in-tank filter that keeps debris from entering the hose, shut-off and nozzle.",,3 Gallon,Industrial Poly Concrete Sprayer - 3 Gallon,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,37279,2219,,3 Gal Poly Concrete Sprayer Viton Seals and Gaskets,,3 Gal Poly Concrete Sprayer Viton Seals and Gaskets,"Industrial Poly Viton Concrete Sprayer - 3G 
Sprays up to 30-35Z% Solids",/\2\2\2219-Chapin-3-Gal-Poly-Concrete-Sprayer-Viton-Seals-and.gif,/\2\2\2219-Chapin-3-Gal-Poly-Concrete-Sprayer-Viton-Seals-and.gif,http://www.48ws.com/images/product/2/2/2219-Chapin-3-Gal-Poly-Concrete-Sprayer-Viton-Seals-and.gif,2219-Chapin-3-Gal-Poly-Concrete-Sprayer-Viton-Seals-and-Gaskets,2219-Chapin-3-Gal-Poly-Concrete-Sprayer-Viton-Seals-and-Gaskets,,No layout updates.,Block after Info Column,,3 Gal Poly Concrete Sprayer Viton Seals and Gaskets,3 Gal Poly Concrete Sprayer Viton Seals and Gaskets,Use config,http://www.chapinmfg.com/products/?q=22190,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Industrial Poly Viton Concrete Sprayer - 3G 
Sprays up to 30-35Z% Solids",,,,2219 Chapin 3 Gal Poly Concrete Sprayer Viton Seals and Gaskets,3 Gal Poly Concrete Sprayer Viton Seals and Gaskets,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,37281,6002,,Slide Sprayer,,Slide Sprayer,Slide Sprayer,/\6\0\6002-Chapin-Slide.gif,/\6\0\6002-Chapin-Slide.gif,http://www.48ws.com/images/product/6/0/6002-Chapin-Slide.gif,6002-Chapin-Slide-Sprayer,6002-Chapin-Slide-Sprayer,,No layout updates.,Block after Info Column,,Slide Sprayer,Slide Sprayer,Use config,http://www.chapinmfg.com/products/?q=6002,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Slide Sprayer,,,,6002 Chapin Slide Sprayer,Slide Sprayer,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|24021,Standard Sprayers|Backpack and Pump Sprayer Accessories,37284,61800,,Backpack Poly Sprayer,,Backpack Poly Sprayer,SPR 4.0G/15.1L CHAPIN POLY BACKPACK ,/\6\1\61800-Chapin-Backpack-Poly.gif,/\6\1\61800-Chapin-Backpack-Poly.gif,http://www.48ws.com/images/product/6/1/61800-Chapin-Backpack-Poly.gif,61800-Chapin-Backpack-Poly-Sprayer,61800-Chapin-Backpack-Poly-Sprayer,,No layout updates.,Block after Info Column,,Backpack Poly Sprayer,Backpack Poly Sprayer,Use config,http://www.chapinmfg.com/products/?q=61800,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,SPR 4.0G/15.1L CHAPIN POLY BACKPACK ,,,,61800 Chapin Backpack Poly Sprayer,Backpack Poly Sprayer,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,2623|20754,Standard Sprayers|Tire Spreaders,37285,15941,,Spray Nozzle for 2217/2219,,Spray Nozzle for 2217/2219," Brass fan tip 1/4"" .5 GPM female ",/\1\5\15941-Chapin-Spray-Nozzle-for.jpg,/\1\5\15941-Chapin-Spray-Nozzle-for.jpg,http://www.48ws.com/images/product/1/5/15941-Chapin-Spray-Nozzle-for.jpg,15941-Chapin-Spray-Nozzle-for-22172219,15941-Chapin-Spray-Nozzle-for-22172219,,No layout updates.,Block after Info Column,,Spray Nozzle for 2217/2219,Spray Nozzle for 2217/2219,Use config,/external-url.aspx?u=www.chapinmfg.com/products/product:1-5941-nozzle-5-gpm-brass-fan-tip-female/,0,,,0,Chapin,111,,Enabled,"Catalog, Search",Taxable Goods,Yes,No," Brass fan tip 1/4"" .5 GPM female ",,,,15941 Chapin Spray Nozzle for 2217/2219,Spray Nozzle for 2217/2219,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
