store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358649,705,,Offset Benders,Offset Benders,Offset Benders,,/\7\0\current-tools-705-offset-benders.jpg,/\7\0\current-tools-705-offset-benders.jpg,http://www.48ws.com/images/product/7/0/current-tools-705-offset-benders.jpg,current-tools-705-offset-benders,current-tools-705-offset-benders,,No layout updates.,Block after Info Column,,Offset Benders,Offset Benders,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Quick offset bends on EMT conduit
Ideal for making consistent offset bends for wall mounted boxes
Two models available for 1/2"" EMT or 3/4"" EMT conduit
",,,"1/2"" EMT Offset Bender",Offset Benders,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358650,706,,Offset Benders,Offset Benders,Offset Benders,,/\7\0\current-tools-706-offset-benders.jpg,/\7\0\current-tools-706-offset-benders.jpg,http://www.48ws.com/images/product/7/0/current-tools-706-offset-benders.jpg,current-tools-706-offset-benders,current-tools-706-offset-benders,,No layout updates.,Block after Info Column,,Offset Benders,Offset Benders,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Quick offset bends on EMT conduit
Ideal for making consistent offset bends for wall mounted boxes
Two models available for 1/2"" EMT or 3/4"" EMT conduit
",,,"3/4"" EMT Offset Bender",Offset Benders,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358651,750,,Mechanical Bender - 750,Mechanical Bender - 750,Mechanical Bender - 750,,/\7\5\current-tools-750-mechanical-bender-750.jpg,/\7\5\current-tools-750-mechanical-bender-750.jpg,http://www.48ws.com/images/product/7/5/current-tools-750-mechanical-bender-750.jpg,current-tools-750-mechanical-bender-750,current-tools-750-mechanical-bender-750,,No layout updates.,Block after Info Column,,Mechanical Bender - 750,Mechanical Bender - 750,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Bends 1/2"" to 1"" RIGID/IMC conduit
Heavy Duty, all metal construction for durability
Ratchet action for ease in bending
Model 750 has TWEAKER™ feature to correct overbends of 3º or less
",,,"1/2"" to 1"" Mechanical Bender for RIGID/IMC conduit",Mechanical Bender - 750,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358652,751,,Mechanical Bender - 751,Mechanical Bender - 751,Mechanical Bender - 751,,/\7\5\current-tools-751-mechanical-bender-751.jpg,/\7\5\current-tools-751-mechanical-bender-751.jpg,http://www.48ws.com/images/product/7/5/current-tools-751-mechanical-bender-751.jpg,current-tools-751-mechanical-bender-751,current-tools-751-mechanical-bender-751,,No layout updates.,Block after Info Column,,Mechanical Bender - 751,Mechanical Bender - 751,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Bends 1 1/4"" and 1 1/2"" RIGID/IMC conduit
Heavy Duty, all metal construction for durability
Ratchet action for ease in bending
",,,"1 1/4"" to 1 1/2"" Mechanical Bender for RIGID/IMC conduit",Mechanical Bender - 751,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358653,77,,77 Series Electric Bender,77 Series Electric Bender,77 Series Electric Bender,,/\7\7\current-tools-77-77-series-electric-bender.jpg,/\7\7\current-tools-77-77-series-electric-bender.jpg,http://www.48ws.com/images/product/7/7/current-tools-77-77-series-electric-bender.jpg,current-tools-77-77-series-electric-bender,current-tools-77-77-series-electric-bender,,No layout updates.,Block after Info Column,,77 Series Electric Bender,77 Series Electric Bender,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender Power Source only (no shoes),77 Series Electric Bender,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358654,77RIG,,77 Series Electric Bender,77 Series Electric Bender,77 Series Electric Bender,,/\7\7\current-tools-77rig-77-series-electric-bender.jpg,/\7\7\current-tools-77rig-77-series-electric-bender.jpg,http://www.48ws.com/images/product/7/7/current-tools-77rig-77-series-electric-bender.jpg,current-tools-77RIG-77-series-electric-bender,current-tools-77RIG-77-series-electric-bender,,No layout updates.,Block after Info Column,,77 Series Electric Bender,77 Series Electric Bender,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender with No. 700R Rigid shoes & accessories,77 Series Electric Bender,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358655,77EMT,,77 Series Electric Bender,77 Series Electric Bender,77 Series Electric Bender,,/\7\7\current-tools-77emt-77-series-electric-bender.jpg,/\7\7\current-tools-77emt-77-series-electric-bender.jpg,http://www.48ws.com/images/product/7/7/current-tools-77emt-77-series-electric-bender.jpg,current-tools-77EMT-77-series-electric-bender,current-tools-77EMT-77-series-electric-bender,,No layout updates.,Block after Info Column,,77 Series Electric Bender,77 Series Electric Bender,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender with No. 700E EMT shoes & accessories,77 Series Electric Bender,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358656,77IMC,,77 Series Electric Bender,77 Series Electric Bender,77 Series Electric Bender,,/\7\7\current-tools-77imc-77-series-electric-bender.jpg,/\7\7\current-tools-77imc-77-series-electric-bender.jpg,http://www.48ws.com/images/product/7/7/current-tools-77imc-77-series-electric-bender.jpg,current-tools-77IMC-77-series-electric-bender,current-tools-77IMC-77-series-electric-bender,,No layout updates.,Block after Info Column,,77 Series Electric Bender,77 Series Electric Bender,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender with No. 700I IMC shoes & accessories,77 Series Electric Bender,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358657,77PVC,,77 Series Electric Bender,77 Series Electric Bender,77 Series Electric Bender,,/\7\7\current-tools-77pvc-77-series-electric-bender.jpg,/\7\7\current-tools-77pvc-77-series-electric-bender.jpg,http://www.48ws.com/images/product/7/7/current-tools-77pvc-77-series-electric-bender.jpg,current-tools-77PVC-77-series-electric-bender,current-tools-77PVC-77-series-electric-bender,,No layout updates.,Block after Info Column,,77 Series Electric Bender,77 Series Electric Bender,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender with No. 700P 40 mil PVC coasted conduit bending shoes & accessories,77 Series Electric Bender,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358658,77COM,,77 Series Electric Bender,77 Series Electric Bender,77 Series Electric Bender,,/\7\7\current-tools-77com-77-series-electric-bender.jpg,/\7\7\current-tools-77com-77-series-electric-bender.jpg,http://www.48ws.com/images/product/7/7/current-tools-77com-77-series-electric-bender.jpg,current-tools-77COM-77-series-electric-bender,current-tools-77COM-77-series-electric-bender,,No layout updates.,Block after Info Column,,77 Series Electric Bender,77 Series Electric Bender,Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.","Powerful motor will make 180° bends on up to 2"" rigid conduit
Rugged and dependable electrical system
Easy to maintain
Handle pivots to allow for dogleg bends
Shoes and roller support assemblies ",,,"Electric Bender with No. 700E, No. 700I, & 700R shoes & accessories (EMT, IMC & Rigid)",77 Series Electric Bender,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1186|27907,Conduit Benders|Electric Conduit Bender Accessories,358659,2-1301,,"700R 1/2"" - 2"" Rigid Shoe Group","700R 1/2"" - 2"" Rigid Shoe Group","700R 1/2"" - 2"" Rigid Shoe Group",,/\2\1\current-tools-2-1301-700r-12-2-rigid-shoe-group.jpg,/\2\1\current-tools-2-1301-700r-12-2-rigid-shoe-group.jpg,http://www.48ws.com/images/product/2/1/current-tools-2-1301-700r-12-2-rigid-shoe-group.jpg,current-tools-2-1301-700r-12-2-rigid-shoe-group,current-tools-2-1301-700r-12-2-rigid-shoe-group,,No layout updates.,Block after Info Column,,"700R 1/2"" - 2"" Rigid Shoe Group","700R 1/2"" - 2"" Rigid Shoe Group",Use config,http://www.currenttools.com/bending.html,0,,,0,Current Tools,1347,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"
All shoes and roller supports will fit Greenlee® 555® Electric Bender*",,,,"Item Number: 1; Description: 1/2"" - 1-1/4"" Rigid and IMC bending shoe","700R 1/2"" - 2"" Rigid Shoe Group",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
