store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,117|24893,Grinders | Polishers|Electric Polishers and Buffers,13018,6.02175.42,,1200 Watt Electronic Angle Polisherpe 12-175,,1200 Watt Electronic Angle Polisherpe 12-175,METABO 1200 WATT ELECTRONIC ANGLE POLISHERPE 12-175,/\6\0\METABO-1200-WATT-ELECTRONIC-ANGLE-POLISHERPE-12.jpg,/\6\0\METABO-1200-WATT-ELECTRONIC-ANGLE-POLISHERPE-12.jpg,http://www.48ws.com/images/product/6/0/METABO-1200-WATT-ELECTRONIC-ANGLE-POLISHERPE-12.jpg,METABO-1200-WATT-ELECTRONIC-ANGLE-POLISHERPE-12-175,METABO-1200-WATT-ELECTRONIC-ANGLE-POLISHERPE-12-175,,No layout updates.,Block after Info Column,,1200 Watt Electronic Angle Polisherpe 12-175,1200 Watt Electronic Angle Polisherpe 12-175,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M5131e6c599e.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Polisher for continuous professional operation
Top cutting performance due to two-level reduced gear
Ergonomic front flap for optimum machine control
Handy like a small angle grinder
Die cast aluminium gear housing
Vario Tacho Constamatic (VTC) full-wave electronics
Thumbwheel for preselection of speed
Electronic soft start
Overload protection
No-volt release switch
Spindle lock
Auto-stop carbon brushes","Comparative Technical Values

	
		
			Torque
		
		
			124 in-lbs
		
	
	
		
			For backing pad up to maximum
		
		
			7 ""
		
	
	
		
			Idle revolution
		
		
			700 - 2200 /min
		
	
	
		
			Rated input power
		
		
			1200 W
		
	
	
		
			Output power
		
		
			680 W
		
	
	
		
			Revolutions at rated load
		
		
			2200 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			5.3 lbs
		
	


Scope of Delivery
Hand guard
Side handle
(Delivered without buffing wheel)",,Metabo 1200 Watt Electronic Angle Polisherpe 12-175,1200 Watt Electronic Angle Polisherpe 12-175,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24880,Grinders | Polishers|Angle Grinders,13019,6.06418.42,,2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,,2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,Metabo 2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,/\6\0\Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-180.jpg,/\6\0\Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-180.jpg,http://www.48ws.com/images/product/6/0/Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-180.jpg,Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-180-MM,Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-180-MM,,No layout updates.,Block after Info Column,,2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M57ae8895785.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Robust and wear-resistant 4-pole motor
Metabo safety switch: safety lock against unintentional start
Additional handle adjustable according to application: left, right or upwards
Die cast aluminium gear housing
Auto-stop carbon brushes","Comparative Technical Values

	
		
			Grinding wheel Ø
		
		
			7 ""
		
	
	
		
			Idle revolution
		
		
			8500 /min
		
	
	
		
			Rated input power
		
		
			2000 W
		
	
	
		
			Output power
		
		
			1350 W
		
	
	
		
			Revolutions at rated load
		
		
			5600 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			5700 g
		
	


Scope of Delivery
Protective cover
Handle",,Metabo 2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,2000 Watt Angle Grinder W 2000 DISC-Ø 180 MM,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24880,Grinders | Polishers|Angle Grinders,13020,6.06420.42,,2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,,2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,Metabo 2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,/\6\0\Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-230.jpg,/\6\0\Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-230.jpg,http://www.48ws.com/images/product/6/0/Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-230.jpg,Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-230-MM,Metabo-2000-Watt-Angle-Grinder-W-2000-DISC-230-MM,,No layout updates.,Block after Info Column,,2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M564225a80a6.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Robust and wear-resistant 4-pole motor
Metabo safety switch: safety lock against unintentional start
Additional handle adjustable according to application: left, right or upwards
Die cast aluminium gear housing
Auto-stop carbon brushes","Comparative Technical Values

	
		
			Grinding wheel Ø
		
		
			9 ""
		
	
	
		
			Idle revolution
		
		
			6600 /min
		
	
	
		
			Rated input power
		
		
			2000 W
		
	
	
		
			Output power
		
		
			1350 W
		
	
	
		
			Revolutions at rated load
		
		
			4500 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			5800 g
		
	


Scope of Delivery
Protective cover
Handle",,Metabo 2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,2000 Watt Angle Grinder W 2000 DISC-Ø 230 MM,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24880,Grinders | Polishers|Angle Grinders,13021,6.06445.42,,2400 Watt Angle Grinder W 24-180,,2400 Watt Angle Grinder W 24-180,Metabo 2400 Watt Angle Grinder W 24-180,/\6\0\Metabo-2400-Watt-Angle-Grinder-W-24.jpg,/\6\0\Metabo-2400-Watt-Angle-Grinder-W-24.jpg,http://www.48ws.com/images/product/6/0/Metabo-2400-Watt-Angle-Grinder-W-24.jpg,Metabo-2400-Watt-Angle-Grinder-W-24-180,Metabo-2400-Watt-Angle-Grinder-W-24-180,,No layout updates.,Block after Info Column,,2400 Watt Angle Grinder W 24-180,2400 Watt Angle Grinder W 24-180,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M5b8531e8918.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Machine is suitable for operation with 120-Volt direct current (protective low current)
Robust Metabo Marathon motor
Metabo winding protection grid
High efficiency and increased torque through optimum heat dissipation
Metabo safety switch: safety lock against unintentional start
Twist-proof protective cover, can be adjusted within seconds without tools
Metabo VibraTech (MVT): Reduction in the health risks caused by hand-arm vibration thanks to the integrated shock systems
Additional handle adjustable according to application: left, right or upwards
Die cast aluminium gear housing
Main handle rotatable without tools
Auto-stop carbon brushes","Comparative Technical Values

	
		
			Grinding wheel Ø
		
		
			7 ""
		
	
	
		
			Idle revolution
		
		
			8500 /min
		
	
	
		
			Revolutions at rated load
		
		
			5800 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			12.6 lbs
		
	


Scope of Delivery
Protective cover
Metabo VibraTech (MVT) handle",,Metabo 2400 Watt Angle Grinder W 24-180,2400 Watt Angle Grinder W 24-180,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24880,Grinders | Polishers|Angle Grinders,13022,6.06448.42,,2400 Watt Angle Grinder W 24-230,,2400 Watt Angle Grinder W 24-230,Metabo 2400 Watt Angle Grinder W 24-230,/\6\0\Metabo-2400-Watt-Angle-Grinder-W-24- 1.jpg,/\6\0\Metabo-2400-Watt-Angle-Grinder-W-24- 1.jpg,http://www.48ws.com/images/product/6/0/Metabo-2400-Watt-Angle-Grinder-W-24- 1.jpg,Metabo-2400-Watt-Angle-Grinder-W-24-230,Metabo-2400-Watt-Angle-Grinder-W-24-230,,No layout updates.,Block after Info Column,,2400 Watt Angle Grinder W 24-230,2400 Watt Angle Grinder W 24-230,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M5697e28668e.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Machine is suitable for operation with 120-Volt direct current (protective low current)
Robust Metabo Marathon motor
Metabo winding protection grid
High efficiency and increased torque through optimum heat dissipation
Metabo safety switch: safety lock against unintentional start
Twist-proof protective cover, can be adjusted within seconds without tools
Metabo VibraTech (MVT): Reduction in the health risks caused by hand-arm vibration thanks to the integrated shock systems
Additional handle adjustable according to application: left, right or upwards
Die cast aluminium gear housing
Main handle rotatable without tools
Auto-stop carbon brushes","Comparative Technical Values

	
		
			Grinding wheel Ø
		
		
			9 ""
		
	
	
		
			Idle revolution
		
		
			6600 /min
		
	
	
		
			Revolutions at rated load
		
		
			4600 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			12.8 lbs
		
	


Scope of Delivery
Protective cover
Metabo VibraTech (MVT) handle",,Metabo 2400 Watt Angle Grinder W 24-230,2400 Watt Angle Grinder W 24-230,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24880,Grinders | Polishers|Angle Grinders,13023,6.06453.42,,2600 Watt Angle Grinder W 26-230,,2600 Watt Angle Grinder W 26-230,Metabo 2600 Watt Angle Grinder W 26-230,/\6\0\Metabo-2600-Watt-Angle-Grinder-W-26.jpg,/\6\0\Metabo-2600-Watt-Angle-Grinder-W-26.jpg,http://www.48ws.com/images/product/6/0/Metabo-2600-Watt-Angle-Grinder-W-26.jpg,Metabo-2600-Watt-Angle-Grinder-W-26-230,Metabo-2600-Watt-Angle-Grinder-W-26-230,,No layout updates.,Block after Info Column,,2600 Watt Angle Grinder W 26-230,2600 Watt Angle Grinder W 26-230,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M582f3e4b940.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Machine is suitable for operation with 120-Volt direct current (protective low current)
Robust Metabo Marathon motor
Metabo winding protection grid
High efficiency and increased torque through optimum heat dissipation
Metabo safety switch: safety lock against unintentional start
Twist-proof protective cover, can be adjusted within seconds without tools
Metabo VibraTech (MVT): Reduction in the health risks caused by hand-arm vibration thanks to the integrated shock systems
Additional handle adjustable according to application: left, right or upwards
Die cast aluminium gear housing
Main handle rotatable without tools
Auto-stop carbon brushes","Comparative Technical Values

	
		
			Grinding wheel Ø
		
		
			9 ""
		
	
	
		
			Idle revolution
		
		
			6600 /min
		
	
	
		
			Revolutions at rated load
		
		
			4800 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			13.9 lbs
		
	


Scope of Delivery
Protective cover
Inner support flange
Flange nut
Metabo VibraTech (MVT) handle
Flat-pin spanner",,Metabo 2600 Watt Angle Grinder W 26-230,2600 Watt Angle Grinder W 26-230,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24880,Grinders | Polishers|Angle Grinders,13024,6.06250.42,,1400 Watt Angle Grinder W 14-125 ERGO,,1400 Watt Angle Grinder W 14-125 ERGO,Metabo 1400 Watt Angle Grinder W 14-125 ERGO,/\6\0\Metabo-1400-Watt-Angle-Grinder-W-14-125.jpg,/\6\0\Metabo-1400-Watt-Angle-Grinder-W-14-125.jpg,http://www.48ws.com/images/product/6/0/Metabo-1400-Watt-Angle-Grinder-W-14-125.jpg,Metabo-1400-Watt-Angle-Grinder-W-14-125-ERGO,Metabo-1400-Watt-Angle-Grinder-W-14-125-ERGO,,No layout updates.,Block after Info Column,,1400 Watt Angle Grinder W 14-125 ERGO,1400 Watt Angle Grinder W 14-125 ERGO,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M51b2a8ab9ab.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Robust Metabo Marathon motor
Die cast aluminium gear housing
Main handle rotatable without tools
Additional Metabo VibraTech (MVT) handle for vibration damping
Twist-proof protective cover, can be adjusted within seconds without tools
Ergonomic handle design with integrated switch
Safety switch: safety lock against unintentional start
Metabo winding protection grid
Auto-stop carbon brushes","Comparative Technical Values

	
		
			Grinding wheel Ø
		
		
			5 ""
		
	
	
		
			Torque
		
		
			44 in-lbs
		
	
	
		
			Idle revolution
		
		
			10000 /min
		
	
	
		
			Rated input power
		
		
			1400 W
		
	
	
		
			Output power
		
		
			800 W
		
	
	
		
			Revolutions at rated load
		
		
			7300 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			6.2 lbs
		
	


Scope of Delivery
Protective cover
Inner support flange
Flange nut
Metabo VibraTech (MVT) handle
Flat-pin spanner",,Metabo 1400 Watt Angle Grinder W 14-125 ERGO,1400 Watt Angle Grinder W 14-125 ERGO,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24880,Grinders | Polishers|Angle Grinders,13025,6.06251.42,,1400 Watt Angle Grinder W 14125 ERGO,,1400 Watt Angle Grinder W 14125 ERGO,Metabo 1400 Watt Angle Grinder W 14125 ERGO,/\6\0\Metabo-1400-Watt-Angle-Grinder-W-14125.jpg,/\6\0\Metabo-1400-Watt-Angle-Grinder-W-14125.jpg,http://www.48ws.com/images/product/6/0/Metabo-1400-Watt-Angle-Grinder-W-14125.jpg,Metabo-1400-Watt-Angle-Grinder-W-14125-ERGO,Metabo-1400-Watt-Angle-Grinder-W-14125-ERGO,,No layout updates.,Block after Info Column,,1400 Watt Angle Grinder W 14125 ERGO,1400 Watt Angle Grinder W 14125 ERGO,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M5d6a97b2313.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Robust Metabo Marathon motor
Die cast aluminium gear housing
Main handle rotatable without tools
Additional Metabo VibraTech (MVT) handle for vibration damping
Twist-proof protective cover, can be adjusted within seconds without tools
Ergonomic handle design with integrated switch
Safety switch: safety lock against unintentional start
Metabo winding protection grid
Auto-stop carbon brushes","Comparative Technical Values

	
		
			Grinding wheel Ø
		
		
			6 ""
		
	
	
		
			Torque
		
		
			44 in-lbs
		
	
	
		
			Idle revolution
		
		
			10000 /min
		
	
	
		
			Rated input power
		
		
			1400 W
		
	
	
		
			Output power
		
		
			800 W
		
	
	
		
			Revolutions at rated load
		
		
			7300 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			6.2 lbs
		
	


Scope of Delivery
Protective cover
Inner support flange
Flange nut
Metabo VibraTech (MVT) handle
Flat-pin spanner",,Metabo 1400 Watt Angle Grinder W 14125 ERGO,1400 Watt Angle Grinder W 14125 ERGO,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24880,Grinders | Polishers|Angle Grinders,13026,6.06251.44,,1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,,1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,Metabo 1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,/\6\0\Metabo-1400-Watt-Angle-Grinder-W-14-150-ERGO-with-Deadmans.jpg,/\6\0\Metabo-1400-Watt-Angle-Grinder-W-14-150-ERGO-with-Deadmans.jpg,http://www.48ws.com/images/product/6/0/Metabo-1400-Watt-Angle-Grinder-W-14-150-ERGO-with-Deadmans.jpg,Metabo-1400-Watt-Angle-Grinder-W-14-150-ERGO-with-Deadmans-Switch,Metabo-1400-Watt-Angle-Grinder-W-14-150-ERGO-with-Deadmans-Switch,,No layout updates.,Block after Info Column,,1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M505c42ed187.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Robust Metabo Marathon motor
Die cast aluminium gear housing
Main handle rotatable without tools
Additional Metabo VibraTech (MVT) handle for vibration damping
Dead-man function: Immediate shutdown of the machine when the switch is released
Twist-proof protective cover, can be adjusted within seconds without tools
Ergonomic handle design with integrated switch
Safety switch: safety lock against unintentional start
Metabo winding protection grid
Auto-stop carbon brushes
","Comparative Technical Values

	
		
			Grinding wheel Ø
		
		
			6 ""
		
	
	
		
			Torque
		
		
			44 in-lbs
		
	
	
		
			Idle revolution
		
		
			10000 /min
		
	
	
		
			Rated input power
		
		
			1400 W
		
	
	
		
			Output power
		
		
			800 W
		
	
	
		
			Revolutions at rated load
		
		
			7300 /min
		
	
	
		
			Spindle thread
		
		
			5/8"" - 11 UNC
		
	
	
		
			Weight (without power cable)
		
		
			6.2 lbs
		
	


Scope of Delivery
Protective cover
Inner support flange
Flange nut
Metabo VibraTech (MVT) handle
Flat-pin spanner",,Metabo 1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,1400 Watt Angle Grinder W 14-150 ERGO with Deadman's Switch,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,117|24893,Grinders | Polishers|Electric Polishers and Buffers,38164,PWE 11-100,,1100 Watt Wet Polisher,,1100 Watt Wet Polisher,Metabo 1100 Watt Electronic Wet Polisher.,/\P\W\Metabo-PWE-11-100-1100-Watt-Wet.jpg,/\P\W\Metabo-PWE-11-100-1100-Watt-Wet.jpg,http://www.48ws.com/images/product/P/W/Metabo-PWE-11-100-1100-Watt-Wet.jpg,Metabo-PWE-11-100-1100-Watt-Wet-Polisher,Metabo-PWE-11-100-1100-Watt-Wet-Polisher,,No layout updates.,Block after Info Column,,1100 Watt Wet Polisher,1100 Watt Wet Polisher,Use config,/external-url.aspx?u=www.metabo.us/Product-catalog-handheld-powertools.23980+M5c13b6a471e.0.html,0,,,0,Metabo,203,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Metabo 1100 Watt Electronic Wet Polisher.,"For powerful wet polishing of granite, marble and other types of stone
External water supply at the bottom of the housing for optimal handling
Safe working thanks to splash-proofed housing with front cap.
Additional electrical safety thanks to safety switch integrated in the cable
Robust long lasting Metabo Marathon Motor
die cast aluminium gear housing
Adjustable U-shaped handle for uniform machine guidance
Metabo dust-protection technology for an extremely long tool life
Vario Tacho Constamatic (VTC) full-wave electronics
Thumbwheel for preselection of speed
Electronic soft start
overload protection
Metabo winding protection grid
spindle lock
auto-stop carbon brushes","Torque: 4 in-lbs
For backing pad up to maximum: 5 ""
Idle revolution: 1700 - 6100 /min
Rated input power: 1100 W
Output power: 630 W
Revolutions at rated load: 6100 /min
Spindle thread: 5/8"" - 11 UNC
Weight (without power cable): 4.9 lbs",,Metabo PWE 11-100 1100 Watt Wet Polisher,1100 Watt Wet Polisher,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
