store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,26338.0,Two Way Radios,37338,RDU4100,,Motorola RDU4100 10 Channel 4 Watt UHF Two-Way Business Radio,,Motorola RDU4100 10 Channel 4 Watt UHF Two-Way Business Radio,4 WATT 10 Channnel,/\R\D\RDU4100-Motorola-UHV.jpg,/\R\D\RDU4100-Motorola-UHV.jpg,http://www.48ws.com/images/product/R/D/RDU4100-Motorola-UHV.jpg,motorola-RDU4100-motorola-rdu4100-10-channel-4-watt-uhf-two-way-business-radio,motorola-RDU4100-motorola-rdu4100-10-channel-4-watt-uhf-two-way-business-radio,,No layout updates.,Block after Info Column,,Motorola RDU4100 10 Channel 4 Watt UHF Two-Way Business Radio,Motorola RDU4100 10 Channel 4 Watt UHF Two-Way Business Radio,Use config,https://www.motorolasolutions.com/en_us/products/two-way-radios/commercial-business-two-way-radio-systems/on-site-business-radios/rdx-series/rdu4100.html#tabproductinfo,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Motorola RDU4100 two-way radio operates on an innovative 89 business-exclusive UHF frequencies and is 2013 FCC Narrowband ready. The default factory programming on this RDX radio is set to operate in 12.5kHz mode. Enhanced audio quality, a rugged design and versatile customer programming software, make this radio an exceptional choice for all of your on-site business needs.Data Sheet",,10 Channel - UHF - RDX,7 23755 54029 3,RDU4100 Motorola UHV Radio ,Motorola RDU4100 10 Channel 4 Watt UHF Two-Way Business Radio,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26338.0,Two Way Radios,37339,HMN9026,,Remote Speaker Microphone,,Remote Speaker Microphone,Talk and listen without reaching for your radio. Our most popular audio accessory! Motorola's 53862 (HMN9026) Speaker Microphone allows the user attach the remote speaker microphone to a shirt collar to keep volume near your ear and mouth piece handy for,/\H\M\HMN9026-Motorola-Remote-Speaker.jpg,/\H\M\HMN9026-Motorola-Remote-Speaker.jpg,http://www.48ws.com/images/product/H/M/HMN9026-Motorola-Remote-Speaker.jpg,motorola-HMN9026-remote-speaker-microphone,motorola-HMN9026-remote-speaker-microphone,,No layout updates.,Block after Info Column,,Remote Speaker Microphone,Remote Speaker Microphone,Use config,,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Compatible with the CLS, RM, RDX and DTR Series",,"Talk and listen without reaching for your radio. Our most popular audio accessory! Motorola's 53862 (HMN9026) Speaker Microphone allows the user attach the remote speaker microphone to a shirt collar to keep volume near your ear and mouth piece handy for quick responses. The push-to-talk button is conveniently located on the left side of the microphone as it faces you for easy access. The durable swivel spring-loaded clip on back rotates for easy use on right or left side. Coiled cable is approximately 23"" long - expands to over 70"".

Compatible with Motorola Spirit M and GT Series, XTN, AX, CLS, DTR and RDX Series radios.

Motorola Part Number 53862 (HMN9026).",,HMN9026 Motorola Remote Speaker Microphone,Remote Speaker Microphone,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26338.0,Two Way Radios,107406,53862,,Remote Speaker Microphone,,Remote Speaker Microphone,,/\5\3\Motorola-53862-Remote-Speaker.jpg,/\5\3\Motorola-53862-Remote-Speaker.jpg,http://www.48ws.com/images/product/5/3/Motorola-53862-Remote-Speaker.jpg,motorola-53862-remote-speaker-microphone,motorola-53862-remote-speaker-microphone,,No layout updates.,Block after Info Column,,Remote Speaker Microphone,Remote Speaker Microphone,Use config,http://www.motorolasolutions.com/web/Business/Products/Two-way%20Radios/Mobile%20Radios/On-Site%20Small%20Business/RDV2020/_Documents/RDX_Brochure.pdf,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Compatible with the CLS, RM, RDX and DTR Series","
Description:
Speak and listen without having to reach for your radio. Easily clips on a 
shirt or collar.",,,Motorola 53862 Remote Speaker Microphone,Remote Speaker Microphone,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26338.0,Two Way Radios,107409,HKLN4478,,Dual Pin Surveillance Earpiece,,Dual Pin Surveillance Earpiece,,/\H\K\Motorola-HKLN4478-Dual-Pin-Surveillance.jpg,/\H\K\Motorola-HKLN4478-Dual-Pin-Surveillance.jpg,http://www.48ws.com/images/product/H/K/Motorola-HKLN4478-Dual-Pin-Surveillance.jpg,motorola-HKLN4478-dual-pin-surveillance-earpiece,motorola-HKLN4478-dual-pin-surveillance-earpiece,,No layout updates.,Block after Info Column,,Dual Pin Surveillance Earpiece,Dual Pin Surveillance Earpiece,Use config,http://www.motorolasolutions.com/web/Business/Products/Two-way%20Radios/Mobile%20Radios/On-Site%20Small%20Business/RDV2020/_Documents/RDX_Brochure.pdf,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Compatible wit the CLS, RM, RDX and DTR Series","
Description:
Provides simple, efficient and discreet hands-free communications. Microphone and push-to-talk are integrated into a single wire, while translucent tubes let you wear the earpiece discreetly.",,,Motorola HKLN4478 Dual Pin Surveillance Earpiece,Dual Pin Surveillance Earpiece,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26338.0,Two Way Radios,107410,53865,,Headset with Swivel Boom Microphone,,Headset with Swivel Boom Microphone,,/\5\3\Motorola-53865-Headset-with-Swivel-Boom.jpg,/\5\3\Motorola-53865-Headset-with-Swivel-Boom.jpg,http://www.48ws.com/images/product/5/3/Motorola-53865-Headset-with-Swivel-Boom.jpg,motorola-53865-headset-with-swivel-boom-microphone,motorola-53865-headset-with-swivel-boom-microphone,,No layout updates.,Block after Info Column,,Headset with Swivel Boom Microphone,Headset with Swivel Boom Microphone,Use config,http://www.motorolasolutions.com/web/Business/Products/Two-way%20Radios/Mobile%20Radios/On-Site%20Small%20Business/RDV2020/_Documents/RDX_Brochure.pdf,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"
Description:
 Ideal for noisy work conditions or to avoid disturbing others in the area.",,,Motorola 53865 Headset with Swivel Boom Microphone,Headset with Swivel Boom Microphone,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26338.0,Two Way Radios,107412,RLN6423,,Swivel Earpiece,,Swivel Earpiece,,/\R\L\Motorola-RLN6423-Swivel.jpg,/\R\L\Motorola-RLN6423-Swivel.jpg,http://www.48ws.com/images/product/R/L/Motorola-RLN6423-Swivel.jpg,motorola-RLN6423-swivel-earpiece,motorola-RLN6423-swivel-earpiece,,No layout updates.,Block after Info Column,,Swivel Earpiece,Swivel Earpiece,Use config,http://www.motorolasolutions.com/web/Business/Products/Two-way%20Radios/Mobile%20Radios/On-Site%20Small%20Business/RDV2020/_Documents/RDX_Brochure.pdf,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Compatible with the CLS, RM, RDX and DTR Series","
Description:
Comfortable, flexible earpiece designed for all-day wear. In-line push-to-talk makes communication easy when your radio is not readily accessible.",,,Motorola RLN6423 Swivel Earpiece,Swivel Earpiece,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26338.0,Two Way Radios,107413,RLN6302,,Hard Leather Carry Case,,Hard Leather Carry Case,,/\R\L\Motorola-RLN6302-Hard-Leather-Carry.jpg,/\R\L\Motorola-RLN6302-Hard-Leather-Carry.jpg,http://www.48ws.com/images/product/R/L/Motorola-RLN6302-Hard-Leather-Carry.jpg,motorola-RLN6302-hard-leather-carry-case,motorola-RLN6302-hard-leather-carry-case,,No layout updates.,Block after Info Column,,Hard Leather Carry Case,Hard Leather Carry Case,Use config,http://www.motorolasolutions.com/web/Business/Products/Two-way%20Radios/Mobile%20Radios/On-Site%20Small%20Business/RDV2020/_Documents/RDX_Brochure.pdf,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Compatible with the RDX Series,"
Description:
 Durable leather case offers extra protection in tough work environments",,,Motorola RLN6302 Hard Leather Carry Case,Hard Leather Carry Case,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26332.0,Two Way Radio Accessories,107414,RLN6308,,RDX Ultra High Capacity Li ion Battery,,RDX Ultra High Capacity Li ion Battery,,/\R\L\Motorola-RLN6308-Ultra-High-Capacity-Lithium-Ion.jpg,/\R\L\Motorola-RLN6308-Ultra-High-Capacity-Lithium-Ion.jpg,http://www.48ws.com/images/product/R/L/Motorola-RLN6308-Ultra-High-Capacity-Lithium-Ion.jpg,motorola-RLN6308-rdx-ultra-high-capacity-li-ion-battery,motorola-RLN6308-rdx-ultra-high-capacity-li-ion-battery,,No layout updates.,Block after Info Column,,RDX Ultra High Capacity Li ion Battery,RDX Ultra High Capacity Li ion Battery,Use config,https://www.motorolasolutions.com/en_us/products/two-way-radios/commercial-business-two-way-radio-systems/on-site-business-radios.html,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,The Motorola RLN6308 high capacity lithium-ion rechargeable battery typically provides up to 26-hours of use with a 2-Watt radio and 18.5-hours of use with a 4/5-Watt model. This high capacity battery works with all Motorola RDX series business radios. Make sure to activate the battery save feature to get the most out of each charge.,"
Description:
Rechargeable battery provides up to 26 hours of battery life per full charge on 2 Watt models, up to 18.5 hours per charge on 4/5 Watt models.",Black,7 23755 54057 6,Motorola RLN6308 Ultra High Capacity Lithium Ion Battery,RDX Ultra High Capacity Li ion Battery,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26332.0,Two Way Radio Accessories,107415,RLN6309,,RDX Multi-unit Charger with Cloning-holds 6,,RDX Multi-unit Charger with Cloning-holds 6,,/\R\L\Motorola-RLN6309-Multi-Unit.jpg,/\R\L\Motorola-RLN6309-Multi-Unit.jpg,http://www.48ws.com/images/product/R/L/Motorola-RLN6309-Multi-Unit.jpg,motorola-RLN6309-rdx-multi-unit-charger-with-cloning-holds-6,motorola-RLN6309-rdx-multi-unit-charger-with-cloning-holds-6,,No layout updates.,Block after Info Column,,RDX Multi-unit Charger with Cloning-holds 6,RDX Multi-unit Charger with Cloning-holds 6,Use config,https://www.motorolasolutions.com/en_us/products/two-way-radios/commercial-business-two-way-radio-systems/on-site-business-radios.html,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Motorola RLN6309 multi-unit charger works with all RDX series radios, and allows you to charge a fleet of up to 6 radios at once. This unit will fully charge a battery in 3-6 hours, depending upon the battery capacity. The RLN6309 is capable of being wall mounted, and can charge a battery alone or connected to a radio. ","
Description:
Lets you drop-in charge up to six radios and/or batteries from a single outlet. Also acts as a central storage location for radios at the end of a work shift.",Black,7 23755 54012 5,Motorola RLN6309 Multi-Unit Charger,RDX Multi-unit Charger with Cloning-holds 6,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,26338.0,Two Way Radios,107417,RLN6303,,Radio-to-Radio Cloning Cable,,Radio-to-Radio Cloning Cable,,/\R\L\Motorola-RLN6303-Radio-to-Radio-Cloning.jpg,/\R\L\Motorola-RLN6303-Radio-to-Radio-Cloning.jpg,http://www.48ws.com/images/product/R/L/Motorola-RLN6303-Radio-to-Radio-Cloning.jpg,motorola-RLN6303-radio-to-radio-cloning-cable,motorola-RLN6303-radio-to-radio-cloning-cable,,No layout updates.,Block after Info Column,,Radio-to-Radio Cloning Cable,Radio-to-Radio Cloning Cable,Use config,http://www.motorolasolutions.com/web/Business/Products/Two-way%20Radios/Mobile%20Radios/On-Site%20Small%20Business/RDV2020/_Documents/RDX_Brochure.pdf,0,,,0,Motorola,322,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Compatible with the RDX Series,"
Description:
Save time by cloning all programming and user menu settings at the touch 
of a button.",,,Motorola RLN6303 Radio-to-Radio Cloning Cable,Radio-to-Radio Cloning Cable,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
