store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,21926,Sockets and Bits,37323,410,,8 piece Deep Socket Set,"1/2"" Drive 8 Piece Set",8 piece Deep Socket Set,Weight: 2.96,/\4\1\410-Wright-Tool-Company-8-piece-Deep-Socket.jpg,/\4\1\410-Wright-Tool-Company-8-piece-Deep-Socket.jpg,http://www.48ws.com/images/product/4/1/410-Wright-Tool-Company-8-piece-Deep-Socket.jpg,wright-tool-company-410-,wright-tool-company-410-,,No layout updates.,Block after Info Column,,8 piece Deep Socket Set,8 piece Deep Socket Set,Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Weight: 2.96,"Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and Tempered for optimal Hardness, ",,76799004109.0,"6 Point Deep Sockets, 1/2"" - 15/16""Width: 1.0 inchesHeight: 3.5 inchesLength: 10.0 inches",8 piece Deep Socket Set,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21939,Sockets,37324,4524,,6 Piece Chrome Deep Socket Set,"1/2"" Drive 6 Point Deep Socket",6 Piece Chrome Deep Socket Set,"Size: 3/4""
Weight: 0.34
Nom Size: 3/4""
Shape: II
L: 3-3/64""
Ds: 1-5/64""
Dd: -
Bd: 2-21/64""",/\4\5\4524-Wright-Tool-Company-6-Piece-Chrome-Deep-Socket.gif,/\4\5\4524-Wright-Tool-Company-6-Piece-Chrome-Deep-Socket.gif,http://www.48ws.com/images/product/4/5/4524-Wright-Tool-Company-6-Piece-Chrome-Deep-Socket.gif,wright-tool-company-4524-,wright-tool-company-4524-,,No layout updates.,Block after Info Column,,6 Piece Chrome Deep Socket Set,6 Piece Chrome Deep Socket Set,Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Size: 3/4""
Weight: 0.34
Nom Size: 3/4""
Shape: II
L: 3-3/64""
Ds: 1-5/64""
Dd: -
Bd: 2-21/64""","Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and Tempered for optimal Hardness, ",,76799045249.0,"3/4""Width: 1.06 inchesHeight: 3.05 inchesLength: 1.06 inches",6 Piece Chrome Deep Socket Set,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21939,Sockets,37325,4530,,"15/16"" - 1/2"" Deep Chrome Socket Set","1/2"" Drive 6 Point Deep Socket","15/16"" - 1/2"" Deep Chrome Socket Set","Size: 15/16""
Weight: 0.54
Nom. Size: 15/16""
Shape: II
L: 3-3/64""
Ds: 1-19/64""
Dd: -
Bd: 2-17/64""",/\4\5\4530-Wright-Tool-Company-1516-12-Deep-Chrome-Socket.gif,/\4\5\4530-Wright-Tool-Company-1516-12-Deep-Chrome-Socket.gif,http://www.48ws.com/images/product/4/5/4530-Wright-Tool-Company-1516-12-Deep-Chrome-Socket.gif,wright-tool-company-4530-,wright-tool-company-4530-,,No layout updates.,Block after Info Column,,"15/16"" - 1/2"" Deep Chrome Socket Set","15/16"" - 1/2"" Deep Chrome Socket Set",Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Size: 15/16""
Weight: 0.54
Nom. Size: 15/16""
Shape: II
L: 3-3/64""
Ds: 1-19/64""
Dd: -
Bd: 2-17/64""","Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and Tempered for optimal Hardness, ",,76799045300.0,"15/16""Width: 1.28 inchesHeight: 3.05 inchesLength: 1.28 inches","15/16"" - 1/2"" Deep Chrome Socket Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21926,Sockets and Bits,37332,328,,"3/8"" 13 Piece Socket Set","3/8"" Drive 11 Piece Metal Boxed Set","3/8"" 13 Piece Socket Set","Set Includes:
3/8""
7/16""
1/2""
9/16""
5/8""
11/16""
3/4""
13/16""
7/8""
Ratchet
5"" Extension
Flex Handle
Universal
M",/\3\2\328-Wright-Tool-Company-38-13-Piece-Socket.jpg,/\3\2\328-Wright-Tool-Company-38-13-Piece-Socket.jpg,http://www.48ws.com/images/product/3/2/328-Wright-Tool-Company-38-13-Piece-Socket.jpg,wright-tool-company-328-,wright-tool-company-328-,,No layout updates.,Block after Info Column,,"3/8"" 13 Piece Socket Set","3/8"" 13 Piece Socket Set",Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Set Includes:
3/8""
7/16""
1/2""
9/16""
5/8""
11/16""
3/4""
13/16""
7/8""
Ratchet
5"" Extension
Flex Handle
Universal
Metal Box","Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and Tempered for optimal Hardness, ",,76799003287.0,"12 Point Standard Sockets, 3/8"" - 7/8"", Ratchet, 6"" ExtensionWidth: 4.25 inchesHeight: 1.5 inchesLength: 8.13 inches","3/8"" 13 Piece Socket Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1182|21939,Sockets|Sockets,37334,A41,,Wright Tool Company,,Wright Tool Company,"1/2"" DR 16 PC STD SOCKET SET
12 PT - 7/16"" - 1-1/4""        ",/\A\4\A41-Wright-Tool.jpg,/\A\4\A41-Wright-Tool.jpg,http://www.48ws.com/images/product/A/4/A41-Wright-Tool.jpg,A41-Wright-Tool-Company,A41-Wright-Tool-Company,,No layout updates.,Block after Info Column,,Wright Tool Company,Wright Tool Company,Use config,http://www.wrighttool.com/online_catalog.asp,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1/2"" DR 16 PC STD SOCKET SET
12 PT - 7/16"" - 1-1/4""        ",,,,A41 Wright Tool Company,Wright Tool Company,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,27973,Crowfoot Wrenches,633350,10-10MM,,,"Crowfoot Wrench 3/8"" Drive Metric",,,/\1\0\wright-tool-company-10-10mm-.jpg,/\1\0\wright-tool-company-10-10mm-.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-10mm-.jpg,wright-tool-company-10-10MM-,wright-tool-company-10-10MM-,,No layout updates.,Block after Info Column,,,,Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725202.0,10mmWidth: 1.19 inchesHeight: 0.78 inchesLength: 0.2 inches,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,27973,Crowfoot Wrenches,633351,10-11MM,,,"Crowfoot Wrench 3/8"" Drive Metric",,,/\1\0\wright-tool-company-10-10mm-- 1.jpg,/\1\0\wright-tool-company-10-10mm-- 1.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-10mm-- 1.jpg,wright-tool-company-10-11MM-,wright-tool-company-10-11MM-,,No layout updates.,Block after Info Column,,,,Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725219.0,11mmWidth: 1.27 inchesHeight: 0.88 inchesLength: 0.2 inches,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,27973,Crowfoot Wrenches,633352,10-12MM,,,"Crowfoot Wrench 3/8"" Drive Metric",,,/\1\0\wright-tool-company-10-10mm-- 1.jpg,/\1\0\wright-tool-company-10-10mm-- 1.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-10mm-- 1.jpg,wright-tool-company-10-12MM-,wright-tool-company-10-12MM-,,No layout updates.,Block after Info Column,,,,Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725226.0,12mmWidth: 1.38 inchesHeight: 0.97 inchesLength: 0.25 inches,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,27973,Crowfoot Wrenches,633353,10-13MM,,,"Crowfoot Wrench 3/8"" Drive Metric",,,/\1\0\wright-tool-company-10-10mm-- 1.jpg,/\1\0\wright-tool-company-10-10mm-- 1.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-10mm-- 1.jpg,wright-tool-company-10-13MM-,wright-tool-company-10-13MM-,,No layout updates.,Block after Info Column,,,,Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725233.0,13mmWidth: 1.38 inchesHeight: 0.97 inchesLength: 0.025 inches,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,27973,Crowfoot Wrenches,633354,10-14MM,,,"Crowfoot Wrench 3/8"" Drive Metric",,,/\1\0\wright-tool-company-10-14mm-.jpg,/\1\0\wright-tool-company-10-14mm-.jpg,http://www.48ws.com/images/product/1/0/wright-tool-company-10-14mm-.jpg,wright-tool-company-10-14MM-,wright-tool-company-10-14MM-,,No layout updates.,Block after Info Column,,,,Use config,http://www.wrighttool.com/,0,,,0,Wright Tool Company,321,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725240.0,14mmWidth: 1.34 inchesHeight: 1.16 inchesLength: 0.25 inches,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
