store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"26029","Danger Signs",29970,"SBMSMK133VP",,"Danger No Smoking (Bilingual)","","Danger No Smoking (Bilingual)","Alliance Sign Group MSPD50VP Danger No Smoking (Bilingual)",/\M\S\Alliance-Sign-Group-MSPD50VP-Danger-No-Smoking.jpg,/\M\S\Alliance-Sign-Group-MSPD50VP-Danger-No-Smoking.jpg,http://www.48ws.com/images/product/M/S/Alliance-Sign-Group-MSPD50VP-Danger-No-Smoking.jpg,accuform-manufacturing-inc-SBMSMK133VP-,accuform-manufacturing-inc-SBMSMK133VP-,,No layout updates.,Block after Info Column,,"Danger No Smoking (Bilingual)","Danger No Smoking (Bilingual)",Use config,"http://www.accuform.com/store/product.cfm?pID=7A5940474E1279&optionList=161661&optionList=161651",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alliance Sign Group MSPD50VP Danger No Smoking (Bilingual)","<li>Material: Plastic</li>
<li>Size: 14&quot; x 10&quot;</li>
<li>Language: English and Spanish</li>","","","Danger No Smoking (Bilingual)","Danger No Smoking (Bilingual)",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482281,"MRTF601VS",,"ANSI Caution Safety Sign: Avoid Injury. Watch Your Step.","","ANSI Caution Safety Sign: Avoid Injury. Watch Your Step.","",/\M\R\accuform-manufacturing-inc-mrtf601vs-ansi-caution-safety-sign-avoid-injury-watch-your-step.jpg,/\M\R\accuform-manufacturing-inc-mrtf601vs-ansi-caution-safety-sign-avoid-injury-watch-your-step.jpg,http://www.48ws.com/images/product/M/R/accuform-manufacturing-inc-mrtf601vs-ansi-caution-safety-sign-avoid-injury-watch-your-step.jpg,accuform-manufacturing-inc-MRTF601VS-ansi-caution-safety-sign-avoid-injury-watch-your-step,accuform-manufacturing-inc-MRTF601VS-ansi-caution-safety-sign-avoid-injury-watch-your-step,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Avoid Injury. Watch Your Step.","ANSI Caution Safety Sign: Avoid Injury. Watch Your Step.",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Post in areas that could present a tripping hazard to employees</li> <li>Avoid injury due to falling over unseen obstacles</li> <li>Caution advisory is represented clearly by the pictogram</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Avoid Injury. Watch Your Step.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482282,"MRHL600VS",,"ANSI Caution Safety Sign: Chemical Waste Storage Area","","ANSI Caution Safety Sign: Chemical Waste Storage Area","",/\M\R\accuform-manufacturing-inc-mrhl600vs-ansi-caution-safety-sign-chemical-waste-storage-area.jpg,/\M\R\accuform-manufacturing-inc-mrhl600vs-ansi-caution-safety-sign-chemical-waste-storage-area.jpg,http://www.48ws.com/images/product/M/R/accuform-manufacturing-inc-mrhl600vs-ansi-caution-safety-sign-chemical-waste-storage-area.jpg,accuform-manufacturing-inc-MRHL600VS-ansi-caution-safety-sign-chemical-waste-storage-area,accuform-manufacturing-inc-MRHL600VS-ansi-caution-safety-sign-chemical-waste-storage-area,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Chemical Waste Storage Area","ANSI Caution Safety Sign: Chemical Waste Storage Area",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Indicate where chemical waste should be stored</li> <li>Text and graphic reinforce the need to exercise caution</li> <li>Discourage the use of containers to start a steel drum band</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Chemical Waste Storage Area",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482283,"MPPA633VS",,"ANSI Caution Safety Sign: Ear Protection Required In This Area.","","ANSI Caution Safety Sign: Ear Protection Required In This Area.","",/\M\P\accuform-manufacturing-inc-mppa633vs-ansi-caution-safety-sign-ear-protection-required-in-this-area.jpg,/\M\P\accuform-manufacturing-inc-mppa633vs-ansi-caution-safety-sign-ear-protection-required-in-this-area.jpg,http://www.48ws.com/images/product/M/P/accuform-manufacturing-inc-mppa633vs-ansi-caution-safety-sign-ear-protection-required-in-this-area.jpg,accuform-manufacturing-inc-MPPA633VS-ansi-caution-safety-sign-ear-protection-required-in-this-area,accuform-manufacturing-inc-MPPA633VS-ansi-caution-safety-sign-ear-protection-required-in-this-area,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Ear Protection Required In This Area.","ANSI Caution Safety Sign: Ear Protection Required In This Area.",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Bright yellow CAUTION header and large graphic can be easily seen</li> <li>Affix in work areas prone to excessively loud noise</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Ear Protection Required In This Area.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482284,"MRPE639VS",,"ANSI Caution Safety Sign: Eye And Ear Protection Required In This Area","","ANSI Caution Safety Sign: Eye And Ear Protection Required In This Area","",/\M\R\accuform-manufacturing-inc-mrpe639vs-ansi-caution-safety-sign-eye-and-ear-protection-required-in-this-area.jpg,/\M\R\accuform-manufacturing-inc-mrpe639vs-ansi-caution-safety-sign-eye-and-ear-protection-required-in-this-area.jpg,http://www.48ws.com/images/product/M/R/accuform-manufacturing-inc-mrpe639vs-ansi-caution-safety-sign-eye-and-ear-protection-required-in-this-area.jpg,accuform-manufacturing-inc-MRPE639VS-ansi-caution-safety-sign-eye-and-ear-protection-required-in-thi,accuform-manufacturing-inc-MRPE639VS-ansi-caution-safety-sign-eye-and-ear-protection-required-in-thi,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Eye And Ear Protection Required In This Area","ANSI Caution Safety Sign: Eye And Ear Protection Required In This Area",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Graphic highlights required safety gear</li> <li>Affix in work areas where specific PPE will be required</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Eye And Ear Protection Required In This Area",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482285,"MRPE633VS",,"ANSI Caution Safety Sign: Eye Protection Required","","ANSI Caution Safety Sign: Eye Protection Required","",/\M\R\accuform-manufacturing-inc-mrpe633vs-ansi-caution-safety-sign-eye-protection-required.jpg,/\M\R\accuform-manufacturing-inc-mrpe633vs-ansi-caution-safety-sign-eye-protection-required.jpg,http://www.48ws.com/images/product/M/R/accuform-manufacturing-inc-mrpe633vs-ansi-caution-safety-sign-eye-protection-required.jpg,accuform-manufacturing-inc-MRPE633VS-ansi-caution-safety-sign-eye-protection-required,accuform-manufacturing-inc-MRPE633VS-ansi-caution-safety-sign-eye-protection-required,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Eye Protection Required","ANSI Caution Safety Sign: Eye Protection Required",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Bright yellow header will grab attention and remind employees to use PPE</li> <li>Graphic clearly shows the need for eye protection to avoid injury</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Eye Protection Required",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482286,"MRPE636VS",,"ANSI Caution Safety Sign: Eye Protection Required Beyond This Point","","ANSI Caution Safety Sign: Eye Protection Required Beyond This Point","",/\M\R\accuform-manufacturing-inc-mrpe636vs-ansi-caution-safety-sign-eye-protection-required-beyond-this-point.jpg,/\M\R\accuform-manufacturing-inc-mrpe636vs-ansi-caution-safety-sign-eye-protection-required-beyond-this-point.jpg,http://www.48ws.com/images/product/M/R/accuform-manufacturing-inc-mrpe636vs-ansi-caution-safety-sign-eye-protection-required-beyond-this-point.jpg,accuform-manufacturing-inc-MRPE636VS-ansi-caution-safety-sign-eye-protection-required-beyond-this-po,accuform-manufacturing-inc-MRPE636VS-ansi-caution-safety-sign-eye-protection-required-beyond-this-po,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Eye Protection Required Beyond This Point","ANSI Caution Safety Sign: Eye Protection Required Beyond This Point",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Visuals help aid readers in understanding sign's meaning</li> <li>Keep worker's eyes safe from debris or projectiles</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Eye Protection Required Beyond This Point",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482287,"MRTF604VS",,"ANSI Caution Safety Sign: Floor Slippery When Wet","","ANSI Caution Safety Sign: Floor Slippery When Wet","",/\M\R\accuform-manufacturing-inc-mrtf604vs-ansi-caution-safety-sign-floor-slippery-when-wet.jpg,/\M\R\accuform-manufacturing-inc-mrtf604vs-ansi-caution-safety-sign-floor-slippery-when-wet.jpg,http://www.48ws.com/images/product/M/R/accuform-manufacturing-inc-mrtf604vs-ansi-caution-safety-sign-floor-slippery-when-wet.jpg,accuform-manufacturing-inc-MRTF604VS-ansi-caution-safety-sign-floor-slippery-when-wet,accuform-manufacturing-inc-MRTF604VS-ansi-caution-safety-sign-floor-slippery-when-wet,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Floor Slippery When Wet","ANSI Caution Safety Sign: Floor Slippery When Wet",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Post in areas where the floor is prone to becoming wet and slippery</li> <li>Advise caution when crossing potentially slippery floors to prevent injury</li> <li>ANSI caution symbol and vivid yellow header effectively draw attention to safety concerns</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Floor Slippery When Wet",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482288,"MRKT602VS",,"ANSI Caution Safety Sign: Follow Lock Out Procedures","","ANSI Caution Safety Sign: Follow Lock Out Procedures","",/\M\R\accuform-manufacturing-inc-mrkt602vs-ansi-caution-safety-sign-follow-lock-out-procedures.jpg,/\M\R\accuform-manufacturing-inc-mrkt602vs-ansi-caution-safety-sign-follow-lock-out-procedures.jpg,http://www.48ws.com/images/product/M/R/accuform-manufacturing-inc-mrkt602vs-ansi-caution-safety-sign-follow-lock-out-procedures.jpg,accuform-manufacturing-inc-MRKT602VS-ansi-caution-safety-sign-follow-lock-out-procedures,accuform-manufacturing-inc-MRKT602VS-ansi-caution-safety-sign-follow-lock-out-procedures,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Follow Lock Out Procedures","ANSI Caution Safety Sign: Follow Lock Out Procedures",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Emphasizes the need to lock out equipment and follow the necessary pr</li> <li>Lockout device graphic reinforces the message for non-English speakers</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Follow Lock Out Procedures",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26028","Caution Signs",482289,"MRHR601VS",,"ANSI Caution Safety Sign: Forklift Traffic. Keep Clear.","","ANSI Caution Safety Sign: Forklift Traffic. Keep Clear.","",/\M\R\accuform-manufacturing-inc-mrhr601vs-ansi-caution-safety-sign-forklift-traffic-keep-clear.jpg,/\M\R\accuform-manufacturing-inc-mrhr601vs-ansi-caution-safety-sign-forklift-traffic-keep-clear.jpg,http://www.48ws.com/images/product/M/R/accuform-manufacturing-inc-mrhr601vs-ansi-caution-safety-sign-forklift-traffic-keep-clear.jpg,accuform-manufacturing-inc-MRHR601VS-ansi-caution-safety-sign-forklift-traffic-keep-clear,accuform-manufacturing-inc-MRHR601VS-ansi-caution-safety-sign-forklift-traffic-keep-clear,,No layout updates.,Block after Info Column,,"ANSI Caution Safety Sign: Forklift Traffic. Keep Clear.","ANSI Caution Safety Sign: Forklift Traffic. Keep Clear.",Use config,"",0,,,0,"Accuform Manufacturing, Inc.",288,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Forklift drivers may not always see you, be sure you see them</li> <li>Graphic of forklift clearly illustrates the warning you are trying to convey</li> <li>Newer ANSI-style signs and labels are gaining in popularity and are recognized by OSHA as an acceptable safety notification device</li> <li>Caution header indicates a hazardous situation that, if not avoided, could result in minor or moderate injury</li>","","","","ANSI Caution Safety Sign: Forklift Traffic. Keep Clear.",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
