store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"23997","Scoop Shovels",490407,"2672300",,"#10 Aluminum Scoop W/ D-Handle","#10 Aluminum Scoop W/ D-Handle","#10 Aluminum Scoop W/ D-Handle","",/\2\6\ames-2672300-10-aluminum-scoop-w-d-handle.jpg,/\2\6\ames-2672300-10-aluminum-scoop-w-d-handle.jpg,http://www.48ws.com/images/product/2/6/ames-2672300-10-aluminum-scoop-w-d-handle.jpg,ames-2672300-10-aluminum-scoop-w-d-handle,ames-2672300-10-aluminum-scoop-w-d-handle,,No layout updates.,Block after Info Column,,"#10 Aluminum Scoop W/ D-Handle","#10 Aluminum Scoop W/ D-Handle",Use config,"http://www.ames.com/product/aluminum-scoops/2672300-d-handle-10-aluminum-scoop/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The Ames aluminum scoop is ideal for the transport of all materials, loose and bulky.  It is durable and lightweight for snow removal. Features Northern hardwood handle for strength and durability.","","49206644779","44.5? height × 14.5? width × 10? depth","#10 Aluminum Scoop W/ D-Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23997","Scoop Shovels",490408,"2672100",,"#12 Aluminum Scoop W/ D-Handle","#12 Aluminum Scoop W/ D-Handle","#12 Aluminum Scoop W/ D-Handle","",/\2\6\ames-2672100-12-aluminum-scoop-w-d-handle.jpg,/\2\6\ames-2672100-12-aluminum-scoop-w-d-handle.jpg,http://www.48ws.com/images/product/2/6/ames-2672100-12-aluminum-scoop-w-d-handle.jpg,ames-2672100-12-aluminum-scoop-w-d-handle,ames-2672100-12-aluminum-scoop-w-d-handle,,No layout updates.,Block after Info Column,,"#12 Aluminum Scoop W/ D-Handle","#12 Aluminum Scoop W/ D-Handle",Use config,"http://www.ames.com/product/aluminum-scoops/2672100-d-handle-12-aluminum-scoop/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The Ames aluminum scoop is ideal for the transport of all materials, loose and bulky.  It is durable and lightweight for snow removal.","","49206633803","45.5? height × 15? width × 11.25? depth","#12 Aluminum Scoop W/ D-Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23997","Scoop Shovels",490409,"2672400",,"#14 Aluminum Scoop W/ D-Handle","#14 Aluminum Scoop W/ D-Handle","#14 Aluminum Scoop W/ D-Handle","",/\2\6\ames-2672400-14-aluminum-scoop-w-d-handle.jpg,/\2\6\ames-2672400-14-aluminum-scoop-w-d-handle.jpg,http://www.48ws.com/images/product/2/6/ames-2672400-14-aluminum-scoop-w-d-handle.jpg,ames-2672400-14-aluminum-scoop-w-d-handle,ames-2672400-14-aluminum-scoop-w-d-handle,,No layout updates.,Block after Info Column,,"#14 Aluminum Scoop W/ D-Handle","#14 Aluminum Scoop W/ D-Handle",Use config,"http://www.ames.com/product/aluminum-scoops/2672400-d-handle-14-aluminum-scoop/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The Ames aluminum scoop is ideal for the transport of all materials, loose and bulky.  It is durable and lightweight for snow removal. Northern hardwood handle for strength and durability.","","49206644786","46? height × 15.5? width × 11.5? depth","#14 Aluminum Scoop W/ D-Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23911","Garden Hose Reels, Carts, and Hangers",490410,"2388340",,"100' Side-Mount Hose Reel","100' Side-Mount Hose Reel","100' Side-Mount Hose Reel","",/\2\3\ames-2388340-100-side-mount-hose-reel.jpg,/\2\3\ames-2388340-100-side-mount-hose-reel.jpg,http://www.48ws.com/images/product/2/3/ames-2388340-100-side-mount-hose-reel.jpg,ames-2388340-100-side-mount-hose-reel,ames-2388340-100-side-mount-hose-reel,,No layout updates.,Block after Info Column,,"100' Side-Mount Hose Reel","100' Side-Mount Hose Reel",Use config,"http://www.ames.com/product/hose-reels/2388340-reeleasy-100-side-mount-hose-reel/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","This side-mount style hose reel mounts easily to the wall and provides a simple solution to hose storage. The easy-spin grip provides added comfort as you wind and the neutral color scheme blends in nicely with any outdoor living space. The integrated hose guide aligns your garden hose with the reel to make winding easier and the clip provides a convenient place to store your hose when not in use.","","49206038776","20? height × 8? width × 19? depth","100' Side-Mount Hose Reel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21942","Forks",490411,"2827000",,"10-Tine Ensilage Fork","10-Tine Ensilage Fork","10-Tine Ensilage Fork","",/\2\8\ames-2827000-10-tine-ensilage-fork.jpg,/\2\8\ames-2827000-10-tine-ensilage-fork.jpg,http://www.48ws.com/images/product/2/8/ames-2827000-10-tine-ensilage-fork.jpg,ames-2827000-10-tine-ensilage-fork,ames-2827000-10-tine-ensilage-fork,,No layout updates.,Block after Info Column,,"10-Tine Ensilage Fork","10-Tine Ensilage Fork",Use config,"http://www.ames.com/product/forks/2827000-10-tine-ensilage-fork/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The AMES ensilage fork is used for transferring manure, mulch, and other loose material. The light-duty, 10 tine welded head is mounted to a 30-inch hardwood handle  with poly D-grip for strength and durability.","","49206644830","52? height × 15? width × 5? depth","10-Tine Ensilage Fork",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21942","Forks",490412,"2826300",,"10-Tine Welded Bedding Fork","10-Tine Welded Bedding Fork","10-Tine Welded Bedding Fork","",/\2\8\ames-2826300-10-tine-welded-bedding-fork.jpg,/\2\8\ames-2826300-10-tine-welded-bedding-fork.jpg,http://www.48ws.com/images/product/2/8/ames-2826300-10-tine-welded-bedding-fork.jpg,ames-2826300-10-tine-welded-bedding-fork,ames-2826300-10-tine-welded-bedding-fork,,No layout updates.,Block after Info Column,,"10-Tine Welded Bedding Fork","10-Tine Welded Bedding Fork",Use config,"http://www.ames.com/product/bedding-forks/2826300-10-tine-welded-bedding-fork/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The Ames bedding fork is used for moving a variety of materials such as straw, hay, wood chips, and mulch.  It can also be used to clear and replace mulch around plants.  The 10 steel tines are tempered for years of service.","","49206633834","61? height × 11? width × 5.25? depth","10-Tine Welded Bedding Fork",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23983","Landscape and Bow Rakes",490413,"2915100",,"15 in. Adjustable Thatch Rake","15 in. Adjustable Thatch Rake","15 in. Adjustable Thatch Rake","",/\2\9\ames-2915100-15-in-adjustable-thatch-rake.jpg,/\2\9\ames-2915100-15-in-adjustable-thatch-rake.jpg,http://www.48ws.com/images/product/2/9/ames-2915100-15-in-adjustable-thatch-rake.jpg,ames-2915100-15-in-adjustable-thatch-rake,ames-2915100-15-in-adjustable-thatch-rake,,No layout updates.,Block after Info Column,,"15 in. Adjustable Thatch Rake","15 in. Adjustable Thatch Rake",Use config,"http://www.ames.com/product/rakes/2915100-15-in-adjustable-thatch-rake/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The Ames Thatching rake is an all-purpose lawn rake.  The curved tines are designed to clear dead grass clippings (thatch) from the lawn. This will allow air, sunshine, water, and fertilizers in to keep the grass healthy.","","49206633667","61.5? height × 14.25? width × 5.125? depth","15 in. Adjustable Thatch Rake",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23911","Garden Hose Reels, Carts, and Hangers",490414,"2384110",,"150' Deluxe Poly Hose Hanger","150' Deluxe Poly Hose Hanger","150' Deluxe Poly Hose Hanger","",/\2\3\ames-2384110-150-deluxe-poly-hose-hanger.jpg,/\2\3\ames-2384110-150-deluxe-poly-hose-hanger.jpg,http://www.48ws.com/images/product/2/3/ames-2384110-150-deluxe-poly-hose-hanger.jpg,ames-2384110-150-deluxe-poly-hose-hanger,ames-2384110-150-deluxe-poly-hose-hanger,,No layout updates.,Block after Info Column,,"150' Deluxe Poly Hose Hanger","150' Deluxe Poly Hose Hanger",Use config,"http://www.ames.com/product/hose-hangers/2384110-150-deluxe-poly-hose-hanger/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Simple and convenient, this wall-mount poly hose hanger comes fully assembled and includes a convenient storage shelf. Corrosion-proof poly construction provides years of service. Easy wall-mount installation.","","49206039506","8? height × 6.75? width × 10? depth","150' Deluxe Poly Hose Hanger",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23911","Garden Hose Reels, Carts, and Hangers",490415,"2382561",,"150' Wall mount poly hose hanger with storage bin","150' Wall mount poly hose hanger with storage bin","150' Wall mount poly hose hanger with storage bin","",/\2\3\ames-2382561-150-wall-mount-poly-hose-hanger-with-storage-bin.jpg,/\2\3\ames-2382561-150-wall-mount-poly-hose-hanger-with-storage-bin.jpg,http://www.48ws.com/images/product/2/3/ames-2382561-150-wall-mount-poly-hose-hanger-with-storage-bin.jpg,ames-2382561-150-wall-mount-poly-hose-hanger-with-storage-bin,ames-2382561-150-wall-mount-poly-hose-hanger-with-storage-bin,,No layout updates.,Block after Info Column,,"150' Wall mount poly hose hanger with storage bin","150' Wall mount poly hose hanger with storage bin",Use config,"http://www.ames.com/product/hose-hangers/2382561-reeleasy-150-wall-mount-poly-hose-hanger-with-storage-bin/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","This convenient wall-mount hose hanger makes hose management faster and easier. A fold-down handle makes hose removal quick and easy. The convenient storage bin holds hose ends or other accessories.","","49206039469","13.5? height × 6? width × 14.5? depth","150' Wall mount poly hose hanger with storage bin",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23911","Garden Hose Reels, Carts, and Hangers",490416,"2398900",,"160' Hose Box","160' Hose Box","160' Hose Box","",/\2\3\ames-2398900-160-hose-box.jpg,/\2\3\ames-2398900-160-hose-box.jpg,http://www.48ws.com/images/product/2/3/ames-2398900-160-hose-box.jpg,ames-2398900-160-hose-box,ames-2398900-160-hose-box,,No layout updates.,Block after Info Column,,"160' Hose Box","160' Hose Box",Use config,"http://www.ames.com/product/hose-cabinets/160-hose-box/",0,,,0,"Ames",1695,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","This Ames hose deck box is as stylish as it is functional. The clean, contemporary design looks great on a deck and the durable, all-poly construction will provide years of service.","","49206631618","18.5? height × 21.25? width × 17.375? depth","160' Hose Box",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
