store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",483045,"JF1012-LM",,"TruGuard™ 200 FR Cotton Welding Jacket, Reflectives - 30&quot;","","TruGuard™ 200 FR Cotton Welding Jacket, Reflectives - 30&quot;","",/\J\F\black-stallion-jf1012-lm-truguard-200-fr-cotton-welding-jacket-reflectives-30.jpg,/\J\F\black-stallion-jf1012-lm-truguard-200-fr-cotton-welding-jacket-reflectives-30.jpg,http://www.48ws.com/images/product/J/F/black-stallion-jf1012-lm-truguard-200-fr-cotton-welding-jacket-reflectives-30.jpg,black-stallion-JF1012-LM-truguard-200-fr-cotton-welding-jacket-reflectives-30,black-stallion-JF1012-LM-truguard-200-fr-cotton-welding-jacket-reflectives-30,,No layout updates.,Block after Info Column,,"TruGuard™ 200 FR Cotton Welding Jacket, Reflectives - 30&quot;","TruGuard™ 200 FR Cotton Welding Jacket, Reflectives - 30&quot;",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>&quot;X&quot; reflective design shows when back is turned</li>
<li>Pass-through for fall protection lanyard</li>","","","","TruGuard™ 200 FR Cotton Welding Jacket, Reflectives - 30&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25827","Mechanics Gloves",483046,"GX100",,"ToolHandz® Synthetic Leather Mechanic's Gloves","","ToolHandz® Synthetic Leather Mechanic's Gloves","",/\G\X\black-stallion-gx100-toolhandz-synthetic-leather-mechanics-gloves.jpg,/\G\X\black-stallion-gx100-toolhandz-synthetic-leather-mechanics-gloves.jpg,http://www.48ws.com/images/product/G/X/black-stallion-gx100-toolhandz-synthetic-leather-mechanics-gloves.jpg,black-stallion-GX100-toolhandz-synthetic-leather-mechanics-gloves,black-stallion-GX100-toolhandz-synthetic-leather-mechanics-gloves,,No layout updates.,Block after Info Column,,"ToolHandz® Synthetic Leather Mechanic's Gloves","ToolHandz® Synthetic Leather Mechanic's Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Dorsal guards protect against impact</li>
<li>Reinforced padded palm</li>","","","","ToolHandz® Synthetic Leather Mechanic's Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27826","Pigskin Gloves",483047,"9P",,"Premium Grain Pigskin Driver's Gloves","","Premium Grain Pigskin Driver's Gloves","",/\9\P\black-stallion-9p-premium-grain-pigskin-drivers-gloves.jpg,/\9\P\black-stallion-9p-premium-grain-pigskin-drivers-gloves.jpg,http://www.48ws.com/images/product/9/P/black-stallion-9p-premium-grain-pigskin-drivers-gloves.jpg,black-stallion-9P-premium-grain-pigskin-drivers-gloves,black-stallion-9P-premium-grain-pigskin-drivers-gloves,,No layout updates.,Block after Info Column,,"Premium Grain Pigskin Driver's Gloves","Premium Grain Pigskin Driver's Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Performance driver's gloves</li>
<li>Premium grain pigskin</li>
<li>Inside seam</li>
<li>Keystone thumb</li>","","","","Premium Grain Pigskin Driver's Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27828","Deerskin Gloves",483048,"17",,"Heavy Premium Grain Elkskin Driver's Gloves","","Heavy Premium Grain Elkskin Driver's Gloves","",/\1\7\black-stallion-17-heavy-premium-grain-elkskin-drivers-gloves.jpg,/\1\7\black-stallion-17-heavy-premium-grain-elkskin-drivers-gloves.jpg,http://www.48ws.com/images/product/1/7/black-stallion-17-heavy-premium-grain-elkskin-drivers-gloves.jpg,black-stallion-17-heavy-premium-grain-elkskin-drivers-gloves,black-stallion-17-heavy-premium-grain-elkskin-drivers-gloves,,No layout updates.,Block after Info Column,,"Heavy Premium Grain Elkskin Driver's Gloves","Heavy Premium Grain Elkskin Driver's Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Comfortable soft elkskin reduces fatigue</li>","","","","Heavy Premium Grain Elkskin Driver's Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25825","Knit Gloves",483049,"GR4140-CH",,"AccuFlex™ Cut & Impact Resistant Knit Gloves","","AccuFlex™ Cut & Impact Resistant Knit Gloves","",/\G\R\black-stallion-gr4140-ch-accuflex-cut-impact-resistant-knit-gloves.jpg,/\G\R\black-stallion-gr4140-ch-accuflex-cut-impact-resistant-knit-gloves.jpg,http://www.48ws.com/images/product/G/R/black-stallion-gr4140-ch-accuflex-cut-impact-resistant-knit-gloves.jpg,black-stallion-GR4140-CH-accuflex-cut-impact-resistant-knit-gloves,black-stallion-GR4140-CH-accuflex-cut-impact-resistant-knit-gloves,,No layout updates.,Block after Info Column,,"AccuFlex™ Cut & Impact Resistant Knit Gloves","AccuFlex™ Cut & Impact Resistant Knit Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Cut resistant HPPE knit blend provides ANSI Level 3 cut protection</li>
<li>Thermoplastic Urethane Pads (TPU) protect back of hand from knocks, bumps and other impacts</li>
<li>TPU Flex Points provide greater flexibility and dexterity, while maintaining impact resistance</li>
<li>Thumb patch provides extra durability in a high-stress point</li>
<li>Textured nitrile coated palm for durable gripping power, even in oily and wet conditions</li>
<li>Extended cuff provides cut protection through the wrist area</li>","","","","AccuFlex™ Cut & Impact Resistant Knit Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25827","Mechanics Gloves",483050,"GX1215-HG",,"ToolHandz® Synthetic Leather Mechanic's Gloves","","ToolHandz® Synthetic Leather Mechanic's Gloves","",/\G\X\black-stallion-gx1215-hg-toolhandz-synthetic-leather-mechanics-gloves.jpg,/\G\X\black-stallion-gx1215-hg-toolhandz-synthetic-leather-mechanics-gloves.jpg,http://www.48ws.com/images/product/G/X/black-stallion-gx1215-hg-toolhandz-synthetic-leather-mechanics-gloves.jpg,black-stallion-GX1215-HG-toolhandz-synthetic-leather-mechanics-gloves,black-stallion-GX1215-HG-toolhandz-synthetic-leather-mechanics-gloves,,No layout updates.,Block after Info Column,,"ToolHandz® Synthetic Leather Mechanic's Gloves","ToolHandz® Synthetic Leather Mechanic's Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Durable value microfleece synthetic leather</li>
<li>Snug-fit for comfort and dexterity</li>","","","","ToolHandz® Synthetic Leather Mechanic's Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27825","Cowhide Gloves",483051,"97SW",,"Grain/Split Cowhide Driver's Gloves","","Grain/Split Cowhide Driver's Gloves","",/\9\7\black-stallion-97sw-grainsplit-cowhide-drivers-gloves.jpg,/\9\7\black-stallion-97sw-grainsplit-cowhide-drivers-gloves.jpg,http://www.48ws.com/images/product/9/7/black-stallion-97sw-grainsplit-cowhide-drivers-gloves.jpg,black-stallion-97SW-grainsplit-cowhide-drivers-gloves,black-stallion-97SW-grainsplit-cowhide-drivers-gloves,,No layout updates.,Block after Info Column,,"Grain/Split Cowhide Driver's Gloves","Grain/Split Cowhide Driver's Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Standard durable cowhide palm</li>
<li>Reinforced index and palm</li>
<li>Durable Kevlar® stitching</li>","","","","Grain/Split Cowhide Driver's Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27825","Cowhide Gloves",483052,"93",,"Grain Cowhide Driver's Gloves","","Grain Cowhide Driver's Gloves","",/\9\3\black-stallion-93-grain-cowhide-drivers-gloves.jpg,/\9\3\black-stallion-93-grain-cowhide-drivers-gloves.jpg,http://www.48ws.com/images/product/9/3/black-stallion-93-grain-cowhide-drivers-gloves.jpg,black-stallion-93-grain-cowhide-drivers-gloves,black-stallion-93-grain-cowhide-drivers-gloves,,No layout updates.,Block after Info Column,,"Grain Cowhide Driver's Gloves","Grain Cowhide Driver's Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Standard durable cowhide construction</li>","","","","Grain Cowhide Driver's Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25827","Mechanics Gloves",483053,"99PLUS-BLK",,"ToolHandz® Synthetic Leather Mechanic's Gloves","","ToolHandz® Synthetic Leather Mechanic's Gloves","",/\9\9\black-stallion-99plus-blk-toolhandz-synthetic-leather-mechanics-gloves.jpg,/\9\9\black-stallion-99plus-blk-toolhandz-synthetic-leather-mechanics-gloves.jpg,http://www.48ws.com/images/product/9/9/black-stallion-99plus-blk-toolhandz-synthetic-leather-mechanics-gloves.jpg,black-stallion-99PLUS-BLK-toolhandz-synthetic-leather-mechanics-gloves,black-stallion-99PLUS-BLK-toolhandz-synthetic-leather-mechanics-gloves,,No layout updates.,Block after Info Column,,"ToolHandz® Synthetic Leather Mechanic's Gloves","ToolHandz® Synthetic Leather Mechanic's Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>The original thick-cut durable synthetic leather</li>
<li>Reinforced palm and fingertips</li>
<li>Snug-fit for comfort and dexterity</li>","","","","ToolHandz® Synthetic Leather Mechanic's Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27827","Goatskin Gloves",483054,"GX3020-BW",,"FlexHand™ Grain Goatskin Mechanic's Gloves","","FlexHand™ Grain Goatskin Mechanic's Gloves","",/\G\X\black-stallion-gx3020-bw-flexhand-grain-goatskin-mechanics-gloves.jpg,/\G\X\black-stallion-gx3020-bw-flexhand-grain-goatskin-mechanics-gloves.jpg,http://www.48ws.com/images/product/G/X/black-stallion-gx3020-bw-flexhand-grain-goatskin-mechanics-gloves.jpg,black-stallion-GX3020-BW-flexhand-grain-goatskin-mechanics-gloves,black-stallion-GX3020-BW-flexhand-grain-goatskin-mechanics-gloves,,No layout updates.,Block after Info Column,,"FlexHand™ Grain Goatskin Mechanic's Gloves","FlexHand™ Grain Goatskin Mechanic's Gloves",Use config,"",0,,,0,"Black Stallion",1656,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Snug spandex back with leather reinforced palm</li>
<li>Goatskin dexterity</li>","","","","FlexHand™ Grain Goatskin Mechanic's Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
