store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1743|26136","Belt|Tool and Work Belts",90318,"4019-1006",,"Suspenders","","Suspenders","",/\4\0\Blaklader-4019-1006.jpg,/\4\0\Blaklader-4019-1006.jpg,http://www.48ws.com/images/product/4/0/Blaklader-4019-1006.jpg,Blaklader-4019-1006-Suspenders,Blaklader-4019-1006-Suspenders,,No layout updates.,Block after Info Column,,"Suspenders","Suspenders",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>One size fits all</li>
<li>Color: Black</li>","","","Blaklader 4019-1006 Suspenders","Suspenders",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1740|26144","Hats|Hats",90320,"2050-9222",,"Heavy Duty Cap","","Heavy Duty Cap","",/\2\0\Blaklader-2050-9222-Heavy-Duty.jpg,/\2\0\Blaklader-2050-9222-Heavy-Duty.jpg,http://www.48ws.com/images/product/2/0/Blaklader-2050-9222-Heavy-Duty.jpg,Blaklader-2050-9222-Heavy-Duty-Cap,Blaklader-2050-9222-Heavy-Duty-Cap,,No layout updates.,Block after Info Column,,"Heavy Duty Cap","Heavy Duty Cap",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>One size fits all</li>
<li>Color: Black/Tan</li>","","","Blaklader 2050-9222 Heavy Duty Cap ","Heavy Duty Cap",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1740|26144","Hats|Hats",90322,"2051-8900",,"Blaklader Cap","","Blaklader Cap","",/\2\0\Blaklader-2051-8900-Blaklader.jpg,/\2\0\Blaklader-2051-8900-Blaklader.jpg,http://www.48ws.com/images/product/2/0/Blaklader-2051-8900-Blaklader.jpg,Blaklader-2051-8900-Blaklader-Cap,Blaklader-2051-8900-Blaklader-Cap,,No layout updates.,Block after Info Column,,"Blaklader Cap","Blaklader Cap",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>One size fits all</li>
<li>Color: Navy Blue</li>

","","","Blaklader 2051-8900 Blaklader Cap","Blaklader Cap",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1743|26136","Belt|Tool and Work Belts",90324,"4013-9900",,"Black/Bronze Stretch Web Belt","","Black/Bronze Stretch Web Belt","Black Stretch web belt with bronze buckle fits up to 46&quot; waist.",/\4\0\Blaklader-4013-9900-BlackBronze-Stretch-Web.jpg,/\4\0\Blaklader-4013-9900-BlackBronze-Stretch-Web.jpg,http://www.48ws.com/images/product/4/0/Blaklader-4013-9900-BlackBronze-Stretch-Web.jpg,Blaklader-4013-9900-BlackBronze-Stretch-Web-Belt,Blaklader-4013-9900-BlackBronze-Stretch-Web-Belt,,No layout updates.,Block after Info Column,,"Black/Bronze Stretch Web Belt","Black/Bronze Stretch Web Belt",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Black Stretch web belt with bronze buckle fits up to 46&quot; waist.","<li>One size fits all</li>
<li>Color: Bronze/Black</li>
<li>Black stretch web belt with bronze blaklader buckle</li>","","","Blaklader 4013-9900 Black/Bronze Stretch Web Belt","Black/Bronze Stretch Web Belt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1743|26136","Belt|Tool and Work Belts",90326,"4014-9900",,"Black/Silver Stretch Web Belt","","Black/Silver Stretch Web Belt","Black stretch web belt with silver buckle fits up to a 46&quot; waist.",/\4\0\Blaklader-4014-9900-BlackSilver-Stretch-Web.jpg,/\4\0\Blaklader-4014-9900-BlackSilver-Stretch-Web.jpg,http://www.48ws.com/images/product/4/0/Blaklader-4014-9900-BlackSilver-Stretch-Web.jpg,Blaklader-4014-9900-BlackSilver-Stretch-Web-Belt,Blaklader-4014-9900-BlackSilver-Stretch-Web-Belt,,No layout updates.,Block after Info Column,,"Black/Silver Stretch Web Belt","Black/Silver Stretch Web Belt",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Black stretch web belt with silver buckle fits up to a 46&quot; waist.","<li>One size fits up to a 46&quot; waist</li>
<li>Colors: Silver/Black</li>
<li>Stretch web belt with silver blaklader buckle</li>","","","Blaklader 4014-9900 Black/Silver Stretch Web Belt","Black/Silver Stretch Web Belt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1743|26136","Belt|Tool and Work Belts",90327,"4017-3900-9900",,"Black Heavy Leather Belt","","Black Heavy Leather Belt","Black heavy leather belt that fits from 32&quot; to 46&quot; waist.",/\4\0\Blaklader-4017-3900-9900-Black-Heavy-Leather.jpg,/\4\0\Blaklader-4017-3900-9900-Black-Heavy-Leather.jpg,http://www.48ws.com/images/product/4/0/Blaklader-4017-3900-9900-Black-Heavy-Leather.jpg,Blaklader-4017-3900-9900-Black-Heavy-Leather-Belt,Blaklader-4017-3900-9900-Black-Heavy-Leather-Belt,,No layout updates.,Block after Info Column,,"Black Heavy Leather Belt","Black Heavy Leather Belt",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Black heavy leather belt that fits from 32&quot; to 46&quot; waist.","<li>One size fits all</li>
<li>Colors: Black</li>
<li>Black heavy leather belt</li>","","","Blaklader 4017-3900-9900 Black Heavy Leather Belt","Black Heavy Leather Belt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1743|26136","Belt|Tool and Work Belts",90328,"4017-3900",,"Brown Heavy Leather Belt","","Brown Heavy Leather Belt","Heavy Leather Belt that fits from 32&quot; to 46&quot; waists.",/\4\0\Blaklader-4017-3900-Brown-Heavy-Leather.jpg,/\4\0\Blaklader-4017-3900-Brown-Heavy-Leather.jpg,http://www.48ws.com/images/product/4/0/Blaklader-4017-3900-Brown-Heavy-Leather.jpg,Blaklader-4017-3900-Brown-Heavy-Leather-Belt,Blaklader-4017-3900-Brown-Heavy-Leather-Belt,,No layout updates.,Block after Info Column,,"Brown Heavy Leather Belt","Brown Heavy Leather Belt",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Heavy Leather Belt that fits from 32&quot; to 46&quot; waists.","<li>Fits 32&quot; to 46&quot; waist</li>
<li>Color: Brown</li>
<li>Brown Heavy Leather Belt</li>","","","Blaklader 4017-3900 Brown Heavy Leather Belt","Brown Heavy Leather Belt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"160|25618","Knee Pads|Protective Elbow and Knee Pads",90330,"4012-9900",,"Heavy Duty Knee Pad","","Heavy Duty Knee Pad","Extra durable, shock absorbing memory gel cradles your knees in the ultimate cushion. ",/\4\0\Blaklader-4012-9900-Heavy-Duty-Knee.jpg,/\4\0\Blaklader-4012-9900-Heavy-Duty-Knee.jpg,http://www.48ws.com/images/product/4/0/Blaklader-4012-9900-Heavy-Duty-Knee.jpg,Blaklader-4012-9900-Heavy-Duty-Knee-Pad,Blaklader-4012-9900-Heavy-Duty-Knee-Pad,,No layout updates.,Block after Info Column,,"Heavy Duty Knee Pad","Heavy Duty Knee Pad",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Extra durable, shock absorbing memory gel cradles your knees in the ultimate cushion. ","<li>One size fits all</li>
<li>Colors: Black</li>
<li>Extra durable, shock absorbing memory gel cradles your knees in the ultimate cushion</li>","","","Blaklader 4012-9900 Heavy Duty Knee Pad","Heavy Duty Knee Pad",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"160|25618","Knee Pads|Protective Elbow and Knee Pads",90332,"4011-1200",,"Light Duty Knee Pad","","Light Duty Knee Pad","Super lightweight foam that won't weigh you down yet provides protective cushioning when you need it.",/\4\0\Blaklader-4011-1200-Light-Duty-Knee.jpg,/\4\0\Blaklader-4011-1200-Light-Duty-Knee.jpg,http://www.48ws.com/images/product/4/0/Blaklader-4011-1200-Light-Duty-Knee.jpg,Blaklader-4011-1200-Light-Duty-Knee-Pad,Blaklader-4011-1200-Light-Duty-Knee-Pad,,No layout updates.,Block after Info Column,,"Light Duty Knee Pad","Light Duty Knee Pad",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Super lightweight foam that won't weigh you down yet provides protective cushioning when you need it.","<li>One size fits all</li>
<li>Color: Grey</li>","","","Blaklader 4011-1200 Light Duty Knee Pad","Light Duty Knee Pad",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1738|26146","Jackets | Outerwear|Heated Outerwear",90334,"4062-1320",,"Brawny Canvas Jacket","","Brawny Canvas Jacket","Heavy weight durable 100% 12 oz. cotton is breathable and comfortable while providing excellent durability.",/\4\0\Blaklader-4062-1320-Brawny-Canvas.jpg,/\4\0\Blaklader-4062-1320-Brawny-Canvas.jpg,http://www.48ws.com/images/product/4/0/Blaklader-4062-1320-Brawny-Canvas.jpg,Blaklader-4062-1320-Brawny-Canvas-Jacket,Blaklader-4062-1320-Brawny-Canvas-Jacket,,No layout updates.,Block after Info Column,,"Brawny Canvas Jacket","Brawny Canvas Jacket",Use config,"",0,,,0,"Blaklader",189,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Heavy weight durable 100% 12 oz. cotton is breathable and comfortable while providing excellent durability.","<li>Sizes: Available in S-XXXL</li>
<li>Colors: Steel Blue, Khaki, And Black</li>
<li>8 front pockets allow for great organization</li>
<li>Two breast pockets with zip, one with telephone pocket and one with pen pocket</li>
<li>Front pockets with extra tool pockets</li>
<li>Side pockets</li>
<li>Sleeve pocket with three pen pockets and zip</li>
<li>Two inner pockets</li>","<li>Adjustable waist</li>
<li>Adjustable cuffs</li>
<li>Extended back</li>
<li>Bellows in the back</li>
<li>Mesh lined</li>
<li>Garment wash</li>
","","Blaklader 4062-1320 Brawny Canvas Jacket","Brawny Canvas Jacket",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
