store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"26920","Water Stops",458869,"DBCB-2518",,"Dumbbell with Center Bulb","Dumbbell with Center Bulb","Dumbbell with Center Bulb","",/\D\B\bometals-inc-dbcb-2518-dumbbell-with-center-bulb- 2.jpg,/\D\B\bometals-inc-dbcb-2518-dumbbell-with-center-bulb- 2.jpg,http://www.48ws.com/images/product/D/B/bometals-inc-dbcb-2518-dumbbell-with-center-bulb- 2.jpg,bometals-inc-DBCB-2518-dumbbell-with-center-bulb,bometals-inc-DBCB-2518-dumbbell-with-center-bulb,,No layout updates.,Block after Info Column,,"Dumbbell with Center Bulb","Dumbbell with Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/dbcb-2518.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.","","","","Head Pressure: 10'","Dumbbell with Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458870,"DBCB-614",,"Dumbbell with Center Bulb","Dumbbell with Center Bulb","Dumbbell with Center Bulb","",/\D\B\bometals-inc-dbcb-614-dumbbell-with-center-bulb- 2.jpg,/\D\B\bometals-inc-dbcb-614-dumbbell-with-center-bulb- 2.jpg,http://www.48ws.com/images/product/D/B/bometals-inc-dbcb-614-dumbbell-with-center-bulb- 2.jpg,bometals-inc-DBCB-614-dumbbell-with-center-bulb,bometals-inc-DBCB-614-dumbbell-with-center-bulb,,No layout updates.,Block after Info Column,,"Dumbbell with Center Bulb","Dumbbell with Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/dbcb-614.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.","","","","Head Pressure: 100'","Dumbbell with Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458871,"DBCB-638",,"Dumbbell with Center Bulb","Dumbbell with Center Bulb","Dumbbell with Center Bulb","",/\D\B\bometals-inc-dbcb-638-dumbbell-with-center-bulb- 2.jpg,/\D\B\bometals-inc-dbcb-638-dumbbell-with-center-bulb- 2.jpg,http://www.48ws.com/images/product/D/B/bometals-inc-dbcb-638-dumbbell-with-center-bulb- 2.jpg,bometals-inc-DBCB-638-dumbbell-with-center-bulb,bometals-inc-DBCB-638-dumbbell-with-center-bulb,,No layout updates.,Block after Info Column,,"Dumbbell with Center Bulb","Dumbbell with Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/dbcb-638.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.","","","","Head Pressure: 100'","Dumbbell with Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458872,"DBCB-938",,"Dumbbell with Center Bulb","Dumbbell with Center Bulb","Dumbbell with Center Bulb","",/\D\B\bometals-inc-dbcb-938-dumbbell-with-center-bulb- 2.jpg,/\D\B\bometals-inc-dbcb-938-dumbbell-with-center-bulb- 2.jpg,http://www.48ws.com/images/product/D/B/bometals-inc-dbcb-938-dumbbell-with-center-bulb- 2.jpg,bometals-inc-DBCB-938-dumbbell-with-center-bulb,bometals-inc-DBCB-938-dumbbell-with-center-bulb,,No layout updates.,Block after Info Column,,"Dumbbell with Center Bulb","Dumbbell with Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/dbcb-938.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.","","","","Head Pressure: 150'","Dumbbell with Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458873,"DBCB-938L",,"Dumbbell with Center Bulb","Dumbbell with Center Bulb","Dumbbell with Center Bulb","",/\D\B\bometals-inc-dbcb-938l-dumbbell-with-center-bulb- 2.jpg,/\D\B\bometals-inc-dbcb-938l-dumbbell-with-center-bulb- 2.jpg,http://www.48ws.com/images/product/D/B/bometals-inc-dbcb-938l-dumbbell-with-center-bulb- 2.jpg,bometals-inc-DBCB-938L-dumbbell-with-center-bulb,bometals-inc-DBCB-938L-dumbbell-with-center-bulb,,No layout updates.,Block after Info Column,,"Dumbbell with Center Bulb","Dumbbell with Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/dbcb-938l.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.","","","","Head Pressure: 150'","Dumbbell with Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458874,"RCB-4316",,"Ribbed Center Bulb","Ribbed Center Bulb","Ribbed Center Bulb","",/\R\C\bometals-inc-rcb-4316-ribbed-center-bulb- 2.jpg,/\R\C\bometals-inc-rcb-4316-ribbed-center-bulb- 2.jpg,http://www.48ws.com/images/product/R/C/bometals-inc-rcb-4316-ribbed-center-bulb- 2.jpg,bometals-inc-RCB-4316-ribbed-center-bulb,bometals-inc-RCB-4316-ribbed-center-bulb,,No layout updates.,Block after Info Column,,"Ribbed Center Bulb","Ribbed Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/rcb-4316.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes. ","","","","Head Pressure: 65'","Ribbed Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458875,"RCB-4316CA",,"Ribbed Center Bulb","Ribbed Center Bulb","Ribbed Center Bulb","",/\R\C\bometals-inc-rcb-4316ca-ribbed-center-bulb- 2.jpg,/\R\C\bometals-inc-rcb-4316ca-ribbed-center-bulb- 2.jpg,http://www.48ws.com/images/product/R/C/bometals-inc-rcb-4316ca-ribbed-center-bulb- 2.jpg,bometals-inc-RCB-4316CA-ribbed-center-bulb,bometals-inc-RCB-4316CA-ribbed-center-bulb,,No layout updates.,Block after Info Column,,"Ribbed Center Bulb","Ribbed Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/rcb-4316ca.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes. ","","","","Head Pressure: 65'","Ribbed Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458876,"RCB-4316LB",,"Ribbed Center Bulb","Ribbed Center Bulb","Ribbed Center Bulb","",/\R\C\bometals-inc-rcb-4316lb-ribbed-center-bulb- 2.jpg,/\R\C\bometals-inc-rcb-4316lb-ribbed-center-bulb- 2.jpg,http://www.48ws.com/images/product/R/C/bometals-inc-rcb-4316lb-ribbed-center-bulb- 2.jpg,bometals-inc-RCB-4316LB-ribbed-center-bulb,bometals-inc-RCB-4316LB-ribbed-center-bulb,,No layout updates.,Block after Info Column,,"Ribbed Center Bulb","Ribbed Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/rcb-4316lb.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes. ","","","","Head Pressure: 65'","Ribbed Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458877,"RCB-4316NT",,"Ribbed Center Bulb","Ribbed Center Bulb","Ribbed Center Bulb","",/\R\C\bometals-inc-rcb-4316nt-ribbed-center-bulb- 2.jpg,/\R\C\bometals-inc-rcb-4316nt-ribbed-center-bulb- 2.jpg,http://www.48ws.com/images/product/R/C/bometals-inc-rcb-4316nt-ribbed-center-bulb- 2.jpg,bometals-inc-RCB-4316NT-ribbed-center-bulb,bometals-inc-RCB-4316NT-ribbed-center-bulb,,No layout updates.,Block after Info Column,,"Ribbed Center Bulb","Ribbed Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/rcb-4316nt.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes. ","","","","Head Pressure: 65'","Ribbed Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26920","Water Stops",458878,"RCB-6316",,"Ribbed Center Bulb","Ribbed Center Bulb","Ribbed Center Bulb","",/\R\C\bometals-inc-rcb-6316-ribbed-center-bulb- 2.jpg,/\R\C\bometals-inc-rcb-6316-ribbed-center-bulb- 2.jpg,http://www.48ws.com/images/product/R/C/bometals-inc-rcb-6316-ribbed-center-bulb- 2.jpg,bometals-inc-RCB-6316-ribbed-center-bulb,bometals-inc-RCB-6316-ribbed-center-bulb,,No layout updates.,Block after Info Column,,"Ribbed Center Bulb","Ribbed Center Bulb",Use config,"http://bometals.com/wp-content/uploads/library/pvc-waterstops/rcb-6316.pdf",0,,,0,"BoMetals Inc",554,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes. ","","","","Head Pressure: 100'","Ribbed Center Bulb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
