store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"26909","Sheathing | Sub-Floor",483732,"BCI® Joists",,"BCI® Joists","","BCI® Joists","",/\B\C\boise-cascade-bci-joists-bci-joists.jpg,/\B\C\boise-cascade-bci-joists-bci-joists.jpg,http://www.48ws.com/images/product/B/C/boise-cascade-bci-joists-bci-joists.jpg,boise-cascade-BCI-Joists-bci-joists,boise-cascade-BCI-Joists-bci-joists,,No layout updates.,Block after Info Column,,"BCI® Joists","BCI® Joists",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"BOISE GLULAM® beam products are manufactured with exterior-grade or wet-use adhesives that comply with all recognized standards. The benefit of the BOISE GLULAM® beams is the flexibility of the product. Our beams are manufactured in a variety of widths and depths with lengths up to 66 feet, with or without camber. A wide array of appearance options and layups make this one of the most versatile engineered wood products available. BOISE GLULAM® beams are available through nationwide distribution.","<table>
  <tr>
   <th>Product Info</th>
   <th>&nbsp;</th>
  </tr>
 
  <tr>
   <td>Sizes</td>
   <td>Available in a variety of widths and depths for multiple applications. Widths range from 3?” to 14¼” and depths from 6” to 48”. Other sizes available upon request</td>
  </tr>
  <tr>
   <td>Performance</td>
   <td>BOISE GLULAM® is a strong cost-effective wood beam solution which can be used as beams or columns in a multitude of building design applications. Products work well in single or multi-family residential as well as light commercial projects. Curved beams and custom fabrication is available. APA certified for quality assurance.</td>
  </tr>
  <tr>
   <td>Grades</td>
   <td>Grades range from Industrial to Architectural appearances where customers can choose the ideal strength and appearance combination. Laminations are 10-12% MC maximum 15%.</td>
  </tr>
  <tr>
   <td>Applications</td>
   <td>BOISE GLULAM® are manufactured with exterior-grade or wet use adhesives. Designers have recognized the flexibility to specify this product in many different interior and exterior applications. BC CALC® software helps the ease of design and other design services are available.</td>
  </tr>
  <tr>
   <td>Species</td>
   <td>Manufactured from Douglas Fir / Larch or Port Orford Cedar (POC). POC is a naturally resistant species that is a green alternative to pressure-treated wood.</td>
  </tr>
  <tr>
   <td>Misc.</td>
   <td>One of the original engineered wood products. BOISE GLULAM® beams are available SFI® Chain-of-Custody or Certified Sourcing to earn LEED® or NGBS™ green building credits.</td>
  </tr>
  <tr>
   <td>Availability</td>
   <td>BOISE GLULAM® are readily available thru nationwide distribution and many inventory common sizes of stock beams to expedite the delivery process. Most custom projects can be supplied within a few short weeks depending on complexity and size of project.</td>
  </tr>
 </table>","","","","BCI® Joists",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26909","Sheathing | Sub-Floor",483733,"VERSA-LAM® Beams & Headers",,"VERSA-LAM® Beams & Headers","","VERSA-LAM® Beams & Headers","",/\V\E\boise-cascade-versa-lam-beams-headers-versa-lam-beams-headers.jpg,/\V\E\boise-cascade-versa-lam-beams-headers-versa-lam-beams-headers.jpg,http://www.48ws.com/images/product/V/E/boise-cascade-versa-lam-beams-headers-versa-lam-beams-headers.jpg,boise-cascade-VERSA-LAM-Beams-Headers-versa-lam-beams-headers,boise-cascade-VERSA-LAM-Beams-Headers-versa-lam-beams-headers,,No layout updates.,Block after Info Column,,"VERSA-LAM® Beams & Headers","VERSA-LAM® Beams & Headers",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","","VERSA-LAM® Beams & Headers",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26905","Forming Lumber",483734,"Industrial/Shop",,"Industrial/Shop","","Industrial/Shop","",/\I\n\boise-cascade-industrialshop-industrialshop.jpg,/\I\n\boise-cascade-industrialshop-industrialshop.jpg,http://www.48ws.com/images/product/I/n/boise-cascade-industrialshop-industrialshop.jpg,boise-cascade-Industrial-Shop-industrialshop,boise-cascade-Industrial-Shop-industrialshop,,No layout updates.,Block after Info Column,,"Industrial/Shop","Industrial/Shop",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"BCI® Joists are specially constructed I-joists with flanges made from strong VERSA-LAM® laminated veneer lumber with oriented stranded board webs and approved waterproof structural adhesives, providing outstanding strength and durability.","<table>
  <tr>
   <th>Features</th>
   <th>Benefits</th>
  </tr>
 
  <tr>
   <td>Six Series: 4500, 5000, 6000, 6500, 60 and 90</td>
   <td>A complete line of products to satisfy every home building need</td>
  </tr>
  <tr>
   <td>About 20% stronger than comparably sized dimension lumber</td>
   <td>Longer spans or smaller joists using less wood fiber may be specified</td>
  </tr>
  <tr>
   <td>Widest I-Joist product line in the industry</td>
   <td>Easier to work with on the jobsite because of their wide nailing surface</td>
  </tr>
  <tr>
   <td>Light weight</td>
   <td>Easier to handle; quick construction; lower labor costs</td>
  </tr>
  <tr>
   <td>Available in long lengths</td>
   <td>Simpler floor/roof layouts; increases floor performance and seismic resistance</td>
  </tr>
  <tr>
   <td>Consistent from piece to piece: Help keep floors flat and homes square</td>
   <td>Finish work can go faster with fewer problems; quiet floors</td>
  </tr>
  <tr>
   <td>1-1/2” Prestamped knockouts</td>
   <td>Wiring can be routed through the web; quicker construction, reducing labor costs; allowing airflow above insulation</td>
  </tr>
  <tr>
   <td>Holes Allowed in Web</td>
   <td>Wiring, HVAC, plumbing and other large holes can be routed through the web; no unsightly soffits</td>
  </tr>
  <tr>
   <td>“Eased” Smoothed Edges</td>
   <td>Framers are much less like to suffer splinters on the job</td>
  </tr>
  <tr>
   <td>Clean appearance</td>
   <td>Pleases the structure’s owner which makes the builder look good</td>
  </tr>
  <tr>
   <td>Field-Trimmable with carpentry tools</td>
   <td>Quick, easy job site modification without specialized skills or tools</td>
  </tr>
  <tr>
   <td>Renewable resource</td>
   <td>Uses about half the wood fiber of dimensional lumber (build “green” into the product)</td>
  </tr>
  <tr>
   <td>Lifetime warranty</td>
   <td>Instills confidence in the product, the builder and YOU!</td>
  </tr>
  <tr>
  </tr>
 </table>","","","","Industrial/Shop",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26907","Plywood",483735,"COMBIPLY®",,"COMBIPLY®","","COMBIPLY®","",/\C\O\boise-cascade-combiply-combiply.jpg,/\C\O\boise-cascade-combiply-combiply.jpg,http://www.48ws.com/images/product/C/O/boise-cascade-combiply-combiply.jpg,boise-cascade-COMBIPLY-combiply,boise-cascade-COMBIPLY-combiply,,No layout updates.,Block after Info Column,,"COMBIPLY®","COMBIPLY®",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","","COMBIPLY®",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26909","Sheathing | Sub-Floor",483736,"Specialty Particleboard",,"Specialty Particleboard","","Specialty Particleboard","",/\S\p\boise-cascade-specialty-particleboard-specialty-particleboard.jpg,/\S\p\boise-cascade-specialty-particleboard-specialty-particleboard.jpg,http://www.48ws.com/images/product/S/p/boise-cascade-specialty-particleboard-specialty-particleboard.jpg,boise-cascade-Specialty-Particleboard-specialty-particleboard,boise-cascade-Specialty-Particleboard-specialty-particleboard,,No layout updates.,Block after Info Column,,"Specialty Particleboard","Specialty Particleboard",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Boise Cascade MR10 (moisture resistant) is 45# Premium Industrial Particleboard with added

protection against occasional wetting and high humidity. Boise Cascade Company. Engineering

peace of mind.","","","","","Specialty Particleboard",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26909","Sheathing | Sub-Floor",483737,"Premium Underlayment",,"Premium Underlayment","","Premium Underlayment","",/\P\r\boise-cascade-premium-underlayment-premium-underlayment.jpg,/\P\r\boise-cascade-premium-underlayment-premium-underlayment.jpg,http://www.48ws.com/images/product/P/r/boise-cascade-premium-underlayment-premium-underlayment.jpg,boise-cascade-Premium-Underlayment-premium-underlayment,boise-cascade-Premium-Underlayment-premium-underlayment,,No layout updates.,Block after Info Column,,"Premium Underlayment","Premium Underlayment",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Boise Cascade Company manufactures a limited amount of Western framing lumber in both dimension and stud grades, which are used in a wide variety of structural framing applications.","","","","","Premium Underlayment",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26909","Sheathing | Sub-Floor",483738,"Industrial Particleboard",,"Industrial Particleboard","","Industrial Particleboard","",/\I\n\boise-cascade-industrial-particleboard-industrial-particleboard.jpg,/\I\n\boise-cascade-industrial-particleboard-industrial-particleboard.jpg,http://www.48ws.com/images/product/I/n/boise-cascade-industrial-particleboard-industrial-particleboard.jpg,boise-cascade-Industrial-Particleboard-industrial-particleboard,boise-cascade-Industrial-Particleboard-industrial-particleboard,,No layout updates.,Block after Info Column,,"Industrial Particleboard","Industrial Particleboard",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Boise Cascade Premium Underlayment provides a smooth surface for use under carpeting, laminate flooring, resilient floorings, or seamless floor coverings. Boise Cascade Underlayment is acceptable for use in construction covered by HUD/FHA regulations and VA loans. The product meets the specifications of the American and Canadian National Standards for flooring products (ANSI A208.1.2009, Table B) and HUD Regulation 24 CFR Part 3280.","","","","","Industrial Particleboard",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26905","Forming Lumber",483739,"GP-Rim",,"GP-Rim","","GP-Rim","",/\G\P\boise-cascade-gp-rim-gp-rim.jpg,/\G\P\boise-cascade-gp-rim-gp-rim.jpg,http://www.48ws.com/images/product/G/P/boise-cascade-gp-rim-gp-rim.jpg,boise-cascade-GP-Rim-gp-rim,boise-cascade-GP-Rim-gp-rim,,No layout updates.,Block after Info Column,,"GP-Rim","GP-Rim",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"VERSA-LAM® laminated veneer beams and headers eliminate twisting, shrinking and splitting, and deliver flatter, quieter floors and structures. Sized to match our BCI® and AJS® Joists and other elements of the SIMPLE FRAMING SYSTEM®, VERSA-LAM® offers quick assembly and is precision cut into more than 18 standard sizes. Because they have no camber and strength is consistent throughout, VERSA-LAM® LVL products have no top or bottom side. With better properties VERSA-LAM® beams support heavier loads and longer spans than comparable glulam or dimension lumber products. Price competitive with laminated strand products, VERSA-LAM® offers all of the advantages of authentic laminated veneer lumber. These beams are manufactured in multiple widths and depths to match BCI® joists and are available nationally.","<table>
  <tr>
   <th>Features</th>
   <th>Benefits</th>
  </tr>
 
  <tr>
   <td>No Camber</td>
   <td>Flat floor; no installation errors</td>
  </tr>
  <tr>
   <td>Dimensional Stability</td>
   <td>Reduces inspection time and rejects</td>
  </tr>
  <tr>
   <td>Depths Match BCI® Joists</td>
   <td>Part of the SIMPLE FRAMING SYSTEM® FAMILY</td>
  </tr>
  <tr>
   <td>Wide Width</td>
   <td>Speedier installation; eliminates need for bolting or nailing</td>
  </tr>
 </table>","","","","GP-Rim",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26905","Forming Lumber",483740,"Concrete Form",,"Concrete Form","","Concrete Form","",/\C\o\boise-cascade-concrete-form-concrete-form.jpg,/\C\o\boise-cascade-concrete-form-concrete-form.jpg,http://www.48ws.com/images/product/C/o/boise-cascade-concrete-form-concrete-form.jpg,boise-cascade-Concrete-Form-concrete-form,boise-cascade-Concrete-Form-concrete-form,,No layout updates.,Block after Info Column,,"Concrete Form","Concrete Form",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"We manufacture pre-cut countertops and bullnose/edge-filled shelving (SUPER SHELF®). Both items are offered in 3/4” thickness and are produced to 45# industrial specifications. A number of custom widths and lengths are available in each product. We manufacture 1-1/8” bullnose stair treads (SUPER STEP®) in a 47# density.","","","","","Concrete Form",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26905","Forming Lumber",483741,"BOISE CASCADE® Rimboard",,"BOISE CASCADE® Rimboard","","BOISE CASCADE® Rimboard","",/\B\O\boise-cascade-boise-cascade-rimboard-boise-cascade-rimboard.jpg,/\B\O\boise-cascade-boise-cascade-rimboard-boise-cascade-rimboard.jpg,http://www.48ws.com/images/product/B/O/boise-cascade-boise-cascade-rimboard-boise-cascade-rimboard.jpg,boise-cascade-BOISE-CASCADE-Rimboard-boise-cascade-rimboard,boise-cascade-BOISE-CASCADE-Rimboard-boise-cascade-rimboard,,No layout updates.,Block after Info Column,,"BOISE CASCADE® Rimboard","BOISE CASCADE® Rimboard",Use config,"",0,,,0,"Boise Cascade",1657,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Landscape timbers are available in Southern Yellow Pine.","","","","","BOISE CASCADE® Rimboard",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
