store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1729|28006","Abrasive Wheels|Flat Angle Grinder Wheels",7756,"CC1MC600",,"Bosch Abrasive Wheels","","Bosch Abrasive Wheels","Abrasive Wheels",/\C\C\Bosch-CC1MC600-Abrasive.jpg,/\C\C\Bosch-CC1MC600-Abrasive.jpg,http://www.48ws.com/images/product/C/C/Bosch-CC1MC600-Abrasive.jpg,Bosch-CC1MC600-Abrasive-Wheels,Bosch-CC1MC600-Abrasive-Wheels,,No layout updates.,Block after Info Column,,"Bosch Abrasive Wheels","Bosch Abrasive Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch CC1MC600 Abrasive Wheels","","Abrasive Wheels","","Bosch CC1MC600 Abrasive Wheels","Bosch Abrasive Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|28006","Abrasive Wheels|Flat Angle Grinder Wheels",7757,"CC1S700",,"Bosch Abrasive Wheels","","Bosch Abrasive Wheels","Abrasive Wheels",/\C\C\Bosch-CC1S700-Abrasive.jpg,/\C\C\Bosch-CC1S700-Abrasive.jpg,http://www.48ws.com/images/product/C/C/Bosch-CC1S700-Abrasive.jpg,Bosch-CC1S700-Abrasive-Wheels,Bosch-CC1S700-Abrasive-Wheels,,No layout updates.,Block after Info Column,,"Bosch Abrasive Wheels","Bosch Abrasive Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch CC1S700 Abrasive Wheels","","Abrasive Wheels","","Bosch CC1S700 Abrasive Wheels","Bosch Abrasive Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|28006","Abrasive Wheels|Flat Angle Grinder Wheels",7758,"CC1S600",,"Bosch Abrasive Wheels","","Bosch Abrasive Wheels","Abrasive Wheels",/\C\C\Bosch-CC1S600-Abrasive.jpg,/\C\C\Bosch-CC1S600-Abrasive.jpg,http://www.48ws.com/images/product/C/C/Bosch-CC1S600-Abrasive.jpg,Bosch-CC1S600-Abrasive-Wheels,Bosch-CC1S600-Abrasive-Wheels,,No layout updates.,Block after Info Column,,"Bosch Abrasive Wheels","Bosch Abrasive Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch CC1S600 Abrasive Wheels","","Abrasive Wheels","","Bosch CC1S600 Abrasive Wheels","Bosch Abrasive Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|28006","Abrasive Wheels|Flat Angle Grinder Wheels",7759,"CC1M800",,"Bosch Abrasive Wheels","","Bosch Abrasive Wheels","Abrasive Wheels",/\C\C\Bosch-CC1M800-Abrasive.jpg,/\C\C\Bosch-CC1M800-Abrasive.jpg,http://www.48ws.com/images/product/C/C/Bosch-CC1M800-Abrasive.jpg,Bosch-CC1M800-Abrasive-Wheels,Bosch-CC1M800-Abrasive-Wheels,,No layout updates.,Block after Info Column,,"Bosch Abrasive Wheels","Bosch Abrasive Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch CC1M800 Abrasive Wheels","","Abrasive Wheels","","Bosch CC1M800 Abrasive Wheels","Bosch Abrasive Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|28006","Abrasive Wheels|Flat Angle Grinder Wheels",7760,"CC1C800",,"Bosch Abrasive Wheels","","Bosch Abrasive Wheels","Abrasive Wheels",/\C\C\Bosch-CC1C800-Abrasive.jpg,/\C\C\Bosch-CC1C800-Abrasive.jpg,http://www.48ws.com/images/product/C/C/Bosch-CC1C800-Abrasive.jpg,Bosch-CC1C800-Abrasive-Wheels,Bosch-CC1C800-Abrasive-Wheels,,No layout updates.,Block after Info Column,,"Bosch Abrasive Wheels","Bosch Abrasive Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch CC1C800 Abrasive Wheels","","Abrasive Wheels","","Bosch CC1C800 Abrasive Wheels","Bosch Abrasive Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|28006","Abrasive Wheels|Flat Angle Grinder Wheels",7761,"CC1C700",,"Bosch Abrasive Wheels","","Bosch Abrasive Wheels","Abrasive Wheels",/\C\C\Bosch-CC1C700-Abrasive.jpg,/\C\C\Bosch-CC1C700-Abrasive.jpg,http://www.48ws.com/images/product/C/C/Bosch-CC1C700-Abrasive.jpg,Bosch-CC1C700-Abrasive-Wheels,Bosch-CC1C700-Abrasive-Wheels,,No layout updates.,Block after Info Column,,"Bosch Abrasive Wheels","Bosch Abrasive Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch CC1C700 Abrasive Wheels","","Abrasive Wheels","","Bosch CC1C700 Abrasive Wheels","Bosch Abrasive Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|28006","Abrasive Wheels|Flat Angle Grinder Wheels",7762,"CC1M700",,"Bosch Abrasive Wheels","","Bosch Abrasive Wheels","Abrasive Wheels",/\C\C\Bosch-CC1M700-Abrasive.jpg,/\C\C\Bosch-CC1M700-Abrasive.jpg,http://www.48ws.com/images/product/C/C/Bosch-CC1M700-Abrasive.jpg,Bosch-CC1M700-Abrasive-Wheels,Bosch-CC1M700-Abrasive-Wheels,,No layout updates.,Block after Info Column,,"Bosch Abrasive Wheels","Bosch Abrasive Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch CC1M700 Abrasive Wheels","","Abrasive Wheels","","Bosch CC1M700 Abrasive Wheels","Bosch Abrasive Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|28006","Abrasive Wheels|Flat Angle Grinder Wheels",7763,"CC1M600",,"Bosch Abrasive Wheels","","Bosch Abrasive Wheels","Abrasive Wheels",/\C\C\Bosch-CC1M600-Abrasive.jpg,/\C\C\Bosch-CC1M600-Abrasive.jpg,http://www.48ws.com/images/product/C/C/Bosch-CC1M600-Abrasive.jpg,Bosch-CC1M600-Abrasive-Wheels,Bosch-CC1M600-Abrasive-Wheels,,No layout updates.,Block after Info Column,,"Bosch Abrasive Wheels","Bosch Abrasive Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch CC1M600 Abrasive Wheels","","Abrasive Wheels","","Bosch CC1M600 Abrasive Wheels","Bosch Abrasive Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1728|19454","Grinding Wheels|Depressed Center Grinding Wheels",9026,"GW28M701",,"Bosch Type 28 Grinding Wheels","","Bosch Type 28 Grinding Wheels","Type 28 Grinding Wheels",/\G\W\Bosch-GW28M701-Type-28-Grinding.jpg,/\G\W\Bosch-GW28M701-Type-28-Grinding.jpg,http://www.48ws.com/images/product/G/W/Bosch-GW28M701-Type-28-Grinding.jpg,Bosch-GW28M701-Type-28-Grinding-Wheels,Bosch-GW28M701-Type-28-Grinding-Wheels,,No layout updates.,Block after Info Column,,"Bosch Type 28 Grinding Wheels","Bosch Type 28 Grinding Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch GW28M701 Type 28 Grinding Wheels","","Type 28 Grinding Wheels","","Bosch GW28M701 Type 28 Grinding Wheels","Bosch Type 28 Grinding Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1728|19454","Grinding Wheels|Depressed Center Grinding Wheels",9027,"GW28M900",,"Bosch Type 28 Grinding Wheels","","Bosch Type 28 Grinding Wheels","Type 28 Grinding Wheels",/\G\W\Bosch-GW28M900-Type-28-Grinding.jpg,/\G\W\Bosch-GW28M900-Type-28-Grinding.jpg,http://www.48ws.com/images/product/G/W/Bosch-GW28M900-Type-28-Grinding.jpg,Bosch-GW28M900-Type-28-Grinding-Wheels,Bosch-GW28M900-Type-28-Grinding-Wheels,,No layout updates.,Block after Info Column,,"Bosch Type 28 Grinding Wheels","Bosch Type 28 Grinding Wheels",Use config,"http://www.boschtools.com/Products/Pages/Products.aspx",0,,,0,"Bosch Abrasives",213,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch GW28M900 Type 28 Grinding Wheels","","Type 28 Grinding Wheels","","Bosch GW28M900 Type 28 Grinding Wheels","Bosch Type 28 Grinding Wheels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
