store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"24970","Diamond Saw Blades",7865,"DB664",,"Bosch 6&quot; Segmented Rim Diamond Blade","","Bosch 6&quot; Segmented Rim Diamond Blade","6&quot; Segmented Rim Diamond Blade",/\D\B\Bosch-DB664-6-Segmented-Rim-Diamond.jpg,/\D\B\Bosch-DB664-6-Segmented-Rim-Diamond.jpg,http://www.48ws.com/images/product/D/B/Bosch-DB664-6-Segmented-Rim-Diamond.jpg,bosch-diamond-blades-DB664-,bosch-diamond-blades-DB664-,,No layout updates.,Block after Info Column,,"Bosch 6&quot; Segmented Rim Diamond Blade","Bosch 6&quot; Segmented Rim Diamond Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=db664&print=true",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DB664 6&quot; Segmented Rim Diamond Blade","<li>Application: Hard material</li><li>Arbor: 5/8&quot;, 7/8&quot;</li><li>Description: Premium Plus Segmented</li><li>Diameter: 6&quot;</li><li>Tool Type: SAG</li>","6&quot; Segmented Rim Diamond Blade","","Bosch DB664 6&quot; Segmented Rim Diamond Blade","Bosch 6&quot; Segmented Rim Diamond Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7866,"DB564",,"Bosch 5&quot; Segmented Rim Diamond Blade","","Bosch 5&quot; Segmented Rim Diamond Blade","5&quot; Segmented Rim Diamond Blade",/\D\B\Bosch-DB564-5-Segmented-Rim-Diamond.jpg,/\D\B\Bosch-DB564-5-Segmented-Rim-Diamond.jpg,http://www.48ws.com/images/product/D/B/Bosch-DB564-5-Segmented-Rim-Diamond.jpg,bosch-diamond-blades-DB564-,bosch-diamond-blades-DB564-,,No layout updates.,Block after Info Column,,"Bosch 5&quot; Segmented Rim Diamond Blade","Bosch 5&quot; Segmented Rim Diamond Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=db564&print=true",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DB564 5&quot; Segmented Rim Diamond Blade","<li>Application: Hard material</li><li>Arbor: 5/8&quot;, 7/8&quot;</li><li>Description: Premium Plus Segmented</li><li>Diameter: 5&quot;</li><li>Tool Type: SAG</li>","5&quot; Segmented Rim Diamond Blade","","Bosch DB564 5&quot; Segmented Rim Diamond Blade","Bosch 5&quot; Segmented Rim Diamond Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7867,"DB4568",,"Bosch 4-1/2&quot; Continuous Rim Diamond Blade","","Bosch 4-1/2&quot; Continuous Rim Diamond Blade","4-1/2&quot; Continuous Rim Diamond Blade",/\d\b\Bosch-DB4568-4-12-Continuous-Rim-Diamond.jpg,/\d\b\Bosch-DB4568-4-12-Continuous-Rim-Diamond.jpg,http://www.48ws.com/images/product/d/b/Bosch-DB4568-4-12-Continuous-Rim-Diamond.jpg,bosch-diamond-blades-DB4568-,bosch-diamond-blades-DB4568-,,No layout updates.,Block after Info Column,,"Bosch 4-1/2&quot; Continuous Rim Diamond Blade","Bosch 4-1/2&quot; Continuous Rim Diamond Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=db4568&print=true",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DB4568 4-1/2&quot; Continuous Rim Diamond Blade","<li>Application: Marble</li><li>Arbor: 7/8&quot;, 20 mm, 5/8&quot;</li><li></li>Cut Depth: 1-1/4&quot;<li>Description: Premium Continuous</li><li>Diameter: 4-1/2&quot;</li><li>Segment Thickness: .080&quot;</li><li>Tool Type: SAG, Tile Cutter</li>","4-1/2&quot; Continuous Rim Diamond Blade","","Bosch DB4568 4-1/2&quot; Continuous Rim Diamond Blade","Bosch 4-1/2&quot; Continuous Rim Diamond Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7868,"DB743C",,"Bosch 7&quot; Continuous Rim Diamond Blade","","Bosch 7&quot; Continuous Rim Diamond Blade","7&quot; Continuous Rim Diamond Blade",/\d\b\Bosch-DB743C-7-Continuous-Rim-Diamond.jpg,/\d\b\Bosch-DB743C-7-Continuous-Rim-Diamond.jpg,http://www.48ws.com/images/product/d/b/Bosch-DB743C-7-Continuous-Rim-Diamond.jpg,bosch-diamond-blades-DB743C-,bosch-diamond-blades-DB743C-,,No layout updates.,Block after Info Column,,"Bosch 7&quot; Continuous Rim Diamond Blade","Bosch 7&quot; Continuous Rim Diamond Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=db743c",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DB743C 7&quot; Continuous Rim Diamond Blade","<li>Application: Ceramic, granite, marble</li><li>Arbor: 5/8&quot;</li><li>Cut Depth: 2-1/2&quot;</li><li>Description: Premium Continuous</li><li>Diameter: 7&quot;</li><li>Segment Thickness: .075&quot;</li><li>Tool Type: Tile Saw</li>","7&quot; Continuous Rim Diamond Blade","","Bosch DB743C 7&quot; Continuous Rim Diamond Blade","Bosch 7&quot; Continuous Rim Diamond Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7869,"DB964",,"Bosch 9&quot; Segmented Rim Diamond Blade","","Bosch 9&quot; Segmented Rim Diamond Blade","9&quot; Segmented Rim Diamond Blade",/\D\B\Bosch-DB964-9-Segmented-Rim-Diamond.jpg,/\D\B\Bosch-DB964-9-Segmented-Rim-Diamond.jpg,http://www.48ws.com/images/product/D/B/Bosch-DB964-9-Segmented-Rim-Diamond.jpg,bosch-diamond-blades-DB964-,bosch-diamond-blades-DB964-,,No layout updates.,Block after Info Column,,"Bosch 9&quot; Segmented Rim Diamond Blade","Bosch 9&quot; Segmented Rim Diamond Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=db964&print=true",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DB964 9&quot; Segmented Rim Diamond Blade","<li>Application: Hard material</li><li>Arbor: 5/8&quot;, 7/8&quot;</li><li>Description: Premium Plus Segmented</li><li>Diameter: 9&quot;</li><li>Tool Type: LAG</li>","9&quot; Segmented Rim Diamond Blade","","Bosch DB964 9&quot; Segmented Rim Diamond Blade","Bosch 9&quot; Segmented Rim Diamond Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7870,"DD400",,"Bosch 4&quot; Tuck-Point Mortar Blade","","Bosch 4&quot; Tuck-Point Mortar Blade","4&quot; Tuck-Point Mortar Blade",/\d\d\Bosch-DD400-4-Tuck-Point-Mortar.jpg,/\d\d\Bosch-DD400-4-Tuck-Point-Mortar.jpg,http://www.48ws.com/images/product/d/d/Bosch-DD400-4-Tuck-Point-Mortar.jpg,bosch-diamond-blades-DD400-,bosch-diamond-blades-DD400-,,No layout updates.,Block after Info Column,,"Bosch 4&quot; Tuck-Point Mortar Blade","Bosch 4&quot; Tuck-Point Mortar Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=dd400&print=true",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DD400 4&quot; Tuck-Point Mortar Blade","<li>Application: Tuck-point mortar</li><li>Arbor: 7/8&quot;, 5/8&quot;</li><li>Diameter: 4&quot;</li><li>Tool Type: SAG</li>\r\n","4&quot; Tuck-Point Mortar Blade","","Bosch DD400 4&quot; Tuck-Point Mortar Blade","Bosch 4&quot; Tuck-Point Mortar Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7871,"DD500",,"Bosch 5&quot; Tuck-Point Mortar Blade","","Bosch 5&quot; Tuck-Point Mortar Blade","5&quot; Tuck-Point Mortar Blade",/\d\d\Bosch-DD500-5-Tuck-Point-Mortar.jpg,/\d\d\Bosch-DD500-5-Tuck-Point-Mortar.jpg,http://www.48ws.com/images/product/d/d/Bosch-DD500-5-Tuck-Point-Mortar.jpg,bosch-diamond-blades-DD500-,bosch-diamond-blades-DD500-,,No layout updates.,Block after Info Column,,"Bosch 5&quot; Tuck-Point Mortar Blade","Bosch 5&quot; Tuck-Point Mortar Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=dd500&print=true",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DD500 5&quot; Tuck-Point Mortar Blade","<li>Application: Tuck-point mortar</li><li>Arbor: 7/8&quot;, 5/8&quot;</li><li>Diameter: 5&quot;</li><li>Tool Type: SAG</li>","5&quot; Tuck-Point Mortar Blade","","Bosch DD500 5&quot; Tuck-Point Mortar Blade","Bosch 5&quot; Tuck-Point Mortar Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7872,"DB968",,"Bosch 9&quot; Turbo Rim Diamond Blade","","Bosch 9&quot; Turbo Rim Diamond Blade","9&quot; Turbo Rim Diamond Blade",/\D\B\Bosch-DB968-9-Turbo-Rim-Diamond.jpg,/\D\B\Bosch-DB968-9-Turbo-Rim-Diamond.jpg,http://www.48ws.com/images/product/D/B/Bosch-DB968-9-Turbo-Rim-Diamond.jpg,bosch-diamond-blades-DB968-,bosch-diamond-blades-DB968-,,No layout updates.,Block after Info Column,,"Bosch 9&quot; Turbo Rim Diamond Blade","Bosch 9&quot; Turbo Rim Diamond Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=db968&print=true",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DB968 9&quot; Turbo Rim Diamond Blade","<li>Application: Marble</li><li>Arbor: 7/8&quot;, 5/8&quot;</li><li>Diameter: 9&quot;</li><li>Tool Type: Wet Saw / LAG</li>\r\n","9&quot; Turbo Rim Diamond Blade","","Bosch DB968 9&quot; Turbo Rim Diamond Blade","Bosch 9&quot; Turbo Rim Diamond Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7873,"DB766C",,"Bosch 7&quot; Continuous Rim Diamond Blade","","Bosch 7&quot; Continuous Rim Diamond Blade","7&quot; Continuous Rim Diamond Blade",/\d\b\Bosch-DB766C-7-Continuous-Rim-Diamond.jpg,/\d\b\Bosch-DB766C-7-Continuous-Rim-Diamond.jpg,http://www.48ws.com/images/product/d/b/Bosch-DB766C-7-Continuous-Rim-Diamond.jpg,bosch-diamond-blades-DB766C-,bosch-diamond-blades-DB766C-,,No layout updates.,Block after Info Column,,"Bosch 7&quot; Continuous Rim Diamond Blade","Bosch 7&quot; Continuous Rim Diamond Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=db766c",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DB766C 7&quot; Continuous Rim Diamond Blade","<li>Application: Porcelain, granite, marble</li><li>Arbor: 5/8&quot;</li><li>Cut Depth: 2-1/4&quot;</li><li>Description: Premium Continuous</li><li>Diameter: 7&quot;</li><li>Segment Thickness: .060&quot;</li><li>Tool Type: Tile Saw</li>","7&quot; Continuous Rim Diamond Blade","","Bosch DB766C 7&quot; Continuous Rim Diamond Blade","Bosch 7&quot; Continuous Rim Diamond Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",7874,"DB764",,"Bosch 7&quot; Segmented Rim Diamond Blade","","Bosch 7&quot; Segmented Rim Diamond Blade","7&quot; Segmented Rim Diamond Blade",/\D\B\Bosch-DB764-7-Segmented-Rim-Diamond.jpg,/\D\B\Bosch-DB764-7-Segmented-Rim-Diamond.jpg,http://www.48ws.com/images/product/D/B/Bosch-DB764-7-Segmented-Rim-Diamond.jpg,bosch-diamond-blades-DB764-,bosch-diamond-blades-DB764-,,No layout updates.,Block after Info Column,,"Bosch 7&quot; Segmented Rim Diamond Blade","Bosch 7&quot; Segmented Rim Diamond Blade",Use config,"http://www.boschtools.com/products/tools/print/pages/default.aspx?pid=db764&print=true",0,,,0,"Bosch Diamond Blades",245,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bosch DB764 7&quot; Segmented Rim Diamond Blade","<li>Application: Hard material</li><li>Arbor: 5/8&quot; with diamond knockout</li><li>Description: Premium Plus Segmented</li><li>Diameter: 7&quot;</li><li>Tool Type: Circular saws / LAG</li>","7&quot; Segmented Rim Diamond Blade","","Bosch DB764 7&quot; Segmented Rim Diamond Blade","Bosch 7&quot; Segmented Rim Diamond Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
