store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118803,"L03J09",,"Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,http://www.48ws.com/images/product/L/0/Round-Shank-Narrow-Chipping-Hammer- 1.jpg,brunner-lay-L03J09-,brunner-lay-L03J09-,,No layout updates.,Block after Info Column,,"Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Oval Collar - L03J* & Round Collar - L03H*","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 9&quot;","Round Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118804,"L03J12",,"Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,http://www.48ws.com/images/product/L/0/Round-Shank-Narrow-Chipping-Hammer- 1.jpg,brunner-lay-L03J12-,brunner-lay-L03J12-,,No layout updates.,Block after Info Column,,"Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 12&quot;","Brunner & Lay L03J12 Round Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118805,"L03J18",,"Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,http://www.48ws.com/images/product/L/0/Round-Shank-Narrow-Chipping-Hammer- 1.jpg,brunner-lay-L03J18-,brunner-lay-L03J18-,,No layout updates.,Block after Info Column,,"Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 18&quot;","Brunner & Lay L03J18 Round Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118806,"L03J24",,"Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,http://www.48ws.com/images/product/L/0/Round-Shank-Narrow-Chipping-Hammer- 1.jpg,brunner-lay-L03J24-,brunner-lay-L03J24-,,No layout updates.,Block after Info Column,,"Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 24&quot;","Brunner & Lay L03J24 Round Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118807,"L03J36",,"Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,http://www.48ws.com/images/product/L/0/Round-Shank-Narrow-Chipping-Hammer- 1.jpg,brunner-lay-L03J36-,brunner-lay-L03J36-,,No layout updates.,Block after Info Column,,"Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 36&quot;","Brunner & Lay L03J36 Round Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118808,"L03J48",,"Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,http://www.48ws.com/images/product/L/0/Round-Shank-Narrow-Chipping-Hammer- 1.jpg,brunner-lay-L03J48-,brunner-lay-L03J48-,,No layout updates.,Block after Info Column,,"Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 48&quot;","Brunner & Lay L03J48 Round Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118809,"L03J60",,"Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,http://www.48ws.com/images/product/L/0/Round-Shank-Narrow-Chipping-Hammer- 1.jpg,brunner-lay-L03J60-,brunner-lay-L03J60-,,No layout updates.,Block after Info Column,,"Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 60&quot;","Brunner & Lay L03J60 Round Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118810,"L03J72",,"Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels","Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,/\L\0\Round-Shank-Narrow-Chipping-Hammer- 1.jpg,http://www.48ws.com/images/product/L/0/Round-Shank-Narrow-Chipping-Hammer- 1.jpg,brunner-lay-L03J72-,brunner-lay-L03J72-,,No layout updates.,Block after Info Column,,"Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 72&quot;","Brunner & Lay L03J72 Round Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118812,"L03G09",,"Hex Shank Narrow Chipping Hammer Chisels","Hex Shank Narrow Chipping Hammer Chisels","Hex Shank Narrow Chipping Hammer Chisels","Oval Collar.",/\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,/\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,http://www.48ws.com/images/product/L/0/Hex-Shank-Narrow-Chipping-Hammer.jpg,brunner-lay-L03G09-,brunner-lay-L03G09-,,No layout updates.,Block after Info Column,,"Hex Shank Narrow Chipping Hammer Chisels","Hex Shank Narrow Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Oval Collar - L03G* & Round Collar - L03F*","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 9&quot;","Hex Shank Narrow Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24818","Demolition Hammer Chisels",118816,"L03G12",,"Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels","Hex Shank Narrow Chipping Hammer Chisels","Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels","Oval Collar.",/\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,/\L\0\Hex-Shank-Narrow-Chipping-Hammer.jpg,http://www.48ws.com/images/product/L/0/Hex-Shank-Narrow-Chipping-Hammer.jpg,Brunner-Lay-L03G12-Hex-Shank-Narrows-Chipping-Hammer-Chisels,Brunner-Lay-L03G12-Hex-Shank-Narrows-Chipping-Hammer-Chisels,,No layout updates.,Block after Info Column,,"Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels","Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels",Use config,"http://www.bluetoad.com/publication/?i=133596",0,,,0,"Brunner & Lay",952,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels","<br>Chipping hammer tools are for use in light weight pneumatically operated hammers and are all designed with a retainer collar to promote safety. The shanks conform to the U.S. Navy specifications for round shanks. These tools are available with oval collar.","","","Length: 12&quot;","Brunner & Lay L03G12 Hex Shank Narrows Chipping Hammer Chisels",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
