store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"144|21837|28287","Levels|Rotary and Straight Line Laser Levels|Surveying Equipment",13108,"57-LMHCUPK",,"Self-Leveling Rotary Laser","","Self-Leveling Rotary Laser","The LMH-C Electronic Self-Leveling rotary Lasers offer fast and simple leveling power to handle your toughest indoor/outdoor jobs with less manpower.",/\5\7\CST-Berger-57-LMHCUPK-Self-Leveling-Rotary.jpg,/\5\7\CST-Berger-57-LMHCUPK-Self-Leveling-Rotary.jpg,http://www.48ws.com/images/product/5/7/CST-Berger-57-LMHCUPK-Self-Leveling-Rotary.jpg,CST-Berger-57-LMHCUPK-Self-Leveling-Rotary-Laser,CST-Berger-57-LMHCUPK-Self-Leveling-Rotary-Laser,,No layout updates.,Block after Info Column,,"Self-Leveling Rotary Laser","Self-Leveling Rotary Laser",Use config,"http://www.cstberger.us/us/en/",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The LMH-C Electronic Self-Leveling rotary Lasers offer fast and simple leveling power to handle your toughest indoor/outdoor jobs with less manpower.","<li>Single beam offers 600 RPM rotational for optimal use with detector or depth sensor</li>
<li>Anti-Drift system to signal operator when unit is moved out of position Automatic/Manual mode</li>
<li>No bubble required - Wide self-leveling range of +/- 5degrees (1 degree per second in horizontal)</li>","<b>Other Features:</b><br></br>
<li>Low Battery Indicator so you don't run out of power at the wrong time</li>
<li>Heavy duty glass enclosed beacon and durable sealed housing is water and dust-resistant (IPX4) to ensure years of dependable operation</li>
<li>Pro Grade - Motorized, electronic horizontal self-leveling</li>","","CST Berger 57-LMHCUPK Self-Leveling Rotary Laser","Self-Leveling Rotary Laser",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28135","Leveling Kits",13110,"SAL24ND",,"24X Automatic Level","","24X Automatic Level","Automatic level with 24x magnification",/\S\A\CST-Berger-SAL24ND-24X-Automatic.jpg,/\S\A\CST-Berger-SAL24ND-24X-Automatic.jpg,http://www.48ws.com/images/product/S/A/CST-Berger-SAL24ND-24X-Automatic.jpg,cst-berger-SAL24ND-,cst-berger-SAL24ND-,,No layout updates.,Block after Info Column,,"24X Automatic Level","24X Automatic Level",Use config,"http://www.cstberger.us/us/en/",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Automatic level with 24x magnification","<li>Sturdy metal housing with rubber reinforcement</li><li>
Fast aperture</li><li>
Magnetically dampened compensator</li><br></br>
<b>Applications</b><br>
<li>Patios</li><li>
Gardening and landscaping</li><li>
House construction</li><li>
Foundations</li><li>
Road construction</li><li>
Excavation</li>","<b>Other Features</b><br></br>
<li>Fine motion knobs on both sides with friction-braked rotation, endless horizontal drive</li>
<li>Large focusing knob</li>
<li>Target collimator</li>
<li>Graduated circle with either 360 degrees</li>
<li>Compensator lock (transport lock)</li>
<li>Circular vial with penta prism</li>","","CST Berger SAL24ND 24X Automatic Level","24X Automatic Level",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28287","Surveying Equipment",13111,"54-190K",,"Transit-Level","Transit-Levels","Transit-Level","For builders that require rough angle turning and fine tuning adjustments",/\5\4\CST-Berger-54-190K-Transit.jpg,/\5\4\CST-Berger-54-190K-Transit.jpg,http://www.48ws.com/images/product/5/4/CST-Berger-54-190K-Transit.jpg,cst-berger-54-190K-,cst-berger-54-190K-,,No layout updates.,Block after Info Column,,"Transit-Level","Transit-Level",Use config,"http://www.cstberger.us/us/en/",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"For builders that require rough angle turning and fine tuning adjustments","<li>Non-strip focus knob prevents breakage and lens damage</li><li>
Built-in sunshade reduces glare</li><li>
Large achromatic coated objective lens for a sharp image</li>","<b>Other Features:</b><br></br>
<li>These instruments have clamps and tangents that bring your instrument quickly on target. 15 minute horizontal circle on both models and 1degree vertical arc on Model 200B allow the builder to set rough angles. units use 5/8-11 thread.</li>
<li>Rubber eyepiece cap protects eyeglasses</li>
<li>Durable brass leveling screws</li><li>
Dust protected eyepiece with fixed cross hairs for accuracy</li><li>
High precision glass level vials</li><li>
4-1/2 foot (1.4m) short focus for maximum useable range</li><li>
Sliding lock levels to lock telescope (on Transit/Levels)</li><li>
One piece aircraft aluminum telescope</li><li>
Electrostatically powder coated safety yellow paint</li><li>
One year Warranty</li><li>
Working Range: 200 feet (60m)</li><li>
Accuracy: 1/4-in at 75 feet</li><li>
Level Kit: Includes Tripod, Rod, Hard-Shell Carrying Case, Allen Wrench</li>","","54-190K","Transit-Level",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21809","Leveling Rods and Tripods",95074,"06-808A",,"8' Aluminum Grade Rod Feet, Tenths, Hundredths, 3 section","8, 13 and 16ft Aluminum Grade Rods","8' Aluminum Grade Rod Feet, Tenths, Hundredths, 3 section","",/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,http://www.48ws.com/images/product/0/6/CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,cst-berger-06-808A-,cst-berger-06-808A-,,No layout updates.,Block after Info Column,,"8' Aluminum Grade Rod Feet, Tenths, Hundredths, 3 section","8' Aluminum Grade Rod Feet, Tenths, Hundredths, 3 section",Use config,"",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Extends and collapses easily with durable buttons</li><li>
Made of a lightweight and durable aluminum alloy</li><li>
Anodized parts are imprinted with special weather resistant and corrosion resistant inks</li><li>
Sectional junctions are injection molded from a durable, light, impact-resistant plastic</li><li>
Front and back, easy to read scale</li><li>
Scale on back permits easy height readings at eye level</li><li>
Rod Dimensions: 36.8 x 2.6 x 1.8 inches</li>","CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.","","8' Feet, Tenths, Hundredths, 3-Section","8' Aluminum Grade Rod Feet, Tenths, Hundredths, 3 section",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21809","Leveling Rods and Tripods",95075,"06-808C",,"8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","8, 13 and 16ft Aluminum Grade Rods","8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","",/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,http://www.48ws.com/images/product/0/6/CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,cst-berger-06-808C-,cst-berger-06-808C-,,No layout updates.,Block after Info Column,,"8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section",Use config,"http://www.laserlevelsusa.com/cst-berger-16-foot-aluminum-grade-rod-models-06-816a-&-06-816c.html",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CST Berger 06-808C 8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","<li>Extends and collapses easily with durable buttons</li><li>
Made of a lightweight and durable aluminum alloy</li><li>
Anodized parts are imprinted with special weather resistant and corrosion resistant inks</li><li>
Sectional junctions are injection molded from a durable, light, impact-resistant plastic</li><li>
Front and back, easy to read scale</li><li>
Scale on back permits easy height readings at eye level</li><li>
Rod Dimensions: 36.8 x 2.6 x 1.8 inches</li>","CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.","","8' Feet, Inches, Eighths, 3-Section","8' Aluminum Grade Rod Feet, Inches, Eighths, 3 section",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21809","Leveling Rods and Tripods",95076,"06-813C",,"13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","8, 13 and 16ft Aluminum Grade Rods","13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","",/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,http://www.48ws.com/images/product/0/6/CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,cst-berger-06-813C-,cst-berger-06-813C-,,No layout updates.,Block after Info Column,,"13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section",Use config,"http://www.laserlevelsusa.com/cst-berger-16-foot-aluminum-grade-rod-models-06-816a-&-06-816c.html",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CST Berger 06-813C 13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section","<li>Extends and collapses easily with durable buttons</li><li>
Made of a lightweight and durable aluminum alloy</li><li>
Anodized parts are imprinted with special weather resistant and corrosion resistant inks</li><li>
Sectional junctions are injection molded from a durable, light, impact-resistant plastic</li><li>
Front and back, easy to read scale</li><li>
Scale on back permits easy height readings at eye level</li><li>
Rod Dimensions: 36.8 x 2.6 x 1.8 inches</li>","CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.","","13' Feet, Inches, Eighths, 3-Section","13' Aluminum Grade Rod Feet, Inches, Eighths, 3 section",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21809","Leveling Rods and Tripods",95077,"06-816",,"16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section","8, 13 and 16ft Aluminum Grade Rods","16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section","",/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,http://www.48ws.com/images/product/0/6/CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,cst-berger-06-816-,cst-berger-06-816-,,No layout updates.,Block after Info Column,,"16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section","16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section",Use config,"/external-url.aspx?u=www.laserlevelsusa.com/cst-berger-16-foot-aluminum-grade-rod-models-06-816a-&-06-816c.html",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CST Berger 06-806 16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section","<li>Extends and collapses easily with durable buttons</li><li>
Made of a lightweight and durable aluminum alloy</li><li>
Anodized parts are imprinted with special weather resistant and corrosion resistant inks</li><li>
Sectional junctions are injection molded from a durable, light, impact-resistant plastic</li><li>
Front and back, easy to read scale</li><li>
Scale on back permits easy height readings at eye level</li><li>
Rod Dimensions: 36.8 x 2.6 x 1.8 inches</li>","CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.","","16' Feet, Tenths, Hundredths, 5-Section","16' Aluminum Grade Rod Feet, Tenths, Hundredths, 5 section",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21809","Leveling Rods and Tripods",95078,"06-816C",,"16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section","8, 13 and 16ft Aluminum Grade Rods","16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section","",/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,/\0\6\CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,http://www.48ws.com/images/product/0/6/CST-Berger-06-808A-8-Aluminum-Grade-Rod-Feet-Tenths.png,cst-berger-06-816C-,cst-berger-06-816C-,,No layout updates.,Block after Info Column,,"16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section","16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section",Use config,"http://www.laserlevelsusa.com/cst-berger-16-foot-aluminum-grade-rod-models-06-816a-&-06-816c.html",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CST Berger 06-816C 16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section","<li>Extends and collapses easily with durable buttons</li><li>
Made of a lightweight and durable aluminum alloy</li><li>
Anodized parts are imprinted with special weather resistant and corrosion resistant inks</li><li>
Sectional junctions are injection molded from a durable, light, impact-resistant plastic</li><li>
Front and back, easy to read scale</li><li>
Scale on back permits easy height readings at eye level</li><li>
Rod Dimensions: 36.8 x 2.6 x 1.8 inches</li>","CST's telescoping aluminum rods are made of a light & durable aluminum alloy.  The anodized  segments are imprinted with exceptional weather resistant and corrosion resistant inks.  Tight tolerances on extruded aluminum parts allow for smooth extension and  deter  unnecessary clattering and slopiness.  The sectional junctions are injection molded from a durable lightweight impact-resistant plastic.  Rods are equipped with  dependable  and wear resistant polycarbonate buttons that  secure  each section.  Easy to read graduations and and a special measuring scale on the rear side allow users to read height at eye level.","","16' Feet, Inches, Eighths, 5-Section","16' Aluminum Grade Rod Feet, Inches, Eighths, 5 section",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28287","Surveying Equipment",97655,"54-200K",,"Transit-Level","Transit-Levels","Transit-Level","For builders that require rough angle turning and fine tuning adjustments",/\5\4\CST-Berger-54-190K-Transit.jpg,/\5\4\CST-Berger-54-190K-Transit.jpg,http://www.48ws.com/images/product/5/4/CST-Berger-54-190K-Transit.jpg,cst-berger-54-200K-,cst-berger-54-200K-,,No layout updates.,Block after Info Column,,"Transit-Level","Transit-Level",Use config,"http://www.cstberger.us/us/en/",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CST Berger 54-200K Transit-Level","<li>Non-strip focus knob prevents breakage and lens damage</li><li>
Built-in sunshade reduces glare</li><li>
Large achromatic coated objective lens for a sharp image</li>","<b>Other Features:</b><br></br>
<li>These instruments have clamps and tangents that bring your instrument quickly on target. 15 minute horizontal circle on both models and 1degree vertical arc on Model 200B allow the builder to set rough angles. units use 5/8-11 thread.</li>
<li>Rubber eyepiece cap protects eyeglasses</li>
<li>Durable brass leveling screws</li><li>
Dust protected eyepiece with fixed cross hairs for accuracy</li><li>
High precision glass level vials</li><li>
4-1/2 foot (1.4m) short focus for maximum useable range</li><li>
Sliding lock levels to lock telescope (on Transit/Levels)</li><li>
One piece aircraft aluminum telescope</li><li>
Electrostatically powder coated safety yellow paint</li><li>
One year Warranty</li><li>
Working Range: 200 feet (60m)</li><li>
Accuracy: 1/4-in at 75 feet</li><li>
Level Kit: Includes Tripod, Rod, Hard-Shell Carrying Case, Allen Wrench</li>","","54-200K","Transit-Level",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"144|28135","Levels|Leveling Kits",97658,"55-SLVP24ND",,"24X Automatic Level Kit","","24X Automatic Level Kit","Upgrade to the latest features and technology with CST/berger's SAL Series Automatic Levels!",/\5\5\CST-Berger-55-SLVP24ND-24X-Automatic-Level.jpg,/\5\5\CST-Berger-55-SLVP24ND-24X-Automatic-Level.jpg,http://www.48ws.com/images/product/5/5/CST-Berger-55-SLVP24ND-24X-Automatic-Level.jpg,CST-Berger-55-SLVP24ND-24X-Automatic-Level-Kit,CST-Berger-55-SLVP24ND-24X-Automatic-Level-Kit,,No layout updates.,Block after Info Column,,"24X Automatic Level Kit","24X Automatic Level Kit",Use config,"http://www.cstberger.us/us/en/",0,,,0,"CST Berger",222,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Upgrade to the latest features and technology with CST/berger's SAL Series Automatic Levels!","<li>Magnetically-dampened, wire-hung compensator for optimum range and accuracy</li>
<li>Compensator lock protects instrument during transport or storage, also acts as a handy compenstor checking tool</li>
<li>Large effective aperture and minimum focus of 1 foot (0.3m)</li>","<li>These units now incorporate easy-to-grip styling and an improved compensator.</li><li>
Designed for the contractor, surveyor, or engineer who demands accurate leveling every time, SAL automatic levels set up fast, are easy to use, and save time and money on every job. The SAL Series offers your choice of options: magnification, accuracy, and price.</li><li>
24X SAL Automatic Level Kit; Includes Tripod and Rod</li><li>
Top-mounted optical peep-sight for quick reference</li><li>
Large, easy-to-use precise focusing knob</li><li>
Easy-to-read horizontal circle</li><li>
Right angle prism for easy bubble viewing</li><li>
Sealed, dust-protected leveling screws</li><li>
Water-resistant, sealed construction plus sunshade for use in various weather conditions</li><li>
Fine motion knobs on left and right sides with friction-braked rotation, endless horizontal drive.</li><li>
1:100 stadia for distance estimation</li><li>
5/8-11 threads to fit standard tripods</li><li>
Available in 360 degrees or 400 gons; please specify</li>
<li>Includes hardshell carrying case with dual latches, plumb bob, Allen wrench, adjusting pin, and instruction manual.</li>","","CST Berger 55-SLVP24ND 24X Automatic Level Kit","24X Automatic Level Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
