store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"688|23736","Calculators|Calculators",11939,"4065",,"Model # Construction Master Pro","","Model # Construction Master Pro","Advanced Construction-Math Calculator",/\C\a\Calculated-Industries-Model-4065-Construction-Master.jpg,/\C\a\Calculated-Industries-Model-4065-Construction-Master.jpg,http://www.48ws.com/images/product/C/a/Calculated-Industries-Model-4065-Construction-Master.jpg,Calculated-Industries-Model-4065-Construction-Master-Pro,Calculated-Industries-Model-4065-Construction-Master-Pro,,No layout updates.,Block after Info Column,,"Model # Construction Master Pro","Model # Construction Master Pro",Use config,"http://www.calculated.com/4/prd101/Construction+Master+Pro.html",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Advanced Construction-Math Calculator","<b><u>Calculations:</u></b><br><br>
<li>Work in and convert between building dimensions, including Metric</li>
<li>Built-in Right-Angle solutions</li>
<li>Areas, Volumes, Square-ups</li>
<li>Complete Stair Layouts</li>
<li>Roof, Rafter and Framing solutions</li>
<li>Circle: Arcs, Circumference, Segments</li><br>
","The Construction Master Pro sets the industry standard for advanced construction-math calculators. It provides powerful built-in solutions and expanded preference settings. It's easy to use in the field or office and perfect for completing plans, layouts, bids and estimates - saves time, money, materials and frustration. Work smarter, build better and improve your bottom line with the Construction Master Pro!<br><br>

<b><u>New Features, Functions and Enhanced Solutions:</u></b><br><br>
<li>Drywall - Siding and Panels</li>
<li>Stairs - Riser Height and solve for Stairwell Opening</li>
<li>Studs On-center</li>
<li>Compound Miter Cuts</li>
<li>Arched Rake-Walls</li><br>

For Contractors, Estimators, Architects, Carpenters, Framers, Draftspersons, Engineers, Builders, Tradespersons<br><br><br>

<object>
	<embed src=&quot;http://www.youtube.com/v/1mqVdYawfEo?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;390&quot; height=&quot;250&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>","","Calculated Industries Model # 4065 Construction Master Pro","Model # Construction Master Pro",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"688|23736","Calculators|Calculators",11941,"4050",,"Model # Construction Master 5","","Model # Construction Master 5","Feet-Inch-Fraction Construction-Math Calculator",/\C\a\Calculated-Industries-Model-4050-Construction-Master.jpg,/\C\a\Calculated-Industries-Model-4050-Construction-Master.jpg,http://www.48ws.com/images/product/C/a/Calculated-Industries-Model-4050-Construction-Master.jpg,Calculated-Industries-Model-4050-Construction-Master-5,Calculated-Industries-Model-4050-Construction-Master-5,,No layout updates.,Block after Info Column,,"Model # Construction Master 5","Model # Construction Master 5",Use config,"http://www.calculated.com/4/prd103/Construction+Master+5+Construction+Calculator.html",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Feet-Inch-Fraction Construction-Math Calculator","<b><u>Calculations:</u></b><br><br>
<li>Linear, Area and Volume solutions: convert dimensions, including Metric</li>
<li>Rafter, Roof and Framing solutions: Hip/Valley, Jacks and Rake-Walls</li>
<li>Stair solutions: Risers, Treads, Stringer, Incline</li>
<li>Built-in Right-Angle solutions: Automatic Square-ups</li>
<li>Circular and Arc: Areas, Diameters, Circumference</li>
<li>Board Feet</li>
<li>Weight per Volume</li><br>","The Construction Master 5 is the essential tool for serious building professionals. Easy-to-use in the field or office it meets the need for fast, accurate construction- math solutions. Enter the numbers, just as you would say them and the solutions appear in an instant - they're built-in to your Construction Master 5. Ideal for plans, and layouts. Reduce the risk of expensive errors when estimating costs and materials. Save time, money and frustration!<br><br>
For Contractors, Builders, Architects, Engineers and Tradespersons<br><br><br>
<object>
	<embed src=&quot;http://www.youtube.com/v/RMAuv7sIjVo?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;390&quot; height=&quot;250&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>","","Calculated Industries Model # 4050 Construction Master 5","Model # Construction Master 5",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"688|23736","Calculators|Calculators",11942,"4080",,"Model # Construction Master Pro Trig","","Model # Construction Master Pro Trig","Advanced Feet-Inch-Fraction Construction-Math Calculator with Full Trigonometric Functions",/\C\a\Calculated-Industries-Model-4080-Construction-Master-Pro.jpg,/\C\a\Calculated-Industries-Model-4080-Construction-Master-Pro.jpg,http://www.48ws.com/images/product/C/a/Calculated-Industries-Model-4080-Construction-Master-Pro.jpg,Calculated-Industries-Model-4080-Construction-Master-Pro-Trig,Calculated-Industries-Model-4080-Construction-Master-Pro-Trig,,No layout updates.,Block after Info Column,,"Model # Construction Master Pro Trig","Model # Construction Master Pro Trig",Use config,"http://www.calculated.com/4/prd102/Construction+Master+Pro+Trig.html",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Advanced Feet-Inch-Fraction Construction-Math Calculator with Full Trigonometric Functions","<b><u>Calculations:</u></b><br><br>
<li>Work in and convert between any building dimension, including Metric</li>
<li>Trigonometric Function</li>
<li>Find Weight per Volume</li>
<li>Built-in Right-Angle solutions</li>
<li>Complete Stair Layouts</li>
<li>Roof, Rafter and Framing solutions</li>
<li>Circular: Arcs, Circumference, Segments and More</li><br>","The Construction Master Pro Trig Feet-Inch-Fraction calculator provides the building professional complete trigonometric function. This powerful and advanced construction-math calculator features new built-in solutions and expanded preference selection. It allows you to easily determine precise angle measurements and solve the most complex design and construction-math problems. Perfect for estimating materials and costs. In the field or office it helps assure accuracy, save time and money.<br><br>
<b><u>New Features, Functions and Enhanced Solutions:</u></b><br><br>
<li>Stairs - Set Riser Height and solve for Stairwell Opening</li>
<li>Studs - Find number On-center for an entered Length</li>
<li>Compound Miter Cuts Arched Rake-Walls</li>
<li>Equal sided Polygons</li><br>
For Contractors, Architects, Engineers, Project Managers, Estimators, Draftspersons, Builders, Framers, Carpenters, Tradespersons","","Calculated Industries Model # 4080 Construction Master Pro Trig","Model # Construction Master Pro Trig",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"688|23736","Calculators|Calculators",11943,"4225",,"Model # ConcreteCalc Pro","","Model # ConcreteCalc Pro","Advanced Yard, Feet-Inch-Fraction Concrete Construction-Math Calculator",/\C\a\Calculated-Industries-Model-4225-ConcreteCalc- 1.jpg,/\C\a\Calculated-Industries-Model-4225-ConcreteCalc- 1.jpg,http://www.48ws.com/images/product/C/a/Calculated-Industries-Model-4225-ConcreteCalc- 1.jpg,Calculated-Industries-Model-4225-ConcreteCalc-Pro,Calculated-Industries-Model-4225-ConcreteCalc-Pro,,No layout updates.,Block after Info Column,,"Model # ConcreteCalc Pro","Model # ConcreteCalc Pro",Use config,"http://www.calculated.com/4/prd104/ConcreteCalc+Pro+Concrete+Calculator.html",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Advanced Yard, Feet-Inch-Fraction Concrete Construction-Math Calculator","<b><u>It helps you:</u></b><br><br>
<li>Work in Yards, Feet-Inch-Fractions</li>
<li>Calculate Area, Volume and Weight per Volume</li>
<li>Automatic Square-ups and Drops</li>
<li>Rebar solutions for total Linear Feet and Weight per size</li>
<li>Complete Stair Layouts; set Riser Height and Tread Width</li>
<li>Equal Sided Polygons</li>
<li>Circular Solutions: Circumference, Arc, Cone, Column and More!</li><br>","The easy-to-use ConcreteCalc Pro helps reduce material waste, improve design accuracy and cut estimating time. Increase efficiency in the field or in the office with fast, accurate solutions for Square-ups, Loads, Area, Volume, Rebar, Drop, Stairs and much more.<br><br>
For Concrete, Masonry and Paving Professionals<br><br><br>
<object>
	<embed src=&quot;http://www.youtube.com/v/L7GZsPiSZJM?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;390&quot; height=&quot;250&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>
","","Calculated Industries Model # 4225 ConcreteCalc Pro","Model # ConcreteCalc Pro",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"688|23736","Calculators|Calculators",11944,"4325",,"Model # HeavyCalc Pro","","Model # HeavyCalc Pro","Yard, Feet-Inch-Fraction, Metric Heavy Construction-Math Calculator",/\C\a\Calculated-Industries-Model-4325-HeavyCalc.jpg,/\C\a\Calculated-Industries-Model-4325-HeavyCalc.jpg,http://www.48ws.com/images/product/C/a/Calculated-Industries-Model-4325-HeavyCalc.jpg,Calculated-Industries-Model-4325-HeavyCalc-Pro,Calculated-Industries-Model-4325-HeavyCalc-Pro,,No layout updates.,Block after Info Column,,"Model # HeavyCalc Pro","Model # HeavyCalc Pro",Use config,"http://www.calculated.com/4/prd144/HeavyCalc+Pro+Construction+Calculator.html",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Yard, Feet-Inch-Fraction, Metric Heavy Construction-Math Calculator","<li>Work in and convert between Yard, Feet-Inch-Fraction and Metric formats!</li>
<li>Automatically calculate Areas and Volumes!</li>
<li>Square-ups and Right Angles; Percent Grade and Slope; stakeout Drops, Ramps, Trenches, much more!</li>
<li>Weight per Volume (Lbs, Tons, Kg)!</li>
<li>Find percent (%) Swell and Shrink!</li>
<li>Simplify Cut/Fill Estimates</li>","Save time, eliminate costly errors, reduce material and labor expenses on all construction jobs. Built-in functions quickly find solutions for Area, Volume, Weight, Slopes, Swell, and Shrink, Cut/Fill and More! Work in and convert between all building dimensional formats, including Metric.<br><br>
The most effective equipment, manpower planning and estimating tool you can own!<br><br>
For: Engineers, Designers, Excavators, Highway and Heavy Construction Professionals<br><br><br>
<object>
	<embed src=&quot;http://www.youtube.com/v/Xd9nGDPP6bo?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;390&quot; height=&quot;250&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>","","Calculated Industries Model # 4325 HeavyCalc Pro","Model # HeavyCalc Pro",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"688|23736","Calculators|Calculators",11945,"6135",,"Model # Scale Master Pro XE","","Model # Scale Master Pro XE","Advanced Linear Digital Plan Measure",/\C\a\Calculated-Industries-Model-6135-Scale-Master-Pro- 1.jpg,/\C\a\Calculated-Industries-Model-6135-Scale-Master-Pro- 1.jpg,http://www.48ws.com/images/product/C/a/Calculated-Industries-Model-6135-Scale-Master-Pro- 1.jpg,Calculated-Industries-Model-6135-Scale-Master-Pro-XE,Calculated-Industries-Model-6135-Scale-Master-Pro-XE,,No layout updates.,Block after Info Column,,"Model # Scale Master Pro XE","Model # Scale Master Pro XE",Use config,"http://www.calculated.com/6/prd290/Scale+Master+Pro+XE+Digital+Plan+Measure.html",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Advanced Linear Digital Plan Measure","<b><u>It helps you:</u></b><br><br>
<li>Complete takeoffs with speed and accuracy</li>
<li>Reduce errors in estimates and bids</li>
<li>Improve productivity and maximize profitability</li>
<li>Create permanent record of dimensions and values</li>
<li>Interfaces with PC spreadsheets or estimating programs</li><br>","The recently updated Scale Master&reg; Pro XE makes it easy to do Linear, Area and Volume takeoffs with speed, accuracy and confidence when estimating, bidding or planning.<br><br>
The new ergonomic design makes it comfortable to hold, and the dual LCD displays make it much easier to read.<br><br>
Use it on plans, blueprints and maps as well as out of scale drawings. It has 91 built-in Scales; 50 Imperial (Feet-Inch) units and 41 Metric, (including ten custom scales for out-of-scale drawings) for maximum versatility with architectural, engineering and civil scales.<br><br>
The PC Interface (cable sold separately) lets you transfer rolled values from the Scale Master&reg; Pro XE directly into commonly used spreadsheets or estimating programs, saving countless keystrokes, saving time and reducing the potential for costly transcribing errors.<br><br>
For: Contractors, Estimators, Engineers, Landscapers, Pipeline Builders, Excavators, Concrete Contractors, Electrical Contractors, Plumbers, HVAC, Fencing Specialists, Telecommunications, Cable System Contractors, Pavers or <b><i>anyone needing fast, accurate takeoffs from plans and blueprints.</i></b><br><br><br>
<object>
	<embed src=&quot;http://www.youtube.com/v/8X8Ui-pAhKA?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;390&quot; height=&quot;250&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>","","Calculated Industries Model # 6135 Scale Master Pro XE","Model # Scale Master Pro XE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"688|23736","Calculators|Calculators",11946,"6025",,"Model # Scale Master Pro","","Model # Scale Master Pro","Digital Plan Measure",/\C\a\Calculated-Industries-Model-6025-Scale-Master.jpg,/\C\a\Calculated-Industries-Model-6025-Scale-Master.jpg,http://www.48ws.com/images/product/C/a/Calculated-Industries-Model-6025-Scale-Master.jpg,Calculated-Industries-Model-6025-Scale-Master-Pro,Calculated-Industries-Model-6025-Scale-Master-Pro,,No layout updates.,Block after Info Column,,"Model # Scale Master Pro","Model # Scale Master Pro",Use config,"http://www.calculated.com/6/prd289/Scale+Master+Pro+Digital+Plan+Measure.html",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Digital Plan Measure","<b><u>It helps you:</u></b><br><br>
<li>Dramatically cut takeoff time</li>
<li>Speed estimates</li>
<li>Improve productivity and maximize profitability</li>
<li>Reduce errors</li><br>","The new ergonomic design of the affordable Scale Master&reg; Pro makes it comfortable to hold, and the dual LCD displays make it much easier to read.<br><br>
Get fast, accurate Linear, Area and Volume takeoffs from blueprints, drawings and maps. It features 72 built-in scales - 6 custom scales and 2 built-in memories. Quickly switch between Metric and Imperial Modes.  A Lock switch prevents accidental changes of scale or mode. It is an ideal tool for preparing bids and estimates from plans and blueprints in the field or office.<br><br>
For Contractors, Estimators, Engineers, Landscapers, Pipeline Builders, Excavators, Concrete Contractors, Plumbers, HVAC Contractors, Fencing Specialists, Telecommunication and Cable System Contractors, Pavers, Electrical Contractors or anyone needing fast, accurate takeoffs from plans and blueprints.","","Calculated Industries Model # 6025 Scale Master Pro","Model # Scale Master Pro",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"688|23736","Calculators|Calculators",11947,"6020",,"Model # Scale Master Classic","","Model # Scale Master Classic","Digital Plan Measure",/\C\a\Calculated-Industries-Model-6020-Scale-Master.jpg,/\C\a\Calculated-Industries-Model-6020-Scale-Master.jpg,http://www.48ws.com/images/product/C/a/Calculated-Industries-Model-6020-Scale-Master.jpg,Calculated-Industries-Model-6020-Scale-Master-Classic,Calculated-Industries-Model-6020-Scale-Master-Classic,,No layout updates.,Block after Info Column,,"Model # Scale Master Classic","Model # Scale Master Classic",Use config,"http://www.calculated.com/6/prd21/Scale+Master+Classic+Digital+Plan+Measure.html",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Digital Plan Measure","<b><u>It helps you:</u></b><br><br>
<li>Dramatically Cut Take-Off Time</li>
<li>Speed Estimates</li>
<li>Improve Profit</li>
<li>Reduce Errors</li>
<li>Improve Crew Productivity</li><br>","The affordable Scale Master&reg; Classic is designed for building, engineering and construction professionals. Obtain fast, accurate Linear, Area and Volume take-offs from blueprints, drawings and maps. It features seventy-two built-in scales - 6 custom scales and 2 built-in memories. A ‘Lock switch' holds a Mode or Scale in either Metric or Imperial dimensions. It is an ideal tool for preparing bids and estimates in the field or office.<br><br>
For Contractors, Estimators, Engineers, Landscapers, Pipeline Builders, Excavators, Concrete Contractors, Plumbers, HVAC Contractors, Fencing Specialists, Telecommunication and Cable System Contractors, Pavers, Electrical Contractors or <b><i>anyone needing fast, accurate takeoffs from plans and blueprints.</i></b><br><br><br>
<object>
	<embed src=&quot;http://www.youtube.com/v/96pyCNteQg4?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; width=&quot;390&quot; height=&quot;250&quot; allowfullscreen=&quot;true&quot;>
	</embed>
</object>","","Calculated Industries Model # 6020 Scale Master Classic","Model # Scale Master Classic",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23736","Calculators",420085,"4220",,"Concrete Calculator","Concrete Calculator","Concrete Calculator","",/\4\2\calculated-industries-4220-concrete-calculator.jpg,/\4\2\calculated-industries-4220-concrete-calculator.jpg,http://www.48ws.com/images/product/4/2/calculated-industries-4220-concrete-calculator.jpg,calculated-industries-4220-concrete-calculator,calculated-industries-4220-concrete-calculator,,No layout updates.,Block after Info Column,,"Concrete Calculator","Concrete Calculator",Use config,"http://www.calculated.com/prd104/ConcreteCalc-Pro-Concrete-Calculator.html#.VA9YQPldWlI",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Concretecalc","<li>Work in Yards, Feet-Inch-Fractions</li><br><li>Calculate Area, Volume and Weight per Volume</li><br><li>Automatic Square-ups and Drops</li><br><li>Rebar solutions for total Linear Feet and Weight per size</li><br><li>Complete Stair Layouts; set Riser ","The easy-to-use ConcreteCalc Pro helps reduce material waste, improve design accuracy and cut estimating time. Increase efficiency in the field or in the office with fast, accurate solutions for Square-ups, Loads, Area, Volume, Rebar, Drop, Stairs and much more.","","Size: 5.7” X 3.0” X 0.65” (145 Mm X 76 Mm X 17 Mm); Weight: 4.15 Oz. (117.7 Gm); Power: One 3-Volt (Cr-2016) Long-Life Battery; Display Type: Lcd: 11 Digits* (7 Normal, 4 Fractions) With Full Annunciators; Display Dimensions: 0.73” X 2.56” (19 Mm X 6.5 Mm","Concrete Calculator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23736","Calculators",420113,"6130",,"Scale Master Pro Xe","Scale Master Pro Xe","Scale Master Pro Xe","",/\6\1\calculated-industries-6130-scale-master-pro-xe.jpg,/\6\1\calculated-industries-6130-scale-master-pro-xe.jpg,http://www.48ws.com/images/product/6/1/calculated-industries-6130-scale-master-pro-xe.jpg,calculated-industries-6130-scale-master-pro-xe,calculated-industries-6130-scale-master-pro-xe,,No layout updates.,Block after Info Column,,"Scale Master Pro Xe","Scale Master Pro Xe",Use config,"http://www.calculated.com/prd290/Scale-Master-Pro-XE-Digital-Plan-Measure.html#.VA9ZRPldWlI",0,,,0,"Calculated Industries",112,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Scale Master Pro Xe","<li>Complete takeoffs with speed and accuracy</li><br><li>Reduce errors in estimates and bids</li><br><li>Improve productivity and maximize profitability</li><br><li>Create permanent record of dimensions and values</li><br><li>Interfaces with PC spreadshe","The recently updated Scale Master® Pro XE makes it easy to do Linear, Area and Volume takeoffs with speed, accuracy and confidence when estimating, bidding or planning.","","2&quot; Wide X 1&quot; High","Scale Master Pro Xe",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
