store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",37263,"AHD1212",,"Metal Access Door 12&quot;x 12&quot; Primed","","Metal Access Door 12&quot;x 12&quot; Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and 1/4” return around t",/\A\H\Cendrex-AHD1212-Metal-Access-Door-12x-12- 1.jpg,/\A\H\Cendrex-AHD1212-Metal-Access-Door-12x-12- 1.jpg,http://www.48ws.com/images/product/A/H/Cendrex-AHD1212-Metal-Access-Door-12x-12- 1.jpg,Cendrex-AHD1212-Metal-Access-Door-12x-12-Primed,Cendrex-AHD1212-Metal-Access-Door-12x-12-Primed,,No layout updates.,Block after Info Column,,"Metal Access Door 12&quot;x 12&quot; Primed","Metal Access Door 12&quot;x 12&quot; Primed",Use config,"http://www.cendrex.com/index.php?option=com_content&view=article&id=174%3Aahd-gyp-la-porte-avec-cadre-pour-placoplatre&catid=41%3Ausage-universel&Itemid=123&lang=en",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8&quot; return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","<li>Material: 16 gauge cold rolled steel</li>
<li>Hinge: Hidden pin hinge, continuous piano hinge on doors over 24&quot;(height or width)</li>
<li>Lock/Latch: Screwdriver operated cam latch.</li>
<li>Finsih: DuPont high quality grey powder coat.</li>
","<li>Door Size(in): 12x12&quot;</li>
<li>Rough wall opening(in): 12 1/4&quot;x 12 1/4&quot;</li>
<li>Number of Locks: 1</li>","","Cendrex AHD1212 Metal Access Door 12&quot;x 12&quot; Primed","Metal Access Door 12&quot;x 12&quot; Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",37264,"AHD1616",,"Metal Access Door 16&quot;x 16&quot; Primed","","Metal Access Door 16&quot;x 16&quot; Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and ¼” return around the",/\A\H\Cendrex-AHD1616-Metal-Access-Door-16x-16- 1.jpg,/\A\H\Cendrex-AHD1616-Metal-Access-Door-16x-16- 1.jpg,http://www.48ws.com/images/product/A/H/Cendrex-AHD1616-Metal-Access-Door-16x-16- 1.jpg,Cendrex-AHD1616-Metal-Access-Door-16x-16-Primed,Cendrex-AHD1616-Metal-Access-Door-16x-16-Primed,,No layout updates.,Block after Info Column,,"Metal Access Door 16&quot;x 16&quot; Primed","Metal Access Door 16&quot;x 16&quot; Primed",Use config,"http://www.cendrex.com/index.php?option=com_content&view=article&id=174%3Aahd-gyp-la-porte-avec-cadre-pour-placoplatre&catid=41%3Ausage-universel&Itemid=123&lang=en",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8&quot; return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","<li>Material: 16 gauge cold rolled steel.</li>
<li>Hinge: Hidden pin hinge, continuous piano hinge on doors over 24&quot;(height or width)</li>
<li>Lock/Latch: Screwdriver operated cam latch</li>
<li>Finsih: DuPont high quality grey powder coat.</li>
","<li>Door Size(in): 16&quot;x 16&quot;</li>
<li>Rough Wall Opening(in): 16 1/4&quot;x 16 1/4&quot;</li>
<li>Number of locks: 1</li>","","Cendrex AHD1616 Metal Access Door 16&quot;x 16&quot; Primed","Metal Access Door 16&quot;x 16&quot; Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",37265,"AHD2424",,"Metal Access Door 24&quot;x 24&quot; Primed","","Metal Access Door 24&quot;x 24&quot; Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and 1/4&quot; return around t",/\A\H\Cendrex-AHD2424-Metal-Access-Door-24x-24- 1.jpg,/\A\H\Cendrex-AHD2424-Metal-Access-Door-24x-24- 1.jpg,http://www.48ws.com/images/product/A/H/Cendrex-AHD2424-Metal-Access-Door-24x-24- 1.jpg,Cendrex-AHD2424-Metal-Access-Door-24x-24-Primed,Cendrex-AHD2424-Metal-Access-Door-24x-24-Primed,,No layout updates.,Block after Info Column,,"Metal Access Door 24&quot;x 24&quot; Primed","Metal Access Door 24&quot;x 24&quot; Primed",Use config,"http://www.cendrex.com/index.php?option=com_content&view=article&id=174%3Aahd-gyp-la-porte-avec-cadre-pour-placoplatre&catid=41%3Ausage-universel&Itemid=123&lang=en",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8&quot; return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","<li>Material: 16 gauge cold rolled steel</li>
<li>Hinge: Hidden pin hinge, continuous piano hinge on doors over 24&quot;(height or width)</li>
<li>Lock/Latch: Screwdriver operated cam latch.</li>
<li>Finsh: DuPont high quality grey powder coat.</li>","<li>Door Size(in): 24&quot;x 24&quot;</li>
<li>Rough Wall Opening(in): 24 1/4&quot;x 24 1/4&quot;</li>
<li>Number of Locks: 1</li>","","Cendrex AHD2424 Metal Access Door 24&quot;x 24&quot; Primed","Metal Access Door 24&quot;x 24&quot; Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",37266,"AHD88",,"Metal Access Door 8&quot;x 8&quot; Primed","","Metal Access Door 8&quot;x 8&quot; Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and ¼” return around the",/\A\H\Cendrex-AHD88-Metal-Access-Door-8x-8- 1.jpg,/\A\H\Cendrex-AHD88-Metal-Access-Door-8x-8- 1.jpg,http://www.48ws.com/images/product/A/H/Cendrex-AHD88-Metal-Access-Door-8x-8- 1.jpg,Cendrex-AHD88-Metal-Access-Door-8x-8-Primed,Cendrex-AHD88-Metal-Access-Door-8x-8-Primed,,No layout updates.,Block after Info Column,,"Metal Access Door 8&quot;x 8&quot; Primed","Metal Access Door 8&quot;x 8&quot; Primed",Use config,"http://www.cendrex.com/index.php?option=com_content&view=article&id=174%3Aahd-gyp-la-porte-avec-cadre-pour-placoplatre&catid=41%3Ausage-universel&Itemid=123&lang=en",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8&quot; return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","<li>Material: 16 gauge cold rolled steel</li>
<li>Hinge: Hidden pin hinge, continuous piano hinge on doors over 24&quot;(height or width)</li>
<li>Lock/Latch: Screwdriver operated cam latch.</li>
<li>Finish: DuPont high quality grey powder coat.</li>
","<li>Door Size(in): 8&quot;x 8&quot;</li>
<li>Rough Wall Opening(in): 8 1/4&quot;x 8 1/4&quot;</li>
<li>Number of locks: 1</li>","","Cendrex AHD88 Metal Access Door 8&quot;x 8&quot; Primed","Metal Access Door 8&quot;x 8&quot; Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",37267,"PFN1818FR",,"Metal Access Door 18&quot;x 18&quot; Fire Rated-Primed","","Metal Access Door 18&quot;x 18&quot; Fire Rated-Primed","The PFN access door is not insulated and can only be used on fire rated walls. It comes with a 1” flange for an easy flush installation on any type of surface material. As per UL standards, once the installation is complete and the provided springs instal",/\P\F\Cendrex-PFN1818FR-Metal-Access-Door-18x-18-Fire-Rated.jpg,/\P\F\Cendrex-PFN1818FR-Metal-Access-Door-18x-18-Fire-Rated.jpg,http://www.48ws.com/images/product/P/F/Cendrex-PFN1818FR-Metal-Access-Door-18x-18-Fire-Rated.jpg,Cendrex-PFN1818FR-Metal-Access-Door-18x-18-Fire-Rated-Primed,Cendrex-PFN1818FR-Metal-Access-Door-18x-18-Fire-Rated-Primed,,No layout updates.,Block after Info Column,,"Metal Access Door 18&quot;x 18&quot; Fire Rated-Primed","Metal Access Door 18&quot;x 18&quot; Fire Rated-Primed",Use config,"http://www.cendrex.com/index.php?option=com_content&view=article&id=169%3Apfn-la-porte-non-isolee-homologuee-contre-le-feu-pour-murs&catid=42%3Ahomologuees-contre-le-feu&Itemid=111&lang=en",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The PFN access door is not insulated and can only be used on fire rated walls. It comes with a 1&quot; flange for an easy flush installation on any type of surface material. As per UL standards, once the installation is complete and the provided springs installed, this door will be self closing and self locking. It should not be used in situations where protection against temperature elevation is required. The largest fire rated PFN door available is: (36'' x 36'').","<li>Fire Rating: 2 hour fire barrier, rating 1½ hours. Access/Door Frame Assembly (uninsulated) for installation in vertical wall assemblies. Maximum door size of: 36&quot; x 36&quot;. Standards listed: NFPA 252-2033, UL 10b, UL-555, CAN/ULC S112 M90-R2001, CAN/ULC S104-79R2000. MEA # 507-06-M</li>
<li>Material: 16 gauge cold rolled steel</li>
<li>Hinge: Continuous piano hinge</li>
<li>Lock/Latch: Self Latching tool-key operated latch and/or ring operated latch, both included</li>
<li>Inside Panel Release: Standard on all doors</li>
<li>Automatic Panel Closer: Standard on all doors</li>
<li>Finish: DuPont high quality grey powder coat</li>","<li>Door Size(in): 18&quot;x 18&quot;</li>
<li>Rough Wall Opening(in): 18 1/4&quot;x 18 1/4&quot;</li>
<li>Number of Locks: 1</li>","","Cendrex PFN1818FR Metal Access Door 18&quot;x 18&quot; Fire Rated-Primed","Metal Access Door 18&quot;x 18&quot; Fire Rated-Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",37268,"PFN2424FR",,"Metal Access Door 24&quot;x 24&quot; Fire Rated-Primed","","Metal Access Door 24&quot;x 24&quot; Fire Rated-Primed","The PFN access door is not insulated and can only be used on fire rated walls. It comes with a 1” flange for an easy flush installation on any type of surface material. As per UL standards, once the installation is complete and the provided springs instal",/\P\F\Cendrex-PFN2424FR-Metal-Access-Door-24x-24-Fire-Rated.jpg,/\P\F\Cendrex-PFN2424FR-Metal-Access-Door-24x-24-Fire-Rated.jpg,http://www.48ws.com/images/product/P/F/Cendrex-PFN2424FR-Metal-Access-Door-24x-24-Fire-Rated.jpg,Cendrex-PFN2424FR-Metal-Access-Door-24x-24-Fire-Rated-Primed,Cendrex-PFN2424FR-Metal-Access-Door-24x-24-Fire-Rated-Primed,,No layout updates.,Block after Info Column,,"Metal Access Door 24&quot;x 24&quot; Fire Rated-Primed","Metal Access Door 24&quot;x 24&quot; Fire Rated-Primed",Use config,"http://www.cendrex.com/index.php?option=com_content&view=article&id=169%3Apfn-la-porte-non-isolee-homologuee-contre-le-feu-pour-murs&catid=42%3Ahomologuees-contre-le-feu&Itemid=111&lang=en",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The PFN access door is not insulated and can only be used on fire rated walls. It comes with a 1&quot; flange for an easy flush installation on any type of surface material. As per UL standards, once the installation is complete and the provided springs installed, this door will be self closing and self locking. It should not be used in situations where protection against temperature elevation is required. The largest fire rated PFN door available is: (36'' x 36'').","<li>Fire Rating: 2 hour fire barrier, rating 1½ hours. Access/Door Frame Assembly (uninsulated) for installation in vertical wall assemblies. Maximum door size of: 36&quot; x 36&quot;. Standards listed: NFPA 252-2033, UL 10b, UL-555, CAN/ULC S112 M90-R2001, CAN/ULC S104-79R2000. MEA # 507-06-M</li>
<li>Material: 16 gauge cold rolled steel</li>
<li>Hinge: Continuous piano hinge</li>
<li>Lock/Latch: Self latching tool-key operated latch and/or ring operated latch, both included</li>
<li>Inside panel release: Standard on all doors</li>
<li>Automatic panel closer: Standard on all doors</li>
<li>Finish: DuPont hgih quality grey powder coat</li>","<li>Door Size(in): 24&quot;x 24&quot;</li>
<li>Rough Wall Opening(in): 24 1/4&quot;x 24 1/4&quot;</li>
<li>Number of Locks: 1</li>","","Cendrex PFN2424FR Metal Access Door 24&quot;x 24&quot; Fire Rated-Primed","Metal Access Door 24&quot;x 24&quot; Fire Rated-Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",37271,"AHD66",,"Metal Access Door 6&quot;x 6&quot; Primed","","Metal Access Door 6&quot;x 6&quot; Primed","The AHD-GYP access door is engineered for a clean final finish. Once a sufficient layer of drywall compound is applied to the corner bead flange it will leave only the door panel visible. Just like the AHD, the concealed pin hinge and ¼” return around the",/\A\H\Cendrex-AHD66-Metal-Access-Door-6x-6- 1.jpg,/\A\H\Cendrex-AHD66-Metal-Access-Door-6x-6- 1.jpg,http://www.48ws.com/images/product/A/H/Cendrex-AHD66-Metal-Access-Door-6x-6- 1.jpg,Cendrex-AHD66-Metal-Access-Door-6x-6-Primed,Cendrex-AHD66-Metal-Access-Door-6x-6-Primed,,No layout updates.,Block after Info Column,,"Metal Access Door 6&quot;x 6&quot; Primed","Metal Access Door 6&quot;x 6&quot; Primed",Use config,"http://www.cendrex.com/index.php?option=com_content&view=article&id=224&Itemid=122&lang=en",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The AHD is designed for a quick and easy installation on non-rated vertical and horizontal surfaces made of drywall or any other type of material. Its rounded mitered corners, concealed pin hinge and 3/8&quot; return all around the door make it the sturdiest door on the market. The AHD prevents sagging as compared to flat door panels and requires fewer locks.","<li>Material: 16 gauge cold rolled steel</li>
<li>Hinge: Hidden pin hinge, continuous piano hinge on doors over 24&quot;(height or width)</li>
<li>Lock/Latch: Screwdriver operated cam latch</li>
<li>Finish: DuPont high quality grey powder coat</li>
","<li>Door Size(in): 6&quot;x 6&quot;</li>
<li>Rough Wall Opening: 6 1/4&quot;x 6 1/4&quot;</li>
<li>Number of Locks: 1</li>
","","Cendrex AHD66 Metal Access Door 6&quot;x 6&quot; Primed","Metal Access Door 6&quot;x 6&quot; Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26898","Access Doors",462887,"CTA08X9.5",,"Adjustable Access Door  - White Primed","","Adjustable Access Door  - White Primed","",/\C\T\cendrex-cta08x95-adjustable-access-door-white-primed.jpg,/\C\T\cendrex-cta08x95-adjustable-access-door-white-primed.jpg,http://www.48ws.com/images/product/C/T/cendrex-cta08x95-adjustable-access-door-white-primed.jpg,cendrex-CTA08X95-adjustable-access-door-white-primed,cendrex-CTA08X95-adjustable-access-door-white-primed,,No layout updates.,Block after Info Column,,"Adjustable Access Door  - White Primed","Adjustable Access Door  - White Primed",Use config,"",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Unlike most existing access doors, the CTA access door is adjustable to the size of the opening; offering a flush-mounted, metal panel that is durable and versatile. Installing the door is quick and easy and requires minimal tools. The CTA access door is also aesthetically superior and it is offered in two models, one with a screwdriver lock and one without","","","","8 x 8   up to   9.5 x 9.5","Adjustable Access Door  - White Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26898","Access Doors",462888,"CTA12X13.5",,"Adjustable Access Door  - White Primed","","Adjustable Access Door  - White Primed","",/\C\T\cendrex-cta12x135-adjustable-access-door-white-primed.jpg,/\C\T\cendrex-cta12x135-adjustable-access-door-white-primed.jpg,http://www.48ws.com/images/product/C/T/cendrex-cta12x135-adjustable-access-door-white-primed.jpg,cendrex-CTA12X135-adjustable-access-door-white-primed,cendrex-CTA12X135-adjustable-access-door-white-primed,,No layout updates.,Block after Info Column,,"Adjustable Access Door  - White Primed","Adjustable Access Door  - White Primed",Use config,"",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Unlike most existing access doors, the CTA access door is adjustable to the size of the opening; offering a flush-mounted, metal panel that is durable and versatile. Installing the door is quick and easy and requires minimal tools. The CTA access door is also aesthetically superior and it is offered in two models, one with a screwdriver lock and one without","","","","12 x 12   up to   13.5 x 13.5","Adjustable Access Door  - White Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26898","Access Doors",462889,"CTA14X15.5",,"Adjustable Access Door  - White Primed","","Adjustable Access Door  - White Primed","",/\C\T\cendrex-cta14x155-adjustable-access-door-white-primed.jpg,/\C\T\cendrex-cta14x155-adjustable-access-door-white-primed.jpg,http://www.48ws.com/images/product/C/T/cendrex-cta14x155-adjustable-access-door-white-primed.jpg,cendrex-CTA14X155-adjustable-access-door-white-primed,cendrex-CTA14X155-adjustable-access-door-white-primed,,No layout updates.,Block after Info Column,,"Adjustable Access Door  - White Primed","Adjustable Access Door  - White Primed",Use config,"",0,,,0,"Cendrex",292,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Unlike most existing access doors, the CTA access door is adjustable to the size of the opening; offering a flush-mounted, metal panel that is durable and versatile. Installing the door is quick and easy and requires minimal tools. The CTA access door is also aesthetically superior and it is offered in two models, one with a screwdriver lock and one without","","","","14 x 14   up to   15.5 x 15.5","Adjustable Access Door  - White Primed",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
