store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"202|23506","Hoist | Winch|Winch Accessories",37541,"0210",,"Mini Hoist","","Mini Hoist","The CM Series 602 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. It performs just like the larger models and are available in 550 pound lifting capabilities.",/\T\B\TB602-5-CM-Consumer-Products-Mini.jpg,/\T\B\TB602-5-CM-Consumer-Products-Mini.jpg,http://www.48ws.com/images/product/T/B/TB602-5-CM-Consumer-Products-Mini.jpg,TB602-5-CM-Consumer-Products-Mini-Hoist,TB602-5-CM-Consumer-Products-Mini-Hoist,,No layout updates.,Block after Info Column,,"Mini Hoist","Mini Hoist",Use config,"http://www.cmworks.com/ProductDetail.aspx?id=3025",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The CM Series 602 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. It performs just like the larger models and are available in 550 pound lifting capabilities.","Product Type: Lever Hoist<br>
Capacity: 550 lbs<br>
Lift: 5'<br>
Hoist Model: 602<br>
Type: Chain<br>","<li>Plated load chain is standard.</li>
<li>Weston-type load brake.</li>
<li>Rubber hand grip for better comfort and security.</li>
<li>Lightweight design for ease of portability. Use in confined conditions with one-hand operation.</li>
<li>Forged upper and lower hooks with latches standard.</li>
<li>Impact resistant, all-steel frame, gear case and cover.</li>
<li>Hardened link-type alloy steel load chain for strength and long wear.</li>
<li>Free wheeling feature serves to quickly attach the load.</li>
<li>Metric rated.</li>","","TB602 5 CM Consumer Products Mini Hoist","Mini Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23131","Manual Chain Hoists",547844,"BAN075",,"Bandit Hoist 3/4 Ton","","Bandit Hoist 3/4 Ton","",/\B\A\columbus-mckinnon-corporation-ban075-bandit-hoist-34-ton.png,/\B\A\columbus-mckinnon-corporation-ban075-bandit-hoist-34-ton.png,http://www.48ws.com/images/product/B/A/columbus-mckinnon-corporation-ban075-bandit-hoist-34-ton.png,columbus-mckinnon-corporation-BAN075-bandit-hoist-34-ton,columbus-mckinnon-corporation-BAN075-bandit-hoist-34-ton,,No layout updates.,Block after Info Column,,"Bandit Hoist 3/4 Ton","Bandit Hoist 3/4 Ton",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The new Bandit, is CM’s lightest and most compact 3/4 & 1.5 ton ratchet lever hoist ever. A portable design, easy free chaining, and 360 degrees rotating handle make it one of the most versatile hoists on the market today. Why a Bandit? Check out these great features:

Rugged, yet lightweight, design and construction is easily transported and used in even the most confining spaces.
Easy free chaining feature allows for quick take up and positioning of slack chain. Designed not to accidently free chain while under load.
360 degrees rotating handle allows for versatile rigging options when working in tight spaces.
Double reduction gearing provides easy operation with low handle effort.
Screwed-on comfortable rubber grip makes for a secure hold in all environments.
Meets ASME B30.21
Enclosed Weston type load brake stays clean and dry for positive load positioning.
Upper and lower hooks feature standard forged safety latches that provide positive and secure load engagement. Hooks are bolted on for easy removal and inspection.
Upper and lower hooks feature extra wide throat openings to allow for easier attachment to pick points. Hooks swivel 360 degrees for faster positioning.
Hooks made in the USA
Impact-resistant stamped steel housing withstands repeated rigorous use.
Standard powder coat finish on housing and zinc plating on major components for extra protection against corrosion in harsh environments.
100% load tested gold chromate chain offers proven chain integrity and corrosion resistance.
Chain made in the USA
Each unit has a unique serial number for easy and accurate identification.
Lifetime Warranty","","","","","Bandit Hoist 3/4 Ton",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23131","Manual Chain Hoists",547845,"BAN150",,"Bandit Hoist 1.5 Ton","","Bandit Hoist 1.5 Ton","",/\B\A\columbus-mckinnon-corporation-ban150-bandit-hoist-15-ton.png,/\B\A\columbus-mckinnon-corporation-ban150-bandit-hoist-15-ton.png,http://www.48ws.com/images/product/B/A/columbus-mckinnon-corporation-ban150-bandit-hoist-15-ton.png,columbus-mckinnon-corporation-BAN150-bandit-hoist-15-ton,columbus-mckinnon-corporation-BAN150-bandit-hoist-15-ton,,No layout updates.,Block after Info Column,,"Bandit Hoist 1.5 Ton","Bandit Hoist 1.5 Ton",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The new Bandit, is CM’s lightest and most compact 3/4 & 1.5 ton ratchet lever hoist ever. A portable design, easy free chaining, and 360 degrees rotating handle make it one of the most versatile hoists on the market today. Why a Bandit? Check out these great features:

Rugged, yet lightweight, design and construction is easily transported and used in even the most confining spaces.
Easy free chaining feature allows for quick take up and positioning of slack chain. Designed not to accidently free chain while under load.
360 degrees rotating handle allows for versatile rigging options when working in tight spaces.
Double reduction gearing provides easy operation with low handle effort.
Screwed-on comfortable rubber grip makes for a secure hold in all environments.
Meets ASME B30.21
Enclosed Weston type load brake stays clean and dry for positive load positioning.
Upper and lower hooks feature standard forged safety latches that provide positive and secure load engagement. Hooks are bolted on for easy removal and inspection.
Upper and lower hooks feature extra wide throat openings to allow for easier attachment to pick points. Hooks swivel 360 degrees for faster positioning.
Hooks made in the USA
Impact-resistant stamped steel housing withstands repeated rigorous use.
Standard powder coat finish on housing and zinc plating on major components for extra protection against corrosion in harsh environments.
100% load tested gold chromate chain offers proven chain integrity and corrosion resistance.
Chain made in the USA
Each unit has a unique serial number for easy and accurate identification.
Lifetime Warranty","","","","","Bandit Hoist 1.5 Ton",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23131","Manual Chain Hoists",547846,"BAN300",,"Bandit Hoist 3 Ton","","Bandit Hoist 3 Ton","",/\B\A\columbus-mckinnon-corporation-ban300-bandit-hoist-3-ton.png,/\B\A\columbus-mckinnon-corporation-ban300-bandit-hoist-3-ton.png,http://www.48ws.com/images/product/B/A/columbus-mckinnon-corporation-ban300-bandit-hoist-3-ton.png,columbus-mckinnon-corporation-BAN300-bandit-hoist-3-ton,columbus-mckinnon-corporation-BAN300-bandit-hoist-3-ton,,No layout updates.,Block after Info Column,,"Bandit Hoist 3 Ton","Bandit Hoist 3 Ton",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The CM® Bandit™ is one of the most compact and durable ratchet lever hoists in the industry. Its lightweight and portable design, easy free-chaining feature and 360° rotating handle make it one of the most versatile hoists on the market today.

COMPACT & PORTABLE DESIGN Rugged yet lightweight design and construction allow the Bandit to be easily transported and used in even the most confined spaces.

EASY FREE CHAINING Allows for quick take up and positioning of slack chain. Designed not to accidently free chain while under load.

360° ROTATING HANDLE Full rotation of handle allows for versatile rigging options when working in tight spaces.

LOW-EFFORT, COMFORT-FIT HANDLE Double reduction gearing provides easy operation with minimal handle effort. Screwed-on comfortable rubber grip for a secure hold in all environments.

LOAD SECURITY & EASY INSPECTION Upper and lower hooks feature standard cast safety latches that provide positive and secure load engagement. Hooks are bolted on for easy removal and inspection.

MEETS ASME B30.21

POSITIVE LOAD CONTROL Enclosed Weston-type load brake stays clean and dry for positive load positioning.

EASY TO POSITION & ATTACH Upper and lower hooks feature extra-wide throat openings to allow for easier attachment to pick points. Hooks swivel 360° for faster positioning.

BUILT TO LAST Impact-resistant stamped steel housing withstands repeated rigorous use.

CORROSION RESISTANT Standard powder coat finish on housing and zinc plating on major components for extra protection against corrosion in harsh environments.

100% LOAD TESTED GOLD CHROMATE CHAIN* Designed and manufactured in the U.S.A. by Columbus McKinnon. Gold chromate protects against corrosion. (*3/4 and 1-1/2 ton Canadian units have zinc-plated chain)

EASY IDENTIFICATION Each unit has a unique serial number for easy and accurate identification.

TRI-POINT HOOK INSPECTION** Bandit units feature the Tri-Point Hook Inspection system to help protect operators from unsafe lifting conditions. Hooks have 3 distinct raised points operators can use to measure the hook to detect overload or deformation. (**Not available on 3/4 and 1-1/2 ton U.S. units)","","","","","Bandit Hoist 3 Ton",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23131","Manual Chain Hoists",547847,"BAN600",,"Bandit Hoist 6 Ton","","Bandit Hoist 6 Ton","",/\B\A\columbus-mckinnon-corporation-ban600-bandit-hoist-6-ton.png,/\B\A\columbus-mckinnon-corporation-ban600-bandit-hoist-6-ton.png,http://www.48ws.com/images/product/B/A/columbus-mckinnon-corporation-ban600-bandit-hoist-6-ton.png,columbus-mckinnon-corporation-BAN600-bandit-hoist-6-ton,columbus-mckinnon-corporation-BAN600-bandit-hoist-6-ton,,No layout updates.,Block after Info Column,,"Bandit Hoist 6 Ton","Bandit Hoist 6 Ton",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The CM® Bandit™ is one of the most compact and durable ratchet lever hoists in the industry. Its lightweight and portable design, easy free-chaining feature and 360° rotating handle make it one of the most versatile hoists on the market today.

COMPACT & PORTABLE DESIGN Rugged yet lightweight design and construction allow the Bandit to be easily transported and used in even the most confined spaces.

EASY FREE CHAINING Allows for quick take up and positioning of slack chain. Designed not to accidently free chain while under load.

360° ROTATING HANDLE Full rotation of handle allows for versatile rigging options when working in tight spaces.

LOW-EFFORT, COMFORT-FIT HANDLE Double reduction gearing provides easy operation with minimal handle effort. Screwed-on comfortable rubber grip for a secure hold in all environments.

LOAD SECURITY & EASY INSPECTION Upper and lower hooks feature standard cast safety latches that provide positive and secure load engagement. Hooks are bolted on for easy removal and inspection.

MEETS ASME B30.21

POSITIVE LOAD CONTROL Enclosed Weston-type load brake stays clean and dry for positive load positioning.

EASY TO POSITION & ATTACH Upper and lower hooks feature extra-wide throat openings to allow for easier attachment to pick points. Hooks swivel 360° for faster positioning.

BUILT TO LAST Impact-resistant stamped steel housing withstands repeated rigorous use.

CORROSION RESISTANT Standard powder coat finish on housing and zinc plating on major components for extra protection against corrosion in harsh environments.

100% LOAD TESTED GOLD CHROMATE CHAIN* Designed and manufactured in the U.S.A. by Columbus McKinnon. Gold chromate protects against corrosion. (*3/4 and 1-1/2 ton Canadian units have zinc-plated chain)

EASY IDENTIFICATION Each unit has a unique serial number for easy and accurate identification.

TRI-POINT HOOK INSPECTION** Bandit units feature the Tri-Point Hook Inspection system to help protect operators from unsafe lifting conditions. Hooks have 3 distinct raised points operators can use to measure the hook to detect overload or deformation. (**Not available on 3/4 and 1-1/2 ton U.S. units)","","","","","Bandit Hoist 6 Ton",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23130","Lever Chain Hoists",639257,"0212",,"CM 0212 CARRYING BAG FOR SERIES 602 LEVER HOIST","CARRYING BAG FOR SERIES 602 LEVER HOIST","CM 0212 CARRYING BAG FOR SERIES 602 LEVER HOIST","",/\0\2\columbus-mckinnon-corporation-0212-cm-0212-carrying-bag-for-series-602-lever-hoist.jpg,/\0\2\columbus-mckinnon-corporation-0212-cm-0212-carrying-bag-for-series-602-lever-hoist.jpg,http://www.48ws.com/images/product/0/2/columbus-mckinnon-corporation-0212-cm-0212-carrying-bag-for-series-602-lever-hoist.jpg,columbus-mckinnon-corporation-0212-cm-0212-carrying-bag-for-series-602-lever-hoist,columbus-mckinnon-corporation-0212-cm-0212-carrying-bag-for-series-602-lever-hoist,,No layout updates.,Block after Info Column,,"CM 0212 CARRYING BAG FOR SERIES 602 LEVER HOIST","CM 0212 CARRYING BAG FOR SERIES 602 LEVER HOIST",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Carry bag for use with 602 series mini-ratchet lever hoists","Carry bag for use with 602 series mini-ratchet lever hoists","CARRYING BAG FOR SERIES 602 LEVER HOIST
<ul>
<li>Carry bag for use with 602 series mini-ratchet lever hoists</li>
</ul>","","CARRYING BAG FOR SERIES 602 LEVER HOIST
<ul>
<li>Carry bag for use with 602 series mini-ratchet lever hoists</li>
</ul>","CM 0212 CARRYING BAG FOR SERIES 602 LEVER HOIST",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23128","Electric Hoists",639258,"0214",,"CM 0214 602 550LB 10 LIFT MINI RATCHET LEVER PULLER","Mini Ratchet Lever Hoist","CM 0214 602 550LB 10 LIFT MINI RATCHET LEVER PULLER","",/\0\2\columbus-mckinnon-corporation-0214-cm-0214-602-550lb-10-lift-mini-ratchet-lever-puller.jpg,/\0\2\columbus-mckinnon-corporation-0214-cm-0214-602-550lb-10-lift-mini-ratchet-lever-puller.jpg,http://www.48ws.com/images/product/0/2/columbus-mckinnon-corporation-0214-cm-0214-602-550lb-10-lift-mini-ratchet-lever-puller.jpg,columbus-mckinnon-corporation-0214-cm-0214-602-550lb-10-lift-mini-ratchet-lever-puller,columbus-mckinnon-corporation-0214-cm-0214-602-550lb-10-lift-mini-ratchet-lever-puller,,No layout updates.,Block after Info Column,,"CM 0214 602 550LB 10 LIFT MINI RATCHET LEVER PULLER","CM 0214 602 550LB 10 LIFT MINI RATCHET LEVER PULLER",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The CM Series 602 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.","The CM Series 602 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.","<ul>
<li>Plated load chain is standard.</li>
<li>Weston-type load brake.</li>
<li>Rubber hand grip for better comfort and security.</li>
<li>Lightweight design for ease of portability. Use in confined conditions with one-hand operation.</li>
<li>Forged upper and lower hooks with latches standard.</li>
<li>Impact resistant, all-steel frame, gear case and cover.</li>
<li>Hardened link-type alloy steel load chain for strength and long wear.</li>
<li>Free wheeling feature serves to quickly attach the load.</li>
<li>Metric rated.</li>
</ul>","","550LB 10 LIFT MINI RATCHET LEVER PULLER
","CM 0214 602 550LB 10 LIFT MINI RATCHET LEVER PULLER",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23128","Electric Hoists",639259,"0215",,"CM 0215 603 1100LB 5 LIFT MINI LEVER HOIST","603 Mini Ratchet Lever Hoist","CM 0215 603 1100LB 5 LIFT MINI LEVER HOIST","",/\0\2\columbus-mckinnon-corporation-0215-cm-0215-603-1100lb-5-lift-mini-lever-hoist.jpg,/\0\2\columbus-mckinnon-corporation-0215-cm-0215-603-1100lb-5-lift-mini-lever-hoist.jpg,http://www.48ws.com/images/product/0/2/columbus-mckinnon-corporation-0215-cm-0215-603-1100lb-5-lift-mini-lever-hoist.jpg,columbus-mckinnon-corporation-0215-cm-0215-603-1100lb-5-lift-mini-lever-hoist,columbus-mckinnon-corporation-0215-cm-0215-603-1100lb-5-lift-mini-lever-hoist,,No layout updates.,Block after Info Column,,"CM 0215 603 1100LB 5 LIFT MINI LEVER HOIST","CM 0215 603 1100LB 5 LIFT MINI LEVER HOIST",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The CM Series 603 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.","The CM Series 603 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.
<ul>
<li>Plated load chain is standard.</li>
<li>Weston-type load brake.</li>
<li>Rubber hand grip for better comfort and security.</li>
<li>Lightweight design for ease of portability. Use in confined conditions with one-hand operation.</li>
<li>Forged upper and lower hooks with latches standard.</li>
<li>Impact resistant, all-steel frame, gear case and cover.</li>
<li>Hardened link-type alloy steel load chain for strength and long wear.</li>
<li>Free wheeling feature serves to quickly attach the load.</li>
<li>Metric rated.</li>
</ul>","<ul>
<li>Plated load chain is standard.</li>
<li>Weston-type load brake.</li>
<li>Rubber hand grip for better comfort and security.</li>
<li>Lightweight design for ease of portability. Use in confined conditions with one-hand operation.</li>
<li>Forged upper and lower hooks with latches standard.</li>
<li>Impact resistant, all-steel frame, gear case and cover.</li>
<li>Hardened link-type alloy steel load chain for strength and long wear.</li>
<li>Free wheeling feature serves to quickly attach the load.</li>
<li>Metric rated.</li>
</ul>","","<ul>
<li>1100 LB LIFT</li>
<li>5 FT LIFT</li>
</ul>","CM 0215 603 1100LB 5 LIFT MINI LEVER HOIST",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23128","Electric Hoists",639260,"0216",,"CM 0216 603 1100LB MINI LEVER HOIST 10 LIFT","603 Mini Ratchet Lever Hoist","CM 0216 603 1100LB MINI LEVER HOIST 10 LIFT","",/\0\2\columbus-mckinnon-corporation-0216-cm-0216-603-1100lb-mini-lever-hoist-10-lift.jpg,/\0\2\columbus-mckinnon-corporation-0216-cm-0216-603-1100lb-mini-lever-hoist-10-lift.jpg,http://www.48ws.com/images/product/0/2/columbus-mckinnon-corporation-0216-cm-0216-603-1100lb-mini-lever-hoist-10-lift.jpg,columbus-mckinnon-corporation-0216-cm-0216-603-1100lb-mini-lever-hoist-10-lift,columbus-mckinnon-corporation-0216-cm-0216-603-1100lb-mini-lever-hoist-10-lift,,No layout updates.,Block after Info Column,,"CM 0216 603 1100LB MINI LEVER HOIST 10 LIFT","CM 0216 603 1100LB MINI LEVER HOIST 10 LIFT",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The CM Series 603 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.","The CM Series 603 Mini Ratchet Lever Hoist features the most compact and comfortable ratchet lever hoist in the market. They perform just like larger lever hoist models.
<ul>
<li>Plated load chain is standard.</li>
<li>Weston-type load brake.</li>
<li>Rubber hand grip for better comfort and security.</li>
<li>Lightweight design for ease of portability. Use in confined conditions with one-hand operation.</li>
<li>Forged upper and lower hooks with latches standard.</li>
<li>Impact resistant, all-steel frame, gear case and cover.</li>
<li>Hardened link-type alloy steel load chain for strength and long wear.</li>
<li>Free wheeling feature serves to quickly attach the load.</li>
<li>Metric rated.</li>
</ul>","<ul>
<li>Plated load chain is standard.</li>
<li>Weston-type load brake.</li>
<li>Rubber hand grip for better comfort and security.</li>
<li>Lightweight design for ease of portability. Use in confined conditions with one-hand operation.</li>
<li>Forged upper and lower hooks with latches standard.</li>
<li>Impact resistant, all-steel frame, gear case and cover.</li>
<li>Hardened link-type alloy steel load chain for strength and long wear.</li>
<li>Free wheeling feature serves to quickly attach the load.</li>
<li>Metric rated.</li>
</ul>","","<ul>
<li>1100 LB LIFT</li>
<li>10 FT LIFT</li>
</ul>","CM 0216 603 1100LB MINI LEVER HOIST 10 LIFT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21695","Cable Pulling Jaw Grips",639261,"04459W",,"CM 04459W 5TON WIRE PULLING GRIP SPRING LOADED","Wire Grip","CM 04459W 5TON WIRE PULLING GRIP SPRING LOADED","",/\0\4\columbus-mckinnon-corporation-04459w-cm-04459w-5ton-wire-pulling-grip-spring-loaded.jpg,/\0\4\columbus-mckinnon-corporation-04459w-cm-04459w-5ton-wire-pulling-grip-spring-loaded.jpg,http://www.48ws.com/images/product/0/4/columbus-mckinnon-corporation-04459w-cm-04459w-5ton-wire-pulling-grip-spring-loaded.jpg,columbus-mckinnon-corporation-04459W-cm-04459w-5ton-wire-pulling-grip-spring-loaded,columbus-mckinnon-corporation-04459W-cm-04459w-5ton-wire-pulling-grip-spring-loaded,,No layout updates.,Block after Info Column,,"CM 04459W 5TON WIRE PULLING GRIP SPRING LOADED","CM 04459W 5TON WIRE PULLING GRIP SPRING LOADED",Use config,"https://www.cmworks.com/",0,,,0,"Columbus McKinnon Corporation",343,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Little Mule Wire Grips hold wire in place while pulling and stretching. They get the job done efficiently and economically.","Little Mule Wire Grips hold wire in place while pulling and stretching. They get the job done efficiently and economically.","<ul>
<li>Large handle eye opening, accepts standard hooks and easily attaches to tackle blocks</li>
<li>Forged steel construction, durable yet lightweight</li>
<li>Yellow chromate finish, protects components from rust and corrosion</li>
</ul>","","5TON WIRE PULLING GRIP SPRING LOADED
<ul>
<li>Product Type: Lever Hoist</li>
<li>Capacity : 10,000 lbs</li>
<li>Hoist Model: Wire Grips</li>
<li>Versatility - All models are rated for a variety of wire sizes and types, so fewer grip changes are required</","CM 04459W 5TON WIRE PULLING GRIP SPRING LOADED",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
