store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"28155","Welding Screen and Frames",517326,"CG9000DML",,"Fire Curtain Protection ","","Fire Curtain Protection ","",/,/,/,cover-guard-CG9000DML-fire-curtain-protection,cover-guard-CG9000DML-fire-curtain-protection,,No layout updates.,Block after Info Column,,"Fire Curtain Protection ","Fire Curtain Protection ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Fire Curtain cover guard® was designed for use in the marine, offshore and petrochemical industries as well as other heavy welding plants. It features a fibreglass base fabric and our specially formulated silicone rubber compound. This heavy duty fabric has been used to surround awnings and scaffolding and provides greater life, water and oil repellency than uncoated fabrics.","","","","","Fire Curtain Protection ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28155","Welding Screen and Frames",517327,"CG0672TF",,"Wall Protection ","","Wall Protection ","",/,/,/,cover-guard-CG0672TF-wall-protection,cover-guard-CG0672TF-wall-protection,,No layout updates.,Block after Info Column,,"Wall Protection ","Wall Protection ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Wall cover guard® was developed from the original Floor cover guard®, in response to market demand for protection of all types of vertical wall and bulkhead finishes. It is made from flame-retardant polyethylene and uses include the protection of walls, floors, bulkheads, weatherdecks and furnishings.","","","","","Wall Protection ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28155","Welding Screen and Frames",517328,"CG1036/72DP",,"Floor Protection ","","Floor Protection ","",/\C\G\cover-guard-cg103672dp-floor-protection.jpg,/\C\G\cover-guard-cg103672dp-floor-protection.jpg,http://www.48ws.com/images/product/C/G/cover-guard-cg103672dp-floor-protection.jpg,cover-guard-CG1036-72DP-floor-protection,cover-guard-CG1036-72DP-floor-protection,,No layout updates.,Block after Info Column,,"Floor Protection ","Floor Protection ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The original cover guard® product was developed for the temporary protection of all types of floor finishes. It is also suitable for protecting walls, bulkheads, weatherdecks, furnishings and for wrapping and containment. It was specifically designed for use within the industrial sectors of rail, aviation, naval, cruise, ferry, luxury yacht, offshore, construction, for new building, refit, repair and maintenance.","","","","","Floor Protection ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26719","Welding Tables",517329,"CGTP20010",,"Tape ","","Tape ","",/,/,/,cover-guard-CGTP20010-tape,cover-guard-CGTP20010-tape,,No layout updates.,Block after Info Column,,"Tape ","Tape ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The second tape this range has to offer leaves no glue transfer or residue. It is a high quality cloth tape with a natural rubber adhesive and is designed for applications where a clean peel, low tack tape is required, for example when sticking down onto carpet or other finished surfaces.","","","","","Tape ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23252","Bubble Rolls",517330,"CG4815BW",,"Bubble Wrap ","","Bubble Wrap ","",/\C\G\cover-guard-cg4815bw-bubble-wrap.jpg,/\C\G\cover-guard-cg4815bw-bubble-wrap.jpg,http://www.48ws.com/images/product/C/G/cover-guard-cg4815bw-bubble-wrap.jpg,cover-guard-CG4815BW-bubble-wrap,cover-guard-CG4815BW-bubble-wrap,,No layout updates.,Block after Info Column,,"Bubble Wrap ","Bubble Wrap ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Wrapping and covering objects is often the only way to protect them from light damage and if done properly can be a very cost effective solution. Originally designed for use on board Navy vessels and luxury yachts, Bubble Wrap cover guard® can be used for wrapping electrical appliances, machinery, walls, for storage purposes and for transporting equipment.","","","","","Bubble Wrap ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23252","Bubble Rolls",517331,"CG48153BW",,"Bubble Wrap ","","Bubble Wrap ","",/\C\G\cover-guard-cg48153bw-bubble-wrap.jpg,/\C\G\cover-guard-cg48153bw-bubble-wrap.jpg,http://www.48ws.com/images/product/C/G/cover-guard-cg48153bw-bubble-wrap.jpg,cover-guard-CG48153BW-bubble-wrap,cover-guard-CG48153BW-bubble-wrap,,No layout updates.,Block after Info Column,,"Bubble Wrap ","Bubble Wrap ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Wrapping and covering objects is often the only way to protect them from light damage and if done properly can be a very cost effective solution. Originally designed for use on board Navy vessels and luxury yachts, Bubble Wrap cover guard® can be used for wrapping electrical appliances, machinery, walls, for storage purposes and for transporting equipment.","","","","","Bubble Wrap ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28378","Surface Protection Flooring",517332,"CG4036/72DP",,"Floor Protection ","","Floor Protection ","",/\C\G\cover-guard-cg403672dp-floor-protection.jpg,/\C\G\cover-guard-cg403672dp-floor-protection.jpg,http://www.48ws.com/images/product/C/G/cover-guard-cg403672dp-floor-protection.jpg,cover-guard-CG4036-72DP-floor-protection,cover-guard-CG4036-72DP-floor-protection,,No layout updates.,Block after Info Column,,"Floor Protection ","Floor Protection ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The original cover guard® product was developed for the temporary protection of all types of floor finishes. It is also suitable for protecting walls, bulkheads, weatherdecks, furnishings and for wrapping and containment. It was specifically designed for use within the industrial sectors of rail, aviation, naval, cruise, ferry, luxury yacht, offshore, construction, for new building, refit, repair and maintenance.","","","","","Floor Protection ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28378","Surface Protection Flooring",517333,"CG04100SATA",,"Carpet Protection ","","Carpet Protection ","",/,/,/,cover-guard-CG04100SATA-carpet-protection,cover-guard-CG04100SATA-carpet-protection,,No layout updates.,Block after Info Column,,"Carpet Protection ","Carpet Protection ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Carpet cover guard® is a flame-retardant, transparent, extruded polyethylene texture film that features a new Supermatrix water-based adhesive. This is a reverse wound system which is easy to install and ensures the product remains firmly in place, yet is easy to remove. It is specifically designed for the protection of all types of carpets during new building, refit, maintenance and outfitting projects.","","","","","Carpet Protection ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28378","Surface Protection Flooring",517334,"CG2536/72DP",,"Floor Protection ","","Floor Protection ","",/\C\G\cover-guard-cg253672dp-floor-protection.jpg,/\C\G\cover-guard-cg253672dp-floor-protection.jpg,http://www.48ws.com/images/product/C/G/cover-guard-cg253672dp-floor-protection.jpg,cover-guard-CG2536-72DP-floor-protection,cover-guard-CG2536-72DP-floor-protection,,No layout updates.,Block after Info Column,,"Floor Protection ","Floor Protection ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The original cover guard® product was developed for the temporary protection of all types of floor finishes. It is also suitable for protecting walls, bulkheads, weatherdecks, furnishings and for wrapping and containment. It was specifically designed for use within the industrial sectors of rail, aviation, naval, cruise, ferry, luxury yacht, offshore, construction, for new building, refit, repair and maintenance.","","","","","Floor Protection ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28378","Surface Protection Flooring",517335,"CG0636TF",,"Wall Protection ","","Wall Protection ","",/,/,/,cover-guard-CG0636TF-wall-protection,cover-guard-CG0636TF-wall-protection,,No layout updates.,Block after Info Column,,"Wall Protection ","Wall Protection ",Use config,"",0,,,0,"Cover Guard",1686,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Wall cover guard® was developed from the original floor cover guard®, in response to market demand for protection of all types of vertical wall and bulkhead finishes. It is made from flame-retardant polyethylene and uses include the protection of walls, floors, bulkheads, weatherdecks and furnishings.","","","","","Wall Protection ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
