store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",93716,"3023",,"Blade Silver Mirror Lens Black Frame","","Blade Silver Mirror Lens Black Frame","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",/\3\0\crossfire-safety-eyewear-blade-3023-silver-mirror-lens-black-frame.jpg,/\3\0\crossfire-safety-eyewear-blade-3023-silver-mirror-lens-black-frame.jpg,http://www.48ws.com/images/product/3/0/crossfire-safety-eyewear-blade-3023-silver-mirror-lens-black-frame.jpg,Crossfire-Safety-Eyewear-Blade-3023-Silver-Mirror-Lens-Black-Frame,Crossfire-Safety-Eyewear-Blade-3023-Silver-Mirror-Lens-Black-Frame,,No layout updates.,Block after Info Column,,"Blade Silver Mirror Lens Black Frame","Blade Silver Mirror Lens Black Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Blade 3023 Silver Mirror Lens Black Frame","<li><strong>Frame Color</strong> - Black</li><li><strong>Frame Material</strong> - Polycarbonate</li><li><strong>Lens Tint</strong> - Silver Mirror</li><li><strong>Lens Construction</strong> - Single Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.","","Crossfire Safety Eyewear Blade 3023 Silver Mirror Lens Black Frame","Blade Silver Mirror Lens Black Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",93717,"30137",,"Blade Brown Indoor/outdoor Lens Brown Frame","","Blade Brown Indoor/outdoor Lens Brown Frame","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",/\3\0\crossfire-safety-eyewear-blade-30137-brown-indooroutdoor-lens-brown-frame.jpg,/\3\0\crossfire-safety-eyewear-blade-30137-brown-indooroutdoor-lens-brown-frame.jpg,http://www.48ws.com/images/product/3/0/crossfire-safety-eyewear-blade-30137-brown-indooroutdoor-lens-brown-frame.jpg,Crossfire-Safety-Eyewear-Blade-30137-Brown-Indooroutdoor-Lens-Brown-Frame,Crossfire-Safety-Eyewear-Blade-30137-Brown-Indooroutdoor-Lens-Brown-Frame,,No layout updates.,Block after Info Column,,"Blade Brown Indoor/outdoor Lens Brown Frame","Blade Brown Indoor/outdoor Lens Brown Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Blade 30137 Brown Indoor/outdoor Lens Brown Frame","<li><strong>Frame Color</strong> - Brown</li><li><strong>Frame Material</strong> - Polycarbonate</li><li><strong>Lens Tint</strong> - Brown Indoor/outdoor</li><li><strong>Lens Construction</strong> - Single Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.","","Crossfire Safety Eyewear Blade 30137 Brown Indoor/outdoor Lens Brown Frame","Blade Brown Indoor/outdoor Lens Brown Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",93718,"30210",,"Blade Emerald Mirror Lens Black Frame","","Blade Emerald Mirror Lens Black Frame","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",/\3\0\crossfire-safety-eyewear-blade-30210-emerald-mirror-lens-black-frame.jpg,/\3\0\crossfire-safety-eyewear-blade-30210-emerald-mirror-lens-black-frame.jpg,http://www.48ws.com/images/product/3/0/crossfire-safety-eyewear-blade-30210-emerald-mirror-lens-black-frame.jpg,Crossfire-Safety-Eyewear-Blade-30210-Emerald-Mirror-Lens-Black-Frame,Crossfire-Safety-Eyewear-Blade-30210-Emerald-Mirror-Lens-Black-Frame,,No layout updates.,Block after Info Column,,"Blade Emerald Mirror Lens Black Frame","Blade Emerald Mirror Lens Black Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Blade 30210 Emerald Mirror Lens Black Frame","<li><strong>Frame Color</strong> - Black</li><li><strong>Frame Material</strong> - Polycarbonate</li><li><strong>Lens Tint</strong> - Emerald Mirror</li><li><strong>Lens Construction</strong> - Single Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.","","Crossfire Safety Eyewear Blade 30210 Emerald Mirror Lens Black Frame","Blade Emerald Mirror Lens Black Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",93719,"30219 AF",,"Blade Orange Anti-Fog Lens Black Frame","","Blade Orange Anti-Fog Lens Black Frame","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",/\3\0\crossfire-safety-eyewear-blade-30219-af-orange-anti-fog-lens-black-frame.jpg,/\3\0\crossfire-safety-eyewear-blade-30219-af-orange-anti-fog-lens-black-frame.jpg,http://www.48ws.com/images/product/3/0/crossfire-safety-eyewear-blade-30219-af-orange-anti-fog-lens-black-frame.jpg,Crossfire-Safety-Eyewear-Blade-30219-AF-Orange-Anti-Fog-Lens-Black-Frame,Crossfire-Safety-Eyewear-Blade-30219-AF-Orange-Anti-Fog-Lens-Black-Frame,,No layout updates.,Block after Info Column,,"Blade Orange Anti-Fog Lens Black Frame","Blade Orange Anti-Fog Lens Black Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Blade 30219 AF Orange Anti-Fog Lens Black Frame","<li><strong>Frame Color</strong> - Black</li><li><strong>Frame Material</strong> - Polycarbonate</li><li><strong>Lens Tint</strong> - Orange Anti-Fog</li><li><strong>Lens Construction</strong> - Single Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.","","Crossfire Safety Eyewear Blade 30219 AF Orange Anti-Fog Lens Black Frame","Blade Orange Anti-Fog Lens Black Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",93720,"3021AF",,"Blade Smoke Anti-Fog Lens Black Frame","","Blade Smoke Anti-Fog Lens Black Frame","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",/\3\0\crossfire-safety-eyewear-blade-3021af-smoke-anti-fog-lens-black-frame.jpg,/\3\0\crossfire-safety-eyewear-blade-3021af-smoke-anti-fog-lens-black-frame.jpg,http://www.48ws.com/images/product/3/0/crossfire-safety-eyewear-blade-3021af-smoke-anti-fog-lens-black-frame.jpg,Crossfire-Safety-Eyewear-Blade-3021AF-Smoke-Anti-Fog-Lens-Black-Frame,Crossfire-Safety-Eyewear-Blade-3021AF-Smoke-Anti-Fog-Lens-Black-Frame,,No layout updates.,Block after Info Column,,"Blade Smoke Anti-Fog Lens Black Frame","Blade Smoke Anti-Fog Lens Black Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Blade 3021AF Smoke Anti-Fog Lens Black Frame","<li><strong>Frame Color</strong> - Black</li><li><strong>Frame Material</strong> - Polycarbonate</li><li><strong>Lens Tint</strong> - Smoke Anti-Fog</li><li><strong>Lens Construction</strong> - Single Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.","","Crossfire Safety Eyewear Blade 3021AF Smoke Anti-Fog Lens Black Frame","Blade Smoke Anti-Fog Lens Black Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",93721,"3024 AF",,"Blade Clear Anti-Fog Lens Black Frame","","Blade Clear Anti-Fog Lens Black Frame","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",/\3\0\crossfire-safety-eyewear-blade-3024-af-clear-anti-fog-lens-black-frame.jpg,/\3\0\crossfire-safety-eyewear-blade-3024-af-clear-anti-fog-lens-black-frame.jpg,http://www.48ws.com/images/product/3/0/crossfire-safety-eyewear-blade-3024-af-clear-anti-fog-lens-black-frame.jpg,Crossfire-Safety-Eyewear-Blade-3024-AF-Clear-Anti-Fog-Lens-Black-Frame,Crossfire-Safety-Eyewear-Blade-3024-AF-Clear-Anti-Fog-Lens-Black-Frame,,No layout updates.,Block after Info Column,,"Blade Clear Anti-Fog Lens Black Frame","Blade Clear Anti-Fog Lens Black Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Blade 3024 AF Clear Anti-Fog Lens Black Frame","<li><strong>Frame Color</strong> - Black</li><li><strong>Frame Material</strong> - Polycarbonate</li><li><strong>Lens Tint</strong> - Clear Anti-Fog</li><li><strong>Lens Construction</strong> - Single Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.","","Crossfire Safety Eyewear Blade 3024 AF Clear Anti-Fog Lens Black Frame","Blade Clear Anti-Fog Lens Black Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",93722,"3025 AF",,"Blade Yellow Anti-Fog Lens Black Frame","","Blade Yellow Anti-Fog Lens Black Frame","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.",/\3\0\crossfire-safety-eyewear-blade-3025-af-yellow-anti-fog-lens-black-frame.jpg,/\3\0\crossfire-safety-eyewear-blade-3025-af-yellow-anti-fog-lens-black-frame.jpg,http://www.48ws.com/images/product/3/0/crossfire-safety-eyewear-blade-3025-af-yellow-anti-fog-lens-black-frame.jpg,Crossfire-Safety-Eyewear-Blade-3025-AF-Yellow-Anti-Fog-Lens-Black-Frame,Crossfire-Safety-Eyewear-Blade-3025-AF-Yellow-Anti-Fog-Lens-Black-Frame,,No layout updates.,Block after Info Column,,"Blade Yellow Anti-Fog Lens Black Frame","Blade Yellow Anti-Fog Lens Black Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Blade 3025 AF Yellow Anti-Fog Lens Black Frame","<li><strong>Frame Color</strong> - Black</li><li><strong>Frame Material</strong> - Polycarbonate</li><li><strong>Lens Tint</strong> - Yellow Anti-Fog</li><li><strong>Lens Construction</strong> - Single Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Blade weighs in at less than a 1/2 ounce and is easy to wear all day long. Designed as a shooting glass for sports and military, it is superior in construction and diverse in application.","","Crossfire Safety Eyewear Blade 3025 AF Yellow Anti-Fog Lens Black Frame","Blade Yellow Anti-Fog Lens Black Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1249|25635","Safety Glasses - Foam Lined|Safety Glasses",93723,"1731",,"Brigade Smoke Lens Matte Black Frame","","Brigade Smoke Lens Matte Black Frame","The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.",/\1\7\crossfire-safety-eyewear-brigade-1731-smoke-lens-matte-black-frame.jpg,/\1\7\crossfire-safety-eyewear-brigade-1731-smoke-lens-matte-black-frame.jpg,http://www.48ws.com/images/product/1/7/crossfire-safety-eyewear-brigade-1731-smoke-lens-matte-black-frame.jpg,Crossfire-Safety-Eyewear-Brigade-1731-Smoke-Lens-Matte-Black-Frame,Crossfire-Safety-Eyewear-Brigade-1731-Smoke-Lens-Matte-Black-Frame,,No layout updates.,Block after Info Column,,"Brigade Smoke Lens Matte Black Frame","Brigade Smoke Lens Matte Black Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Brigade 1731 Smoke Lens Matte Black Frame","<li><strong>Frame Color</strong> - Matte Black</li><li><strong>Frame Material</strong> - Nylon</li><li><strong>Lens Tint</strong> - Smoke</li><li><strong>Lens Construction</strong> - Double Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.","","Crossfire Safety Eyewear Brigade 1731 Smoke Lens Matte Black Frame","Brigade Smoke Lens Matte Black Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1249|25635","Safety Glasses - Foam Lined|Safety Glasses",93724,"1733",,"Brigade Silver Mirror Lens Shiny Black/Red Frame","","Brigade Silver Mirror Lens Shiny Black/Red Frame","The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.",/\1\7\crossfire-safety-eyewear-brigade-1733-silver-mirror-lens-shiny-blackred-frame.jpg,/\1\7\crossfire-safety-eyewear-brigade-1733-silver-mirror-lens-shiny-blackred-frame.jpg,http://www.48ws.com/images/product/1/7/crossfire-safety-eyewear-brigade-1733-silver-mirror-lens-shiny-blackred-frame.jpg,Crossfire-Safety-Eyewear-Brigade-1733-Silver-Mirror-Lens-Shiny-BlackRed-Frame,Crossfire-Safety-Eyewear-Brigade-1733-Silver-Mirror-Lens-Shiny-BlackRed-Frame,,No layout updates.,Block after Info Column,,"Brigade Silver Mirror Lens Shiny Black/Red Frame","Brigade Silver Mirror Lens Shiny Black/Red Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Brigade 1733 Silver Mirror Lens Shiny Black/Red Frame","<li><strong>Frame Color</strong> - Shiny Black/Red</li><li><strong>Frame Material</strong> - Nylon</li><li><strong>Lens Tint</strong> - Silver Mirror</li><li><strong>Lens Construction</strong> - Double Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.","","Crossfire Safety Eyewear Brigade 1733 Silver Mirror Lens Shiny Black/Red Frame","Brigade Silver Mirror Lens Shiny Black/Red Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1249|25635","Safety Glasses - Foam Lined|Safety Glasses",93725,"1734",,"Brigade Clear Lens Matte Black Frame","","Brigade Clear Lens Matte Black Frame","The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.",/\1\7\crossfire-safety-eyewear-brigade-1734-clear-lens-matte-black-frame.jpg,/\1\7\crossfire-safety-eyewear-brigade-1734-clear-lens-matte-black-frame.jpg,http://www.48ws.com/images/product/1/7/crossfire-safety-eyewear-brigade-1734-clear-lens-matte-black-frame.jpg,Crossfire-Safety-Eyewear-Brigade-1734-Clear-Lens-Matte-Black-Frame,Crossfire-Safety-Eyewear-Brigade-1734-Clear-Lens-Matte-Black-Frame,,No layout updates.,Block after Info Column,,"Brigade Clear Lens Matte Black Frame","Brigade Clear Lens Matte Black Frame",Use config,"",0,,,0,"Crossfire Safety Eyewear",590,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Crossfire Safety Eyewear Brigade 1734 Clear Lens Matte Black Frame","<li><strong>Frame Color</strong> - Matte Black</li><li><strong>Frame Material</strong> - Nylon</li><li><strong>Lens Tint</strong> - Clear</li><li><strong>Lens Construction</strong> - Double Lens</li><li><strong>Approvals / Certifications</strong> - ANSI Z87 2010 / CSA Z94.3</li>","The Brigade presents outstanding protection and is offered in two mirrored lens options that specifically address extremely bright outdoor environments.","","Crossfire Safety Eyewear Brigade 1734 Clear Lens Matte Black Frame","Brigade Clear Lens Matte Black Frame",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
