store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"28040","Adhesive Caulks",10710,"18101",,"White ALEX PLUS&reg; Acrylic Latex Caulk Plus Silicone","ALEX PLUS® Acrylic Latex Caulk Plus Silicone","White ALEX PLUS&reg; Acrylic Latex Caulk Plus Silicone","DAP Alex Plus 10.1 oz. All-Purpose Caulk combines acrylic latex with silicone for a high-quality, durable and multi-purpose caulk. It can be used indoors or outdoors and is paintable when dry. The caulk adheres to wood, brick, glass, metal, plaster, drywa",/\1\8\DAP-Alex-Plus-101-oz-All-Purpose.jpg,/\1\8\DAP-Alex-Plus-101-oz-All-Purpose.jpg,http://www.48ws.com/images/product/1/8/DAP-Alex-Plus-101-oz-All-Purpose.jpg,dap-18101-,dap-18101-,,No layout updates.,Block after Info Column,,"White ALEX PLUS&reg; Acrylic Latex Caulk Plus Silicone","White ALEX PLUS&reg; Acrylic Latex Caulk Plus Silicone",Use config,"http://www.dap.com/product_details.aspx?product_id=2",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"DAP White ALEX PLUS&reg; Acrylic Latex Caulk Plus Silicone","<li>Acrylic latex plus silicone formulation for good adhesion and permanent flexibility</li><li>For indoor or outdoor use</li><li>Can be painted with oil or latex paint when dry for a seamless look</li><li>Mold- and mildew resistant</li><li>Exceeds the performance requirements for ASTM C 834</li> ","DAP Alex Plus 10.1 oz. All-Purpose Caulk combines acrylic latex with silicone for a high-quality, durable and multi-purpose caulk. It can be used indoors or outdoors and is paintable when dry. The caulk adheres to wood, brick, glass, metal, plaster, drywall and painted surfaces.","","White 10.1 oz.","White ALEX PLUS&reg; Acrylic Latex Caulk Plus Silicone",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",10711,"18065",,"18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk","","18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk","DAP ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk is ideal for sealing and caulking window and door frames and trim prior to painting with latex or oil-based paint. It adheres to most common building materials to ensure a durable seal in indoor",/\1\8\DAP-ALEX-101-oz-Painters-All-Purpose-Acrylic-Latex.jpg,/\1\8\DAP-ALEX-101-oz-Painters-All-Purpose-Acrylic-Latex.jpg,http://www.48ws.com/images/product/1/8/DAP-ALEX-101-oz-Painters-All-Purpose-Acrylic-Latex.jpg,DAP-18065-White-ALEX-101-oz-Painters-All-Purpose-Acrylic-Latex-Caulk,DAP-18065-White-ALEX-101-oz-Painters-All-Purpose-Acrylic-Latex-Caulk,,No layout updates.,Block after Info Column,,"18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk","18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk",Use config,"",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"DAP 18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk","<li>Formulated for paintability</li><li>Adheres to most common building materials</li><li>Paintable with latex or oil-based paints</li><li>Cleans easily with soap and water</li><li>Meets ASTM C 834</li>","DAP ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk is ideal for sealing and caulking window and door frames and trim prior to painting with latex or oil-based paint. It adheres to most common building materials to ensure a durable seal in indoor or outdoor environments.","","White 10.1 oz.","18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"147|19521","Caulking|Caulks and Sealants",10712,"18300",,"White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant","DYNAFLEX 230 Premium Indoor/Outdoor Sealant","White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant","The DAP Dynaflex 230 10.1 oz. Premium Indoor/Outdoor Sealant in white combines durability and permanent flexibility with the paintability and low odor of a latex sealant. It is ideal for sealing air leaks in windows and doors.",/\1\8\DAP-Dynaflex-230-101-oz-Premium-IndoorOutdoor.jpg,/\1\8\DAP-Dynaflex-230-101-oz-Premium-IndoorOutdoor.jpg,http://www.48ws.com/images/product/1/8/DAP-Dynaflex-230-101-oz-Premium-IndoorOutdoor.jpg,DAP-Dynaflex-230-101-oz-Premium-IndoorOutdoor-Sealant,DAP-Dynaflex-230-101-oz-Premium-IndoorOutdoor-Sealant,,No layout updates.,Block after Info Column,,"White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant","White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant",Use config,"",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"DAP 18300 White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant","<li>Acrylic latex formulation is durable and permanently flexible</li><li>Blocks drafts and keeps out moisture and pests</li><li>Paintable to match any surface</li><li>Mold- and mildew resistant</li><li>Exceeds ASTM C 920, Class 25</li><li>Meets ASTM C 920, Class 25 & TT-S-00230C, Class A Specs.</li>","The DAP Dynaflex 230 10.1 oz. Premium Indoor/Outdoor Sealant in white combines durability and permanent flexibility with the paintability and low odor of a latex sealant. It is ideal for sealing air leaks in windows and doors.","","White 10.1 oz.","White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19521","Caulks and Sealants",10715,"18510",,"KWIK SEAL PLUS&reg; White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN&reg;","KWIK SEAL PLUS® Premium Kitchen & Bath Adhesive Caulk w/ MICROBAN®","KWIK SEAL PLUS&reg; White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN&reg;","The DAP Kwik Seal Plus 10.1 oz. Kitchen and Bath Adhesive Caulk with Microban in high-gloss white is formulated to fight bacteria, mold and mildew. The siliconized latex sealant provides maximum adhesion and flexibility for a watertight seal in the kitche",/\1\8\DAP-Kwik-Seal-Plus-101-oz-Kitchen-and-Bath-Adhesive-Caulk.jpg,/\1\8\DAP-Kwik-Seal-Plus-101-oz-Kitchen-and-Bath-Adhesive-Caulk.jpg,http://www.48ws.com/images/product/1/8/DAP-Kwik-Seal-Plus-101-oz-Kitchen-and-Bath-Adhesive-Caulk.jpg,dap-18510-,dap-18510-,,No layout updates.,Block after Info Column,,"KWIK SEAL PLUS&reg; White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN&reg;","KWIK SEAL PLUS&reg; White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN&reg;",Use config,"",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"DAP KWIK SEAL PLUS&reg; White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN&reg;","<li>Formulated with Microban to fight bacteria, mold and mildew</li><li>Siliconized latex is waterproof, durable and flexible</li><li>Ideal for any kitchen or bath application</li><li>Paintable with latex or oil-based paint</li>","The DAP Kwik Seal Plus 10.1 oz. Kitchen and Bath Adhesive Caulk with Microban in high-gloss white is formulated to fight bacteria, mold and mildew. The siliconized latex sealant provides maximum adhesion and flexibility for a watertight seal in the kitchen or bathroom.","","White 10.1 oz","KWIK SEAL PLUS&reg; White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN&reg;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1192|27967","Patching Products|Patching Products",38142,"12132",,"Quart Vinyl Interior/Exterior Spackling","","Quart Vinyl Interior/Exterior Spackling"," Heavy-duty all purpose formula that is perfect for household repairs and professional jobs. Resists cracking, sands easily and spreads smoothly. Interior/Exterior.",/\1\2\12132-Orgill-Quart-Vinyl-InteriorExterior.jpg,/\1\2\12132-Orgill-Quart-Vinyl-InteriorExterior.jpg,http://www.48ws.com/images/product/1/2/12132-Orgill-Quart-Vinyl-InteriorExterior.jpg,12132-Orgill-Quart-Vinyl-InteriorExterior-Spackling,12132-Orgill-Quart-Vinyl-InteriorExterior-Spackling,,No layout updates.,Block after Info Column,,"Quart Vinyl Interior/Exterior Spackling","Quart Vinyl Interior/Exterior Spackling",Use config,"",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No," Heavy-duty all purpose formula that is perfect for household repairs and professional jobs. Resists cracking, sands easily and spreads smoothly. Interior/Exterior.","","","","12132 DAP Quart Vinyl Interior/Exterior Spackling","Quart Vinyl Interior/Exterior Spackling",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1192|27967","Patching Products|Patching Products",38144,"12133",,"1 Gallon Vinyl Interior/Exterior Spackling","","1 Gallon Vinyl Interior/Exterior Spackling","Gallon, Ready To Use Vinyl Spackling, Heavy Duty All Purpose Formula That Is Perfect For Household Repairs and Professional Jobs, Resists Cracking, Sands Easily and Spreads Smoothly, Interior/Exterior.",/\1\2\12133-Orgill-1-Gallon-Vinyl-InteriorExterior.jpg,/\1\2\12133-Orgill-1-Gallon-Vinyl-InteriorExterior.jpg,http://www.48ws.com/images/product/1/2/12133-Orgill-1-Gallon-Vinyl-InteriorExterior.jpg,12133-Orgill-1-Gallon-Vinyl-InteriorExterior-Spackling,12133-Orgill-1-Gallon-Vinyl-InteriorExterior-Spackling,,No layout updates.,Block after Info Column,,"1 Gallon Vinyl Interior/Exterior Spackling","1 Gallon Vinyl Interior/Exterior Spackling",Use config,"",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Gallon, Ready To Use Vinyl Spackling, Heavy Duty All Purpose Formula That Is Perfect For Household Repairs and Professional Jobs, Resists Cracking, Sands Easily and Spreads Smoothly, Interior/Exterior.","","","","12133 DAP 1 Gallon Vinyl Interior/Exterior Spackling","1 Gallon Vinyl Interior/Exterior Spackling",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1192|27967","Patching Products|Patching Products",38145,"12142",,"1 Quart Lightweight Interior/Exterior Spackling","","1 Quart Lightweight Interior/Exterior Spackling","One-step, lightweight spackling for repairing walls, ceilings and woodwork in one fill. Lightweight formula delivers superior durability and performance. No sanding required. Dries quickly. Interior/exterior use.",/\1\2\12142-Orgill-1-Quart-Lightweight-InteriorExterior.jpg,/\1\2\12142-Orgill-1-Quart-Lightweight-InteriorExterior.jpg,http://www.48ws.com/images/product/1/2/12142-Orgill-1-Quart-Lightweight-InteriorExterior.jpg,12142-Orgill-1-Quart-Lightweight-InteriorExterior-Spackling,12142-Orgill-1-Quart-Lightweight-InteriorExterior-Spackling,,No layout updates.,Block after Info Column,,"1 Quart Lightweight Interior/Exterior Spackling","1 Quart Lightweight Interior/Exterior Spackling",Use config,"",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"One-step, lightweight spackling for repairing walls, ceilings and woodwork in one fill. Lightweight formula delivers superior durability and performance. No sanding required. Dries quickly. Interior/exterior use.","","","","12142 DAP 1 Quart Lightweight Interior/Exterior Spackling","1 Quart Lightweight Interior/Exterior Spackling",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1192|27967","Patching Products|Patching Products",38147,"12330",,"1 Quart Dry Dex Spackling","","1 Quart Dry Dex Spackling","Dry time color indicator verifies when patched surface is dry by turning white, helping to avoid premature sanding, painting or reapplication. Resists cracking and sands easily.",/\1\2\12330-Orgill-1-Quart-Dry-Dex.jpg,/\1\2\12330-Orgill-1-Quart-Dry-Dex.jpg,http://www.48ws.com/images/product/1/2/12330-Orgill-1-Quart-Dry-Dex.jpg,12330-Orgill-1-Quart-Dry-Dex-Spackling,12330-Orgill-1-Quart-Dry-Dex-Spackling,,No layout updates.,Block after Info Column,,"1 Quart Dry Dex Spackling","1 Quart Dry Dex Spackling",Use config,"",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dry time color indicator verifies when patched surface is dry by turning white, helping to avoid premature sanding, painting or reapplication. Resists cracking and sands easily.","<li>INTERIOR/EXTERIOR - READY MIXED</li>
<li>Pink Color - Plastic Tub</li>
<li>Width: 10.25 in.</li>
<li>Height: 15.5 in.</li>
<li>Length: 5.25 in.</li>
<li>Weight: 3.808 lbs</li>","","","12330 DAP 1 Quart Dry Dex Spackling","1 Quart Dry Dex Spackling",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"634|28040","Grease Gun | Grease|Adhesive Caulks",38206,"25403",,"10.3oz Panel Foam Adhesive","","10.3oz Panel Foam Adhesive","High-quality, dual-purpose adhesive designed to bond paneling or foamboard insulation to a variety of substrates. Quick-grab formula reduces nailing requirements. Won't etch or burn through. Meets ASTM Specification C 557.",/\2\5\25403-Orgill-103oz-Panel-Foam.jpg,/\2\5\25403-Orgill-103oz-Panel-Foam.jpg,http://www.48ws.com/images/product/2/5/25403-Orgill-103oz-Panel-Foam.jpg,25403-Orgill-103oz-Panel-Foam-Adhesive,25403-Orgill-103oz-Panel-Foam-Adhesive,,No layout updates.,Block after Info Column,,"10.3oz Panel Foam Adhesive","10.3oz Panel Foam Adhesive",Use config,"http://www.dap.com/dap-products-ph/beats-the-nail-paneling-foam-construction-adhesive/",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"High-quality, dual-purpose adhesive designed to bond paneling or foamboard insulation to a variety of substrates. Quick-grab formula reduces nailing requirements. Won't etch or burn through. Meets ASTM Specification C 557.","Construction Adhesives
Adhere to porous and nonporous materials, including wet, frozen and treated lumber; metal, brick, concrete, ceramics and ceramic tile, wood paneling, drywall, foamboard, tub surrounds, foam insulation, plaster, paint, wallpaper, and large panel-type substrates.
Wall and Trim
Permanent bond, instant grab adhesives resist heat. Low odor","","","25403 DAP 10.3oz Panel Foam Adhesive","10.3oz Panel Foam Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|28040","Adhesives|Adhesive Caulks",87711,"25117",,"29oz Construction Adhesive","","29oz Construction Adhesive","",/\2\5\25117-DAP-29oz-Construction.jpg,/\2\5\25117-DAP-29oz-Construction.jpg,http://www.48ws.com/images/product/2/5/25117-DAP-29oz-Construction.jpg,25117-DAP-29oz-Construction-Adhesive,25117-DAP-29oz-Construction-Adhesive,,No layout updates.,Block after Info Column,,"29oz Construction Adhesive","29oz Construction Adhesive",Use config,"",0,,,0,"DAP",398,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Premium grade, weatherproof formulation. Reduces nailing requirements, floor squeaks and nail pops. Forms a permanent bond on wet, frozen and treated lumber. Easy gunning. Meets APA AFG-01, ASTM Specification D 3498 and conforms to HUD UM-60a.<br>
<li>SUBFLOOR/PLYWOOD</li>
<li>HEAVY-DUTY</li>
<li>INTERIOR/EXTERIOR</li>","","","25117 DAP 29oz Construction Adhesive","29oz Construction Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
