store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1243|20514","Deck Screws|Deck Screws",89465,"ACQDK061104",,"1-1/4&quot; Deck Screw for ACQ","Daggerz Bugle Deck Course Thread Screws, Square ACQ Tan","1-1/4&quot; Deck Screw for ACQ","",/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,http://www.48ws.com/images/product/A/C/International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,International-Fasteners-Inc-Daggerz-Bugle-Deck-Course-Thread-Screws-Square-ACQ-Tan,International-Fasteners-Inc-Daggerz-Bugle-Deck-Course-Thread-Screws-Square-ACQ-Tan,,No layout updates.,Block after Info Column,,"1-1/4&quot; Deck Screw for ACQ","1-1/4&quot; Deck Screw for ACQ",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>#2 drive in both Phillips and Square.</li><li>
Used to fasten wood to wood in       
exterior applications.</li><li>
 Square drive provides a more 
positive stable driving system.</li><li>
 Dacro finish provides increased
 corrosion resistance.</li><li>
 Dagger Ultra-Guard Coating 
provides excellent corrosion resistance 
and is approved in ACQ treated wood.</li><li>
 Dagger Ultra-Guard Coating stock 
color is tan; green and redwood </li><li>
available as special order.</li>","","","1-1/4&quot; Deck Screw for ACQ","1-1/4&quot; Deck Screw for ACQ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|20514","Deck Screws|Deck Screws",89467,"ACQDK06158",,"1-5/8&quot; Deck Screw for ACQ","Daggerz Bugle Deck Course Thread Screws, Square ACQ Tan","1-5/8&quot; Deck Screw for ACQ","",/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,http://www.48ws.com/images/product/A/C/International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,1-58-Deck-Screw-for-ACQ,1-58-Deck-Screw-for-ACQ,,No layout updates.,Block after Info Column,,"1-5/8&quot; Deck Screw for ACQ","1-5/8&quot; Deck Screw for ACQ",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1-5/8&quot; Deck Screw for ACQ","<li>#2 drive in both Phillips and Square.</li><li>
Used to fasten wood to wood in       
exterior applications.</li><li>
 Square drive provides a more 
positive stable driving system.</li><li>
 Dacro finish provides increased
 corrosion resistance.</li><li>
 Dagger Ultra-Guard Coating 
provides excellent corrosion resistance 
and is approved in ACQ treated wood.</li><li>
 Dagger Ultra-Guard Coating stock 
color is tan; green and redwood </li><li>
available as special order.</li>","","","1-5/8&quot; Deck Screw for ACQ","1-5/8&quot; Deck Screw for ACQ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|20514","Deck Screws|Deck Screws",89468,"ACQDK06200",,"2&quot; Deck Screw for ACQ","Daggerz Bugle Deck Course Thread Screws, Square ACQ Tan","2&quot; Deck Screw for ACQ","",/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,http://www.48ws.com/images/product/A/C/International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,2-Deck-Screw-for-ACQ,2-Deck-Screw-for-ACQ,,No layout updates.,Block after Info Column,,"2&quot; Deck Screw for ACQ","2&quot; Deck Screw for ACQ",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"2&quot; Deck Screw for ACQ","<li>#2 drive in both Phillips and Square.</li><li>
Used to fasten wood to wood in       
exterior applications.</li><li>
 Square drive provides a more 
positive stable driving system.</li><li>
 Dacro finish provides increased
 corrosion resistance.</li><li>
 Dagger Ultra-Guard Coating 
provides excellent corrosion resistance 
and is approved in ACQ treated wood.</li><li>
 Dagger Ultra-Guard Coating stock 
color is tan; green and redwood </li><li>
available as special order.</li>","","","2&quot; Deck Screw for ACQ","2&quot; Deck Screw for ACQ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|20514","Deck Screws|Deck Screws",89469,"ACQDK08212",,"2-1/2&quot; Deck Screw for ACQ","Daggerz Bugle Deck Course Thread Screws, Square ACQ Tan","2-1/2&quot; Deck Screw for ACQ","",/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,http://www.48ws.com/images/product/A/C/International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,2-12-Deck-Screw-for-ACQ,2-12-Deck-Screw-for-ACQ,,No layout updates.,Block after Info Column,,"2-1/2&quot; Deck Screw for ACQ","2-1/2&quot; Deck Screw for ACQ",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"2-1/2&quot; Deck Screw for ACQ","<li>#2 drive in both Phillips and Square.</li><li>
Used to fasten wood to wood in       
exterior applications.</li><li>
 Square drive provides a more 
positive stable driving system.</li><li>
 Dacro finish provides increased
 corrosion resistance.</li><li>
 Dagger Ultra-Guard Coating 
provides excellent corrosion resistance 
and is approved in ACQ treated wood.</li><li>
 Dagger Ultra-Guard Coating stock 
color is tan; green and redwood </li><li>
available as special order.</li>","","","2-1/2&quot; Deck Screw for ACQ","2-1/2&quot; Deck Screw for ACQ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|20514","Deck Screws|Deck Screws",89470,"ACQDK08300",,"3&quot; Deck Screw for ACQ","Daggerz Bugle Deck Course Thread Screws, Square ACQ Tan","3&quot; Deck Screw for ACQ","",/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,http://www.48ws.com/images/product/A/C/International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,3-Deck-Screw-for-ACQ,3-Deck-Screw-for-ACQ,,No layout updates.,Block after Info Column,,"3&quot; Deck Screw for ACQ","3&quot; Deck Screw for ACQ",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3&quot; Deck Screw for ACQ","<li>#2 drive in both Phillips and Square.</li><li>
Used to fasten wood to wood in       
exterior applications.</li><li>
 Square drive provides a more 
positive stable driving system.</li><li>
 Dacro finish provides increased
 corrosion resistance.</li><li>
 Dagger Ultra-Guard Coating 
provides excellent corrosion resistance 
and is approved in ACQ treated wood.</li><li>
 Dagger Ultra-Guard Coating stock 
color is tan; green and redwood </li><li>
available as special order.</li>","","","3&quot; Deck Screw for ACQ","3&quot; Deck Screw for ACQ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|20514","Deck Screws|Deck Screws",89471,"ACQDK10312",,"3-1/2&quot; Deck Screw for ACQ","Daggerz Bugle Deck Course Thread Screws, Square ACQ Tan","3-1/2&quot; Deck Screw for ACQ","",/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,http://www.48ws.com/images/product/A/C/International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,3-12-Deck-Screw-for-ACQ,3-12-Deck-Screw-for-ACQ,,No layout updates.,Block after Info Column,,"3-1/2&quot; Deck Screw for ACQ","3-1/2&quot; Deck Screw for ACQ",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3-1/2&quot; Deck Screw for ACQ","<li>#2 drive in both Phillips and Square.</li><li>
Used to fasten wood to wood in       
exterior applications.</li><li>
 Square drive provides a more 
positive stable driving system.</li><li>
 Dacro finish provides increased
 corrosion resistance.</li><li>
 Dagger Ultra-Guard Coating 
provides excellent corrosion resistance 
and is approved in ACQ treated wood.</li><li>
 Dagger Ultra-Guard Coating stock 
color is tan; green and redwood </li><li>
available as special order.</li>","","","3-1/2&quot; Deck Screw for ACQ","3-1/2&quot; Deck Screw for ACQ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|20514","Deck Screws|Deck Screws",89472,"ACQDLFLSQ1040",,"4&quot; Deck Screw for ACQ","Daggerz Bugle Deck Course Thread Screws, Square ACQ Tan","4&quot; Deck Screw for ACQ","",/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,/\A\C\International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,http://www.48ws.com/images/product/A/C/International-Fasteners-Inc-Daggerz-Bugle-Deck-Course.jpg,4-Deck-Screw-for-ACQ,4-Deck-Screw-for-ACQ,,No layout updates.,Block after Info Column,,"4&quot; Deck Screw for ACQ","4&quot; Deck Screw for ACQ",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"4&quot; Deck Screw for ACQ","<li>#2 drive in both Phillips and Square.</li><li>
Used to fasten wood to wood in       
exterior applications.</li><li>
 Square drive provides a more 
positive stable driving system.</li><li>
 Dacro finish provides increased
 corrosion resistance.</li><li>
 Dagger Ultra-Guard Coating 
provides excellent corrosion resistance 
and is approved in ACQ treated wood.</li><li>
 Dagger Ultra-Guard Coating stock 
color is tan; green and redwood </li><li>
available as special order.</li>","","","4&quot; Deck Screw for ACQ","4&quot; Deck Screw for ACQ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1227|20525","Self Drilling Screws|Self Drilling Screws",89473,"SDZ1010",,"#10-16 x 1&quot; HWH Self Drill","Hex Washer Head Self Drill","#10-16 x 1&quot; HWH Self Drill","",/\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,/\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,http://www.48ws.com/images/product/S/D/International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self-Drill,International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self-Drill,,No layout updates.,Block after Info Column,,"#10-16 x 1&quot; HWH Self Drill","#10-16 x 1&quot; HWH Self Drill",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","#10-16 x 1&quot; HWH Self Drill","#10-16 x 1&quot; HWH Self Drill",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1227|20525","Self Drilling Screws|Self Drilling Screws",89474,"SDZ10112",,"#10-16 x 1-1/2&quot; HWH Self Drill","Hex Washer Head Self Drill","#10-16 x 1-1/2&quot; HWH Self Drill","",/\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,/\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,http://www.48ws.com/images/product/S/D/International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,10-16-x-1-12-HWH-Self-Drill,10-16-x-1-12-HWH-Self-Drill,,No layout updates.,Block after Info Column,,"#10-16 x 1-1/2&quot; HWH Self Drill","#10-16 x 1-1/2&quot; HWH Self Drill",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"#10-16 x 1-1/2&quot; HWH Self Drill","","","","#10-16 x 1-1/2&quot; HWH Self Drill","#10-16 x 1-1/2&quot; HWH Self Drill",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1227|20525","Self Drilling Screws|Self Drilling Screws",89475,"SDZ101104",,"#10-16 x 1-1/4&quot; HWH Self Drill","Hex Washer Head Self Drill","#10-16 x 1-1/4&quot; HWH Self Drill","",/\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,/\S\D\International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,http://www.48ws.com/images/product/S/D/International-Fasteners-Inc-Daggerz-Hex-Washer-Head-Self.jpg,10-16-x-1-14-HWH-Self-Drill,10-16-x-1-14-HWH-Self-Drill,,No layout updates.,Block after Info Column,,"#10-16 x 1-1/4&quot; HWH Self Drill","#10-16 x 1-1/4&quot; HWH Self Drill",Use config,"http://www.daggerz.com/catalog%20low%20rez%202011.pdf",0,,,0,"Daggerz",556,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"#10-16 x 1-1/4&quot; HWH Self Drill","","","","#10-16 x 1-1/4&quot; HWH Self Drill","#10-16 x 1-1/4&quot; HWH Self Drill",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
