store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"25962","Half Mask Respirators",321659,"100M00",,"Series 100 Silicone Facepiece","Series 100 Silicone Facepiece","Series 100 Silicone Facepiece","Facepiece assembly, Small, Silicone Rubber",/\1\0\Series-100-Silicone.jpg,/\1\0\Series-100-Silicone.jpg,http://www.48ws.com/images/product/1/0/Series-100-Silicone.jpg,us-safety-100M00-,us-safety-100M00-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Facepiece","Series 100 Silicone Facepiece",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 Silicone Facepiece","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","Facepiece assembly, Medium, Silicone Rubber","Series 100 Silicone Facepiece",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321660,"100L00",,"Series 100 Silicone Facepiece","Series 100 Silicone Facepiece","Series 100 Silicone Facepiece","Facepiece assembly, Small, Silicone Rubber",/\1\0\Series-100-Silicone.jpg,/\1\0\Series-100-Silicone.jpg,http://www.48ws.com/images/product/1/0/Series-100-Silicone.jpg,us-safety-100L00-,us-safety-100L00-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Facepiece","Series 100 Silicone Facepiece",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 - Silicone Facepiece","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","Facepiece assembly, Large, Silicone Rubber","Series 100 Silicone Facepiece",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321661,"100S00",,"Series 100 Silicone Facepiece","Series 100 Silicone Facepiece","Series 100 Silicone Facepiece","Facepiece assembly, Small, Silicone Rubber",/\1\0\Series-100-Silicone.jpg,/\1\0\Series-100-Silicone.jpg,http://www.48ws.com/images/product/1/0/Series-100-Silicone.jpg,us-safety-100S00-,us-safety-100S00-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Facepiece","Series 100 Silicone Facepiece",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 Silicone Facepiece","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","Facepiece assembly, Small, Silicone Rubber ","Series 100 Silicone Facepiece",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321663,"1MDN5",,"Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95","Comfort and compatibility, without compromise.",/\1\S\Series-100-Silicone-Complete-Assemblies.jpg,/\1\S\Series-100-Silicone-Complete-Assemblies.jpg,http://www.48ws.com/images/product/1/S/Series-100-Silicone-Complete-Assemblies.jpg,us-safety-1MDN5-,us-safety-1MDN5-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 Silicone Complete Assemblies N95","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","N95 Filter Assembly Complete, Medium, Silicone Rubber; Suitable For: Welding, Dusts, Non-Oil Mists","Series 100 Silicone Complete Assemblies N95",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321664,"1LDN5",,"Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95","Comfort and compatibility, without compromise.",/\1\S\Series-100-Silicone-Complete-Assemblies.jpg,/\1\S\Series-100-Silicone-Complete-Assemblies.jpg,http://www.48ws.com/images/product/1/S/Series-100-Silicone-Complete-Assemblies.jpg,us-safety-1LDN5-,us-safety-1LDN5-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 Silicone Complete Assemblies N95","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","N95 Filter Assembly Complete, Large, Silicone Rubber; Suitable For: Welding, Dusts, Non-Oil Mists","Series 100 Silicone Complete Assemblies N95",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321665,"1SDN5",,"Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95","Comfort and compatibility, without compromise.",/\1\S\Series-100-Silicone-Complete-Assemblies.jpg,/\1\S\Series-100-Silicone-Complete-Assemblies.jpg,http://www.48ws.com/images/product/1/S/Series-100-Silicone-Complete-Assemblies.jpg,us-safety-1SDN5-,us-safety-1SDN5-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Complete Assemblies N95","Series 100 Silicone Complete Assemblies N95",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 Silicone Complete Assemblies N95","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","N95 Filter Assembly Complete, Small, Silicone Rubber; Suitable For: Welding, Dusts, Non-Oil Mists","Series 100 Silicone Complete Assemblies N95",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321667,"1M20DN5",,"Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95","Comfort and compatibility, without compromise.",/\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,/\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,http://www.48ws.com/images/product/1/S/Series-100-Silicone-Complete-Assemblies- 1.jpg,us-safety-1M20DN5-,us-safety-1M20DN5-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 Silicone Complete Assemblies OV/N95","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","OV/N95 Complete, Medium, Silicone Rubber; Suitable For: Lacquer & Enamel Paints, Pesticides, Welding, Dusts, Non-Oil Mists  Made in USA	","Series 100 Silicone Complete Assemblies OV/N95",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321668,"1L20DN5",,"Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95","Comfort and compatibility, without compromise.",/\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,/\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,http://www.48ws.com/images/product/1/S/Series-100-Silicone-Complete-Assemblies- 1.jpg,us-safety-1L20DN5-,us-safety-1L20DN5-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 Silicone Complete Assemblies OV/N95","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","OV/N95 Complete, Large, Silicone Rubber; Suitable For: Lacquer & Enamel Paints, Pesticides, Welding, Dusts, Non-Oil Mists  Made in USA	","Series 100 Silicone Complete Assemblies OV/N95",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321669,"1S20DN5",,"Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95","Comfort and compatibility, without compromise.",/\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,/\1\S\Series-100-Silicone-Complete-Assemblies- 1.jpg,http://www.48ws.com/images/product/1/S/Series-100-Silicone-Complete-Assemblies- 1.jpg,us-safety-1S20DN5-,us-safety-1S20DN5-,,No layout updates.,Block after Info Column,,"Series 100 Silicone Complete Assemblies OV/N95","Series 100 Silicone Complete Assemblies OV/N95",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 Silicone Complete Assemblies OV/N95","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","OV/N95 Complete, Small, Silicone Rubber; Suitable For: Lacquer & Enamel Paints, Pesticides, Welding, Dusts, Non-Oil Mists  Made in USA	","Series 100 Silicone Complete Assemblies OV/N95",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25962","Half Mask Respirators",321671,"1L20DN5CAM",,"Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell","Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell","Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell","Comfort and compatibility, without compromise.",/\1\M\Series-100-Silicone-Complete-Assemblies-OVN95-in-Clam.jpg,/\1\M\Series-100-Silicone-Complete-Assemblies-OVN95-in-Clam.jpg,http://www.48ws.com/images/product/1/M/Series-100-Silicone-Complete-Assemblies-OVN95-in-Clam.jpg,us-safety-1L20DN5CAM-,us-safety-1L20DN5CAM-,,No layout updates.,Block after Info Column,,"Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell","Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell",Use config,"http://www.ussafety.com/catalog.php?category=D&item=49&cd=992",0,,,0,"Dentec Safety",1274,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell","<br><li>Low-profile design</li><br>
<li>Multi-position cartridge placement</li><br>
<li>Extra large inhalation valves</li><br>
<li>Patented corrugated exhale valve</li><br>
<li>Low &quot;dead air&quot; space</li><br>
<li>Unique low-fitting design</li><br>
<li>Textured non-slip face seal</li><br>
<li>Swivel strap retainers</li><br>
<li>Replaceable parts</li>
","U.S. Safety sets the standard for comfort and compatibility with Comfort-Air™ series respirators. Molded from pure silicone, the wide interior flange, deep chin cup and rolled edges of the Comfort-Air™ mask make it the “hands down” favorite for long-term comfort and fit.
The textured no-slip face seal and swivel retainers ensure proper placement. Extra large inhalation valve, unique corrugated exhale valve and minimized “dead air” space provide low breathing resistance and added comfort.
Patented multi-position cartridge placement and low-fitting mask design allow maximum compatibility with other PPE. NIOSH approved.","","OV/N95 Complete, Large, Silicone Rubber; Suitable For: Lacquer & Enamel Paints, Pesticides, Welding, Dusts, Non-Oil Mists in clam shell","Series 100 - Silicone Complete Assemblies OV/N95 in Clam Shell",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
