store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"29018","Concrete Cutting",391658,"CS-3000 PRO",,"Professional Series ","","Professional Series ","",/\C\S\diamond-vantage-cs-3000-pro-professional-series.jpg,/\C\S\diamond-vantage-cs-3000-pro-professional-series.jpg,http://www.48ws.com/images/product/C/S/diamond-vantage-cs-3000-pro-professional-series.jpg,diamond-vantage-CS-3000-PRO-,diamond-vantage-CS-3000-PRO-,,No layout updates.,Block after Info Column,,"Professional Series ","Professional Series ",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"(Walk-Behind 35-85Hp)","<Br>•  1-7/16 Blade Shaft With Heavy-Duty Pillow Block Bearings
<Br>•  Quick Release, Auto-Latching Bayonet Mount Blade Guard
<Br>•  Three Position Adjustable Solid Steel Handlebars
<Br>•  Blade Guard Uses “Ride On The Blade” Water Tubes For Superior Water Delivery And Blade Cooling
<Br>•  Saw Designed For Left Or Right Side Mounting Of Blade And Blade Guard
<Br>•  Rigid Frame Front Pointer With High Visibility Guide Wheel For Accurate Tracking
<Br>•  Instrumentation Includes Engine Tach, Fuel Level And Hour Meter
<Br>•  Ergonomic Fnr Traverse Control
<Br>•  Depth Of Cut Indicator
<Br>•  Blade Guard Has Garden Hose Style Connector For Quick Disconnecting
<Br>•  Removable Rear Panel For Easy Service
<Br>•  7 3Vx V-Belt Drive From Engine To Blade Shaft
<Br>•  Electric Leadscrew For Positive Adjustment Of Cutting Depth
<Br>•  Wide Front Wheel Base Increases Stability And Allows Ramp Loading/ Unloading
<Br>•  Eaton Model 6 Hydrostatic Transmission Coupled To A Trans-Axle
<Br>
<Br>* Other Engine Options Available.
","The Cs-3000 Series Concrete Saws Are Big Performance Saws In Small Packages. They Have Been Engineered To Take Advantage Of The New Breed Of High Horsepower V-Twin Air-Cooled Engines From Briggs And Stratton. They Provide The Cutting Depth And Power Of Traditional Street Saws With All The Advantages Of A Smaller, More Maneuverable Saw. The Saws Are Fully Self-Propelled And Use An Electric Leadscrew To Raise And Lower The Blade. One-Year Limited Warranty. Blade Not Included.","","","Professional Series ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",391659,"CS-4000 PRO",,"Professional Series ","","Professional Series ","",/\C\S\diamond-vantage-cs-4000-pro-professional-series.jpg,/\C\S\diamond-vantage-cs-4000-pro-professional-series.jpg,http://www.48ws.com/images/product/C/S/diamond-vantage-cs-4000-pro-professional-series.jpg,diamond-vantage-CS-4000-PRO-,diamond-vantage-CS-4000-PRO-,,No layout updates.,Block after Info Column,,"Professional Series ","Professional Series ",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"(Walk-Behind 35-85Hp)","<Br>•  Totally Enclosed And Sealed Blade Shaft With Continuous Oil Bath Lubrication System
<Br>•  Control Set Provides Proportional Blade Raising/Lowering And Travel Speed With One Hand Operation
<Br>•  Quick Release, Auto-Latching Bayonet Mount Blade Guard
<Br>•  Blade Guard Uses “Ride On The Blade” Water Tubes For Superior Water Delivery And Blade Cooling
<Br>•  Eaton Model 6 Hydrostatic Transmission Coupled To A Differentiating Trans-Axle
<Br>•  Saw Designed For Left Or Right Side Mounting Of Blade And Blade Guard
<Br>•  Differential Lock (For Cutting On Slippery Surfaces) And Free Wheel/Engage Controls (To Allow The Saw To Be Pushed Manually)
<Br>•  Three-Position Adjustable Solid Steel Handlebars
<Br>•  Rigid Frame Front Pointer With High Visibility Guide Wheel For Accurate Tracking
<Br>•  Epa Tier 3/Interim 4 Compliant
<Br>•  7 3Vx V-Belt Drive From Engine To Blade Shaft
<Br>•  Travel Speed: 0-220 Fpm Forward, 0-100 Fpm Reverse
<Br>•  Fuel Capacity: 5.75 Gallons
<Br>
<Br>*  Other Engine Options Available.
","The Cs-4000 Series Concrete Saws Are A 4 Cylinder In-Line, Diesel Fueled, Turbo-Charged, Liquid-Cooled Engine. It Is Fuel Efficient, Altitude Compensating, Has Low Emissions And Meets All Epa And Carb Requirements. The Engine Is 1498Cc In Displacement And Features Kubota’S Three Vortec Combustion System, Which Produces An Ideal Air/Fuel Mixture That Provides Increased Combustion Efficiency And Cleaner Exhaust. One-Year Limited Warranty. Blade Not Included.","","","Professional Series ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",391660,"CS-6000 PRO",,"Professional Series ","","Professional Series ","",/\C\S\diamond-vantage-cs-6000-pro-professional-series.jpg,/\C\S\diamond-vantage-cs-6000-pro-professional-series.jpg,http://www.48ws.com/images/product/C/S/diamond-vantage-cs-6000-pro-professional-series.jpg,diamond-vantage-CS-6000-PRO-,diamond-vantage-CS-6000-PRO-,,No layout updates.,Block after Info Column,,"Professional Series ","Professional Series ",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"(Walk-Behind 35-85Hp)","<Br>•  3-Speed Blade Shaft Gearbox Allows For Multiple Blade Diameters Without Belt/Pulley Changes Reduces Labor Time
<Br>•  Blade Capacity Available From 12”-42” (Depending On Model)
<Br>•  Instruments On The Control Panel Are Positioned For Visibility, Quick Access And Ease Of Operation
<Br>•  Blade Guard Uses “Ride On The Blade” Water Tubes For Superior Water Delivery And Blade Cooling
<Br>•  Control Set Provides Proportional Blade Raising/Lowering And Travel Speed With One Hand Operation
<Br>•  Removable Rear And Side Panels For Easy Accessibility For Service And Preventive Maintenance
<Br>•  Superb Balance Design That Minimizes User Fatigue While Increasing Maneuverability And Providing Straight Line Tracking During Cutting
<Br>•   Removable Blade Shaft Stub For Easy Maintenance
<Br>•  Totally Enclosed And Sealed Blade Shaft With Continuous Oil Bath Lubrication System
<Br>•   Designed For Front Pivoting Allowing For Ease Of Movement And Control
<Br>•  Eaton Model 6 Hydrostatic Transmission Couple To A Differentiating Rans-Axle Provides Continuous Variable Forward/Reverse Travel And Cutting Motion
<Br>•  Built-In Lifting Bale For Easy Maneuverability
<Br>•  Also Available In Single Speed Drive
<Br>* Other Engine Options Available.
","The Cs-6000 Heavy-Duty Concrete Saw Has Been Engineered For Operator Convenience And Better Control During Operations. The Cs-6000 Has Been Designed For Front Pivoting And Has Easily Removable Rear And Side Panels To Provide Easy Accessibility For Maintenance. The Saw Is Powered By A Kubota 59Hp, 4-Cylinder, Turbo-Charged, Liquid Cooled, Diesel Fueled Engine. This 2434Cc Engine Meets Current Epa Tier 3/Interim Tier 4 Emissions Regulations, Which Are The Most Stringent In This Class. Blade Not Included.","","","Professional Series ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2559|24964","Masonry Saw Blades|Circular Saw Blades",391661,"1612EY2-2",,"Y2-2 Low Hp Concrete Saw Blades","Y2-2 Low Hp Concrete Saw Blades","Y2-2 Low Hp Concrete Saw Blades","",/\1\6\diamond-vantage-1612ey2-2-y2-2-low-hp-concrete-saw-blades.jpg,/\1\6\diamond-vantage-1612ey2-2-y2-2-low-hp-concrete-saw-blades.jpg,http://www.48ws.com/images/product/1/6/diamond-vantage-1612ey2-2-y2-2-low-hp-concrete-saw-blades.jpg,diamond-vantage-1612EY2-2-y2-2-low-hp-concrete-saw-blades,diamond-vantage-1612EY2-2-y2-2-low-hp-concrete-saw-blades,,No layout updates.,Block after Info Column,,"Y2-2 Low Hp Concrete Saw Blades","Y2-2 Low Hp Concrete Saw Blades",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<Br>• Value Grade
<Br>• Recommended For 5-13Hp Saws
<Br>• 10Mm (.394”) Segment Height
<Br><B>Application(s) </B>
<Br>• Cured Concrete, Medium Aggregates
","","","Size: 16 X .125 X 1","Y2-2 Low Hp Concrete Saw Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2559|24964","Masonry Saw Blades|Circular Saw Blades",391662,"2014EY1-2",,"High Speed/Masonry - Y1-2","High Speed/Masonry - Y1-2","High Speed/Masonry - Y1-2","",/\2\0\diamond-vantage-2014ey1-2-y1-2-low-hp-concrete-saw-blades.jpg,/\2\0\diamond-vantage-2014ey1-2-y1-2-low-hp-concrete-saw-blades.jpg,http://www.48ws.com/images/product/2/0/diamond-vantage-2014ey1-2-y1-2-low-hp-concrete-saw-blades.jpg,diamond-vantage-2014EY1-2-high-speedmasonry-y1-2,diamond-vantage-2014EY1-2-high-speedmasonry-y1-2,,No layout updates.,Block after Info Column,,"High Speed/Masonry - Y1-2","High Speed/Masonry - Y1-2",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<Br>• Value Plus Grade
<Br>• 12Mm (.472”) Segment Height
<Br><B>Application(s) </B>
<Br>• Cured Concrete, Masonry</B>
","","","Size: 20 X .140 X 1","High Speed/Masonry - Y1-2",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2559|24964","Masonry Saw Blades|Circular Saw Blades",391663,"1212EX1-2",,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","",/\1\2\diamond-vantage-1212ex1-2-x3-2-low-hp-concrete-saw-blades.jpg,/\1\2\diamond-vantage-1212ex1-2-x3-2-low-hp-concrete-saw-blades.jpg,http://www.48ws.com/images/product/1/2/diamond-vantage-1212ex1-2-x3-2-low-hp-concrete-saw-blades.jpg,diamond-vantage-1212EX1-2-x3-2-low-hp-concrete-saw-blades,diamond-vantage-1212EX1-2-x3-2-low-hp-concrete-saw-blades,,No layout updates.,Block after Info Column,,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<Br>• Premium Grade
<Br>• Recommended For 5-20Hp Saws
<Br>• 10Mm (.394”) Segment Height
<Br><B>Application(s) </B>
<Br>• Cured Concrete, Medium Aggregates
","","","Size: 12 X .125 X 1 ","X3-2 Low Hp Concrete Saw Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2559|24964","Masonry Saw Blades|Circular Saw Blades",391664,"2415EX3-2",,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","",/\2\4\diamond-vantage-2415ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,/\2\4\diamond-vantage-2415ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,http://www.48ws.com/images/product/2/4/diamond-vantage-2415ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,diamond-vantage-2415EX3-2-x3-2-low-hp-concrete-saw-blades,diamond-vantage-2415EX3-2-x3-2-low-hp-concrete-saw-blades,,No layout updates.,Block after Info Column,,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<Br>• Premium Grade
<Br>• Recommended For 5-20Hp Saws
<Br>• 10Mm (.394”) Segment Height
<Br><B>Application(s) </B>
<Br>• Cured Concrete, Medium Aggregates
","","","Size: 24 X .155 X 1","X3-2 Low Hp Concrete Saw Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2559|24964","Masonry Saw Blades|Circular Saw Blades",391665,"2416EX3-2",,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","",/\2\4\diamond-vantage-2416ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,/\2\4\diamond-vantage-2416ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,http://www.48ws.com/images/product/2/4/diamond-vantage-2416ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,diamond-vantage-2416EX3-2-x3-2-low-hp-concrete-saw-blades,diamond-vantage-2416EX3-2-x3-2-low-hp-concrete-saw-blades,,No layout updates.,Block after Info Column,,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<Br>• Premium Grade
<Br>• Recommended For 5-20Hp Saws
<Br>• 10Mm (.394”) Segment Height
<Br><B>Application(s) </B>
<Br>• Cured Concrete, Medium Aggregates
","","","Size: 24 X .165 X 1","X3-2 Low Hp Concrete Saw Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2559|24964","Masonry Saw Blades|Circular Saw Blades",391666,"2615EX3-2",,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","",/\2\6\diamond-vantage-2615ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,/\2\6\diamond-vantage-2615ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,http://www.48ws.com/images/product/2/6/diamond-vantage-2615ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,diamond-vantage-2615EX3-2-x3-2-low-hp-concrete-saw-blades,diamond-vantage-2615EX3-2-x3-2-low-hp-concrete-saw-blades,,No layout updates.,Block after Info Column,,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<Br>• Premium Grade
<Br>• Recommended For 5-20Hp Saws
<Br>• 10Mm (.394”) Segment Height
<Br><B>Application(s) </B>
<Br>• Cured Concrete, Medium Aggregates
","","","Size: 26 X .155 X 1","X3-2 Low Hp Concrete Saw Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2559|24964","Masonry Saw Blades|Circular Saw Blades",391667,"2616EX3-2",,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades","",/\2\6\diamond-vantage-2616ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,/\2\6\diamond-vantage-2616ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,http://www.48ws.com/images/product/2/6/diamond-vantage-2616ex3-2-x3-2-low-hp-concrete-saw-blades.jpg,diamond-vantage-2616EX3-2-x3-2-low-hp-concrete-saw-blades,diamond-vantage-2616EX3-2-x3-2-low-hp-concrete-saw-blades,,No layout updates.,Block after Info Column,,"X3-2 Low Hp Concrete Saw Blades","X3-2 Low Hp Concrete Saw Blades",Use config,"http://home.diamondvantage.com/user_images/dv_catalog_2013.pdf",0,,,0,"Diamond Vantage",1363,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<Br>• Premium Grade
<Br>• Recommended For 5-20Hp Saws
<Br>• 10Mm (.394”) Segment Height
<Br><B>Application(s) </B>
<Br>• Cured Concrete, Medium Aggregates
","","","Size: 26 X .165 X 1","X3-2 Low Hp Concrete Saw Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
