store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"25836","Hard Hat Cooling Products",37661,"17972",,"AS5E Omega II Cap Shield","AS5E Omega II Cap Shield","AS5E Omega II Cap Shield","SUN SHIELDS FOR ERB® SAFETY HELMET",/\1\7\17972-ERB-Industries-Sun.jpg,/\1\7\17972-ERB-Industries-Sun.jpg,http://www.48ws.com/images/product/1/7/17972-ERB-Industries-Sun.jpg,erb-safety-17972-as5e-omega-ii-cap-shield,erb-safety-17972-as5e-omega-ii-cap-shield,,No layout updates.,Block after Info Column,,"AS5E Omega II Cap Shield","AS5E Omega II Cap Shield",Use config,"https://www.e-erb.com/",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sun Shield provides additional UV protection to wearer with its opaque covering.  The see-through smoke colored Lexan front allows for overhead visibility. Model AS5E only attaches to ERB Safety's Omega II Safety Helmet.  Shield weighs less than 3 oz.  Made in USA.","<!--delete-->","Adds additional UV protection for face & neck. Opaque covering with see through smoke colored Lexan front for overhead visibility. Model AS5E only attaches to ERB Omega II Safety Helmet.    Weighs less than 3 oz.","7.2060915686e+11","17972 ERB Industries Sun Shield","AS5E Omega II Cap Shield",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25844","Disposable Ear Plugs",38066,"14381",,"ERB03 Disposable Ear Plugs Uncorded","ERB03 Foam Uncorded Ear Plug","ERB03 Disposable Ear Plugs Uncorded","14381 ERB-03 FOAM UNCORDED EAR PLUG",/\1\4\14831-ERB-Industries-Foam-Uncorded.jpg,/\1\4\14831-ERB-Industries-Foam-Uncorded.jpg,http://www.48ws.com/images/product/1/4/14831-ERB-Industries-Foam-Uncorded.jpg,erb-safety-14381-erb03-disposable-ear-plugs-uncorded,erb-safety-14381-erb03-disposable-ear-plugs-uncorded,,No layout updates.,Block after Info Column,,"ERB03 Disposable Ear Plugs Uncorded","ERB03 Disposable Ear Plugs Uncorded",Use config,"https://www.e-erb.com/",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Soft, smooth, non-allergenic foam ear plugs for better fit and hygiene. Convenient packaging for on-site distribution.  Each pair of ear plugs is individually wrapped. Bright Orange. Carton Qty 200 pair/box. NRR 32dB when used as directed.","<!--delete-->","<ul><li>Uncorded/Orange</li></ul>","7.2060915714e+11","Color:Orange","ERB03 Disposable Ear Plugs Uncorded",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"158|25844","Hearing Protection|Disposable Ear Plugs",38067,"14832",,"Foam Corded Ear Plugs","","Foam Corded Ear Plugs","14382 ERB-03C FOAM CORDED EAR PLUG",/\1\4\14832-ERB-Industries-Foam-Corded-Ear.jpg,/\1\4\14832-ERB-Industries-Foam-Corded-Ear.jpg,http://www.48ws.com/images/product/1/4/14832-ERB-Industries-Foam-Corded-Ear.jpg,14832-ERB-Industries-Foam-Corded-Ear-Plugs,14832-ERB-Industries-Foam-Corded-Ear-Plugs,,No layout updates.,Block after Info Column,,"Foam Corded Ear Plugs","Foam Corded Ear Plugs",Use config,"http://www.e-erb.com/default.aspx?page=item%20detail&itemcode=ERB03C+FOAM+CORDED+PLUG",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"14382 ERB-03C FOAM CORDED EAR PLUG","Carton Qty 200 pair/box. Non-allergenic foam ear plugs provide long term comfort. Very effective hearing protection. Convenient packaging for on-site distribution Each pair of plugs is individually wrapped. Bright orange. NRR 32dB","","","14832 ERB Industries Foam Corded Ear Plugs","Foam Corded Ear Plugs",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"158|25844","Hearing Protection|Disposable Ear Plugs",38069,"14837",,"14387 Reuse Uncrd Plug","","14387 Reuse Uncrd Plug","ERB-04 REUSABLE UNCORDED EARPLUG",/\1\4\14387-ERB-Industries-Reuse-Uncrd.jpg,/\1\4\14387-ERB-Industries-Reuse-Uncrd.jpg,http://www.48ws.com/images/product/1/4/14387-ERB-Industries-Reuse-Uncrd.jpg,14387-ERB-Industries-Reuse-Uncrd-Plug,14387-ERB-Industries-Reuse-Uncrd-Plug,,No layout updates.,Block after Info Column,,"14387 Reuse Uncrd Plug","14387 Reuse Uncrd Plug",Use config,"http://www.e-erb.com/default.aspx?page=item%20detail&itemcode=ERB04+REUSE+UNCD+PLUG",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ERB-04 REUSABLE UNCORDED EARPLUG","Carton Qty 100 pair/box. Distinctive triple flanged design. Very effective hearing protection. Convenient packaging for on-site distribution. Each pair of plugs is individually wrapped. Bright Orange. NRR 25dB","","","14387 ERB Industries Reuse Uncrd Plug","14387 Reuse Uncrd Plug",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25851","Reusable Ear Plugs",38071,"14388",,"ERB04C Reusable Ear Plugs Corded","ERB04C Reusable Corded Ear Plug","ERB04C Reusable Ear Plugs Corded","14388 ERB-04C REUSABLE CORDED EAR PLUG",/\1\4\14388-ERB-Industries-Reuse-Corded.jpg,/\1\4\14388-ERB-Industries-Reuse-Corded.jpg,http://www.48ws.com/images/product/1/4/14388-ERB-Industries-Reuse-Corded.jpg,erb-safety-14388-erb04c-reusable-ear-plugs-corded,erb-safety-14388-erb04c-reusable-ear-plugs-corded,,No layout updates.,Block after Info Column,,"ERB04C Reusable Ear Plugs Corded","ERB04C Reusable Ear Plugs Corded",Use config,"https://www.e-erb.com/",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Unique parabolic design provides an improved contact area with the ear canal, improving sound attenuation properties and comfort.  Distinctive triple flanged design.  100 pair per box.  Convenient dispenser box for easy distribution as each pair of corded ear plugs is individually wrapped. Bright Orange. NRR 25dB (when used as directed).  ","<!--delete-->","OSFM/Orange","7.2060913761e+11","Color:Orange","ERB04C Reusable Ear Plugs Corded",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",95157,"S320 VST LME MD",,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","",/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,http://www.48ws.com/images/product/S/3/ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,erb-safety-S320-VST-LME-MD-,erb-safety-S320-VST-LME-MD-,,No layout updates.,Block after Info Column,,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest",Use config,"http://www.e-erb.com/Default.aspx?page=category%20search%20results&CatList=CL2BREAK&Parent=204703&tree=204438*Traffic+Apparel*0@@204444*Class+2*0@@204703*Class+2+Break+Away*CL2BREAK@@",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<b>ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.</b>","","","Medium","Class 2 Lime Mesh Breakaway Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",95162,"S320 VST LME LG",,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","",/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,http://www.48ws.com/images/product/S/3/ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,erb-safety-S320-VST-LME-LG-,erb-safety-S320-VST-LME-LG-,,No layout updates.,Block after Info Column,,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest",Use config,"http://www.e-erb.com/Default.aspx?page=category%20search%20results&CatList=CL2BREAK&Parent=204703&tree=204438*Traffic+Apparel*0@@204444*Class+2*0@@204703*Class+2+Break+Away*CL2BREAK@@",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ERB Industries S320 VST LME LG Class 2 Lime Mesh Breakaway Safety Vest","<br>
<b>ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.</b>","","","Large","Class 2 Lime Mesh Breakaway Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",95163,"S320 VST LME XL",,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","",/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,http://www.48ws.com/images/product/S/3/ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,erb-safety-S320-VST-LME-XL-,erb-safety-S320-VST-LME-XL-,,No layout updates.,Block after Info Column,,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest",Use config,"http://www.e-erb.com/Default.aspx?page=category%20search%20results&CatList=CL2BREAK&Parent=204703&tree=204438*Traffic+Apparel*0@@204444*Class+2*0@@204703*Class+2+Break+Away*CL2BREAK@@",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ERB Industries Class 2 Lime Mesh Breakaway Safety Vest","<br>
<b>ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.</b>","","","X Large","Class 2 Lime Mesh Breakaway Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",95164,"S320 VST LME 2X",,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","",/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,http://www.48ws.com/images/product/S/3/ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,erb-safety-S320-VST-LME-2X-,erb-safety-S320-VST-LME-2X-,,No layout updates.,Block after Info Column,,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest",Use config,"http://www.e-erb.com/Default.aspx?page=category%20search%20results&CatList=CL2BREAK&Parent=204703&tree=204438*Traffic+Apparel*0@@204444*Class+2*0@@204703*Class+2+Break+Away*CL2BREAK@@",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ERB Industries Class 2 Lime Mesh Breakaway Safety Vest","<br>
<b>ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.</b>","","","2X Large","Class 2 Lime Mesh Breakaway Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",95173,"S320 VST LME 3X",,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest","",/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,/\S\3\ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,http://www.48ws.com/images/product/S/3/ERB-Industries-Class-2-Lime-Mesh-Breakaway-Safety.jpg,erb-safety-S320-VST-LME-3X-,erb-safety-S320-VST-LME-3X-,,No layout updates.,Block after Info Column,,"Class 2 Lime Mesh Breakaway Safety Vest","Class 2 Lime Mesh Breakaway Safety Vest",Use config,"http://www.e-erb.com/Default.aspx?page=category%20search%20results&CatList=CL2BREAK&Parent=204703&tree=204438*Traffic+Apparel*0@@204444*Class+2*0@@204703*Class+2+Break+Away*CL2BREAK@@",0,,,0,"ERB Safety",350,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ERB Industries Class 2 Lime Mesh Breakaway Safety Vest","<br>
<b>ANSI Class 2 safety vest. 5 Point Break-Away. 100% polyester mesh. Hook & loop front closure. 2 interior waist pockets. AwareLite reflective trim. Conforms to ANSI/ISEA 107 standard for design, color & reflectivity. Sizes M - 5XL.</b>","","","3X Large","Class 2 Lime Mesh Breakaway Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
