store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2606|25115","Standard Belts|V-Belts",107462,"3405",,"Grabber Belt-Clip Black","","Grabber Belt-Clip Black","",/\3\4\Grabber-Belt-Clip-Black.jpg,/\3\4\Grabber-Belt-Clip-Black.jpg,http://www.48ws.com/images/product/3/4/Grabber-Belt-Clip-Black.jpg,Grabber-Belt-Clip-Black-3405,Grabber-Belt-Clip-Black-3405,,No layout updates.,Block after Info Column,,"Grabber Belt-Clip Black","Grabber Belt-Clip Black",Use config,"http://www.ergodyne.com/products/pages/default.aspx?PRD=176&PCA=46",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br />
<li>Clips to belts, tool belts, pants and other clothing</li>
<li>Detachable, usable with beeners, D-rings, etc.</li>
<li>Breakaway feature</li>
<li>Dielectric/non-conductive material</li>
<li>Durable, ultra-resilient acetal copolymer</li>
<li>Hi-Vis Orange, Hi-Vis Lime, Blue, Black</li>","<strong>Applications:</strong>
Carpentry, Electrician, Contractors, Trades, Roofing, Construction, Warehousing, Maintenance, Mechanics, HVAC, Plumbing, Mitten Security.","","Ergodyne Grabber Belt-Clip Black 3405","Grabber Belt-Clip Black",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"223|25662","Manual Rope Grab|Rope Grabs",224409,"19112",,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","Keep gloves and other items handy. Clips to most anything. Patented.",/\1\9\Grabber-Dual.jpg,/\1\9\Grabber-Dual.jpg,http://www.48ws.com/images/product/1/9/Grabber-Dual.jpg,19112-Ergodyne-Work-Gear-Grabber-Dual-Clip,19112-Ergodyne-Work-Gear-Grabber-Dual-Clip,,No layout updates.,Block after Info Column,,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP",Use config,"http://www.ergodyne.com/products/pages/default.aspx?PCA=46&PRD=175",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.","</br>
<li>Clips to clothing, belts, tool belts and D-rings</li>
<li>Detachable, usable with 'beeners, D-rings, etc.</li>
<li>Breakaway feature</li>
<li>Dielectric/non-conductive material</li>
<li>Durable, ultra-resilient acetal copolymer</li>
<li>Patented design</li>
<li>Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink</li>","","","Black","SQUIDS® 3400 GRABBER-DUAL CLIP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"223|25662","Manual Rope Grab|Rope Grabs",224410,"19117",,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","Keep gloves and other items handy. Clips to most anything. Patented.",/\1\9\Grabber-Dual.jpg,/\1\9\Grabber-Dual.jpg,http://www.48ws.com/images/product/1/9/Grabber-Dual.jpg,SQUIDS-3400-GRABBER-DUAL-CLIP,SQUIDS-3400-GRABBER-DUAL-CLIP,,No layout updates.,Block after Info Column,,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP",Use config,"http://www.ergodyne.com/products/pages/default.aspx?PCA=46&PRD=175",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.","</br>
<li>Clips to clothing, belts, tool belts and D-rings</li>
<li>Detachable, usable with 'beeners, D-rings, etc.</li>
<li>Breakaway feature</li>
<li>Dielectric/non-conductive material</li>
<li>Durable, ultra-resilient acetal copolymer</li>
<li>Patented design</li>
<li>Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink</li>","","","Blue","SQUIDS® 3400 GRABBER-DUAL CLIP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"223|25662","Manual Rope Grab|Rope Grabs",224411,"19119",,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","Keep gloves and other items handy. Clips to most anything. Patented.",/\1\9\Grabber-Dual.jpg,/\1\9\Grabber-Dual.jpg,http://www.48ws.com/images/product/1/9/Grabber-Dual.jpg,SQUIDS-3400-GRABBER-DUAL-CLIP,SQUIDS-3400-GRABBER-DUAL-CLIP,,No layout updates.,Block after Info Column,,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP",Use config,"http://www.ergodyne.com/products/pages/default.aspx?PCA=46&PRD=175",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.","</br>
<li>Clips to clothing, belts, tool belts and D-rings</li>
<li>Detachable, usable with 'beeners, D-rings, etc.</li>
<li>Breakaway feature</li>
<li>Dielectric/non-conductive material</li>
<li>Durable, ultra-resilient acetal copolymer</li>
<li>Patented design</li>
<li>Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink</li>","","","Lime","SQUIDS® 3400 GRABBER-DUAL CLIP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"223|25662","Manual Rope Grab|Rope Grabs",224412,"19118",,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","Keep gloves and other items handy. Clips to most anything. Patented.",/\1\9\Grabber-Dual.jpg,/\1\9\Grabber-Dual.jpg,http://www.48ws.com/images/product/1/9/Grabber-Dual.jpg,SQUIDS-3400-GRABBER-DUAL-CLIP,SQUIDS-3400-GRABBER-DUAL-CLIP,,No layout updates.,Block after Info Column,,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP",Use config,"http://www.ergodyne.com/products/pages/default.aspx?PCA=46&PRD=175",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.","</br>
<li>Clips to clothing, belts, tool belts and D-rings</li>
<li>Detachable, usable with 'beeners, D-rings, etc.</li>
<li>Breakaway feature</li>
<li>Dielectric/non-conductive material</li>
<li>Durable, ultra-resilient acetal copolymer</li>
<li>Patented design</li>
<li>Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink</li>","","","Orange","SQUIDS® 3400 GRABBER-DUAL CLIP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"223|25662","Manual Rope Grab|Rope Grabs",224414,"19114",,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","Keep gloves and other items handy. Clips to most anything. Patented.",/\1\9\Grabber-Dual.jpg,/\1\9\Grabber-Dual.jpg,http://www.48ws.com/images/product/1/9/Grabber-Dual.jpg,SQUIDS-3400-GRABBER-DUAL-CLIP,SQUIDS-3400-GRABBER-DUAL-CLIP,,No layout updates.,Block after Info Column,,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP",Use config,"http://www.ergodyne.com/products/pages/default.aspx?PCA=46&PRD=175",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.","</br>
<li>Clips to clothing, belts, tool belts and D-rings</li>
<li>Detachable, usable with 'beeners, D-rings, etc.</li>
<li>Breakaway feature</li>
<li>Dielectric/non-conductive material</li>
<li>Durable, ultra-resilient acetal copolymer</li>
<li>Patented design</li>
<li>Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink</li>","","","Pink","SQUIDS® 3400 GRABBER-DUAL CLIP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"223|25662","Manual Rope Grab|Rope Grabs",224415,"19113",,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP","Keep gloves and other items handy. Clips to most anything. Patented.",/\1\9\Grabber-Dual.jpg,/\1\9\Grabber-Dual.jpg,http://www.48ws.com/images/product/1/9/Grabber-Dual.jpg,SQUIDS-3400-GRABBER-DUAL-CLIP,SQUIDS-3400-GRABBER-DUAL-CLIP,,No layout updates.,Block after Info Column,,"SQUIDS® 3400 GRABBER-DUAL CLIP","SQUIDS® 3400 GRABBER-DUAL CLIP",Use config,"http://www.ergodyne.com/products/pages/default.aspx?PCA=46&PRD=175",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.","</br>
<li>Clips to clothing, belts, tool belts and D-rings</li>
<li>Detachable, usable with 'beeners, D-rings, etc.</li>
<li>Breakaway feature</li>
<li>Dielectric/non-conductive material</li>
<li>Durable, ultra-resilient acetal copolymer</li>
<li>Patented design</li>
<li>Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink</li>","","","Red","SQUIDS® 3400 GRABBER-DUAL CLIP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21814","Measuring Tapes",535208,"19770",,"Squids® 3770 Tape Measure Trap","","Squids® 3770 Tape Measure Trap","",/\1\9\ergodyne-work-gear-19770-squids-3770-tape-measure-trap.jpg,/\1\9\ergodyne-work-gear-19770-squids-3770-tape-measure-trap.jpg,http://www.48ws.com/images/product/1/9/ergodyne-work-gear-19770-squids-3770-tape-measure-trap.jpg,ergodyne-work-gear-19770-squids-3770-tape-measure-trap,ergodyne-work-gear-19770-squids-3770-tape-measure-trap,,No layout updates.,Block after Info Column,,"Squids® 3770 Tape Measure Trap","Squids® 3770 Tape Measure Trap",Use config,"https://www.ergodyne.com/lanyards/tool-tether-attachments/squids-3770-tape-measure-trap.html",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<div class=&quot;std&quot;>
                                                Tape Measure Trap securely wraps around most standard tape measures.  D-Ring connection point attaches to a lanyard to prevent drops.                                             </div>                 
                                                                                                                                                                    <h2>Features</h2>
                                            <div class=&quot;std&quot;>
                                                <ul>
<li>1200D and 600D polyester main material</li>
<li>Hook and loop straps secure tape measure inside trap for safe and easy tethering</li>
<li>Zinc-plated cast alloy D-Ring</li>
<li>Maximum safe working capacity: 2 lbs. (0.9 kg)</li>
<li>Third party tested using a 2:1 safety factor</li>
<li>Patented design</li>
</ul>                                            </div>
                                                                                                                                                                    <h2>Application</h2>
                                            <div class=&quot;std&quot;>
                                                <ul><li>Heavy Construction</li><li> Utilities</li><li> Mining/Extraction</li><li> Roofing</li><li> Maintenance</li><li> Arborists</li><li> Oil &amp; Gas</li><li> Telecommunications</li></ul>                                            </div>","","","","Squids® 3770 Tape Measure Trap",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22984","Chains",535209,"19792",,"Squids® 3790 Tool Shackle - 2-Pack","","Squids® 3790 Tool Shackle - 2-Pack","",/\1\9\ergodyne-work-gear-19792-squids-3790-tool-shackle-2-pack.jpg,/\1\9\ergodyne-work-gear-19792-squids-3790-tool-shackle-2-pack.jpg,http://www.48ws.com/images/product/1/9/ergodyne-work-gear-19792-squids-3790-tool-shackle-2-pack.jpg,ergodyne-work-gear-19792-squids-3790-tool-shackle-2-pack,ergodyne-work-gear-19792-squids-3790-tool-shackle-2-pack,,No layout updates.,Block after Info Column,,"Squids® 3790 Tool Shackle - 2-Pack","Squids® 3790 Tool Shackle - 2-Pack",Use config,"https://www.ergodyne.com/lanyards/tool-tether-attachments/squids-3790-tool-shackle.html",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<div class=&quot;std&quot;>
                                                Stainless steel U shaped shackles connect to waisted tools (tapered mid sections) or tools with captive holes, creating clean, secure attachment points for tethering.                                            </div>                 
                                                                                                                                                                    <h2>Features</h2>
                                            <div class=&quot;std&quot;>
                                                <ul><li>Stainless steel (#304) material</li><li>One step retrofit attachment for tethering point</li><li>Connects around midsection of a waisted tool</li><li>Secure by adding a drop of adhesive and tightening</li><li>Maximum safe working capacity: 15lbs (6.8kg)</li><li>Third-party certified to a 2:1 safety factor</li></ul>                                            </div>
                                                                                                                                                                    <h2>Application</h2>
                                            <div class=&quot;std&quot;>
                                                <ul>
<li>Telecommunications</li>
<li>Municipalities</li>
<li>Construction</li>
<li>Utilities</li>
<li>Wind Energy</li>
<li>Oil &amp; Gas</li>
<li>Power Generation</li>
<li>Railway</li>
</ul>                                            </div>","","","","Squids® 3790 Tool Shackle - 2-Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29095","Cooling & Heating Packs",535210,"12420",,"Chill-Its® 6602 Evaporative Cooling Towel","","Chill-Its® 6602 Evaporative Cooling Towel","",/\1\2\ergodyne-work-gear-12420-chill-its-6602-evaporative-cooling-towel.jpg,/\1\2\ergodyne-work-gear-12420-chill-its-6602-evaporative-cooling-towel.jpg,http://www.48ws.com/images/product/1/2/ergodyne-work-gear-12420-chill-its-6602-evaporative-cooling-towel.jpg,ergodyne-work-gear-12420-chill-its-6602-evaporative-cooling-towel,ergodyne-work-gear-12420-chill-its-6602-evaporative-cooling-towel,,No layout updates.,Block after Info Column,,"Chill-Its® 6602 Evaporative Cooling Towel","Chill-Its® 6602 Evaporative Cooling Towel",Use config,"https://www.ergodyne.com/cooling/evaporative/chill-its-6602-evaporative-cooling-towel.html",0,,,0,"Ergodyne Work Gear",812,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<div class=&quot;std&quot;>
                                                Cooling Towel: Dampen this synthetic space age towel to create a cooling aid significantly colder than ambient air.                                            </div>                 
                                                                                                                                                                    <h2>Features</h2>
                                            <div class=&quot;std&quot;>
                                                <ul><li>Advanced PVA cooling technology</li><li>Super-evaporative, feels significantly cooler than ambient air</li><li>Activates fast and easy - run under cold water for one minute</li><li>Wear for hours or for quick relief</li><li>Simply re-wet to reactivate</li><li>Machine washable</li><li>Size: 13in x 29.5in (33cm x 75cm)</li></ul>                                            </div>
                                                                                                                                                                    <h2>Application</h2>
                                            <div class=&quot;std&quot;>
                                                <ul>
<li>Construction</li>
<li>Freight/Baggage</li>
<li>Drilling/Mining</li>
<li>Iron/Steel Work</li>
<li>Agriculture</li>
<li>Solar</li>
<li>Landscaping/Grounds</li>
</ul>                                            </div>","","","","Chill-Its® 6602 Evaporative Cooling Towel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
