store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2484|23276","Rope|Ropes",306154,"TWPY060600",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy060600-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy060600-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy060600-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY060600-3-strand-yellow-polypropylene-rope,erin-rope-TWPY060600-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.1875, Length in in.: 600, Minimum Break Strength in lbs.: 720, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306155,"TWPY061200",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy061200-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy061200-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy061200-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY061200-3-strand-yellow-polypropylene-rope,erin-rope-TWPY061200-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.1875, Length in in.: 1200, Minimum Break Strength in lbs.: 720, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306156,"TWPY066000",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy066000-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy066000-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy066000-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY066000-3-strand-yellow-polypropylene-rope,erin-rope-TWPY066000-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.1875, Length in in.: 6000, Minimum Break Strength in lbs.: 720, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306157,"TWPY080100",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy080100-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy080100-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy080100-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY080100-3-strand-yellow-polypropylene-rope,erin-rope-TWPY080100-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.25, Length in in.: 100, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306158,"TWPY080300",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy080300-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy080300-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy080300-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY080300-3-strand-yellow-polypropylene-rope,erin-rope-TWPY080300-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.25, Length in in.: 300, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306159,"TWPY080600",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy080600-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy080600-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy080600-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY080600-3-strand-yellow-polypropylene-rope,erin-rope-TWPY080600-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.25, Length in in.: 600, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306160,"TWPY081200",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy081200-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy081200-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy081200-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY081200-3-strand-yellow-polypropylene-rope,erin-rope-TWPY081200-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.25, Length in in.: 1200, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306161,"TWPY082400",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy082400-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy082400-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy082400-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY082400-3-strand-yellow-polypropylene-rope,erin-rope-TWPY082400-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.25, Length in in.: 2400, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306162,"TWPY085000",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy085000-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy085000-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy085000-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY085000-3-strand-yellow-polypropylene-rope,erin-rope-TWPY085000-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.25, Length in in.: 5000, Minimum Break Strength in lbs.: 1250, Approximate Density lbs./100 ft.: 1","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2484|23276","Rope|Ropes",306163,"TWPY100600",,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope","",/\T\W\erin-rope-twpy100600-3-strand-yellow-polypropylene-rope.jpg,/\T\W\erin-rope-twpy100600-3-strand-yellow-polypropylene-rope.jpg,http://www.48ws.com/images/product/T/W/erin-rope-twpy100600-3-strand-yellow-polypropylene-rope.jpg,erin-rope-TWPY100600-3-strand-yellow-polypropylene-rope,erin-rope-TWPY100600-3-strand-yellow-polypropylene-rope,,No layout updates.,Block after Info Column,,"3 Strand Yellow Polypropylene Rope","3 Strand Yellow Polypropylene Rope",Use config,"http://www.erinrope.com/twistedstrand.html",0,,,0,"Erin Rope",1329,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.</li>","","","Diameter: 0.3125, Length in in.: 600, Minimum Break Strength in lbs.: 1710, Approximate Density lbs./100 ft.: 2","3 Strand Yellow Polypropylene Rope",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
