store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127861,"RC-622",,"First Aid For Personal Safety Pack with Backpack","","First Aid For Personal Safety Pack with Backpack","This combo kit is a convenient and practical way to prepare employees. Comes with one (1) Deluxe Personal Safety Emergency Pack and a tear-resistant, nylon backpack that also contains extra room for personal items.",/\R\C\First-Aid-On-Personal-Safety-Pack-with.jpg,/\R\C\First-Aid-On-Personal-Safety-Pack-with.jpg,http://www.48ws.com/images/product/R/C/First-Aid-On-Personal-Safety-Pack-with.jpg,RC-622-First-Aid-Only-Firdt-Aid-On-Personal-Safety-Pack-with-Backpac,RC-622-First-Aid-Only-Firdt-Aid-On-Personal-Safety-Pack-with-Backpac,,No layout updates.,Block after Info Column,,"First Aid For Personal Safety Pack with Backpack","First Aid For Personal Safety Pack with Backpack",Use config,"http://www.firstaidonly.com/Products/Personal-Safety-Pack-with-Backpack__RC-622.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This combo kit is a convenient and practical way to prepare employees. Comes with one (1) Deluxe Personal Safety Emergency Pack and a tear-resistant, nylon backpack that also contains extra room for personal items.","<p><b>It Contains:</b></p>

<li>(1) American Red Cross First Aid Guide</li>
<li>(1) Nylon Backpack</li>
<li>(1) Emergency Drinking Water</li>
<li>(1) N95 Mask</li>
<li>(2) Exam Quality Vinyl Gloves</li>
<li>(2) Germicidal Wipes (kills germs)</li>
<li>(1) Light Stick</li>
<li>(1) Whistle with Neck Cord</li>
<li>(1) Emergency Poncho</li>
<li>(1) Emergency Blanket</li>
<li>(2) Hand Warmers</li>
<li>(1) Mini First Aid Kit</li>
<li>(5) Adhesive Plastic Bandages, 3/4&quot; x 3&quot;</li>
<li>(3) Adhesive Fabric Bandages, 3/4&quot; x 3&quot;</li>
<li>(5) Junior Adhesive Plastic Bandages, 3/8&quot; x 1-1/2&quot;</li>
<li>(1) Fingertip Fabric Bandage</li>
<li>(1) Knuckle Fabric Bandage</li>
<li>(2) BZK Antiseptic Towelettes</li>
<li>(1) Triple Antibiotic Ointment packs, 0.5 g ea. </li>","","","First Aid For Personal Safety Pack with Backpack","First Aid For Personal Safety Pack with Backpack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127874,"FX-106",,"Red Cross Emergency Response Center Sign Package","","Red Cross Emergency Response Center Sign Package","Add an easy identifier to the ERC with this sign and sign holder package. The sign measures 8” x 26&quot; and is powder-coated metal. It comes with a sign holder and hardware for wall mounting.",/\F\X\Red-Cross-Emergency-Response-Center-Sign- 2.jpg,/\F\X\Red-Cross-Emergency-Response-Center-Sign- 2.jpg,http://www.48ws.com/images/product/F/X/Red-Cross-Emergency-Response-Center-Sign- 2.jpg,FX-106-First-Aid-Only-Red-Cross-Emergency-Response-Center-Sign-Package,FX-106-First-Aid-Only-Red-Cross-Emergency-Response-Center-Sign-Package,,No layout updates.,Block after Info Column,,"Red Cross Emergency Response Center Sign Package","Red Cross Emergency Response Center Sign Package",Use config,"http://www.firstaidonly.com/Products/Red-Cross-Emergency-Response-Center-Sign-Package__FX-106.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Add an easy identifier to the ERC with this sign and sign holder package. The sign measures 8” x 26&quot; and is powder-coated metal. It comes with a sign holder and hardware for wall mounting.","","","","Red Cross Emergency Response Center Sign Package","Red Cross Emergency Response Center Sign Package",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127882,"RC-662",,"5 Pack Modular SmartPack with Nylon Backpack","","5 Pack Modular SmartPack with Nylon Backpack","This is a truly comprehensive product that contains a full array of essential supplies to cover a wide range of emergency situations. Comes with five modular packs (water, food, first aid, shelter & weather, and alert) plus a tear-resistant, nylon backpac",/\R\C\5-Pack-Modular-SmartPack-with-Nylon.jpg,/\R\C\5-Pack-Modular-SmartPack-with-Nylon.jpg,http://www.48ws.com/images/product/R/C/5-Pack-Modular-SmartPack-with-Nylon.jpg,RC-662-First-Aid-Only-5-Pack-Modular-SmartPack-with-Nylon-Backpack,RC-662-First-Aid-Only-5-Pack-Modular-SmartPack-with-Nylon-Backpack,,No layout updates.,Block after Info Column,,"5 Pack Modular SmartPack with Nylon Backpack","5 Pack Modular SmartPack with Nylon Backpack",Use config,"http://www.firstaidonly.com/Products/5-Pack-Modular-SmartPack-with-Nylon-Backpack__RC-662.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This is a truly comprehensive product that contains a full array of essential supplies to cover a wide range of emergency situations. Comes with five modular packs (water, food, first aid, shelter & weather, and alert) plus a tear-resistant, nylon backpack. The backpack accommodates all five packs, plus has extra room for personal items.","<p><b>It Contains:</b></p>

<li>(1) American Red Cross First Aid Guide</li>
<li>(1) Nylon Backpack with Zipper</li>
<li>(4) Emergency Drinking Water</li>
<li>(1) 2400 Calorie Food Bar</li>
<li>(2) Exam-Quality Vinyl Gloves</li>
<li>(10) Adhesive Plastic Bandage, 3/4&quot; x 3&quot;</li>
<li>(10) Junior Plastic Bandages, 3/8&quot; x 1-1/2&quot;</li>
<li>(2) Patch Plastic Bandage, 1-1/2&quot;x 1-1/2&quot;</li>
<li>(2) Non-Adhesive Bandages, 2&quot; x 3&quot;</li>
<li>(2) Butterfly Wound Closure </li>
<li>(1) Triangular Sling/Bandage, 36&quot; x 36&quot; x 51&quot;</li>
<li>(4) Gauze Dressing Pad, 2&quot; x 2&quot;</li>
<li>(1) Trauma Pad, 5&quot; x 9&quot;</li>
<li>(1) Confroming Gauze Roll, 2&quot;</li>
<li>(1) First Aid Tape Roll,1/2&quot; x 5yd.</li>
<li>(3) BZK Antiseptic Towelette</li>
<li>(4) Alcohol Cleansing Pad</li>
<li>(2) Antibiotic Ointment Packs</li>
<li>(2) First Aid Cream packs</li>
<li>(1) Lip Ointment</li>
<li>(2) Castile Soap Towelette</li>
<li>(1) &quot;CALL 9-1-1&quot; Banner</li>
<li>(1) Flashlight with 2 Batteries (not installed)</li>
<li>(2) Light Stick</li>
<li>(1) Whistle with Neck Cord</li>
<li>(1) Emergency Poncho</li>
<li>(1) Emergency Blanket, 52&quot;x 84&quot;</li>
<li>(4) Hand Warmers </li>","","","5 Pack Modular SmartPack with Nylon Backpack","5 Pack Modular SmartPack with Nylon Backpack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127884,"RC-612",,"Personal Safety Emergency Pack","","Personal Safety Emergency Pack","This basic pack contains essential items that employees can use during a catastrophic event such as a natural disaster.",/\R\C\Personal-Safety-Emergency.jpg,/\R\C\Personal-Safety-Emergency.jpg,http://www.48ws.com/images/product/R/C/Personal-Safety-Emergency.jpg,RC-612-First-Aid-Only-Personal-Safety-Emergency-Pack,RC-612-First-Aid-Only-Personal-Safety-Emergency-Pack,,No layout updates.,Block after Info Column,,"Personal Safety Emergency Pack","Personal Safety Emergency Pack",Use config,"http://www.firstaidonly.com/Products/Personal-Safety-Emergency-Pack__RC-612.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This basic pack contains essential items that employees can use during a catastrophic event such as a natural disaster.","<p><b>It Contains:</b></p>

<li>(5) Adhesive Plastic Bandage, 3/4&quot; x 3&quot;</li>
<li>(3) Adhesive Fabric Bandage, 3/4&quot; x 3&quot;</li>
<li>(5) Junior Adhesive Plastic Bandages, 3/8&quot; x 1-1/2&quot;</li>
<li>(1) Knuckle Fabric Bandage</li>
<li>(1) Fingertip Fabric Bandage</li>
<li>(2) BZK Antiseptic Towelettes</li>
<li>(1) Triple Antibiotic Ointment Packs, 0.5 g</li>
<li>(1) Hand Sanitizer Pack, 0.9 g</li>
<li>(1) Emergency Drinking Water</li>
<li>(1) Emergency Poncho</li>
<li>(1) Emergency Blanket</li>
<li>(1) Whistle with Neck Cord</li>
<li>(1) Light Stick</li>
<li>(1) Face Mask </li>","","","Personal Safety Emergency Pack","Personal Safety Emergency Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127887,"RC-613",,"Deluxe Personal Safety Emergency Pack","","Deluxe Personal Safety Emergency Pack","This pack is a larger version of the RC-612 and contains a wider array of essential items that employees can use during a catastrophic event such as a natural disaster.",/\R\C\Deluxe-Personal-Safety-Emergency.jpg,/\R\C\Deluxe-Personal-Safety-Emergency.jpg,http://www.48ws.com/images/product/R/C/Deluxe-Personal-Safety-Emergency.jpg,RC-613-First-Aid-Only-Deluxe-Personal-Safety-Emergency-Pack,RC-613-First-Aid-Only-Deluxe-Personal-Safety-Emergency-Pack,,No layout updates.,Block after Info Column,,"Deluxe Personal Safety Emergency Pack","Deluxe Personal Safety Emergency Pack",Use config,"http://www.firstaidonly.com/Products/Deluxe-Personal-Safety-Emergency-Pack__RC-613.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This pack is a larger version of the RC-612 and contains a wider array of essential items that employees can use during a catastrophic event such as a natural disaster.","<p><b>It Contains:</b></p>

<li>(2) Exam Quality Vinyl Gloves</li>
<li>(5) Adhesive Plastic Bandage, 3/4&quot; x 3&quot;</li>
<li>(3) Adhesive Fabric Bandage, 3/4&quot; x 3&quot;</li>
<li>(5) Junior Adhesive Plastic Bandages, 3/8&quot; x 1-1/2&quot;</li>
<li>(1) Knuckle Fabric Bandage</li>
<li>(1) Fingertip Fabric Bandage</li>
<li>(2) BZK Antiseptic Towelettes</li>
<li>(1) Triple Antibiotic Ointment Packs, 0.5 g</li>
<li>(1) Hand Sanitizer Pack, 0.9 g</li>
<li>(2) Germicidal Wipes (kills germs)</li>
<li>(1) Emergency Drinking Water</li>
<li>(1) Emergency Poncho</li>
<li>(2) Hand Warmers</li>
<li>(1) Emergency Blanket</li>
<li>(1) Whistle with Neck Cord</li>
<li>(1) Light Stick</li>
<li>(1) N95 mask </li>","","","Deluxe Personal Safety Emergency Pack","Deluxe Personal Safety Emergency Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127889,"RC-616",,"First Aid and Personal Safety Emergency Pack","","First Aid and Personal Safety Emergency Pack","This basic pack contains essential items that employees can use during a catastrophic event such as a natural disaster, with an emphasis on first aid supplies.",/\R\C\First-Aid-and-Personal-Safety-Emergency.jpg,/\R\C\First-Aid-and-Personal-Safety-Emergency.jpg,http://www.48ws.com/images/product/R/C/First-Aid-and-Personal-Safety-Emergency.jpg,RC-616-First-Aid-Only-First-Aid-and-Personal-Safety-Emergency-Pack,RC-616-First-Aid-Only-First-Aid-and-Personal-Safety-Emergency-Pack,,No layout updates.,Block after Info Column,,"First Aid and Personal Safety Emergency Pack","First Aid and Personal Safety Emergency Pack",Use config,"http://www.firstaidonly.com/Products/First-Aid-and-Personal-Safety-Emergency-Pack__RC-616.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This basic pack contains essential items that employees can use during a catastrophic event such as a natural disaster, with an emphasis on first aid supplies.","<p><b>It Contains:</b></p>

<li>(1) Scissors</li>
<li>(2) Exam Quality Vinyl Gloves</li>
<li>(5) Adhesive Plastic Bandage, 3/4&quot; x 3&quot;</li>
<li>(5) Adhesive Plastic Bandage, 1&quot; x 3&quot;</li>
<li>(5) Junior Adhesive Plastic Bandages, 3/8&quot; x 1-1/2&quot;</li>
<li>(1) Knuckle Fabric Bandage</li>
<li>(1) Fingertip Fabric Bandage</li>
<li>(1) Elbow and Knee Plastic Bandages, 2&quot; x 4&quot;</li>
<li>(1) Patch Bandage, 1-1/2&quot;x 1-1/2&quot;</li>
<li>(2) Gauze Dressing Pad, 3&quot; x 3&quot;</li>
<li>(1) Trauma Pad, 5&quot; x 9&quot;</li>
<li>(1) Conforming Gauze Roll, 2&quot;</li>
<li>(1) First Aid Tape Roll</li>
<li>(2) BZK Antiseptic Towelettes</li>
<li>(1) Triple Antibiotic Ointment Packs, 0.5 g</li>
<li>(1) Hydrocortisone Cream Pack, 0.9g</li>
<li>(1) Hand Sanitizer Pack, 0.9 g</li>
<li>(1) Emergency Blanket</li>
<li>(1) Whistle with Neck Cord</li>
<li>(1) Face Mask</li>
<li>(2) Chewable Aspirin Tablets, 81 mg ea. </li>","","","First Aid and Personal Safety Emergency Pack","First Aid and Personal Safety Emergency Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127890,"RC-617",,"Deluxe First Aid and Personal Safety Emergency Pack","","Deluxe First Aid and Personal Safety Emergency Pack","This pack is a larger version of the RC-616 and contains a wider array of essential first aid and emergency items that employees can use during a catastrophic event such as a natural disaster.",/\R\C\Deluxe-First-Aid-and-Personal-Safety-Emergency.jpg,/\R\C\Deluxe-First-Aid-and-Personal-Safety-Emergency.jpg,http://www.48ws.com/images/product/R/C/Deluxe-First-Aid-and-Personal-Safety-Emergency.jpg,RC-617-First-Aid-Only-Deluxe-First-Aid-and-Personal-Safety-Emergency-Pack,RC-617-First-Aid-Only-Deluxe-First-Aid-and-Personal-Safety-Emergency-Pack,,No layout updates.,Block after Info Column,,"Deluxe First Aid and Personal Safety Emergency Pack","Deluxe First Aid and Personal Safety Emergency Pack",Use config,"http://www.firstaidonly.com/Products/Deluxe-First-Aid-and-Personal-Safety-Emergency-Pack__RC-617.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This pack is a larger version of the RC-616 and contains a wider array of essential first aid and emergency items that employees can use during a catastrophic event such as a natural disaster.","<p><b>It Contains:</b></p>

<li>(1) Scissors</li>
<li>(2) Exam-Quality Vinyl Gloves</li>
<li>(10) Adhesive Plastic Bandage, 3/4&quot; x 3&quot;</li>
<li>(5) Adhesive Plastic Bandage, 1&quot; x 3&quot;</li>
<li>(5) Junior Adhesive Plastic Bandages, 3/8&quot; x 1-1/2&quot;</li>
<li>(2) Knuckle Fabric Bandage</li>
<li>(2) Fingertip Fabric Bandage</li>
<li>(1) Elbow and Knee Plastic Bandages, 2&quot; x 4&quot;</li>
<li>(1) Patch Bandage, 1-1/2&quot;x 1-1/2&quot;</li>
<li>(2) Gauze Dressing Pad, 3&quot; x 3&quot;</li>
<li>(1) Trauma Pad, 5&quot; x 9&quot;</li>
<li>(1) Confroming Gauze Roll, 2&quot;</li>
<li>(1) First Aid Tape Roll</li>
<li>(3) Antiseptic Cleansing Wipe (sting free)</li>
<li>(2) Triple Antibiotic Ointment Packs, 0.5 g</li>
<li>(1) Hydrocortisone Cream Pack, 0.9g</li>
<li>(1) CPR Face Shield</li>
<li>(2) Hand Sanitizer Pack, 0.9 g</li>
<li>(1) Germicidal Wipes (kills germs)</li>
<li>(1) Emergency Blanket</li>
<li>(1) Whistle with Neck Cord</li>
<li>(2) Face Mask</li>
<li>(2) Chewable Asprin Tablets, 81 mg ea. </li>","","","Deluxe First Aid and Personal Safety Emergency Pack","Deluxe First Aid and Personal Safety Emergency Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127892,"RC-651",,"Deluxe Germ Guard Personal Protection Pack With N95 Masks","","Deluxe Germ Guard Personal Protection Pack With N95 Masks","This 22-piece pack contains twice the supplies of the RC-650, including two (2) N95 masks.",/\R\C\Deluxe-Germ-Guard-Personal-Protection-Pack-With-N95.jpg,/\R\C\Deluxe-Germ-Guard-Personal-Protection-Pack-With-N95.jpg,http://www.48ws.com/images/product/R/C/Deluxe-Germ-Guard-Personal-Protection-Pack-With-N95.jpg,RC-651-First-Aid-Only-Deluxe-Germ-Guard-Personal-Protection-Pack-With-N95-Masks,RC-651-First-Aid-Only-Deluxe-Germ-Guard-Personal-Protection-Pack-With-N95-Masks,,No layout updates.,Block after Info Column,,"Deluxe Germ Guard Personal Protection Pack With N95 Masks","Deluxe Germ Guard Personal Protection Pack With N95 Masks",Use config,"http://www.firstaidonly.com/Products/Deluxe-Germ-Guard-Personal-Protection-Pack-With-N95-Masks__RC-651.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This 22-piece pack contains twice the supplies of the RC-650, including two (2) N95 masks.","<p><b>It Contains:</b></p>

<li>(12) Antimicrobial Cleansing Wipes </li>
<li>(4) Exam Quality Vinyl Gloves, 1 pair </li>
<li>(2) N95 Particulate Mask </li>
<li>(2) Sanitizing Gel, 1 oz. </li>
<li>(2) Tissue Pack </li>","","","Deluxe Germ Guard Personal Protection Pack With N95 Masks","Deluxe Germ Guard Personal Protection Pack With N95 Masks",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127894,"RC-652",,"Germ Guard Personal Protection Pack With Procedural Masks","","Germ Guard Personal Protection Pack With Procedural Masks","This 14-piece pack contains supplies that effectively minimize exposure to airborne particles such as flying debris, smoke, and germs. Contains a procedural mask, which provides good filtration to protect against bacteria.",/\R\C\Germ-Guard-Personal-Protection-Pack-With-Procedural.jpg,/\R\C\Germ-Guard-Personal-Protection-Pack-With-Procedural.jpg,http://www.48ws.com/images/product/R/C/Germ-Guard-Personal-Protection-Pack-With-Procedural.jpg,RC-652-First-Aid-Only-Germ-Guard-Personal-Protection-Pack-With-Procedural-Masks,RC-652-First-Aid-Only-Germ-Guard-Personal-Protection-Pack-With-Procedural-Masks,,No layout updates.,Block after Info Column,,"Germ Guard Personal Protection Pack With Procedural Masks","Germ Guard Personal Protection Pack With Procedural Masks",Use config,"http://www.firstaidonly.com/Products/Germ-Guard-Personal-Protection-Pack-With-Procedural-Masks__RC-652.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This 14-piece pack contains supplies that effectively minimize exposure to airborne particles such as flying debris, smoke, and germs. Contains a procedural mask, which provides good filtration to protect against bacteria.","<p><b>It Contains:</b></p>

<li>(6) Antimicrobial Cleansing Wipes </li>
<li>(2) Exam Quality Vinyl Gloves, 1 pair</li>
<li>(4) Face Mask</li>
<li>(1) Sanitizing Gel, 1 oz. </li>
<li>(1) Tissue Pack </li>","","","Germ Guard Personal Protection Pack With Procedural Masks","Germ Guard Personal Protection Pack With Procedural Masks",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",127895,"FX-203",,"3-Unit Rack for Large Responder Packs","","3-Unit Rack for Large Responder Packs","This 3-unit wall rack is designed to accommodate the responder packs of the Emergency Response Line",/\F\X\3-Unit-Rack-for-Large-Responder.jpg,/\F\X\3-Unit-Rack-for-Large-Responder.jpg,http://www.48ws.com/images/product/F/X/3-Unit-Rack-for-Large-Responder.jpg,FX-203-First-Aid-Only-3-Unit-Rack-for-Large-Responder-Packs,FX-203-First-Aid-Only-3-Unit-Rack-for-Large-Responder-Packs,,No layout updates.,Block after Info Column,,"3-Unit Rack for Large Responder Packs","3-Unit Rack for Large Responder Packs",Use config,"http://www.firstaidonly.com/Products/3-Unit-Rack-for-Large-Responder-Packs__FX-203.aspx",0,,,0,"First Aid Only",998,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<p>This 3-unit wall rack is designed to accommodate the responder packs of the Emergency Response Line</p>","<li>Employees and/or first responders can access the packs by simply grasping them and pulling them out.</li>
<li>Rack is made of powder-coated, structural steel (which has high tensile strength) and comes with hardware for wall mounting.</li>","","","3-Unit Rack for Large Responder Packs","3-Unit Rack for Large Responder Packs",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
