store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251065,"PUG10-S",,"Economy Grade Polyurethane/Polyester Glove - S","Economy Grade Polyurethane/Polyester Glove","Economy Grade Polyurethane/Polyester Glove - S","",/\P\U\global-glove-pug10-s-economy-grade-polyurethanepolyester-glove-s.jpg,/\P\U\global-glove-pug10-s-economy-grade-polyurethanepolyester-glove-s.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug10-s-economy-grade-polyurethanepolyester-glove-s.jpg,global-glove-PUG10-S-economy-grade-polyurethanepolyester-glove-s,global-glove-PUG10-S-economy-grade-polyurethanepolyester-glove-s,,No layout updates.,Block after Info Column,,"Economy Grade Polyurethane/Polyester Glove - S","Economy Grade Polyurethane/Polyester Glove - S",Use config,"http://www.globalglove.com/products/pug10",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Economy Grade Polyurethane/Polyester Glove - S","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>Economy grade gray polyurethane on black polyester. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.</p>","8.7901500257e+011","Size - S","Economy Grade Polyurethane/Polyester Glove - S",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251066,"PUG10-M",,"Economy Grade Polyurethane/Polyester Glove - M","Economy Grade Polyurethane/Polyester Glove","Economy Grade Polyurethane/Polyester Glove - M","",/\P\U\global-glove-pug10-m-economy-grade-polyurethanepolyester-glove-m.jpg,/\P\U\global-glove-pug10-m-economy-grade-polyurethanepolyester-glove-m.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug10-m-economy-grade-polyurethanepolyester-glove-m.jpg,global-glove-PUG10-M-economy-grade-polyurethanepolyester-glove-m,global-glove-PUG10-M-economy-grade-polyurethanepolyester-glove-m,,No layout updates.,Block after Info Column,,"Economy Grade Polyurethane/Polyester Glove - M","Economy Grade Polyurethane/Polyester Glove - M",Use config,"http://www.globalglove.com/products/pug10",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Economy Grade Polyurethane/Polyester Glove - M","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>Economy grade gray polyurethane on black polyester. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.</p>","","Size - M","Economy Grade Polyurethane/Polyester Glove - M",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251067,"PUG10-L",,"Economy Grade Polyurethane/Polyester Glove - L","Economy Grade Polyurethane/Polyester Glove","Economy Grade Polyurethane/Polyester Glove - L","",/\P\U\global-glove-pug10-l-economy-grade-polyurethanepolyester-glove-l.jpg,/\P\U\global-glove-pug10-l-economy-grade-polyurethanepolyester-glove-l.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug10-l-economy-grade-polyurethanepolyester-glove-l.jpg,global-glove-PUG10-L-economy-grade-polyurethanepolyester-glove-l,global-glove-PUG10-L-economy-grade-polyurethanepolyester-glove-l,,No layout updates.,Block after Info Column,,"Economy Grade Polyurethane/Polyester Glove - L","Economy Grade Polyurethane/Polyester Glove - L",Use config,"http://www.globalglove.com/products/pug10",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Economy Grade Polyurethane/Polyester Glove - L","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>Economy grade gray polyurethane on black polyester. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.</p>","","Size - L","Economy Grade Polyurethane/Polyester Glove - L",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251068,"PUG10-XL",,"Economy Grade Polyurethane/Polyester Glove - Xl","Economy Grade Polyurethane/Polyester Glove","Economy Grade Polyurethane/Polyester Glove - Xl","",/\P\U\global-glove-pug10-xl-economy-grade-polyurethanepolyester-glove-xl.jpg,/\P\U\global-glove-pug10-xl-economy-grade-polyurethanepolyester-glove-xl.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug10-xl-economy-grade-polyurethanepolyester-glove-xl.jpg,global-glove-PUG10-XL-economy-grade-polyurethanepolyester-glove-xl,global-glove-PUG10-XL-economy-grade-polyurethanepolyester-glove-xl,,No layout updates.,Block after Info Column,,"Economy Grade Polyurethane/Polyester Glove - Xl","Economy Grade Polyurethane/Polyester Glove - Xl",Use config,"http://www.globalglove.com/products/pug10",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Economy Grade Polyurethane/Polyester Glove - Xl","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>Economy grade gray polyurethane on black polyester. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged.</p>","","Size - XL","Economy Grade Polyurethane/Polyester Glove - Xl",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251069,"PUG11-S",,"Polyurethane/Nylon Glove - S","Polyurethane/Nylon Glove","Polyurethane/Nylon Glove - S","",/\P\U\global-glove-pug11-s-polyurethanenylon-glove-s.jpg,/\P\U\global-glove-pug11-s-polyurethanenylon-glove-s.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug11-s-polyurethanenylon-glove-s.jpg,global-glove-PUG11-S-polyurethanenylon-glove-s,global-glove-PUG11-S-polyurethanenylon-glove-s,,No layout updates.,Block after Info Column,,"Polyurethane/Nylon Glove - S","Polyurethane/Nylon Glove - S",Use config,"http://www.globalglove.com/products/pug11",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Polyurethane/Nylon Glove - S","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Ultra lite nylon shell for comfort</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>White polyurethane on Hi-Viz neon 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged. </p>","8.1047202245e+011","Size - S","Polyurethane/Nylon Glove - S",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251070,"PUG11-M",,"Polyurethane/Nylon Glove - M","Polyurethane/Nylon Glove","Polyurethane/Nylon Glove - M","",/\P\U\global-glove-pug11-m-polyurethanenylon-glove-m.jpg,/\P\U\global-glove-pug11-m-polyurethanenylon-glove-m.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug11-m-polyurethanenylon-glove-m.jpg,global-glove-PUG11-M-polyurethanenylon-glove-m,global-glove-PUG11-M-polyurethanenylon-glove-m,,No layout updates.,Block after Info Column,,"Polyurethane/Nylon Glove - M","Polyurethane/Nylon Glove - M",Use config,"http://www.globalglove.com/products/pug11",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Polyurethane/Nylon Glove - M","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Ultra lite nylon shell for comfort</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>White polyurethane on Hi-Viz neon 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged. </p>","","Size - M","Polyurethane/Nylon Glove - M",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251071,"PUG11-L",,"Polyurethane/Nylon Glove - L","Polyurethane/Nylon Glove","Polyurethane/Nylon Glove - L","",/\P\U\global-glove-pug11-l-polyurethanenylon-glove-l.jpg,/\P\U\global-glove-pug11-l-polyurethanenylon-glove-l.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug11-l-polyurethanenylon-glove-l.jpg,global-glove-PUG11-L-polyurethanenylon-glove-l,global-glove-PUG11-L-polyurethanenylon-glove-l,,No layout updates.,Block after Info Column,,"Polyurethane/Nylon Glove - L","Polyurethane/Nylon Glove - L",Use config,"http://www.globalglove.com/products/pug11",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Polyurethane/Nylon Glove - L","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Ultra lite nylon shell for comfort</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>White polyurethane on Hi-Viz neon 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged. </p>","","Size - L","Polyurethane/Nylon Glove - L",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251072,"PUG11-XL",,"Polyurethane/Nylon Glove - Xl","Polyurethane/Nylon Glove","Polyurethane/Nylon Glove - Xl","",/\P\U\global-glove-pug11-xl-polyurethanenylon-glove-xl.jpg,/\P\U\global-glove-pug11-xl-polyurethanenylon-glove-xl.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug11-xl-polyurethanenylon-glove-xl.jpg,global-glove-PUG11-XL-polyurethanenylon-glove-xl,global-glove-PUG11-XL-polyurethanenylon-glove-xl,,No layout updates.,Block after Info Column,,"Polyurethane/Nylon Glove - Xl","Polyurethane/Nylon Glove - Xl",Use config,"http://www.globalglove.com/products/pug11",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Polyurethane/Nylon Glove - Xl","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Ultra lite nylon shell for comfort</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>White polyurethane on Hi-Viz neon 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged. </p>","","Size - XL","Polyurethane/Nylon Glove - Xl",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251073,"PUG17-XS",,"Polyurethane/Nylon Glove, Black - Xs","Polyurethane/Nylon Glove, Black","Polyurethane/Nylon Glove, Black - Xs","",/\P\U\global-glove-pug17-xs-polyurethanenylon-glove-black-xs.jpg,/\P\U\global-glove-pug17-xs-polyurethanenylon-glove-black-xs.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug17-xs-polyurethanenylon-glove-black-xs.jpg,global-glove-PUG17-XS-polyurethanenylon-glove-black-xs,global-glove-PUG17-XS-polyurethanenylon-glove-black-xs,,No layout updates.,Block after Info Column,,"Polyurethane/Nylon Glove, Black - Xs","Polyurethane/Nylon Glove, Black - Xs",Use config,"http://www.globalglove.com/products/pug17",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Polyurethane/Nylon Glove, Black - Xs","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Ultra lite nylon shell for comfort</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged </p>","","Size - XS","Polyurethane/Nylon Glove, Black - Xs",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1754|25808","Safety Latex | Coated Gloves|Coated Gloves",251074,"PUG17-S",,"Polyurethane/Nylon Glove, Black - S","Polyurethane/Nylon Glove, Black","Polyurethane/Nylon Glove, Black - S","",/\P\U\global-glove-pug17-s-polyurethanenylon-glove-black-s.jpg,/\P\U\global-glove-pug17-s-polyurethanenylon-glove-black-s.jpg,http://www.48ws.com/images/product/P/U/global-glove-pug17-s-polyurethanenylon-glove-black-s.jpg,global-glove-PUG17-S-polyurethanenylon-glove-black-s,global-glove-PUG17-S-polyurethanenylon-glove-black-s,,No layout updates.,Block after Info Column,,"Polyurethane/Nylon Glove, Black - S","Polyurethane/Nylon Glove, Black - S",Use config,"http://www.globalglove.com/products/pug17",0,,,0,"Global Glove",1311,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Polyurethane/Nylon Glove, Black - S","<ul><li>Excellent tactile dexterity and sensitivity</li><li>Ultra lite nylon shell for comfort</li><li>Polyurethane coating provides superior dry grip</li></ul>","<p>Black polyurethane on black 13 gauge nylon. Second to none in tactile dexterity, excellent grip ultra thin bare hand sensitivity. Each pair is individually packaged </p>","","Size - S","Polyurethane/Nylon Glove, Black - S",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
