store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"266|21759","Floats|Floats",105295,"4KS",,"Grout Float","","Grout Float","8&quot; x 4&quot; x 1/2&quot;",/\4\K\Harrington-Tools-4KS-Grout.jpg,/\4\K\Harrington-Tools-4KS-Grout.jpg,http://www.48ws.com/images/product/4/K/Harrington-Tools-4KS-Grout.jpg,Harrington-Tools-4KS-Grout-Float,Harrington-Tools-4KS-Grout-Float,,No layout updates.,Block after Info Column,,"Grout Float","Grout Float",Use config,"http://harringtontools.com/Page%2016%20Floats.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"8&quot; x 4&quot; x 1/2&quot;","Excellent for grout work, epoxy, latexes, and as a squeegee. Adhesives won't stick to non-rubber pad. Lifetime guaranteed handle.","","","Harrington Tools 4KS Grout Float","Grout Float",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"266|21759","Floats|Floats",105296,"5SX",,"Sponge Float","","Sponge Float","8 1/2&quot; x 4 1/2&quot; x 1/2&quot; - Coarse",/\5\S\Harrington-Tools-5SX-Sponge.jpg,/\5\S\Harrington-Tools-5SX-Sponge.jpg,http://www.48ws.com/images/product/5/S/Harrington-Tools-5SX-Sponge.jpg,Harrington-Tools-5SX-Sponge-Float,Harrington-Tools-5SX-Sponge-Float,,No layout updates.,Block after Info Column,,"Sponge Float","Sponge Float",Use config,"http://harringtontools.com/Page%2017%20Floats.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"8 1/2&quot; x 4 1/2&quot; x 1/2&quot; - Coarse","<br>
Excellent plaster's float with extra thick sponge rubber face. One-piece polypropylene handle and back increases durability.","","","Harrington Tools 5SX Sponge Float","Sponge Float",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"266|21759","Floats|Floats",105297,"5PG",,"Soft Sponge Float","","Soft Sponge Float","9 1/2&quot; x 4&quot; x 1&quot; - Fine",/\5\P\Harrington-Tools-5PG-Soft-Sponge.jpg,/\5\P\Harrington-Tools-5PG-Soft-Sponge.jpg,http://www.48ws.com/images/product/5/P/Harrington-Tools-5PG-Soft-Sponge.jpg,Harrington-Tools-5PG-Soft-Sponge-Float,Harrington-Tools-5PG-Soft-Sponge-Float,,No layout updates.,Block after Info Column,,"Soft Sponge Float","Soft Sponge Float",Use config,"http://harringtontools.com/Page%2016%20Floats.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"9 1/2&quot; x 4&quot; x 1&quot; - Fine","<br>
The fastest selling float in the industry. Used by plasterer's primarily as a texture float. Polypropylene handle and back prevent rusting and warping.","","","Harrington Tools 5PG Soft Sponge Float","Soft Sponge Float",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"266|21759","Floats|Floats",105298,"5PF",,"Plastic Float","","Plastic Float","9 1/2&quot; x 4&quot; x 3/4&quot; - Coarse",/\5\P\Harrington-Tools-5PF-Plastic.jpg,/\5\P\Harrington-Tools-5PF-Plastic.jpg,http://www.48ws.com/images/product/5/P/Harrington-Tools-5PF-Plastic.jpg,Harrington-Tools-5PF-Plastic-Float,Harrington-Tools-5PF-Plastic-Float,,No layout updates.,Block after Info Column,,"Plastic Float","Plastic Float",Use config,"http://harringtontools.com/Page%2016%20Floats.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"9 1/2&quot; x 4&quot; x 3/4&quot; - Coarse","<br>
The fastest selling float in the industry. Used by plasterer's primarily as a texture float. Polypropylene handle and back prevent rusting and warping.","","","Harrington Tools 5PF Plastic Float","Plastic Float",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19799","Squeegee Replacement Blades and Refills",105299,"114RB",,"Replacement Scraper Blade","","Replacement Scraper Blade","14&quot; x 5&quot;",/\1\1\Harrington-Tools-114RB-Replacement-Scraper.jpg,/\1\1\Harrington-Tools-114RB-Replacement-Scraper.jpg,http://www.48ws.com/images/product/1/1/Harrington-Tools-114RB-Replacement-Scraper.jpg,harrington-tools-114RB-replacement-scraper-blade,harrington-tools-114RB-replacement-scraper-blade,,No layout updates.,Block after Info Column,,"Replacement Scraper Blade","Replacement Scraper Blade",Use config,"http://harringtontools.com/Page%2015%20Cement.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"14&quot; x 5&quot;","<br>
Extra heavy duty, long wearing blades will increase the life of your scraper. Buy several. Blades will fit either steel or wood handled scraper and are adaptable to most manufacturers scrapers.","","","Harrington Tools 114RB Replacement Scraper Blade","Replacement Scraper Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19799","Squeegee Replacement Blades and Refills",105300,"114S",,"Heavy Duty Floor Scraper w/ Blade","","Heavy Duty Floor Scraper w/ Blade","14&quot; x 5&quot;",/\1\1\Harrington-Tools-114S-Heavy-Duty-Floor-Scraper-w.jpg,/\1\1\Harrington-Tools-114S-Heavy-Duty-Floor-Scraper-w.jpg,http://www.48ws.com/images/product/1/1/Harrington-Tools-114S-Heavy-Duty-Floor-Scraper-w.jpg,harrington-tools-114S-heavy-duty-floor-scraper-w-blade,harrington-tools-114S-heavy-duty-floor-scraper-w-blade,,No layout updates.,Block after Info Column,,"Heavy Duty Floor Scraper w/ Blade","Heavy Duty Floor Scraper w/ Blade",Use config,"http://harringtontools.com/Page%2015%20Cement.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"14&quot; x 5&quot;","<br>
These sturdy scrapers come with either steel or sturdy wood handles. three popular sizes in each style. High carbon steel heat treated for strength and durability. Heavy duty steel bracket and steel strip.","","","Harrington Tools 114S Heavy Duty Floor Scraper w/ Blade","Heavy Duty Floor Scraper w/ Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"423|28095","Drywall Tools|Plaster Trowels",105301,"15B",,"Aluminum Hawk","Aluminum Hawk","Aluminum Hawk","13&quot; x 13&quot;",/\1\5\Harrington-Tools-Aluminum.jpg,/\1\5\Harrington-Tools-Aluminum.jpg,http://www.48ws.com/images/product/1/5/Harrington-Tools-Aluminum.jpg,Harrington-Tools-15B-Aluminum-Hawk,Harrington-Tools-15B-Aluminum-Hawk,,No layout updates.,Block after Info Column,,"Aluminum Hawk","Aluminum Hawk",Use config,"http://harringtontools.com/Page%2018%20Plaster.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>Heavy duty aluminum designed to give long wear. Shank is secured with 6 aluminum rivets. Strong yet lightweight. Has a SOLID polypropylene handle which is much superior to those with a hollow handle.","","","13&quot; x 13&quot;","Aluminum Hawk",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"423|28095","Drywall Tools|Plaster Trowels",105302,"15E",,"Aluminum Hawk","Aluminum Hawk","Aluminum Hawk","13&quot; x 13&quot;",/\1\5\Harrington-Tools-Aluminum.jpg,/\1\5\Harrington-Tools-Aluminum.jpg,http://www.48ws.com/images/product/1/5/Harrington-Tools-Aluminum.jpg,Harrington-Tools-Aluminum-Hawk,Harrington-Tools-Aluminum-Hawk,,No layout updates.,Block after Info Column,,"Aluminum Hawk","Aluminum Hawk",Use config,"http://harringtontools.com/Page%2018%20Plaster.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Harrington Tools Aluminum Hawk","<br>Heavy duty aluminum designed to give long wear. Shank is secured with 6 aluminum rivets. Strong yet lightweight. Has a SOLID polypropylene handle which is much superior to those with a hollow handle.","","","8&quot; x 8&quot;","Aluminum Hawk",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"423|21685","Drywall Tools|Drywall Specialty Tools",105303,"16B",,"Plaster Scarifier","","Plaster Scarifier","12&quot;",/\1\6\Harrington-Tools-16B-Plaster.jpg,/\1\6\Harrington-Tools-16B-Plaster.jpg,http://www.48ws.com/images/product/1/6/Harrington-Tools-16B-Plaster.jpg,Harrington-Tools-16B-Plaster-Scarifier,Harrington-Tools-16B-Plaster-Scarifier,,No layout updates.,Block after Info Column,,"Plaster Scarifier","Plaster Scarifier",Use config,"http://harringtontools.com/Page%2019%20Plaster.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"12&quot;","<br>
Tempered steel tines are lightweight and easy to use yet will stand up under hard use. For scratch coat. Poly handle.","","","Harrington Tools 16B Plaster Scarifier","Plaster Scarifier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"423|21685","Drywall Tools|Drywall Specialty Tools",105304,"GS50",,"Grout Saw","Grout Saw","Grout Saw","",/\G\S\Harrington-Tools-GS50-Grout.jpg,/\G\S\Harrington-Tools-GS50-Grout.jpg,http://www.48ws.com/images/product/G/S/Harrington-Tools-GS50-Grout.jpg,Harrington-Tools-GS50-Grout-Saw,Harrington-Tools-GS50-Grout-Saw,,No layout updates.,Block after Info Column,,"Grout Saw","Grout Saw",Use config,"http://harringtontools.com/Page%2028%20Tile.html",0,,,0,"Harrington Tools",757,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Long lasting carbide edged blade together with durable construction make this the preferred tool among tile men. Use 2 blades on wide grout joints.","","","12 Pack","Grout Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
