store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12325,"Buildex Teks Light Duty Teks 2",,"Buildex Teks Light Duty Teks 2","","Buildex Teks Light Duty Teks 2","Buildex Teks Light Duty Teks 2",/\B\u\Buildex-Teks-Light-Duty-Teks.jpg,/\B\u\Buildex-Teks-Light-Duty-Teks.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks-Light-Duty-Teks.jpg,Buildex-Tek-Light-Duty-Tek-2,Buildex-Tek-Light-Duty-Tek-2,,No layout updates.,Block after Info Column,,"Buildex Teks Light Duty Teks 2","Buildex Teks Light Duty Teks 2",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Light Duty Teks 2","Buildex Teks Light Duty Teks 2 (HWH, Phillips Pan and Phillips Oval)","","Buildex Teks Light Duty Teks 2","Buildex Teks Light Duty Teks 2",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12326,"Buildex Teks Medium Duty Teks 3",,"Buildex Teks Medium Duty Teks 3","","Buildex Teks Medium Duty Teks 3","Buildex Teks Medium Duty Teks 3",/\B\u\Buildex-Teks-Medium-Duty-Teks.jpg,/\B\u\Buildex-Teks-Medium-Duty-Teks.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks-Medium-Duty-Teks.jpg,Buildex-Teks-Medium-Duty-Teks-3,Buildex-Teks-Medium-Duty-Teks-3,,No layout updates.,Block after Info Column,,"Buildex Teks Medium Duty Teks 3","Buildex Teks Medium Duty Teks 3",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Medium Duty Teks 3","Buildex Teks Medium Duty Teks 3","","Buildex Teks Medium Duty Teks 3","Buildex Teks Medium Duty Teks 3",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12327,"Buildex Teks Heavy Duty Teks 5",,"Buildex Teks Heavy Duty Teks 5","","Buildex Teks Heavy Duty Teks 5","Buildex Teks Heavy Duty Teks 5",/\B\u\Buildex-Teks-Heavy-Duty-Teks.jpg,/\B\u\Buildex-Teks-Heavy-Duty-Teks.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks-Heavy-Duty-Teks.jpg,Buildex-Teks-Heavy-Duty-Teks-5,Buildex-Teks-Heavy-Duty-Teks-5,,No layout updates.,Block after Info Column,,"Buildex Teks Heavy Duty Teks 5","Buildex Teks Heavy Duty Teks 5",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Heavy Duty Teks 5","Buildex Teks Heavy Duty Teks 5","","Buildex Teks Heavy Duty Teks 5","Buildex Teks Heavy Duty Teks 5",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12328,"Buildex Teks Phillips Wafer and Flat Head Plymetal Teks",,"Buildex Teks Phillips Wafer and Flat Head Plymetal Teks","","Buildex Teks Phillips Wafer and Flat Head Plymetal Teks","Buildex Teks Phillips Wafer and Flat Head Plymetal Teks",/\B\u\Buildex-Teks-Phillips-Wafer-and-Flat-Head-Plymetal.jpg,/\B\u\Buildex-Teks-Phillips-Wafer-and-Flat-Head-Plymetal.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks-Phillips-Wafer-and-Flat-Head-Plymetal.jpg,Buildex-Teks-Phillips-Wafer-and-Flat-Head-Plymetal-Teks,Buildex-Teks-Phillips-Wafer-and-Flat-Head-Plymetal-Teks,,No layout updates.,Block after Info Column,,"Buildex Teks Phillips Wafer and Flat Head Plymetal Teks","Buildex Teks Phillips Wafer and Flat Head Plymetal Teks",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Phillips Wafer and Flat Head Plymetal Teks","Buildex Teks Phillips Wafer and Flat Head Plymetal Teks","","Buildex Teks Phillips Wafer and Flat Head Plymetal Teks","Buildex Teks Phillips Wafer and Flat Head Plymetal Teks",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12329,"Buildex Teks Lo Profile",,"Buildex Teks Lo Profile","","Buildex Teks Lo Profile","Buildex Teks Lo Profile",/\B\u\Buildex-Teks-Lo.jpg,/\B\u\Buildex-Teks-Lo.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks-Lo.jpg,Buildex-Teks-Lo-Profile,Buildex-Teks-Lo-Profile,,No layout updates.,Block after Info Column,,"Buildex Teks Lo Profile","Buildex Teks Lo Profile",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Lo Profile","Buildex Teks Lo Profile (Pancake Head)","","Buildex Teks Lo Profile","Buildex Teks Lo Profile",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12330,"Buildex Teks HWH Teks with Maxi Seal Washer",,"Buildex Teks HWH Teks with Maxi Seal Washer","","Buildex Teks HWH Teks with Maxi Seal Washer","Buildex Teks HWH Teks with Maxi Seal Washer",/\B\u\Buildex-Teks-HWH-Teks-with-Maxi-Seal.jpg,/\B\u\Buildex-Teks-HWH-Teks-with-Maxi-Seal.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks-HWH-Teks-with-Maxi-Seal.jpg,Buildex-Teks-HWH-Teks-with-Maxi-Seal-Washer,Buildex-Teks-HWH-Teks-with-Maxi-Seal-Washer,,No layout updates.,Block after Info Column,,"Buildex Teks HWH Teks with Maxi Seal Washer","Buildex Teks HWH Teks with Maxi Seal Washer",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks HWH Teks with Maxi Seal Washer","Buildex Teks HWH Teks with Maxi Seal Washer","","Buildex Teks HWH Teks with Maxi Seal Washer","Buildex Teks HWH Teks with Maxi Seal Washer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12331,"Buildex Teks Rock-On",,"Buildex Teks Rock-On","","Buildex Teks Rock-On","Buildex Teks Rock-On",/\B\u\Buildex-Teks-Rock.jpg,/\B\u\Buildex-Teks-Rock.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks-Rock.jpg,Buildex-Teks-Rock-On,Buildex-Teks-Rock-On,,No layout updates.,Block after Info Column,,"Buildex Teks Rock-On","Buildex Teks Rock-On",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Rock-On","Buildex Teks Rock-On","","Buildex Teks Rock-On","Buildex Teks Rock-On",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12332,"Buildex Teks Tru-grip Fastener",,"Buildex Teks Tru-grip Fastener","","Buildex Teks Tru-grip Fastener","Buildex Teks Tru-grip Fastener",/\B\u\Buildex-Teks-Tru-grip.jpg,/\B\u\Buildex-Teks-Tru-grip.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks-Tru-grip.jpg,Buildex-Teks-Tru-grip-Fastener,Buildex-Teks-Tru-grip-Fastener,,No layout updates.,Block after Info Column,,"Buildex Teks Tru-grip Fastener","Buildex Teks Tru-grip Fastener",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Tru-grip Fastener","Buildex Teks Tru-grip Fastener","","Buildex Teks Tru-grip Fastener","Buildex Teks Tru-grip Fastener",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12333,"Buildex Teks Dektite",,"Buildex Teks Dektite","","Buildex Teks Dektite","Buildex Teks Dektite",/\B\u\Buildex-Teks- 1.jpg,/\B\u\Buildex-Teks- 1.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks- 1.jpg,Buildex-Teks-Dektite,Buildex-Teks-Dektite,,No layout updates.,Block after Info Column,,"Buildex Teks Dektite","Buildex Teks Dektite",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Dektite","Buildex Teks Dektite","","Buildex Teks Dektite","Buildex Teks Dektite",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"783|27707","Buildex Teks|Tees",12334,"Buildex Teks Scots",,"Buildex Teks Scots","","Buildex Teks Scots","Buildex Teks Scots",/\B\u\Buildex-Teks- 2.jpg,/\B\u\Buildex-Teks- 2.jpg,http://www.48ws.com/images/product/B/u/Buildex-Teks- 2.jpg,Buildex-Teks-Scots,Buildex-Teks-Scots,,No layout updates.,Block after Info Column,,"Buildex Teks Scots","Buildex Teks Scots",Use config,"",0,,,0,"ITW Buildex",603,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Buildex Teks Scots","Buildex Teks Scots","","Buildex Teks Scots","Buildex Teks Scots",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
