store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"22976","Casters",477118,"30124",,"3&quot; Rigid Caster","","3&quot; Rigid Caster","",/\3\0\ivy-classic-30124-3-rigid-caster.jpg,/\3\0\ivy-classic-30124-3-rigid-caster.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30124-3-rigid-caster.jpg,ivy-classic-30124-3-rigid-caster,ivy-classic-30124-3-rigid-caster,,No layout updates.,Block after Info Column,,"3&quot; Rigid Caster","3&quot; Rigid Caster",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Rigid plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Rigid Casters</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Rigid plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","3&quot; Rigid Caster",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477119,"30126",,"4&quot; Rigid Caster","","4&quot; Rigid Caster","",/\3\0\ivy-classic-30126-4-rigid-caster.jpg,/\3\0\ivy-classic-30126-4-rigid-caster.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30126-4-rigid-caster.jpg,ivy-classic-30126-4-rigid-caster,ivy-classic-30126-4-rigid-caster,,No layout updates.,Block after Info Column,,"4&quot; Rigid Caster","4&quot; Rigid Caster",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Rigid plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Rigid Casters</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Rigid plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","4&quot; Rigid Caster",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477120,"30120",,"2&quot; Rigid Caster","","2&quot; Rigid Caster","",/\3\0\ivy-classic-30120-2-rigid-caster.jpg,/\3\0\ivy-classic-30120-2-rigid-caster.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30120-2-rigid-caster.jpg,ivy-classic-30120-2-rigid-caster,ivy-classic-30120-2-rigid-caster,,No layout updates.,Block after Info Column,,"2&quot; Rigid Caster","2&quot; Rigid Caster",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Rigid plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Rigid Casters</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Rigid plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","2&quot; Rigid Caster",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477121,"30122",,"2-1/2&quot; Rigid Caster","","2-1/2&quot; Rigid Caster","",/\3\0\ivy-classic-30122-2-12-rigid-caster.jpg,/\3\0\ivy-classic-30122-2-12-rigid-caster.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30122-2-12-rigid-caster.jpg,ivy-classic-30122-2-12-rigid-caster,ivy-classic-30122-2-12-rigid-caster,,No layout updates.,Block after Info Column,,"2-1/2&quot; Rigid Caster","2-1/2&quot; Rigid Caster",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Rigid plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Rigid Casters</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Rigid plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","2-1/2&quot; Rigid Caster",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477122,"30014",,"3&quot; Swivel Caster w/Brake","","3&quot; Swivel Caster w/Brake","",/\3\0\ivy-classic-30014-3-swivel-caster-wbrake.jpg,/\3\0\ivy-classic-30014-3-swivel-caster-wbrake.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30014-3-swivel-caster-wbrake.jpg,ivy-classic-30014-3-swivel-caster-wbrake,ivy-classic-30014-3-swivel-caster-wbrake,,No layout updates.,Block after Info Column,,"3&quot; Swivel Caster w/Brake","3&quot; Swivel Caster w/Brake",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Positive-lock wheel brake</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Swivel Casters with Brake</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Positive-lock wheel brake</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","3&quot; Swivel Caster w/Brake",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477123,"30012",,"2-1/2&quot; Swivel Caster w/Brake","","2-1/2&quot; Swivel Caster w/Brake","",/\3\0\ivy-classic-30012-2-12-swivel-caster-wbrake.jpg,/\3\0\ivy-classic-30012-2-12-swivel-caster-wbrake.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30012-2-12-swivel-caster-wbrake.jpg,ivy-classic-30012-2-12-swivel-caster-wbrake,ivy-classic-30012-2-12-swivel-caster-wbrake,,No layout updates.,Block after Info Column,,"2-1/2&quot; Swivel Caster w/Brake","2-1/2&quot; Swivel Caster w/Brake",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Positive-lock wheel brake</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Swivel Casters with Brake</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Positive-lock wheel brake</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","2-1/2&quot; Swivel Caster w/Brake",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477124,"30016",,"4&quot; Swivel Caster w/Brake","","4&quot; Swivel Caster w/Brake","",/\3\0\ivy-classic-30016-4-swivel-caster-wbrake.jpg,/\3\0\ivy-classic-30016-4-swivel-caster-wbrake.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30016-4-swivel-caster-wbrake.jpg,ivy-classic-30016-4-swivel-caster-wbrake,ivy-classic-30016-4-swivel-caster-wbrake,,No layout updates.,Block after Info Column,,"4&quot; Swivel Caster w/Brake","4&quot; Swivel Caster w/Brake",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Positive-lock wheel brake</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Swivel Casters with Brake</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Positive-lock wheel brake</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","4&quot; Swivel Caster w/Brake",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477125,"30000",,"2&quot; Swivel Caster","","2&quot; Swivel Caster","",/\3\0\ivy-classic-30000-2-swivel-caster.jpg,/\3\0\ivy-classic-30000-2-swivel-caster.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30000-2-swivel-caster.jpg,ivy-classic-30000-2-swivel-caster,ivy-classic-30000-2-swivel-caster,,No layout updates.,Block after Info Column,,"2&quot; Swivel Caster","2&quot; Swivel Caster",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Swivel Casters</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","2&quot; Swivel Caster",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477126,"30006",,"4&quot; Swivel Caster","","4&quot; Swivel Caster","",/\3\0\ivy-classic-30006-4-swivel-caster.jpg,/\3\0\ivy-classic-30006-4-swivel-caster.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30006-4-swivel-caster.jpg,ivy-classic-30006-4-swivel-caster,ivy-classic-30006-4-swivel-caster,,No layout updates.,Block after Info Column,,"4&quot; Swivel Caster","4&quot; Swivel Caster",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Swivel Casters</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","4&quot; Swivel Caster",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22976","Casters",477127,"30010",,"2&quot; Swivel Caster w/Brake","","2&quot; Swivel Caster w/Brake","",/\3\0\ivy-classic-30010-2-swivel-caster-wbrake.jpg,/\3\0\ivy-classic-30010-2-swivel-caster-wbrake.jpg,http://www.48ws.com/images/product/3/0/ivy-classic-30010-2-swivel-caster-wbrake.jpg,ivy-classic-30010-2-swivel-caster-wbrake,ivy-classic-30010-2-swivel-caster-wbrake,,No layout updates.,Block after Info Column,,"2&quot; Swivel Caster w/Brake","2&quot; Swivel Caster w/Brake",Use config,"",0,,,0,"IVY Classic",1613,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Positive-lock wheel brake</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li>","<span id=&quot;oucProductDescription_lblDescription&quot; class=&quot;contentText&quot;><span style=&quot;line-height: 0.7em;&quot;><br></span><span style=&quot;font-size: 14px; line-height: 1.45em; color: #595959;&quot;><strong>&nbsp;&nbsp;Swivel Casters with Brake</strong><br></span>
<span style=&quot;line-height: 0.3em;&quot;><br>
</span><ul style=&quot;list-style-type: square; padding: 0px 0px 0px 25px; margin: 0px 0px 0px 0px; font-size: 13px; line-height: 1.45em; color: #595959;&quot;><li>Heavy-duty rubber wheel</li><li>Ball-bearing swivel plate</li><li>Positive-lock wheel brake</li><li>Packed in heavy-duty boxes with color labels containing specifications. (see illustration)</li></ul><br>&nbsp;&nbsp;</span>","","","2&quot; Swivel Caster w/Brake",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
