store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480878,"IBOAT337",,"IBOAT337 ONE FIT 2-1/2? Wood with Nails BM TiN STORM Blade","","IBOAT337 ONE FIT 2-1/2? Wood with Nails BM TiN STORM Blade","",/\I\B\imperial-blades-iboat337-iboat337-one-fit-2-12-wood-with-nails-bm-tin-storm-blade.jpg,/\I\B\imperial-blades-iboat337-iboat337-one-fit-2-12-wood-with-nails-bm-tin-storm-blade.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboat337-iboat337-one-fit-2-12-wood-with-nails-bm-tin-storm-blade.jpg,imperial-blades-IBOAT337-iboat337-one-fit-2-12-wood-with-nails-bm-tin-storm-blade,imperial-blades-IBOAT337-iboat337-one-fit-2-12-wood-with-nails-bm-tin-storm-blade,,No layout updates.,Block after Info Column,,"IBOAT337 ONE FIT 2-1/2? Wood with Nails BM TiN STORM Blade","IBOAT337 ONE FIT 2-1/2? Wood with Nails BM TiN STORM Blade",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Constructed with bi-metal materials</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>2-1/2? blade width</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Wood, Nails, Wood/Nails</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>2-1/2&quot;</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x / 3x / 10x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOAT337 ONE FIT 2-1/2? Wood with Nails BM TiN STORM Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480879,"IBOAT340",,"IBOAT340 ONE FIT 1-3/4? Universal BM TiN STORM Blade","","IBOAT340 ONE FIT 1-3/4? Universal BM TiN STORM Blade","",/\I\B\imperial-blades-iboat340-iboat340-one-fit-1-34-universal-bm-tin-storm-blade.jpg,/\I\B\imperial-blades-iboat340-iboat340-one-fit-1-34-universal-bm-tin-storm-blade.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboat340-iboat340-one-fit-1-34-universal-bm-tin-storm-blade.jpg,imperial-blades-IBOAT340-iboat340-one-fit-1-34-universal-bm-tin-storm-blade,imperial-blades-IBOAT340-iboat340-one-fit-1-34-universal-bm-tin-storm-blade,,No layout updates.,Block after Info Column,,"IBOAT340 ONE FIT 1-3/4? Universal BM TiN STORM Blade","IBOAT340 ONE FIT 1-3/4? Universal BM TiN STORM Blade",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Constructed with bi-metal materials</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>1-3/4? blade width</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Wood, Nails, Wood/Nails</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1-3/4&quot;</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x / 3x / 10x / 25x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOAT340 ONE FIT 1-3/4? Universal BM TiN STORM Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480880,"IBOA391",,"IBOA391 ONE FIT 2? 90 Degree Reach Blade","","IBOA391 ONE FIT 2? 90 Degree Reach Blade","",/\I\B\imperial-blades-iboa391-iboa391-one-fit-2-90-degree-reach-blade.jpg,/\I\B\imperial-blades-iboa391-iboa391-one-fit-2-90-degree-reach-blade.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboa391-iboa391-one-fit-2-90-degree-reach-blade.jpg,imperial-blades-IBOA391-iboa391-one-fit-2-90-degree-reach-blade,imperial-blades-IBOA391-iboa391-one-fit-2-90-degree-reach-blade,,No layout updates.,Block after Info Column,,"IBOA391 ONE FIT 2? 90 Degree Reach Blade","IBOA391 ONE FIT 2? 90 Degree Reach Blade",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Constructed with bi-metal materials</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>1 1/4? blade width</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Wood/Nails, PVC, Medium Metal</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1-1/4&quot;</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOA391 ONE FIT 2? 90 Degree Reach Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480881,"IBOTSPH",,"ONE FIT Triangular Sandpaper Attachments","","ONE FIT Triangular Sandpaper Attachments","",/\I\B\imperial-blades-ibotsph-one-fit-triangular-sandpaper-attachments.jpg,/\I\B\imperial-blades-ibotsph-one-fit-triangular-sandpaper-attachments.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-ibotsph-one-fit-triangular-sandpaper-attachments.jpg,imperial-blades-IBOTSPH-one-fit-triangular-sandpaper-attachments,imperial-blades-IBOTSPH-one-fit-triangular-sandpaper-attachments,,No layout updates.,Block after Info Column,,"ONE FIT Triangular Sandpaper Attachments","ONE FIT Triangular Sandpaper Attachments",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Sandpaper attaches to the triangular sanding pad (IBOATSP)</li>
<li>Made in the USA</li>
<li>Grits Available: 60, 80, 120, 180, 220</li>
<li>Each package contains (5) sanding pad attachments</li>","","","","ONE FIT Triangular Sandpaper Attachments",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480882,"IBOA610",,"IBOA610 ONE FIT 2-1/2?  Segment Carbide","","IBOA610 ONE FIT 2-1/2?  Segment Carbide","",/\I\B\imperial-blades-iboa610-iboa610-one-fit-2-12-segment-carbide.jpg,/\I\B\imperial-blades-iboa610-iboa610-one-fit-2-12-segment-carbide.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboa610-iboa610-one-fit-2-12-segment-carbide.jpg,imperial-blades-IBOA610-iboa610-one-fit-2-12-segment-carbide,imperial-blades-IBOA610-iboa610-one-fit-2-12-segment-carbide,,No layout updates.,Block after Info Column,,"IBOA610 ONE FIT 2-1/2?  Segment Carbide","IBOA610 ONE FIT 2-1/2?  Segment Carbide",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Great for grout and groove cutting</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>Coated with a carbide grit</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Tile, Brick</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>n/a</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOA610 ONE FIT 2-1/2?  Segment Carbide",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480883,"IBOA300",,"IBOA300 ONE FIT 1-1/4? Wood w/Nails BM Blade","","IBOA300 ONE FIT 1-1/4? Wood w/Nails BM Blade","",/\I\B\imperial-blades-iboa300-iboa300-one-fit-1-14-wood-wnails-bm-blade.jpg,/\I\B\imperial-blades-iboa300-iboa300-one-fit-1-14-wood-wnails-bm-blade.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboa300-iboa300-one-fit-1-14-wood-wnails-bm-blade.jpg,imperial-blades-IBOA300-iboa300-one-fit-1-14-wood-wnails-bm-blade,imperial-blades-IBOA300-iboa300-one-fit-1-14-wood-wnails-bm-blade,,No layout updates.,Block after Info Column,,"IBOA300 ONE FIT 1-1/4? Wood w/Nails BM Blade","IBOA300 ONE FIT 1-1/4? Wood w/Nails BM Blade",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Constructed with bi-metal materials</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>1 1/4? blade width</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Wood/Nails, Bolts, Thick Metal</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1-1/4&quot;</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x / 3x / 10x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOA300 ONE FIT 1-1/4? Wood w/Nails BM Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480884,"IBOA730",,"IBOA730 ONE FIT Segment Diamond Grit Blade","","IBOA730 ONE FIT Segment Diamond Grit Blade","",/\I\B\imperial-blades-iboa730-iboa730-one-fit-segment-diamond-grit-blade.jpg,/\I\B\imperial-blades-iboa730-iboa730-one-fit-segment-diamond-grit-blade.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboa730-iboa730-one-fit-segment-diamond-grit-blade.jpg,imperial-blades-IBOA730-iboa730-one-fit-segment-diamond-grit-blade,imperial-blades-IBOA730-iboa730-one-fit-segment-diamond-grit-blade,,No layout updates.,Block after Info Column,,"IBOA730 ONE FIT Segment Diamond Grit Blade","IBOA730 ONE FIT Segment Diamond Grit Blade",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Durable diamond coating that allows for longer and consistent cutting or grinding</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>Coated with a diamond grit</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Tile, Brick</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>n/a</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOA730 ONE FIT Segment Diamond Grit Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480885,"IBOA120",,"IBOA120 ONE FIT 3/8? Detail Wood HCS Blade","","IBOA120 ONE FIT 3/8? Detail Wood HCS Blade","",/\I\B\imperial-blades-iboa120-iboa120-one-fit-38-detail-wood-hcs-blade.jpg,/\I\B\imperial-blades-iboa120-iboa120-one-fit-38-detail-wood-hcs-blade.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboa120-iboa120-one-fit-38-detail-wood-hcs-blade.jpg,imperial-blades-IBOA120-iboa120-one-fit-38-detail-wood-hcs-blade,imperial-blades-IBOA120-iboa120-one-fit-38-detail-wood-hcs-blade,,No layout updates.,Block after Info Column,,"IBOA120 ONE FIT 3/8? Detail Wood HCS Blade","IBOA120 ONE FIT 3/8? Detail Wood HCS Blade",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Constructed with high carbon steel</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>3/8? blade width</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Wood, PVC</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>3/8&quot;</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOA120 ONE FIT 3/8? Detail Wood HCS Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480886,"IBOAT330",,"IBOAT330 ONE FIT 1-1/4? Universal BM TiN STORM Blade","","IBOAT330 ONE FIT 1-1/4? Universal BM TiN STORM Blade","",/\I\B\imperial-blades-iboat330-iboat330-one-fit-1-14-universal-bm-tin-storm-blade.jpg,/\I\B\imperial-blades-iboat330-iboat330-one-fit-1-14-universal-bm-tin-storm-blade.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboat330-iboat330-one-fit-1-14-universal-bm-tin-storm-blade.jpg,imperial-blades-IBOAT330-iboat330-one-fit-1-14-universal-bm-tin-storm-blade,imperial-blades-IBOAT330-iboat330-one-fit-1-14-universal-bm-tin-storm-blade,,No layout updates.,Block after Info Column,,"IBOAT330 ONE FIT 1-1/4? Universal BM TiN STORM Blade","IBOAT330 ONE FIT 1-1/4? Universal BM TiN STORM Blade",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Constructed with bi-metal materials</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>1-1/4? blade width</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Wood, Nails, Wood/Nails</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1-1/4&quot;</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x / 3x / 10x / 25x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOAT330 ONE FIT 1-1/4? Universal BM TiN STORM Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24911","Oscillating Tool Accessories",480887,"IBOATV-3",,"IBOATV-3 ONE FIT Variety 3 Pack","","IBOATV-3 ONE FIT Variety 3 Pack","",/\I\B\imperial-blades-iboatv-3-iboatv-3-one-fit-variety-3-pack.jpg,/\I\B\imperial-blades-iboatv-3-iboatv-3-one-fit-variety-3-pack.jpg,http://www.48ws.com/images/product/I/B/imperial-blades-iboatv-3-iboatv-3-one-fit-variety-3-pack.jpg,imperial-blades-IBOATV-3-iboatv-3-one-fit-variety-3-pack,imperial-blades-IBOATV-3-iboatv-3-one-fit-variety-3-pack,,No layout updates.,Block after Info Column,,"IBOATV-3 ONE FIT Variety 3 Pack","IBOATV-3 ONE FIT Variety 3 Pack",Use config,"",0,,,0,"Imperial Blades",1641,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>All blades constructed with bi-metal materials</li>
<li>Made in the USA</li>
<li>ONEFIT anchor to ensure proper fit on every oscillating tool</li>
<li>Blades included are the (1)IBOAT340, (1)IBOAT330, and (1)IBOAT336</li>","<table class=&quot;features-table&quot;>
								<tbody><tr>
						<td class=&quot;attribute-label-single&quot;>Applications</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>Wood, Wood/Nails, Thick Metal, PVC</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Blade Width</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>n/a</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
										<tr>
						<td class=&quot;attribute-label-single&quot;>Available Quantities</td>
						<td class=&quot;attribute-value-unit-single&quot;><span class=&quot;attribute-value-single&quot;>1x</span> <span class=&quot;attribute-unit-single&quot;></span></td>
					</tr>
							</tbody></table>","","","IBOATV-3 ONE FIT Variety 3 Pack",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
