store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119110,"614CW",,"Outdoor Philips Bugle Head Screws","Outdoor Philips Bugle Head Screws","Outdoor Philips Bugle Head Screws","Exterior wood screws used for attaching wood to wood.",/\6\1\Outdoor-Philips-Bugle-Head.jpg,/\6\1\Outdoor-Philips-Bugle-Head.jpg,http://www.48ws.com/images/product/6/1/Outdoor-Philips-Bugle-Head.jpg,Intercorp-614CW-Outdoor-Philips-Bugle-Head-Screw,Intercorp-614CW-Outdoor-Philips-Bugle-Head-Screw,,No layout updates.,Block after Info Column,,"Outdoor Philips Bugle Head Screws","Outdoor Philips Bugle Head Screws",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Exterior wood screws used for attaching wood to wood.","<br><li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>Designed to work with ACQ treated lumber</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 6 x 1-1/4, Quantity: 8M, Weight: 29 lbs.","Outdoor Philips Bugle Head Screws",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119111,"615CW",,"Intercorp 615CW Outdoor Philips Bugle Head Screw","Outdoor Philips Bugle Head Screws","Intercorp 615CW Outdoor Philips Bugle Head Screw","Exterior wood screws used for attaching wood to wood.",/\6\1\Outdoor-Philips-Bugle-Head.jpg,/\6\1\Outdoor-Philips-Bugle-Head.jpg,http://www.48ws.com/images/product/6/1/Outdoor-Philips-Bugle-Head.jpg,Intercorp-615CW-Outdoor-Philips-Bugle-Head-Screw,Intercorp-615CW-Outdoor-Philips-Bugle-Head-Screw,,No layout updates.,Block after Info Column,,"Intercorp 615CW Outdoor Philips Bugle Head Screw","Intercorp 615CW Outdoor Philips Bugle Head Screw",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Intercorp 615CW Outdoor Philips Bugle Head Screw","<br><li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>Designed to work with ACQ treated lumber</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 6 x 1-5/8, Quantity: 5M, Weight: 22 lbs.","Intercorp 615CW Outdoor Philips Bugle Head Screw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119112,"620CW",,"Intercorp 620CW Outdoor Philips Bugle Head Screw","Outdoor Philips Bugle Head Screws","Intercorp 620CW Outdoor Philips Bugle Head Screw","Exterior wood screws used for attaching wood to wood.",/\6\1\Outdoor-Philips-Bugle-Head.jpg,/\6\1\Outdoor-Philips-Bugle-Head.jpg,http://www.48ws.com/images/product/6/1/Outdoor-Philips-Bugle-Head.jpg,Intercorp-620CW-Outdoor-Philips-Bugle-Head-Screw,Intercorp-620CW-Outdoor-Philips-Bugle-Head-Screw,,No layout updates.,Block after Info Column,,"Intercorp 620CW Outdoor Philips Bugle Head Screw","Intercorp 620CW Outdoor Philips Bugle Head Screw",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Intercorp 620CW Outdoor Philips Bugle Head Screw","<br><li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>Designed to work with ACQ treated lumber</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 6 x 2, Quantity: 3.5M, Weight: 19 lbs.","Intercorp 620CW Outdoor Philips Bugle Head Screw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119113,"822CW",,"Intercorp 822CW Outdoor Philips Bugle Head Screw","Outdoor Philips Bugle Head Screws","Intercorp 822CW Outdoor Philips Bugle Head Screw","Exterior wood screws used for attaching wood to wood.",/\6\1\Outdoor-Philips-Bugle-Head.jpg,/\6\1\Outdoor-Philips-Bugle-Head.jpg,http://www.48ws.com/images/product/6/1/Outdoor-Philips-Bugle-Head.jpg,Intercorp-822CW-Outdoor-Philips-Bugle-Head-Screw,Intercorp-822CW-Outdoor-Philips-Bugle-Head-Screw,,No layout updates.,Block after Info Column,,"Intercorp 822CW Outdoor Philips Bugle Head Screw","Intercorp 822CW Outdoor Philips Bugle Head Screw",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Intercorp 822CW Outdoor Philips Bugle Head Screw","<br><li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>Designed to work with ACQ treated lumber</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 8 x 2-21/2, Quantity: 2.5M, Weight: 22 lbs.","Intercorp 822CW Outdoor Philips Bugle Head Screw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119114,"830CW",,"Intercorp 830CW Outdoor Philips Bugle Head Screw","Outdoor Philips Bugle Head Screws","Intercorp 830CW Outdoor Philips Bugle Head Screw","Exterior wood screws used for attaching wood to wood.",/\6\1\Outdoor-Philips-Bugle-Head.jpg,/\6\1\Outdoor-Philips-Bugle-Head.jpg,http://www.48ws.com/images/product/6/1/Outdoor-Philips-Bugle-Head.jpg,Intercorp-830CW-Outdoor-Philips-Bugle-Head-Screw,Intercorp-830CW-Outdoor-Philips-Bugle-Head-Screw,,No layout updates.,Block after Info Column,,"Intercorp 830CW Outdoor Philips Bugle Head Screw","Intercorp 830CW Outdoor Philips Bugle Head Screw",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Intercorp 830CW Outdoor Philips Bugle Head Screw","<br><li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>Designed to work with ACQ treated lumber</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 8 x 3, Quantity: 2M, Weight: 21 lbs.","Intercorp 830CW Outdoor Philips Bugle Head Screw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119115,"XQ615W",,"Outdoor Square Bugle Head Screws","Outdoor Square Bugle Head Screws","Outdoor Square Bugle Head Screws","",/\X\Q\Outdoor-Square-Bugle-Head.jpg,/\X\Q\Outdoor-Square-Bugle-Head.jpg,http://www.48ws.com/images/product/X/Q/Outdoor-Square-Bugle-Head.jpg,Intercorp-XQ615W-Outdoor-Square-Bugle-Head-Screws,Intercorp-XQ615W-Outdoor-Square-Bugle-Head-Screws,,No layout updates.,Block after Info Column,,"Outdoor Square Bugle Head Screws","Outdoor Square Bugle Head Screws",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Designed to work with ACQ treated lumber</li><br>
<li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 6 x 1-5/8, Quantity: 5M,  Weight: 22 lbs.","Outdoor Square Bugle Head Screws",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119116,"XQ620W",,"Intercorp XQ620W Outdoor Square Bugle Head Screws","Outdoor Square Bugle Head Screws","Intercorp XQ620W Outdoor Square Bugle Head Screws","",/\X\Q\Outdoor-Square-Bugle-Head.jpg,/\X\Q\Outdoor-Square-Bugle-Head.jpg,http://www.48ws.com/images/product/X/Q/Outdoor-Square-Bugle-Head.jpg,Intercorp-XQ620W-Outdoor-Square-Bugle-Head-Screws,Intercorp-XQ620W-Outdoor-Square-Bugle-Head-Screws,,No layout updates.,Block after Info Column,,"Intercorp XQ620W Outdoor Square Bugle Head Screws","Intercorp XQ620W Outdoor Square Bugle Head Screws",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Intercorp XQ620W Outdoor Square Bugle Head Screws","<br><li>Designed to work with ACQ treated lumber</li><br>
<li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 6 x 2, Quantity: 3.5M, Weight: 16 lbs.","Intercorp XQ620W Outdoor Square Bugle Head Screws",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119117,"XQ822W",,"Intercorp XQ822W Outdoor Square Bugle Head Screws","Outdoor Square Bugle Head Screws","Intercorp XQ822W Outdoor Square Bugle Head Screws","",/\X\Q\Outdoor-Square-Bugle-Head.jpg,/\X\Q\Outdoor-Square-Bugle-Head.jpg,http://www.48ws.com/images/product/X/Q/Outdoor-Square-Bugle-Head.jpg,Intercorp-XQ822W-Outdoor-Square-Bugle-Head-Screws,Intercorp-XQ822W-Outdoor-Square-Bugle-Head-Screws,,No layout updates.,Block after Info Column,,"Intercorp XQ822W Outdoor Square Bugle Head Screws","Intercorp XQ822W Outdoor Square Bugle Head Screws",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Intercorp XQ822W Outdoor Square Bugle Head Screws","<br><li>Designed to work with ACQ treated lumber</li><br>
<li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 8 x 2-1/2, Quantity: 2.5M, Weight: 22 lbs.","Intercorp XQ822W Outdoor Square Bugle Head Screws",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119118,"XQ830W",,"Intercorp XQ830W Outdoor Square Bugle Head Screws","Outdoor Square Bugle Head Screws","Intercorp XQ830W Outdoor Square Bugle Head Screws","",/\X\Q\Outdoor-Square-Bugle-Head.jpg,/\X\Q\Outdoor-Square-Bugle-Head.jpg,http://www.48ws.com/images/product/X/Q/Outdoor-Square-Bugle-Head.jpg,Intercorp-XQ830W-Outdoor-Square-Bugle-Head-Screws,Intercorp-XQ830W-Outdoor-Square-Bugle-Head-Screws,,No layout updates.,Block after Info Column,,"Intercorp XQ830W Outdoor Square Bugle Head Screws","Intercorp XQ830W Outdoor Square Bugle Head Screws",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Intercorp XQ830W Outdoor Square Bugle Head Screws","<br><li>Designed to work with ACQ treated lumber</li><br>
<li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 8 x 3, Quantity: 2M, Weight: 21 lbs.","Intercorp XQ830W Outdoor Square Bugle Head Screws",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1243|27839","Deck Screws|Bugle Head Screws",119119,"XQ1031W",,"Intercorp XQ1031W Outdoor Square Bugle Head Screws","Outdoor Square Bugle Head Screws","Intercorp XQ1031W Outdoor Square Bugle Head Screws","",/\X\Q\Outdoor-Square-Bugle-Head.jpg,/\X\Q\Outdoor-Square-Bugle-Head.jpg,http://www.48ws.com/images/product/X/Q/Outdoor-Square-Bugle-Head.jpg,Intercorp-XQ1031W-Outdoor-Square-Bugle-Head-Screws,Intercorp-XQ1031W-Outdoor-Square-Bugle-Head-Screws,,No layout updates.,Block after Info Column,,"Intercorp XQ1031W Outdoor Square Bugle Head Screws","Intercorp XQ1031W Outdoor Square Bugle Head Screws",Use config,"http://intercorpusa.com",0,,,0,"Intercorp",964,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Intercorp XQ1031W Outdoor Square Bugle Head Screws","<br><li>Designed to work with ACQ treated lumber</li><br>
<li>Exceeds 1,000/hr. salt spray resistance</li><br>
<li>High degree of corrosion resistance</li>","","","Size: 10 x 3-1/2, Quantity: 1M, Weight: 18 lbs.","Intercorp XQ1031W Outdoor Square Bugle Head Screws",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
