store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"159|25838","Hard Hats|Hard Hat Face Shields",38365,"3000001",,"A-F3000L Headgear","","A-F3000L Headgear","Model K Headger",/\3\0\Jackson-Safety-3000001-A-F3000L.jpg,/\3\0\Jackson-Safety-3000001-A-F3000L.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000001-A-F3000L.jpg,Jackson-Safety-3000001-A-F3000L-Headgear,Jackson-Safety-3000001-A-F3000L-Headgear,,No layout updates.,Block after Info Column,,"A-F3000L Headgear","A-F3000L Headgear",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Model K Headger","<li>Spark deflector</li>
<li>Soft, absorbent wrap-around foam cushioned sweatband gently hugs the natural shape of the head</li>
<li>Ratchet and Pinlock supension options</li>
<li>Meets ANSI Z87.1 Standard</li>
<li>Faceshield sold separately</li>
","","","Jackson Safety 3000001 A-F3000L Headgear","A-F3000L Headgear",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25838","Hard Hats|Hard Hat Face Shields",38366,"3000032",,"Aluminum Bracket For Cap","","Aluminum Bracket For Cap","Model C Bracket (Cap Coil Spring Attachment)",/\3\0\Jackson-Safety-3000032-Aluminum-Bracket-For.jpg,/\3\0\Jackson-Safety-3000032-Aluminum-Bracket-For.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000032-Aluminum-Bracket-For.jpg,Jackson-Safety-3000032-Aluminum-Bracket-For-Cap,Jackson-Safety-3000032-Aluminum-Bracket-For-Cap,,No layout updates.,Block after Info Column,,"Aluminum Bracket For Cap","Aluminum Bracket For Cap",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Model C Bracket (Cap Coil Spring Attachment)","<li>Fits most safety caps</li>
<li>Simple &quot;on-off&quot; attachment/replacement system</li>
<li>Holds a variety of Huntsman visors</li>
<li>Visor sold separately</li>
<li>Meets CSA Standards</li>
<li>Standard package 12</li>","","","Jackson Safety 3000032 Aluminum Bracket For Cap","Aluminum Bracket For Cap",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",38367,"3000354",,"Nemesis Black Frame Clear Lens","Nemesis Black Frame Safety Glasses - Jackson Safety","Nemesis Black Frame Clear Lens","Nemesis Black Frame Clear Lens Safety Glasses V30",/\3\0\Jackson-Safety-3000354-Nemesis-Black-Frame-Clear.jpg,/\3\0\Jackson-Safety-3000354-Nemesis-Black-Frame-Clear.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000354-Nemesis-Black-Frame-Clear.jpg,Jackson-Safety-3000354-Nemesis-Black-Frame-Clear-Lens,Jackson-Safety-3000354-Nemesis-Black-Frame-Clear-Lens,,No layout updates.,Block after Info Column,,"Nemesis Black Frame Clear Lens","Nemesis Black Frame Clear Lens",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nemesis Black Frame Clear Lens Safety Glasses V30","<li>NOW AVAILABLE in new Camo Frame/Lens combos and a hot new Red Frame/Smoke Lens</li>
<li>Sleek, sporty style</li>
<li>Soft touch temples</li>
<li>Lightweight construction</li>
<li>Single lens wrap-around protection</li>
<li>Includes free neck cord</li>
<li>Also available in CSA models</li>
<li>Standard package 12</li>
<li>Base Curve 8</li>
<li>Select non-polarized Nemesis eyewear available in gravity feed retail display box</li>
","","","Nemesis Black Frame Clear Lens ","Nemesis Black Frame Clear Lens",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",38368,"3000356",,"Nemesis Black Frame Smoke Mirror Lens","Nemesis Black Frame Safety Glasses - Jackson Safety","Nemesis Black Frame Smoke Mirror Lens","Nemesis Black Frame w/ Smoke Mirror Lens Safety Glasses",/\3\0\Jackson-Safety-3000356-Nemesis-Black-Frame-Smoke-Mirror.jpg,/\3\0\Jackson-Safety-3000356-Nemesis-Black-Frame-Smoke-Mirror.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000356-Nemesis-Black-Frame-Smoke-Mirror.jpg,Jackson-Safety-3000356-Nemesis-Black-Frame-Smoke-Mirror-Lens,Jackson-Safety-3000356-Nemesis-Black-Frame-Smoke-Mirror-Lens,,No layout updates.,Block after Info Column,,"Nemesis Black Frame Smoke Mirror Lens","Nemesis Black Frame Smoke Mirror Lens",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nemesis Black Frame w/ Smoke Mirror Lens Safety Glasses","<li>Sleek, sporty style</li>
<li>Soft touch temples</li>
<li>Lightweight construction</li>
<li>Single lens wrap-around protection</li>
<li>Includes free neck cord</li>
<li>Also available in CSA models</li>
<li>Standard package 12</li>
<li>Base Curve 8</li>
<li>Select non-polarized Nemesis eyewear available in gravity feed retail display box</li>","",""," Nemesis Black Frame Smoke Mirror Lens","Nemesis Black Frame Smoke Mirror Lens",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",38369,"3000358",,"Nemesis Black Frame Blue Mirror Lens","Nemesis Black Frame Safety Glasses - Jackson Safety","Nemesis Black Frame Blue Mirror Lens","Nemesis Black Frame w/ Blue Mirror Lens Safety Glasses",/\3\0\Jackson-Safety-3000358-Nemesis-Black-Frame-Blue-Mirror.jpg,/\3\0\Jackson-Safety-3000358-Nemesis-Black-Frame-Blue-Mirror.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000358-Nemesis-Black-Frame-Blue-Mirror.jpg,Jackson-Safety-3000358-Nemesis-Black-Frame-Blue-Mirror-Lens,Jackson-Safety-3000358-Nemesis-Black-Frame-Blue-Mirror-Lens,,No layout updates.,Block after Info Column,,"Nemesis Black Frame Blue Mirror Lens","Nemesis Black Frame Blue Mirror Lens",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nemesis Black Frame w/ Blue Mirror Lens Safety Glasses","<li>Sleek, sporty style</li>
<li>Soft touch temples</li>
<li>Lightweight construction</li>
<li>Single lens wrap-around protection</li>
<li>Includes free neck cord</li>
<li>Also available in CSA models</li>
<li>Standard package 12</li>
<li>Base Curve 8</li>
<li>Select non-polarized Nemesis eyewear available in gravity feed retail display box</li>","","","Nemesis Black Frame Blue Mirror Lens","Nemesis Black Frame Blue Mirror Lens",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|26144","Safety Glasses|Hats",38370,"3000435",,"AA-7M Orange Winterliners","","AA-7M Orange Winterliners","Orange Wind Guard AA-7",/\3\0\Jackson-Safety-3000435-AA-7M-Orange.jpg,/\3\0\Jackson-Safety-3000435-AA-7M-Orange.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000435-AA-7M-Orange.jpg,Jackson-Safety-3000435-AA-7M-Orange-Winterliners,Jackson-Safety-3000435-AA-7M-Orange-Winterliners,,No layout updates.,Block after Info Column,,"AA-7M Orange Winterliners","AA-7M Orange Winterliners",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Orange Wind Guard AA-7","<li>Cap Style</li>
<li>Standard Pack 12</li>","","","Jackson Safety 3000435 AA-7M Orange Winterliners","AA-7M Orange Winterliners",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",38371,"3000442",,"Quilted Winter Liner","","Quilted Winter Liner","Winter Liner 225 Plus",/\3\0\Jackson-Safety-3000442-Quilted-Winter.jpg,/\3\0\Jackson-Safety-3000442-Quilted-Winter.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000442-Quilted-Winter.jpg,Jackson-Safety-3000442-Quilted-Winter-Liner,Jackson-Safety-3000442-Quilted-Winter-Liner,,No layout updates.,Block after Info Column,,"Quilted Winter Liner","Quilted Winter Liner",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Winter Liner 225 Plus","<li>Blue quilted nylon shell with fastener straps</li>
<li>Three layers of thick foam</li>
","","","Jackson Safety 3000442 Quilted Winter Liner","Quilted Winter Liner",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25635","Safety Glasses|Safety Glasses",38372,"3000555",,"Lens Cleaning Toweletts","","Lens Cleaning Toweletts","Lens Cleaning Station",/\3\0\Jackson-Safety-3000555-Lens-Cleaning.jpg,/\3\0\Jackson-Safety-3000555-Lens-Cleaning.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000555-Lens-Cleaning.jpg,Jackson-Safety-3000555-Lens-Cleaning-Toweletts,Jackson-Safety-3000555-Lens-Cleaning-Toweletts,,No layout updates.,Block after Info Column,,"Lens Cleaning Toweletts","Lens Cleaning Toweletts",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Lens Cleaning Station","<li>Wall Monunt</li>
<li>For Glass, plastic and polycarbonate lenses, goggles, and visors</li>
<li>Anti-Fog, Anti-Static Formula</li>
<li>Available in 100 individually package towelettes per box or spray bottle with 100 low tint tissues</li>","","","Jackson Safety 3000555 Lens Cleaning Toweletts ","Lens Cleaning Toweletts",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25634","Safety Glasses|Replacement Eyewear Lenses",38373,"3000645",,"2&quot; x 4-1/4&quot; Shade 10 Lens Replacement","Shade 10 Lens Replacements - Jackson Safety","2&quot; x 4-1/4&quot; Shade 10 Lens Replacement","Cover Lenses and Filter Plates",/\3\0\Jackson-Safety-3000645-2-x-4-14-Shade-10-Lens.jpg,/\3\0\Jackson-Safety-3000645-2-x-4-14-Shade-10-Lens.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000645-2-x-4-14-Shade-10-Lens.jpg,Jackson-Safety-3000645-2-x-4-14-Shade-10-Lens-Replacement,Jackson-Safety-3000645-2-x-4-14-Shade-10-Lens-Replacement,,No layout updates.,Block after Info Column,,"2&quot; x 4-1/4&quot; Shade 10 Lens Replacement","2&quot; x 4-1/4&quot; Shade 10 Lens Replacement",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"427 Filter Lens Sh. 10 2&quot; x 4 1/4&quot; Polycarbonate Filter Lens ","<li>Cover Lenses, Filter Lenses, Safety Plates, and Magnifying Plates</li>","","","2&quot; x 4-1/4&quot; Shade 10 Lens Replacement","2&quot; x 4-1/4&quot; Shade 10 Lens Replacement",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"164|25634","Safety Glasses|Replacement Eyewear Lenses",38374,"3000650",,"4-1/2&quot; x 5-1/4&quot; Shade 10 Lens Replacement","Shade 10 Lens Replacements - Jackson Safety","4-1/2&quot; x 5-1/4&quot; Shade 10 Lens Replacement","1127 Filter Lens Sh. 10 4 1/2&quot; x 5 1/4&quot; Polycarbonate Filter Lens ",/\3\0\Jackson-Safety-3000650-4-12-x-5-14-Shade-10-Lens.jpg,/\3\0\Jackson-Safety-3000650-4-12-x-5-14-Shade-10-Lens.jpg,http://www.48ws.com/images/product/3/0/Jackson-Safety-3000650-4-12-x-5-14-Shade-10-Lens.jpg,Jackson-Safety-3000650-4-12-x-5-14-Shade-10-Lens-Replacement,Jackson-Safety-3000650-4-12-x-5-14-Shade-10-Lens-Replacement,,No layout updates.,Block after Info Column,,"4-1/2&quot; x 5-1/4&quot; Shade 10 Lens Replacement","4-1/2&quot; x 5-1/4&quot; Shade 10 Lens Replacement",Use config,"http://www.kcprofessional.com/jackson-safety",0,,,0,"Jackson Safety",433,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1127 Filter Lens Sh. 10 4 1/2&quot; x 5 1/4&quot; Polycarbonate Filter Lens ","<li>Cover Lenses, Filter Lenses, Safety Plates, and Magnifying Plates</li>","","","4-1/2&quot; x 5-1/4&quot; Shade 10 Lens Replacement","4-1/2&quot; x 5-1/4&quot; Shade 10 Lens Replacement",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
