store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2011|23128","Hoists|Electric Hoists",37443,"187713",,"1-1/2T 15' Lift Rachet Hoist","","1-1/2T 15' Lift Rachet Hoist","<li>Economical lever hoist designed for years of trouble-free operation</li>
<li>1/4-ton to 6-ton capacities</li>
<li>5', 10', 15' and 20' lifts standard, custom length lifts available</li>
<li>All steel construction with a durable powder coat finish <",/\1\8\187713-Jet-1-12T-15-Lift-Rachet.jpg,/\1\8\187713-Jet-1-12T-15-Lift-Rachet.jpg,http://www.48ws.com/images/product/1/8/187713-Jet-1-12T-15-Lift-Rachet.jpg,187713-Jet-1-12T-15-Lift-Rachet-Hoist,187713-Jet-1-12T-15-Lift-Rachet-Hoist,,No layout updates.,Block after Info Column,,"1-1/2T 15' Lift Rachet Hoist","1-1/2T 15' Lift Rachet Hoist",Use config,"http://www.jettools.com",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<li>Economical lever hoist designed for years of trouble-free operation</li>
<li>1/4-ton to 6-ton capacities</li>
<li>5', 10', 15' and 20' lifts standard, custom length lifts available</li>
<li>All steel construction with a durable powder coat finish </li>
<li>Completely enclosed Weston type automatic brake system holds load in any position </li>
<li>Easy-to-use with single hand operation and control<li>
<li>Simple design makes routine inspection and maintenance easy</li>
<li>Freewheeling feature without load for quick load attachment </li>
<li>Hardened grade 80 low wear chain </li>
<li>Drop forged hooks with heavy-duty safety latches swivel 360° for easy rigging</li>
<li>Proof tested with test certificate</li>
<li>Complies with OSHA, ANSI/ASME B30.21 and HST-3 standards </li>","<li>Model Number: JLP-150-15</li>
<li>Gross Weight: 37.5lbs</li>
<li>Capacity: 1.5 metric ton</li>
<li>Standard Lift: 15'</li>
","","","187713 Jet 1-1/2T 15' Lift Rachet Hoist","1-1/2T 15' Lift Rachet Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2011|23128","Hoists|Electric Hoists",37444,"187711",,"1-1/2T 5' Lift Ratchet Hoist","","1-1/2T 5' Lift Ratchet Hoist","Economical lever hoist designed for years of trouble-free operation",/\1\8\187711-Jet-1-12T-5-Lift-Ratchet.jpg,/\1\8\187711-Jet-1-12T-5-Lift-Ratchet.jpg,http://www.48ws.com/images/product/1/8/187711-Jet-1-12T-5-Lift-Ratchet.jpg,187711-Jet-1-12T-5-Lift-Ratchet-Hoist,187711-Jet-1-12T-5-Lift-Ratchet-Hoist,,No layout updates.,Block after Info Column,,"1-1/2T 5' Lift Ratchet Hoist","1-1/2T 5' Lift Ratchet Hoist",Use config,"http://www.jettools.com",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Economical lever hoist designed for years of trouble-free operation","<li>Model Number: JLP-150-5</li>
<li>Gross Weight: 27.8lbs</li>
<li>Capasity: 1.5 Metric Tons</li>
<li>Standard Lift: 5'</li>","","","187711 Jet 1-1/2T 5' Lift Ratchet Hoist","1-1/2T 5' Lift Ratchet Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"988|23126","Cable Pullers|Cable Hoists and Ratchet Pullers",37446,"181420",,"2 Ton Cable Hoist/Puller","","2 Ton Cable Hoist/Puller","Heavy duty lines man cable puller designed to lift, lower, stretch or pull heavy loads",/\1\8\181420-Jet-2-Ton-Cable.jpg,/\1\8\181420-Jet-2-Ton-Cable.jpg,http://www.48ws.com/images/product/1/8/181420-Jet-2-Ton-Cable.jpg,181420-Jet-2-Ton-Cable-HoistPuller,181420-Jet-2-Ton-Cable-HoistPuller,,No layout updates.,Block after Info Column,,"2 Ton Cable Hoist/Puller","2 Ton Cable Hoist/Puller",Use config,"http://www.jettools.com",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Heavy duty lines man cable puller designed to lift, lower, stretch or pull heavy loads","<li>Model Number: JCH-4</li>
<li>Gross Weight: 17.8lbs</li>
<li>Capasity: 2 Tons</li>
<li>Max Lift Height: 20&quot;</li>","","","181420 Jet 2 Ton Cable Hoist/Puller","2 Ton Cable Hoist/Puller",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"988|23126","Cable Pullers|Cable Hoists and Ratchet Pullers",37447,"181330",,"1-1/2 Ton Cable Hoist/Puller","","1-1/2 Ton Cable Hoist/Puller","Heavy duy lines man cable puller designed to lift, lower, stretch, or pull heavy loads",/\1\8\181330-Jet-1-12-Ton-Cable.jpg,/\1\8\181330-Jet-1-12-Ton-Cable.jpg,http://www.48ws.com/images/product/1/8/181330-Jet-1-12-Ton-Cable.jpg,181330-Jet-1-12-Ton-Cable-HoistPuller,181330-Jet-1-12-Ton-Cable-HoistPuller,,No layout updates.,Block after Info Column,,"1-1/2 Ton Cable Hoist/Puller","1-1/2 Ton Cable Hoist/Puller",Use config,"http://www.jettools.com",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Heavy duy lines man cable puller designed to lift, lower, stretch, or pull heavy loads","<li>Model Number: JCH-3</li>
<li>Gross Weight: 16.05 lbs</li>
<li>Capacity: 1 1/2 Ton</li>
<li>Max Lift Height: 30&quot;</li>","","","181330 Jet 1-1/2 Ton Cable Hoist/Puller","1-1/2 Ton Cable Hoist/Puller",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2011|23128","Hoists|Electric Hoists",37449,"101714",,"2 Ton Chain Hoist 20' Lift","2 Ton Chain Hoists 20' Lift","2 Ton Chain Hoist 20' Lift","",/\1\0\101714-Jet-2-Ton-Chain-Hoist-20.jpg,/\1\0\101714-Jet-2-Ton-Chain-Hoist-20.jpg,http://www.48ws.com/images/product/1/0/101714-Jet-2-Ton-Chain-Hoist-20.jpg,101714-Jet-2-Ton-Chain-Hoist-20-Lift,101714-Jet-2-Ton-Chain-Hoist-20-Lift,,No layout updates.,Block after Info Column,,"2 Ton Chain Hoist 20' Lift","2 Ton Chain Hoist 20' Lift",Use config,"http://www.jettools.com",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Model Number: SMH-2T-20</li>
<li>Gross Weight: 59.55 lbs</li>
<li>Capacity: 2 Tons</li>
<li>Standard Lift 20'</li>","","","New","2 Ton Chain Hoist 20' Lift",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2011|23128","Hoists|Electric Hoists",37451,"101705",,"1 Ton Chain Hoist 15' Lift","","1 Ton Chain Hoist 15' Lift","Full range capacity 1/2 to 10 tons. 
28 models stocked, one for every application. 
Standard Feature found only in higher priced models.  
Designed for years of trouble-free service. 
10', 15', 20' and 30' lifts standard, custom length lifts available",/\1\0\101705-Jet-1-Ton-Chain-Hoist-15.jpg,/\1\0\101705-Jet-1-Ton-Chain-Hoist-15.jpg,http://www.48ws.com/images/product/1/0/101705-Jet-1-Ton-Chain-Hoist-15.jpg,101705-Jet-1-Ton-Chain-Hoist-15-Lift,101705-Jet-1-Ton-Chain-Hoist-15-Lift,,No layout updates.,Block after Info Column,,"1 Ton Chain Hoist 15' Lift","1 Ton Chain Hoist 15' Lift",Use config,"http://www.jettools.com",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Full range capacity 1/2 to 10 tons. 
28 models stocked, one for every application. 
Standard Feature found only in higher priced models.  
Designed for years of trouble-free service. 
10', 15', 20' and 30' lifts standard, custom length lifts available. 
All steel construction with a durable powder coat finish 
Lightweight, compact design for low headroom applications. 
Needle bearing supported load sheave for smooth operation. 
Completely enclosed Weston type automatic brake system for precise load spotting. 
Triple-spur gears provide high efficiency ratio with minimum effort. 
Induction hardened grade 80 load chain. 
Drop forged hooks with heavy-duty safety latches swivel 360° for easy rigging. 
Smooth rolled edge on hand chain cover prevents side pull jamming 
Standard hand chain drop equals lift length. 
Proof tested with test certificate. 
Complies with OSHA, ANSI/ASME B30.16 and HST-2 standards. ","<li>Model Number: SMH-1T-15</li>
<li>Gross Weight: 34.3lbs</li>
<li>Capacity: 1 Ton</li>
<li>Standard Lift: 15'</li>","","","101705 Jet 1 Ton Chain Hoist 15' Lift","1 Ton Chain Hoist 15' Lift",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2011|23128","Hoists|Electric Hoists",37453,"101701",,"1/2 Ton Chain Hoist 15' Lift","","1/2 Ton Chain Hoist 15' Lift","Full range capacity 1/2 to 10 tons. 
28 models stocked, one for every application. 
Standard Feature found only in higher priced models. 
Designed for years of trouble-free service. 
10', 15', 20' and 30' lifts standard, custom length lifts available.",/\1\0\101701-Jet-12-Ton-Chain-Hoist-15.jpg,/\1\0\101701-Jet-12-Ton-Chain-Hoist-15.jpg,http://www.48ws.com/images/product/1/0/101701-Jet-12-Ton-Chain-Hoist-15.jpg,101701-Jet-12-Ton-Chain-Hoist-15-Lift,101701-Jet-12-Ton-Chain-Hoist-15-Lift,,No layout updates.,Block after Info Column,,"1/2 Ton Chain Hoist 15' Lift","1/2 Ton Chain Hoist 15' Lift",Use config,"http://www.jettools.com",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Full range capacity 1/2 to 10 tons. 
28 models stocked, one for every application. 
Standard Feature found only in higher priced models. 
Designed for years of trouble-free service. 
10', 15', 20' and 30' lifts standard, custom length lifts available. 
All steel construction with a durable powder coat finish. 
Lightweight, compact design for low headroom applications. 
Needle bearing supported load sheave for smooth operation. 
Completely enclosed Weston type automatic brake system for precise load spotting. 
Triple-spur gears provide high efficiency ratio with minimum effort. 
Induction hardened grade 80 load chain. 
Drop forged hooks with heavy-duty safety latches swivel 360° for easy rigging. 
Smooth rolled edge on hand chain cover prevents side pull jamming. 
Standard hand chain drop equals lift length. 
Proof tested with test certificate. 
Complies with OSHA, ANSI/ASME B30.16 and HST-2 standards.","<li>Model Number: SMH-1/2T-15</li>
<li>Gross Weight: 25.55lbs</li>
<li>Capacity: 1/2 Ton</li>
<li>Standard Lift: 15'</li>","","","101701 Jet 1/2 Ton Chain Hoist 15' Lift","1/2 Ton Chain Hoist 15' Lift",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2011|23128","Hoists|Electric Hoists",97680,"101714 Recon",,"2 Ton Chain Hoist 20' Lift","2 Ton Chain Hoists 20' Lift","2 Ton Chain Hoist 20' Lift","",/\1\0\101714-Jet-2-Ton-Chain-Hoist-20.jpg,/\1\0\101714-Jet-2-Ton-Chain-Hoist-20.jpg,http://www.48ws.com/images/product/1/0/101714-Jet-2-Ton-Chain-Hoist-20.jpg,101714-Recon-Jet-2-Ton-Chain-Hoist-20-Lift,101714-Recon-Jet-2-Ton-Chain-Hoist-20-Lift,,No layout updates.,Block after Info Column,,"2 Ton Chain Hoist 20' Lift","2 Ton Chain Hoist 20' Lift",Use config,"http://www.jettools.com",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"101714 Recon Jet 2 Ton Chain Hoist 20' Lift","<li>Model Number: SMH-2T-20</li>
<li>Gross Weight: 59.55 lbs</li>
<li>Capacity: 2 Tons</li>
<li>Standard Lift 20'</li>","","","Reconditioned","2 Ton Chain Hoist 20' Lift",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2705|24961","Standard Band Saws|Band Saws",119198,"708755B",,"JWBS-20QT-5 20&quot; Bandsaw","","JWBS-20QT-5 20&quot; Bandsaw","This 20-inch Bandsaw features a 5HP motor and poly v-belt drive for efficient power transfer. A three-position tensioner allows quick blade adjustments and tracking. The micro-adjustable ball bearing guides run smoothly with less friction heat. The extra ",/\7\0\JWBS-20QT-5-20.jpg,/\7\0\JWBS-20QT-5-20.jpg,http://www.48ws.com/images/product/7/0/JWBS-20QT-5-20.jpg,Jet-Tools-708755B-JWBS-20QT-5-20-Bandsaw,Jet-Tools-708755B-JWBS-20QT-5-20-Bandsaw,,No layout updates.,Block after Info Column,,"JWBS-20QT-5 20&quot; Bandsaw","JWBS-20QT-5 20&quot; Bandsaw",Use config,"http://www.jettools.com/us/en/p/jwbs-20qt-5-20-bandsaw-with-quick-tension-5hp-1ph/708755B",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This 20-inch Bandsaw features a 5HP motor and poly v-belt drive for efficient power transfer. A three-position tensioner allows quick blade adjustments and tracking. The micro-adjustable ball bearing guides run smoothly with less friction heat. The extra large cast trunnion system and triangular-design frame dampen vibration and provide superior stability.","<br><li>Triangular design provides superior column rigidity</li><br>
<li>12-1/4&quot; Resaw capacity for cutting large pieces of wood, slicing veneers and cutting book matched panels</li><br>
<li>21&quot; x 21&quot; precision ground cast iron table for added stability and work support</li><br>
<li>2 Speed poly V-belt drive</li><br>
<li>Precision computer balanced wheels eliminate vibration for accurate blade tracking</li>","","","Jet Tools 708755B JWBS-20QT-5 20&quot; Bandsaw","JWBS-20QT-5 20&quot; Bandsaw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2705|24961","Standard Band Saws|Band Saws",119199,"710116K",,"JWBS-14DXPRO 14&quot; Deluxe Pro Bandsaw Kit","","JWBS-14DXPRO 14&quot; Deluxe Pro Bandsaw Kit","The all-new JWBS-14DXPRO 14&quot; Deluxe Bandsaw from JET (shown here with optional fence) has been fully redesigned to meet the needs of today's most demanding woodworkers. Gone are the days of adding a riser block; this 14&quot; bandsaw comes with a massive cast ",/\7\1\JWBS-14DXPRO-14-Deluxe-Pro-Bandsaw.jpg,/\7\1\JWBS-14DXPRO-14-Deluxe-Pro-Bandsaw.jpg,http://www.48ws.com/images/product/7/1/JWBS-14DXPRO-14-Deluxe-Pro-Bandsaw.jpg,Jet-Tools-710116K-JWBS-14DXPRO-14-Deluxe-Pro-Bandsaw-Kit,Jet-Tools-710116K-JWBS-14DXPRO-14-Deluxe-Pro-Bandsaw-Kit,,No layout updates.,Block after Info Column,,"JWBS-14DXPRO 14&quot; Deluxe Pro Bandsaw Kit","JWBS-14DXPRO 14&quot; Deluxe Pro Bandsaw Kit",Use config,"http://www.jettools.com/us/en/p/jwbs-14dxpro-14-deluxe-pro-bandsaw-kit/710116K",0,,,0,"Jet Tools",333,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The all-new JWBS-14DXPRO 14&quot; Deluxe Bandsaw from JET (shown here with optional fence) has been fully redesigned to meet the needs of today's most demanding woodworkers. Gone are the days of adding a riser block; this 14&quot; bandsaw comes with a massive cast iron frame for increased power that makes it ready to meet all resaw expectations head-on. Couple this incredible feature with a new high tension spring design and many more amazing features, and you have a bandsaw that will last for years to come. ","<br><li>Built-in 12&quot; resaw capacity for cutting larger pieces of wood</li><br>
<li>2 Speed poly-v belt drive system</li><br>
<li>Upper and lower cast iron frame for increased strength and rigidity</li><br>
<li>Easy to view blade tracking window</li><br>
<li>Blade guide post with rack and pinion adjustment</li>","","","Jet Tools 710116K  JWBS-14DXPRO 14&quot; Deluxe Pro Bandsaw Kit","JWBS-14DXPRO 14&quot; Deluxe Pro Bandsaw Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
