store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",37302,"KBH 10",,"Belt Clip","","Belt Clip","Spring action belt clip.",/\K\B\Kenwood-USA-KBH.jpg,/\K\B\Kenwood-USA-KBH.jpg,http://www.48ws.com/images/product/K/B/Kenwood-USA-KBH.jpg,Kenwood-USA-KBH-10,Kenwood-USA-KBH-10,,No layout updates.,Block after Info Column,,"Belt Clip","Belt Clip",Use config,"http://www.kenwoodusa.com/Communications/Land_Mobile_Radio/Accessories/KBH-10",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Spring action belt clip.","","","","Kenwood U.S.A KBH 10 Belt Clip","Belt Clip",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",37303,"KMB-23",,"Charger Adapter","","Charger Adapter","Six unit charger adapter. Chargers not included.",/\K\M\Kenwood-USA-KMB.jpg,/\K\M\Kenwood-USA-KMB.jpg,http://www.48ws.com/images/product/K/M/Kenwood-USA-KMB.jpg,Kenwood-USA-KMB-23,Kenwood-USA-KMB-23,,No layout updates.,Block after Info Column,,"Charger Adapter","Charger Adapter",Use config,"http://www.kenwoodusa.com/Communications/Land_Mobile_Radio/Accessories/KMB-23",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Six unit charger adapter. Chargers not included.","","","","Kenwood U.S.A KMB-23 Charger Adapter","Charger Adapter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",37304,"KMC 45",,"Microphone","","Microphone","MIL-SPEC, IP54/45 speaker microphone.",/\K\M\Kenwood-USA-KMC.jpg,/\K\M\Kenwood-USA-KMC.jpg,http://www.48ws.com/images/product/K/M/Kenwood-USA-KMC.jpg,Kenwood-USA-KMC-45,Kenwood-USA-KMC-45,,No layout updates.,Block after Info Column,,"Microphone","Microphone",Use config,"http://www.kenwoodusa.com/Communications/Land_Mobile_Radio/Accessories/KMC-45",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"MIL-SPEC, IP54/45 speaker microphone.","","","","Kenwood U.S.A KMC 45 Microphone","Microphone",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",37306,"KNB 29N",,"Battery","","Battery","NiMh Battery (1500mAh)",/\K\N\Kenwood-USA-KNB.jpg,/\K\N\Kenwood-USA-KNB.jpg,http://www.48ws.com/images/product/K/N/Kenwood-USA-KNB.jpg,Kenwood-USA-KNB-29N,Kenwood-USA-KNB-29N,,No layout updates.,Block after Info Column,,"Battery","Battery",Use config,"http://www.kenwoodusa.com/search?m=or&q=Communications+Land_Mobile_Radio+Accessories+Batteries_-_Chargers+KNB-29N",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"NiMh Battery (1500mAh)","","","","Kenwood U.S.A KNB 29N Battery","Battery",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",37307,"KRA 27M",,"Antenna","","Antenna","UHF Whip Antenna 440-490mhz.",/\K\R\Kenwood-USA-KRA.jpg,/\K\R\Kenwood-USA-KRA.jpg,http://www.48ws.com/images/product/K/R/Kenwood-USA-KRA.jpg,Kenwood-USA-KRA-27M,Kenwood-USA-KRA-27M,,No layout updates.,Block after Info Column,,"Antenna","Antenna",Use config,"http://www.kenwoodusa.com/Communications/Land_Mobile_Radio/Accessories/Antenna/KRA-27",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"UHF Whip Antenna 440-490mhz.","","","","Kenwood U.S.A KRA 27M Antenna","Antenna",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",89594,"TK2300V4P",,"2 Watt 4 Channel Radio","","2 Watt 4 Channel Radio","ProTalk 2 Watt Portable VHF/UHF Business On-Site Radios<br></br>
Kenwood's new 300 Series ProTalk® model VHF and UHF 2 watt portables take quality and value to an even higher level offering additional channels (4 & 16), a larger selection of UHF frequenc",/\T\K\TK2300V4P-Kenwood-2-Watt-4-Channel.jpg,/\T\K\TK2300V4P-Kenwood-2-Watt-4-Channel.jpg,http://www.48ws.com/images/product/T/K/TK2300V4P-Kenwood-2-Watt-4-Channel.jpg,TK2300V4P-Kenwood-2-Watt-4-Channel-Radio,TK2300V4P-Kenwood-2-Watt-4-Channel-Radio,,No layout updates.,Block after Info Column,,"2 Watt 4 Channel Radio","2 Watt 4 Channel Radio",Use config,"http://www.kenwoodusa.com/search?m=or&q=Communications+Business_Radio+ProTalk+TK-2300VP-3300UP",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ProTalk 2 Watt Portable VHF/UHF Business On-Site Radios<br></br>
Kenwood's new 300 Series ProTalk&reg; model VHF and UHF 2 watt portables take quality and value to an even higher level offering additional channels (4 & 16), a larger selection of UHF frequencies (89), improved sound quality and advanced ergonomic controls.","<li>4 & 16 Channel VHF / UHF Models</li>
<li>89 UHF Pre-Programmed Frequencies</li>
<li>27 VHF Pre-Programmed Frequencies</li>
<li>QT/DQT Encode/Decode</li>
<li>Wireless Cloning</li>
<li>Audio Companding</li>
<li>Channel Confirmation Model</li>
<li>Scan w/ Temporary Nuisance Delete</li>
<li>Selected/Fixed Priority Channel</li>
<li>Channel Voice Announcement</li>
<li>Voice Scrambler (by channel)</li>
<li>Internal VOX (by channel)</li>
<li>MIL Spec 810 C/D/E/F</li>
<li>IP 54/55</li>
<li>2 Year Warranty</li>","","","TK2300V4P Kenwood 2 Watt 4 Channel Radio","2 Watt 4 Channel Radio",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26336","Two Way Radio Microphones",89595,"KMC-45",,"KMC-45","","KMC-45","MIL-SPEC, IP54/55 Speaker microphone",/\K\M\KMC-45-Kenwood-Speaker.jpg,/\K\M\KMC-45-Kenwood-Speaker.jpg,http://www.48ws.com/images/product/K/M/KMC-45-Kenwood-Speaker.jpg,kenwood-usa-KMC-45-kmc-45,kenwood-usa-KMC-45-kmc-45,,No layout updates.,Block after Info Column,,"KMC-45","KMC-45",Use config,"http://www.kenwoodusa.com/Communications/Land_Mobile_Radio/Accessories/KMC-45",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Compact speaker microphone–heavy duty","","Compatible with: 
All TK Models","","KMC-45 Kenwood Speaker Microphone","KMC-45",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",89596,"KMB27",,"Charger","","Charger","Six Unit Charger Adapter",/\K\M\KMB27-Kenwood.jpg,/\K\M\KMB27-Kenwood.jpg,http://www.48ws.com/images/product/K/M/KMB27-Kenwood.jpg,KMB27-Kenwood-Charger,KMB27-Kenwood-Charger,,No layout updates.,Block after Info Column,,"Charger","Charger",Use config,"http://www.kenwoodusa.com/Communications/Land_Mobile_Radio/Accessories/KMB-27",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Six Unit Charger Adapter","Charger Cups Not Included","","","KMB27 Kenwood Charger","Charger",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1082|26338","Radios | Two Way (INACTIVE)|Two Way Radios",93404,"Protalk TK-3302U16P",,"2 Way Radio","","2 Way Radio","16C UHF Two-Way Radio w/Li-Ion Battery w/Rapid Charger",/\P\r\Kenwood-Protalk-TK-3302U16P-2-Way.jpg,/\P\r\Kenwood-Protalk-TK-3302U16P-2-Way.jpg,http://www.48ws.com/images/product/P/r/Kenwood-Protalk-TK-3302U16P-2-Way.jpg,Kenwood-Protalk-TK-3302U16P-2-Way-Radio,Kenwood-Protalk-TK-3302U16P-2-Way-Radio,,No layout updates.,Block after Info Column,,"2 Way Radio","2 Way Radio",Use config,"",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"16C UHF Two-Way Radio w/Li-Ion Battery w/Rapid Charger","<li>4 Watts</li>
<li>16 Channels</li>
<li>UHF</li>
<li>PC Programmable Only (No field programming - Include frequency information in comment box as you check out.)</li>
<li>121 Privacy Codes</li>
<li>Channel Scan</li>
<li>VOX - Voice Activated when using VOX capable headsets</li>
<li>Lock - Locks all user controls (except PTT and volume) to prevent accidental channel changes</li>
<li>Mil Spec</li>
<li>Diecast Body for strength</li>
<li>Polycarbonate Case</li>
<li>Voice Annunciation</li>
<li>Wireless Cloning Mode</li>
<li>Time out timer</li>
<li>Call Alert Tone</li>
<li>Battery save and low battery warning</li>
<br><br>
<b>In The Box:</b><br><br>
<li>Antenna - KRA-27</li>
<li>Battery - 12hr Li-Ion</li>
<li>Charger - 3hr Rapid Charger</li>
<li>Clip</li>","<li><b>This radio requires FCC Licensing.</b></li><br><br>
<li><b>This is a PC Programmable Radio.</b> This requires CPS Programming Software, Cables and some Technical expertise.</li><br><br>
<li>Color: Black</li>
<li>Warranty: 2 Years</li>
<li>Product Dimensions: 6 x 2 x 2(inches)</li>","","Kenwood Protalk TK-3302U16P 2 Way Radio","2 Way Radio",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26338","Two Way Radios",488336,"NX-240V16P",,"ProTalk 2-Way Radio NX-240V16P","","ProTalk 2-Way Radio NX-240V16P","",/\N\X\kenwood-usa-nx-240v16p-protalk-2-way-radio-nx-240v16p.jpg,/\N\X\kenwood-usa-nx-240v16p-protalk-2-way-radio-nx-240v16p.jpg,http://www.48ws.com/images/product/N/X/kenwood-usa-nx-240v16p-protalk-2-way-radio-nx-240v16p.jpg,kenwood-usa-NX-240V16P-protalk-2-way-radio-nx-240v16p,kenwood-usa-NX-240V16P-protalk-2-way-radio-nx-240v16p,,No layout updates.,Block after Info Column,,"ProTalk 2-Way Radio NX-240V16P","ProTalk 2-Way Radio NX-240V16P",Use config,"",0,,,0,"Kenwood U.S.A",319,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","16 Channels, 5 Watt
27 VHF / 99 UHF Preset Frequencies
39 QT / 168 DQT / 64 (RAN) Privacy Codes
Super Lock
VOX Ready
Privacy Talk Scrambler
10-Call Alert Tone
Wireless Cloning
Channel Scan
Removable Antenna
2,000 mAh Li-Ion battery with up to 12 hours of talk time *(5-5-90) and 3 hours fast charger
Diecast Chassis
Weather-Sealed Construction
Weighs only 9.9oz with Battery
Meets 11 Mil-Spec standards
Compatible with other analog business radios
operating on the same frequency and code
3 year radio warranty","","","ProTalk 2-Way Radio NX-240V16P",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
