store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"24963","Circular Saw Accessories",468942,"  ",,"Plastic Cutting Saw Head Kit","","Plastic Cutting Saw Head Kit","",/\\\kett-tool-company-plastic-cutting-saw-head-kit.jpg,/\\\kett-tool-company-plastic-cutting-saw-head-kit.jpg,http://www.48ws.com/images/product///kett-tool-company-plastic-cutting-saw-head-kit.jpg,kett-tool-company--plastic-cutting-saw-head-kit,kett-tool-company--plastic-cutting-saw-head-kit,,No layout updates.,Block after Info Column,,"Plastic Cutting Saw Head Kit","Plastic Cutting Saw Head Kit",Use config,"",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Plastic cutting saw head kit includes: KS-44 saw head, 567-2A connecting sleeve, 170-25 coupler, 154-54 spacer, wrenches, and 4 asssorted blades.","","","","Plastic Cutting Saw Head Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24786","Cordless Cut-Out Tools",468943,"1020",,"1020 Nibbler Attachment","","1020 Nibbler Attachment","",/\1\0\kett-tool-company-1020-nibbler.jpg,/\1\0\kett-tool-company-1020-nibbler.jpg,http://www.48ws.com/images/product/1/0/kett-tool-company-1020-nibbler.jpg,kett-tool-company-1020-1020-nibbler-attachment,kett-tool-company-1020-1020-nibbler-attachment,,No layout updates.,Block after Info Column,,"1020 Nibbler Attachment","1020 Nibbler Attachment",Use config,"http://www.kett-tool.com/products/detail.php?product_model=1020",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The 1020 nibbler attachment cuts intricate curves in 18 gauge C.R. mild steel at 40 inches per minute. The nibbler head cuts straight, left or right with unique swivel punch and die assembly. It can be locked in any 360 degree position. It cuts a clean, even line at 3/16&quot; wide. (Punch and die Kit #110)","","","","1020 Nibbler Attachment",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25004","Electric Shear Accessories",468944,"46-20R",,"46-20R Shear Head for Profile Shears KD-446R","","46-20R Shear Head for Profile Shears KD-446R","",/\4\6\kett-tool-company-46-20r-shear-head.jpg,/\4\6\kett-tool-company-46-20r-shear-head.jpg,http://www.48ws.com/images/product/4/6/kett-tool-company-46-20r-shear-head.jpg,kett-tool-company-46-20R-46-20r-shear-head-for-profile-shears-kd-446r,kett-tool-company-46-20R-46-20r-shear-head-for-profile-shears-kd-446r,,No layout updates.,Block after Info Column,,"46-20R Shear Head for Profile Shears KD-446R","46-20R Shear Head for Profile Shears KD-446R",Use config,"http://www.kett-tool.com/products/detail.php?product_model=46-20R",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Shear Head for Profile shears KD-446R","","","","46-20R Shear Head for Profile Shears KD-446R",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24786","Cordless Cut-Out Tools",468945,"257-34K",,"257-34K Panel Saw Head Kit","","257-34K Panel Saw Head Kit","",/\2\5\kett-tool-company-257-34k-panel-saw-kit.jpg,/\2\5\kett-tool-company-257-34k-panel-saw-kit.jpg,http://www.48ws.com/images/product/2/5/kett-tool-company-257-34k-panel-saw-kit.jpg,kett-tool-company-257-34K-257-34k-panel-saw-head-kit,kett-tool-company-257-34K-257-34k-panel-saw-head-kit,,No layout updates.,Block after Info Column,,"257-34K Panel Saw Head Kit","257-34K Panel Saw Head Kit",Use config,"http://www.kett-tool.com/products/detail.php?product_model=257-34K",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Panel saw kit includes KSV-34 saw head, 567-2A connecting sleeve, 170-25 coupler and 154-54 spacer.","Parts: 154-54, 170-25, 567-2A<br>
Heads: KSV-34","","","257-34K Panel Saw Head Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25004","Electric Shear Accessories",468946,"KS-21",,"KS-21 Saw Head w/ Six Blades & Wrenches","","KS-21 Saw Head w/ Six Blades & Wrenches","",/\K\S\kett-tool-company-ks-21-kett-14-cut-saw-head.jpg,/\K\S\kett-tool-company-ks-21-kett-14-cut-saw-head.jpg,http://www.48ws.com/images/product/K/S/kett-tool-company-ks-21-kett-14-cut-saw-head.jpg,kett-tool-company-KS-21-ks-21-saw-head-w-six-blades-wrenches,kett-tool-company-KS-21-ks-21-saw-head-w-six-blades-wrenches,,No layout updates.,Block after Info Column,,"KS-21 Saw Head w/ Six Blades & Wrenches","KS-21 Saw Head w/ Six Blades & Wrenches",Use config,"http://www.kett-tool.com/products/detail.php?product_model=KS-21",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Kett 1/4&quot; depth of cut saw head complete with six blades and wrenches for KS-221 and PS-521 saws.","Included Blades: 157-12, 157-14, 157-16, 157-22, 157-24, 157-26, 157-23, 157-24Z<br><br>
Cutting Materials:
<ul>
<li>Mild Steel 16 to 23 Gauge</li>
<li>Mild Steel 24 Gauge and Lighter</li>
<li>Hard Aluminum</li>
<li>Soft Aluminum</li>
<li>Brass</li>
<li>C","","","KS-21 Saw Head w/ Six Blades & Wrenches",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25004","Electric Shear Accessories",468947,"60-20H",,"60-20H Shear Head","","60-20H Shear Head","",/\6\0\kett-tool-company-60-20h-shear-head.jpg,/\6\0\kett-tool-company-60-20h-shear-head.jpg,http://www.48ws.com/images/product/6/0/kett-tool-company-60-20h-shear-head.jpg,kett-tool-company-60-20H-60-20h-shear-head,kett-tool-company-60-20H-60-20h-shear-head,,No layout updates.,Block after Info Column,,"60-20H Shear Head","60-20H Shear Head",Use config,"http://www.kett-tool.com/products/detail.php?product_model=60-20H",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","SHEAR HEAD","","","","60-20H Shear Head",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24811","Cordless Tool Accessories",468948,"264-3",,"Grease","Grease","Grease","",/\M\S\kett-tool-company-msds-264-3-grease.jpg,/\M\S\kett-tool-company-msds-264-3-grease.jpg,http://www.48ws.com/images/product/M/S/kett-tool-company-msds-264-3-grease.jpg,kett-tool-company-MSDS-264-3-grease,kett-tool-company-MSDS-264-3-grease,,No layout updates.,Block after Info Column,,"Grease","Grease",Use config,"http://www.kett-tool.com/products/detail.php?product_model=MSDS%20264-3",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Grease MSDS Sheet","","","SHELL Super Duty Grease 2","Grease",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24786","Cordless Cut-Out Tools",468949,"KL-240",,"KL-240 Double-Cut Straight-Handle Shear","","KL-240 Double-Cut Straight-Handle Shear","",/\K\L\kett-tool-company-kl-240-straight-handle-shears.jpg,/\K\L\kett-tool-company-kl-240-straight-handle-shears.jpg,http://www.48ws.com/images/product/K/L/kett-tool-company-kl-240-straight-handle-shears.jpg,kett-tool-company-KL-240-kl-240-double-cut-straight-handle-shear,kett-tool-company-KL-240-kl-240-double-cut-straight-handle-shear,,No layout updates.,Block after Info Column,,"KL-240 Double-Cut Straight-Handle Shear","KL-240 Double-Cut Straight-Handle Shear",Use config,"http://www.kett-tool.com/products/detail.php?product_model=KL-240",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","This lightweight, single-speed straight-handle shear cuts 14 gauge C.R. mild steel and most grades of stainless to 16 gauge. Double-insulated, the 4 AMP KL-240 cuts at over 150 inches per minute, leaving a clean, flat sheet, ready to fabricate. Distortions are absorbed in an easily disposed of waste curl, leaving the sheet cool and free of burn, chips and burrs. The cutting blades are finest high-speed steel, which you can easily replace. (Standard blades-Kit #106)","Head: 40-20<br>
Motor: 253-80<br>
Length: 13.5&quot;","","","KL-240 Double-Cut Straight-Handle Shear",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24786","Cordless Cut-Out Tools",468950,"P-2042",,"P-2042 All-Purpose 16 Gauge Straight Handle Pneumatic Double-Cut Power Shear","","P-2042 All-Purpose 16 Gauge Straight Handle Pneumatic Double-Cut Power Shear","",/\P\2\kett-tool-company-p-2042-16-gauge-straight-handle-power-shear.jpg,/\P\2\kett-tool-company-p-2042-16-gauge-straight-handle-power-shear.jpg,http://www.48ws.com/images/product/P/2/kett-tool-company-p-2042-16-gauge-straight-handle-power-shear.jpg,kett-tool-company-P-2042-p-2042-all-purpose-16-gauge-straight-handle-pneumatic-double-cut-power-shea,kett-tool-company-P-2042-p-2042-all-purpose-16-gauge-straight-handle-pneumatic-double-cut-power-shea,,No layout updates.,Block after Info Column,,"P-2042 All-Purpose 16 Gauge Straight Handle Pneumatic Double-Cut Power Shear","P-2042 All-Purpose 16 Gauge Straight Handle Pneumatic Double-Cut Power Shear",Use config,"http://www.kett-tool.com/products/detail.php?product_model=P-2042",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","KETT's all-purpose 16 gauge straight handle power shear cuts up to 16 gauge mild steel, cleanly and easily, without burring or buckling the material. Designed for ease and durability, this lightweight pneumatic shear fills the gap between KETT's light-gauge and heavy-gauge power shear lines.

The cast aluminum shear housing is now equipped with close-clearance, heavy-duty cutting blades that are essential for handling thin sheet. Thus, the P-2042 is more than capable of shearing through light shim stock and up to 16-gauge steel with the same smooth cutting action.

The P-2042 features the Kett 2500 RPM pneumatic power unit designed for maximum efficiency at 90 PSI air pressure. Able to quickly cut through sheet metal, spiral pipe, metal studs and metal doors, and weighing less than 4 pounds, this is truly a portable hand tool that's ideal for fast work in the shop or on the job.","Head: 42-20<br>
Motor: 253-58<br>
Length: 10.25&quot;","","","P-2042 All-Purpose 16 Gauge Straight Handle Pneumatic Double-Cut Power Shear",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24786","Cordless Cut-Out Tools",468951,"60-20C",,"60-20C 18 Ga. Shear Head w/ Contour Blade","","60-20C 18 Ga. Shear Head w/ Contour Blade","",/\6\0\kett-tool-company-60-20c-18-ga-shear-head-with-contour-blade.jpg,/\6\0\kett-tool-company-60-20c-18-ga-shear-head-with-contour-blade.jpg,http://www.48ws.com/images/product/6/0/kett-tool-company-60-20c-18-ga-shear-head-with-contour-blade.jpg,kett-tool-company-60-20C-60-20c-18-ga-shear-head-w-contour-blade,kett-tool-company-60-20C-60-20c-18-ga-shear-head-w-contour-blade,,No layout updates.,Block after Info Column,,"60-20C 18 Ga. Shear Head w/ Contour Blade","60-20C 18 Ga. Shear Head w/ Contour Blade",Use config,"http://www.kett-tool.com/products/detail.php?product_model=60-20C",0,,,0,"Kett Tool Company",1560,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","18 Ga. shear head with contour blade","","","","60-20C 18 Ga. Shear Head w/ Contour Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
