store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113449,"1000-15-S",,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable-Hoist,LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 16&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 1000 lbs., Lift Distance - 15', Cable Length - 16', Cable Diameter - 3/16&quot;","Small Frame Single Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113450,"1500-25-S",,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL-1500-25-Small-Frame-Single-Line-Cable-Hoist,LUG-ALL-1500-25-Small-Frame-Single-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"LUG-ALL® 1500-25-S Small Frame Single Line Cable Hoist","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 16&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 750 lbs., Lift Distance - 25', Cable Length - 26', Cable Diameter - 5/32&quot;","Small Frame Single Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113451,"2250-15-S",,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL-2250-15-S-Small-Frame-Single-Line-Cable-Hoist,LUG-ALL-2250-15-S-Small-Frame-Single-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"LUG-ALL® 2250-15-S Small Frame Single Line Cable Hoist","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 16&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 1125 lbs., Lift Distance - 15', Cable Length - 16', Cable Diameter - 3/16&quot;","Small Frame Single Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113452,"2250-20-S",,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL-2250-20-S-Small-Frame-Single-Line-Cable-Hoist,LUG-ALL-2250-20-S-Small-Frame-Single-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"LUG-ALL® 2250-20-S Small Frame Single Line Cable Hoist","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 16&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 1125 lbs., Lift Distance - 20', Cable Length - 21', Cable Diameter - 3/16&quot;","Small Frame Single Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113453,"3000-10-S",,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL-3000-10-S-Small-Frame-Single-Line-Cable-Hoist,LUG-ALL-3000-10-S-Small-Frame-Single-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"LUG-ALL® 3000-10-S Small Frame Single Line Cable Hoist","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 16&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 1500 lbs., Lift Distance - 10', Cable Length - 11'-6&quot;, Cable Diameter - 7/32&quot;","Small Frame Single Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113454,"3000-15-S",,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,/\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL-3000-15-S-Small-Frame-Single-Line-Cable-Hoist,LUG-ALL-3000-15-S-Small-Frame-Single-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Single Line Cable Hoist","Small Frame Single Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"LUG-ALL® 3000-15-S Small Frame Single Line Cable Hoist","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 16&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 1500 lbs., Lift Distance - 15', Cable Length - 16', Cable Diameter - 7/32&quot;","Small Frame Single Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113456,"1000-15-D",,"Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,/\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable-Hoist,LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 21&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - N/A lbs., Lift Distance - N/A, Cable Length - 16', Cable Diameter - 3/16&quot;","Small Frame Double Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113458,"1500-25-D",,"Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,/\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL-1500-25-D-Small-Frame-Double-Line-Cable-Hoist,LUG-ALL-1500-25-D-Small-Frame-Double-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"LUG-ALL® 1500-25-D Small Frame Double Line Cable Hoist","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 21&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 1500 lbs., Lift Distance - 21'-6&quot;, Cable Length - 26, Cable Diameter - 5/32&quot;","Small Frame Double Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113459,"2250-15-D",,"Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,/\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL-2250-15-D-Small-Frame-Double-Line-Cable-Hoist,LUG-ALL-2250-15-D-Small-Frame-Double-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"LUG-ALL® 2250-15-D Small Frame Double Line Cable Hoist","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 21&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 2250 lbs., Lift Distance - 7'-6&quot;', Cable Length - 16', Cable Diameter - 3/16&quot;","Small Frame Double Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"202|23126","Hoist | Winch|Cable Hoists and Ratchet Pullers",113460,"2250-20-D",,"Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist","",/\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,/\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,http://www.48ws.com/images/product/1/0/LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL-2250-20-D-Small-Frame-Double-Line-Cable-Hoist,LUG-ALL-2250-20-D-Small-Frame-Double-Line-Cable-Hoist,,No layout updates.,Block after Info Column,,"Small Frame Double Line Cable Hoist","Small Frame Double Line Cable Hoist",Use config,"http://www.lug-all.com/products/cable-ratchet-winch-hoist/small-frame/small-frame-cable-hoist-specs.html",0,,,0,"LUG-ALL",906,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"LUG-ALL® 2250-20-D Small Frame Double Line Cable Hoist","<br>Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist.<br>
<br><li><b>Minimum Distance:</b> 21&quot;</li><br>
<li><b>Colors:</b> Blue, Green, Black, Red.</li>","","","Capacity - 2250 lbs., Lift Distance - 10', Cable Length - 21', Cable Diameter - 3/16&quot;","Small Frame Double Line Cable Hoist",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
