store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"247|24852","Hole Saws|Hole Saws",11095,"Lenox Bi-Metal Hole Saws",,"Bi-Metal Hole Saws","","Bi-Metal Hole Saws","Long lasting, fast cutting and versatile<br><br><iframe title=&quot;YouTube video player&quot; width=&quot;640&quot; height=&quot;390&quot; src=&quot;http://www.youtube.com/embed/2JvwYXtnpOw&quot; frameborder=&quot;0&quot; allowfullscreen></iframe><br><br><img src=&quot;{{media url=&quot;Product/Bi_Metal_Hole_Saws",/\b\i\Lenox-Bi-Metal-Hole.jpg,/\b\i\Lenox-Bi-Metal-Hole.jpg,http://www.48ws.com/images/product/b/i/Lenox-Bi-Metal-Hole.jpg,Lenox-Bi-Metal-Hole-Saws,Lenox-Bi-Metal-Hole-Saws,,No layout updates.,Block after Info Column,,"Bi-Metal Hole Saws","Bi-Metal Hole Saws",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?productid=BimetalHolesaws",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Lenox Bi-Metal Hole Saws","<b><u>PLUG REMOVAL AS EASY AS 1-2-3</u></b><br>SPEED SLOT &trade; features a staircase design for easy plug removal<br><br><b><u>UP TO 2X LIFE IN METAL CUTTING</u></b><br>Enhanced tooth geometry, a thin kerf design, and an advanced coating contribute to the efficiency of the cutting process","Long lasting, fast cutting and versatile<br><br><object style=&quot;height: 350px; width: 575px&quot; width=&quot;575&quot; height=&quot;350&quot;>
<embed src=&quot;http://www.youtube.com/v/2JvwYXtnpOw?version=3&amp;rel=0&quot; type=&quot;application/x-shockwave-flash&quot; allowfullscreen=&quot;true&quot; allowscriptaccess=&quot;always&quot; width=&quot;575&quot; height=&quot;350&quot;></object>","","Lenox Bi-Metal Hole Saws","Bi-Metal Hole Saws",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"94|24990","Reciprocating Saws | Blades|Reciprocating Saw Blades",11096,"Lenox Lazer Recip Blades",,"Lazer Recip Blades","","Lazer Recip Blades","Best for extreme metal cutting",/\l\e\Lenox-Lazer-Recip.jpg,/\l\e\Lenox-Lazer-Recip.jpg,http://www.48ws.com/images/product/l/e/Lenox-Lazer-Recip.jpg,Lenox-Lazer-Recip-Blades,Lenox-Lazer-Recip-Blades,,No layout updates.,Block after Info Column,,"Lazer Recip Blades","Lazer Recip Blades",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?id=LenoxLazerBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Lenox Lazer Recip Blades","<b><u>T2 TECHNOLOGY</u></b><br>The patent pending tooth design delivers up to 2x the life versus the previous model making cutting heavy metal faster and easier<br><br><b><u>OPTIMIZED FOR HIGHER PERFORMANCE</u></b><br>Reinforced tooth design ensures higher performance in the most demanding jobs<br><br><b><u>ENHANCED CUTTING ACTION</u></b><br>A wider, thicker body than conventional blades delivers whip-free cuts that stay straight and smooth","Best for extreme metal cutting","","Lenox Lazer Recip Blades","Lazer Recip Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"94|24990","Reciprocating Saws | Blades|Reciprocating Saw Blades",11097,"Lenox Demolition Recip Saw Blades",,"Demolition Recip Saw Blades","","Demolition Recip Saw Blades","Best for demolition and nail-embedded wood",/\l\e\Lenox-Demolition-Recip-Saw.jpg,/\l\e\Lenox-Demolition-Recip-Saw.jpg,http://www.48ws.com/images/product/l/e/Lenox-Demolition-Recip-Saw.jpg,Lenox-Demolition-Recip-Saw-Blades,Lenox-Demolition-Recip-Saw-Blades,,No layout updates.,Block after Info Column,,"Demolition Recip Saw Blades","Demolition Recip Saw Blades",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?productId=DemolitionBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Lenox Demolition Recip Saw Blades","<b><u>T2 TECHNOLOGY</u></b><br>The patent pending tooth design delivers up to 2x the life versus the previous model making cutting heavy metal faster and easier<br><br><b><u>MAXIMUM DURABILITY</u></b></<br>\r\nThe tallest blade on the market prevents bending and provides maximum control in the toughest demolition applications<br><br><b><u>OPTIMIZED BLADE GEOMETRY</u></b><br>Each blade has a unique configuration including an aggressive tang angle and tapered blade share to allow for cutting in tight areas","Best for demolition and nail-embedded wood","","Lenox Demolition Recip Saw Blades","Demolition Recip Saw Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"94|24990","Reciprocating Saws | Blades|Reciprocating Saw Blades",11098,"Lenox Bi-Metal Recip Blades",,"Bi-Metal Recip Blades","","Bi-Metal Recip Blades","Long lasting, fast cutting and versatile",/\l\e\Lenox-Bi-Metal-Recip.jpg,/\l\e\Lenox-Bi-Metal-Recip.jpg,http://www.48ws.com/images/product/l/e/Lenox-Bi-Metal-Recip.jpg,Lenox-Bi-Metal-Recip-Blades,Lenox-Bi-Metal-Recip-Blades,,No layout updates.,Block after Info Column,,"Bi-Metal Recip Blades","Bi-Metal Recip Blades",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?id=BimetalRecipBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Lenox Bi-Metal Recip Blades","<b><u>LONG LIFE</u></b><br>Patented, TUFF TOOTH&trade; design provides long blade life<br><br><b><u>EFFICIENT CUTTING</u></b><br>Optimized for specific applications<br><br><b><u>DURABLE CONSTRUCTION</u></b><br>Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t","Long lasting, fast cutting and versatile","","Lenox Bi-Metal Recip Blades","Bi-Metal Recip Blades",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"721|24990","Reciprocal Saw Blades|Reciprocating Saw Blades",38942,"20554 424R",,"24TPI 4&quot; x 3/4&quot; x .035 Recip Blade","Recip Blade","24TPI 4&quot; x 3/4&quot; x .035 Recip Blade","Bi-Metal Recip Blades ",/\2\0\Lenox-20554-424R-24TPI-4-x-34-x-035-Recip.jpg,/\2\0\Lenox-20554-424R-24TPI-4-x-34-x-035-Recip.jpg,http://www.48ws.com/images/product/2/0/Lenox-20554-424R-24TPI-4-x-34-x-035-Recip.jpg,Lenox-20554-424R-24TPI-4-x-34-x-035-Recip-Blade,Lenox-20554-424R-24TPI-4-x-34-x-035-Recip-Blade,,No layout updates.,Block after Info Column,,"24TPI 4&quot; x 3/4&quot; x .035 Recip Blade","24TPI 4&quot; x 3/4&quot; x .035 Recip Blade",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?productId=BimetalRecipBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bi-Metal Recip Blades ","<li>Patented, TUFF TOOTH&trade; design provides long blade life</li>
<li>Optimized for specific applications</li>
<li>Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t</li>","","","Lenox 20554 424R 24TPI 4&quot; x 3/4&quot; x .035 Recip Blade","24TPI 4&quot; x 3/4&quot; x .035 Recip Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"721|24990","Reciprocal Saw Blades|Reciprocating Saw Blades",38943,"20556 676RC",,"6TPI 6&quot; x 7/16&quot; x .050 Recip Blade","Recip Blade","6TPI 6&quot; x 7/16&quot; x .050 Recip Blade","Bi-Metal Recip Blades",/\2\0\Lenox-20556-676RC-6TPI-6-x-716-x-050-Recip.jpg,/\2\0\Lenox-20556-676RC-6TPI-6-x-716-x-050-Recip.jpg,http://www.48ws.com/images/product/2/0/Lenox-20556-676RC-6TPI-6-x-716-x-050-Recip.jpg,Lenox-20556-676RC-6TPI-6-x-716-x-050-Recip-Blade,Lenox-20556-676RC-6TPI-6-x-716-x-050-Recip-Blade,,No layout updates.,Block after Info Column,,"6TPI 6&quot; x 7/16&quot; x .050 Recip Blade","6TPI 6&quot; x 7/16&quot; x .050 Recip Blade",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?productId=BimetalRecipBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bi-Metal Recip Blades","<li>Patented, TUFF TOOTH&trade; design provides long blade life</li>
<li>Optimized for specific applications</li>
<li>Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t</li>","","","Lenox 20556 676RC 6TPI 6&quot; x 7/16&quot; x .050 Recip Blade","6TPI 6&quot; x 7/16&quot; x .050 Recip Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"721|24990","Reciprocal Saw Blades|Reciprocating Saw Blades",38946,"20564 614R",,"14TPI 6&quot; x 3/4&quot; x .035 Recip Blade","Recip Blade","14TPI 6&quot; x 3/4&quot; x .035 Recip Blade","Bi-Metal Recip Blades",/\2\0\Lenox-20564-614R-14TPI-6-x-34-x-035-Recip.jpg,/\2\0\Lenox-20564-614R-14TPI-6-x-34-x-035-Recip.jpg,http://www.48ws.com/images/product/2/0/Lenox-20564-614R-14TPI-6-x-34-x-035-Recip.jpg,Lenox-20564-614R-14TPI-6-x-34-x-035-Recip-Blade,Lenox-20564-614R-14TPI-6-x-34-x-035-Recip-Blade,,No layout updates.,Block after Info Column,,"14TPI 6&quot; x 3/4&quot; x .035 Recip Blade","14TPI 6&quot; x 3/4&quot; x .035 Recip Blade",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?productId=BimetalRecipBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bi-Metal Recip Blades","<li>Patented, TUFF TOOTH&trade; design provides long blade life</li>
<li>Optimized for specific applications</li>
<li>Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t</li>","","","Lenox 20564 614R 14TPI 6&quot; x 3/4&quot; x .035 Recip Blade","14TPI 6&quot; x 3/4&quot; x .035 Recip Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"721|24990","Reciprocal Saw Blades|Reciprocating Saw Blades",38947,"20566 618R",,"18TPI 6&quot; x 3/4&quot; x .035 Recip Blade","Recip Blade","18TPI 6&quot; x 3/4&quot; x .035 Recip Blade","Bi-Metal Recip Blades",/\2\0\Lenox-20566-618R-18TPI-6-x-34-x-035-Recip.jpg,/\2\0\Lenox-20566-618R-18TPI-6-x-34-x-035-Recip.jpg,http://www.48ws.com/images/product/2/0/Lenox-20566-618R-18TPI-6-x-34-x-035-Recip.jpg,Lenox20566-618R-18TPI-6-x-34-x-035-Recip-Blade,Lenox20566-618R-18TPI-6-x-34-x-035-Recip-Blade,,No layout updates.,Block after Info Column,,"18TPI 6&quot; x 3/4&quot; x .035 Recip Blade","18TPI 6&quot; x 3/4&quot; x .035 Recip Blade",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?productId=BimetalRecipBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bi-Metal Recip Blades","<li>Patented, TUFF TOOTH&trade; design provides long blade life</li>
<li>Optimized for specific applications</li>
<li>Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t</li>","","","Lenox 20566 618R 18TPI 6&quot; x 3/4&quot; x .035 Recip Blade","18TPI 6&quot; x 3/4&quot; x .035 Recip Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"721|24990","Reciprocal Saw Blades|Reciprocating Saw Blades",38948,"20568 624R",,"24TPI 6&quot; x 3/4&quot; x .035 Recip Blade","Recip Blade","24TPI 6&quot; x 3/4&quot; x .035 Recip Blade","Bi-Metal Recip Blades",/\2\0\Lenox-20568-624R-24TPI-6-x-34-x-035-Recip.jpg,/\2\0\Lenox-20568-624R-24TPI-6-x-34-x-035-Recip.jpg,http://www.48ws.com/images/product/2/0/Lenox-20568-624R-24TPI-6-x-34-x-035-Recip.jpg,Lenox-20568-624R-24TPI-6-x-34-x-035-Recip-Blade,Lenox-20568-624R-24TPI-6-x-34-x-035-Recip-Blade,,No layout updates.,Block after Info Column,,"24TPI 6&quot; x 3/4&quot; x .035 Recip Blade","24TPI 6&quot; x 3/4&quot; x .035 Recip Blade",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?productId=BimetalRecipBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bi-Metal Recip Blades","<li>Patented, TUFF TOOTH&trade; design provides long blade life</li>
<li>Optimized for specific applications</li>
<li>Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t</li>","","","Lenox 20568 624R 24TPI 6&quot; x 3/4&quot; x .035 Recip Blade","24TPI 6&quot; x 3/4&quot; x .035 Recip Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"721|24990","Reciprocal Saw Blades|Reciprocating Saw Blades",38951,"20578 818R",,"18TPI 8&quot; x 3/4&quot; x .035 Recip Blade","Recip Blade","18TPI 8&quot; x 3/4&quot; x .035 Recip Blade","Bi-Metal Recip Blades",/\2\0\Lenox-20578-818R-18TPI-8-x-34-x-035-Recip.jpg,/\2\0\Lenox-20578-818R-18TPI-8-x-34-x-035-Recip.jpg,http://www.48ws.com/images/product/2/0/Lenox-20578-818R-18TPI-8-x-34-x-035-Recip.jpg,Lenox-20578-818R-18TPI-8-x-34-x-035-Recip-Blade,Lenox-20578-818R-18TPI-8-x-34-x-035-Recip-Blade,,No layout updates.,Block after Info Column,,"18TPI 8&quot; x 3/4&quot; x .035 Recip Blade","18TPI 8&quot; x 3/4&quot; x .035 Recip Blade",Use config,"http://www.lenoxtools.com/Pages/Product.aspx?productId=BimetalRecipBlades",0,,,0,"Lenox",84,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bi-Metal Recip Blades","<li>Patented, TUFF TOOTH&trade; design provides long blade life</li>
<li>Optimized for specific applications</li>
<li>Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t</li>","","","Lenox 20578 818R 18TPI 8&quot; x 3/4&quot; x .035 Recip Blade","18TPI 8&quot; x 3/4&quot; x .035 Recip Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
