store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"24048","Paint Brushes",172381,"15000-1",,"Promotional - 1500 Series","Promotional - 1500 Series","Promotional - 1500 Series","For Latex Paints, Chip and Touch-up",/\1\5\1500-Series-Paint.jpg,/\1\5\1500-Series-Paint.jpg,http://www.48ws.com/images/product/1/5/1500-Series-Paint.jpg,linzer-products-corp-15000-1-,linzer-products-corp-15000-1-,,No layout updates.,Block after Info Column,,"Promotional - 1500 Series","Promotional - 1500 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"For Latex Paints, Chip and Touch-up","<li>Varnish</li>
<li>Flat Trim</li>
<li>Natural Wood Handle</li>
<li>White Chinese Bristle</li>
<li>Steel Ferrule</li>
","","","Size: 1/2”, Trim Length: 1-1/2”, Thickness: 1/4”, Pack/Box: 36","Promotional - 1500 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172382,"15001-8",,"Promotional - 1500 Series","Promotional - 1500 Series","Promotional - 1500 Series","For Latex Paints, Chip and Touch-up",/\1\5\1500-Series-Paint.jpg,/\1\5\1500-Series-Paint.jpg,http://www.48ws.com/images/product/1/5/1500-Series-Paint.jpg,linzer-products-corp-15001-8-,linzer-products-corp-15001-8-,,No layout updates.,Block after Info Column,,"Promotional - 1500 Series","Promotional - 1500 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1500 Series Paint Brushes","<li>Varnish</li>
<li>Flat Trim</li>
<li>Natural Wood Handle</li>
<li>White Chinese Bristle</li>
<li>Steel Ferrule</li>
","","","Size: 1”, Trim Length: 1-1/2”, Thickness: 5/16”, Pack/Box: 36","Promotional - 1500 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172383,"15002-5",,"Promotional - 1500 Series","Promotional - 1500 Series","Promotional - 1500 Series","For Latex Paints, Chip and Touch-up",/\1\5\1500-Series-Paint.jpg,/\1\5\1500-Series-Paint.jpg,http://www.48ws.com/images/product/1/5/1500-Series-Paint.jpg,linzer-products-corp-15002-5-,linzer-products-corp-15002-5-,,No layout updates.,Block after Info Column,,"Promotional - 1500 Series","Promotional - 1500 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1500 Series Paint Brushes","<li>Varnish</li>
<li>Flat Trim</li>
<li>Natural Wood Handle</li>
<li>White Chinese Bristle</li>
<li>Steel Ferrule</li>
","","","Size: 1-1/2”, Trim Length: 1-1/2”, Thickness: 5/16”, Pack/Box: 36","Promotional - 1500 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172384,"15003-2",,"Promotional - 1500 Series","Promotional - 1500 Series","Promotional - 1500 Series","For Latex Paints, Chip and Touch-up",/\1\5\1500-Series-Paint.jpg,/\1\5\1500-Series-Paint.jpg,http://www.48ws.com/images/product/1/5/1500-Series-Paint.jpg,linzer-products-corp-15003-2-,linzer-products-corp-15003-2-,,No layout updates.,Block after Info Column,,"Promotional - 1500 Series","Promotional - 1500 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1500 Series Paint Brushes","<li>Varnish</li>
<li>Flat Trim</li>
<li>Natural Wood Handle</li>
<li>White Chinese Bristle</li>
<li>Steel Ferrule</li>
","","","Size: 2”, Trim Length: 1-1/2”, Thickness: 5/16”, Pack/Box: 24","Promotional - 1500 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172385,"15004-9",,"Promotional - 1500 Series","Promotional - 1500 Series","Promotional - 1500 Series","For Latex Paints, Chip and Touch-up",/\1\5\1500-Series-Paint.jpg,/\1\5\1500-Series-Paint.jpg,http://www.48ws.com/images/product/1/5/1500-Series-Paint.jpg,linzer-products-corp-15004-9-,linzer-products-corp-15004-9-,,No layout updates.,Block after Info Column,,"Promotional - 1500 Series","Promotional - 1500 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1500 Series Paint Brushes","<li>Varnish</li>
<li>Flat Trim</li>
<li>Natural Wood Handle</li>
<li>White Chinese Bristle</li>
<li>Steel Ferrule</li>
","","","Size: 2-1/2”, Trim Length: 1-1/2”, Thickness: 3/8”, Pack/Box: 12","Promotional - 1500 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172386,"15005-6",,"Promotional - 1500 Series","Promotional - 1500 Series","Promotional - 1500 Series","For Latex Paints, Chip and Touch-up",/\1\5\1500-Series-Paint.jpg,/\1\5\1500-Series-Paint.jpg,http://www.48ws.com/images/product/1/5/1500-Series-Paint.jpg,linzer-products-corp-15005-6-,linzer-products-corp-15005-6-,,No layout updates.,Block after Info Column,,"Promotional - 1500 Series","Promotional - 1500 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1500 Series Paint Brushes","<li>Varnish</li>
<li>Flat Trim</li>
<li>Natural Wood Handle</li>
<li>White Chinese Bristle</li>
<li>Steel Ferrule</li>
","","","Size: 3”, Trim Length: 1-1/2”, Thickness: 3/8”, Pack/Box: 12","Promotional - 1500 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172387,"15007-0",,"Promotional - 1500 Series","Promotional - 1500 Series","Promotional - 1500 Series","For Latex Paints, Chip and Touch-up",/\1\5\1500-Series-Paint.jpg,/\1\5\1500-Series-Paint.jpg,http://www.48ws.com/images/product/1/5/1500-Series-Paint.jpg,linzer-products-corp-15007-0-,linzer-products-corp-15007-0-,,No layout updates.,Block after Info Column,,"Promotional - 1500 Series","Promotional - 1500 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1500 Series Paint Brushes","<li>Varnish</li>
<li>Flat Trim</li>
<li>Natural Wood Handle</li>
<li>White Chinese Bristle</li>
<li>Steel Ferrule</li>
","","","Size: 4”XX, Trim Length: 2”, Thickness: 11/16”, Pack/Box: 12","Promotional - 1500 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172388,"15040-7",,"Promotional - 1504 Series","","Promotional - 1504 Series","",/\1\5\1504-Series-Paint.jpg,/\1\5\1504-Series-Paint.jpg,http://www.48ws.com/images/product/1/5/1504-Series-Paint.jpg,linzer-products-corp-15040-7-,linzer-products-corp-15040-7-,,No layout updates.,Block after Info Column,,"Promotional - 1504 Series","Promotional - 1504 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Varnish</li>
<li>Flat Trim</li>
<li>Natural Wood Handle</li>
<li>White Chinese Bristle</li>
<li>Steel Ferrule</li>
","<li>Size: 4&quot;X</li>
<li>Trim Length: 2&quot;</li>
<li>Thickness: 3/8&quot;</li>
<li>Pack/Box: 24</li>
","","1504 Series Paint Brush","Promotional - 1504 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172389,"24623-0",,"Very Fine Chinese Bristle - 2462 Series","Very Fine Chinese Bristle - 2462 Series","Very Fine Chinese Bristle - 2462 Series","For Oil Based Paints and Stains, Varnishes and Urethanes",/\2\4\Very-Fine-Chinese-Bristle-2462.jpg,/\2\4\Very-Fine-Chinese-Bristle-2462.jpg,http://www.48ws.com/images/product/2/4/Very-Fine-Chinese-Bristle-2462.jpg,linzer-products-corp-24623-0-,linzer-products-corp-24623-0-,,No layout updates.,Block after Info Column,,"Very Fine Chinese Bristle - 2462 Series","Very Fine Chinese Bristle - 2462 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"For Oil Based Paints and Stains, Varnishes and Urethanes","<li>Flat Sash</li>
<li>Chiseled Trim</li>
<li>Natural Wood Handle</li>
<li>Steel Ferrule</li>
<li>Very Fine China Bristle With Ox Hair Feel</li>
","","","Size: 2”, Trim Length: 2-1/2”, Thickness: 7/16”, Pack/Box: 12","Very Fine Chinese Bristle - 2462 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24048","Paint Brushes",172390,"24624-7",,"Very Fine Chinese Bristle - 2462 Series","Very Fine Chinese Bristle - 2462 Series","Very Fine Chinese Bristle - 2462 Series","For Oil Based Paints and Stains, Varnishes and Urethanes",/\2\4\Very-Fine-Chinese-Bristle-2462.jpg,/\2\4\Very-Fine-Chinese-Bristle-2462.jpg,http://www.48ws.com/images/product/2/4/Very-Fine-Chinese-Bristle-2462.jpg,linzer-products-corp-24624-7-,linzer-products-corp-24624-7-,,No layout updates.,Block after Info Column,,"Very Fine Chinese Bristle - 2462 Series","Very Fine Chinese Bristle - 2462 Series",Use config,"http://www.arroworthy.com/images/Linzer_Catalog.pdf",0,,,0,"Linzer Products Corp.",1129,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Very Fine Chinese Bristle - 2462 Series","<li>Flat Sash</li>
<li>Chiseled Trim</li>
<li>Natural Wood Handle</li>
<li>Steel Ferrule</li>
<li>Very Fine China Bristle With Ox Hair Feel</li>
","","","Size: 2-1/2”, Trim Length: 2-3/4”, Thickness: 1/2”, Pack/Box: 12","Very Fine Chinese Bristle - 2462 Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
