store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"146|28040","Adhesives|Adhesive Caulks",135321,"PL400",,"Loctite® PL® 400® VOC Compliant Subfloor & Deck Adhesive","","Loctite® PL® 400® VOC Compliant Subfloor & Deck Adhesive","Loctite® PL® 400® VOC Compliant Subfloor & Deck Adhesive provides a powerful, permanent bond and is formulated for all heavy duty interior or exterior construction. Cold weather formula for easier extrusion and excellent adhesion in all weather conditions",/\P\L\VOC-Subfloor-Deck.png,/\P\L\VOC-Subfloor-Deck.png,http://www.48ws.com/images/product/P/L/VOC-Subfloor-Deck.png,PL-400-Henkel-Corporation-VOC-Subfloor-Deck-Adhesive,PL-400-Henkel-Corporation-VOC-Subfloor-Deck-Adhesive,,No layout updates.,Block after Info Column,,"Loctite® PL® 400® VOC Compliant Subfloor & Deck Adhesive","Loctite® PL® 400® VOC Compliant Subfloor & Deck Adhesive",Use config,"http://www.loctiteproducts.com/p/pl_ca_400_voc/overview/Loctite-PL-400-VOC-SubFloor-&-Deck-Adhesive.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Loctite® PL® 400® VOC Compliant Subfloor & Deck Adhesive provides a powerful, permanent bond and is formulated for all heavy duty interior or exterior construction. Cold weather formula for easier extrusion and excellent adhesion in all weather conditions. Bonds dry, wet, frozen and treated lumber to most building materials. Offers fast set and superior strength and development. Low VOC formulation meets stringent State and Federal VOC regulations.","<li>Waterproof and Weather Resistant</li><br>
<li>Great for indoor or outdoor projects</li><br>
<li>Cold weather gunnable</li><br>
<li>No 'roll up' on frozen lumber</li><br>
<li>Meets and exceeds APA AFG-01 specs</li><br>
<li>Can be applied directly to dry, wet or frozen lumber</li><br>
<li>Bonds to most building materials</li><br>
<li>Provides a strong, durable bond to multiple surfaces</li><br>
<li>Gap filling</li><br>
<li>Will bridge minor gaps when bonding irregular surfaces; Reduces squeaking and splitting</li>
","Available Sizes: 10 fl. oz., 28 fl. oz.<br /> 
Color When Dry: White","","Loctite® PL® 400® VOC Compliant Subfloor & Deck Adhesive","Loctite® PL® 400® VOC Compliant Subfloor & Deck Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|28040","Adhesives|Adhesive Caulks",135324,"PL500",,"Loctite PL 500 Landscape Block Adhesive","","Loctite PL 500 Landscape Block Adhesive","Loctite PL 500 Landscape Block Adhesive is an exterior, heavy-duty, premium quality adhesive designed to meet any landscaping need. It delivers a quick and easy solution to installing the final course of cap with landscape blocks and the installation of c",/\P\L\Landscape-Block.png,/\P\L\Landscape-Block.png,http://www.48ws.com/images/product/P/L/Landscape-Block.png,PL-500-Henkel-Corporation-Landscape-Block-Adhesive,PL-500-Henkel-Corporation-Landscape-Block-Adhesive,,No layout updates.,Block after Info Column,,"Loctite PL 500 Landscape Block Adhesive","Loctite PL 500 Landscape Block Adhesive",Use config,"http://www.loctiteproducts.com/p/pl_ca_lndscp_voc/features/Loctite-PL-500-Landscape-Block-Adhesive.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Loctite PL 500 Landscape Block Adhesive is an exterior, heavy-duty, premium quality adhesive designed to meet any landscaping need. It delivers a quick and easy solution to installing the final course of cap with landscape blocks and the installation of cement paving stones. Excellent for landscaping projects, such as securing block walls and capstones and for bonding brick, stone, timbers, concrete, metal and wood. Loctite PL 500 Landscape Block Adhesive formula may be used under a variety of moisture and temperature conditions ranging from sub-freezing to elevated temperatures and dry, wet or frozen materials. Provides excellent flexibility to compensate for the different expansion rates of dissimilar materials. It is particularly effective when bonding irregular surfaces or bridging gaps between surfaces. Low VOC formulation can be used in all 50 states.","<li>True All Weather Application</li><br>
<li>Cold weather gunnable</li><br>
<li>Bonds to most building materials</li><br>
<li>Gap filling</li><br>
<li>Adheres to brick and stone</li><br>
<li>Waterproof and weather resistant. Use in temperatures from 0°F to 100°F.</li><br>
<li>No “roll-up” on frozen lumber</li><br>
<li>Provides a strong, durable bond to multiple surfaces</li><br>
<li>Will bridge minor gaps when bonding irregular surfaces</li><br>
<li>Ideal for any landscaping project; Easy solution to securing final course of cap stones or installing cement paving stones</li>","Available Sizes: 10 fl. oz., 28 fl. oz.<br /> 
Color When Dry: Tan","","Landscape Block Adhesive","Loctite PL 500 Landscape Block Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19544","Adhesives|Epoxy",371530,"151",,"Hysol ® Epoxy Adhesive","","Hysol ® Epoxy Adhesive","",/\1\5\loctite-151-hysol-epoxy-adhesive.jpg,/\1\5\loctite-151-hysol-epoxy-adhesive.jpg,http://www.48ws.com/images/product/1/5/loctite-151-hysol-epoxy-adhesive.jpg,loctite-151-hysol-epoxy-adhesive,loctite-151-hysol-epoxy-adhesive,,No layout updates.,Block after Info Column,,"Hysol ® Epoxy Adhesive","Hysol ® Epoxy Adhesive",Use config,"http://www.henkelna.com/index.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"General purpose, ultra clear epoxy paste","","Loctite ® 0151™ Hysol ® Epoxy is a general purpose, ultra clear, thixotropic paste adhesive with a 50-minute worklife. Allows for extended adjustment time.","","","Hysol ® Epoxy Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19546","Adhesives|Hot Melt Adhesives",371531,"430",,"Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","",/\4\3\loctite-430-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,/\4\3\loctite-430-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,http://www.48ws.com/images/product/4/3/loctite-430-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,loctite-430-hysol-spraypac-polyshot-hot-melt-adhesive,loctite-430-hysol-spraypac-polyshot-hot-melt-adhesive,,No layout updates.,Block after Info Column,,"Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive",Use config,"http://www.henkelna.com/index.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bonding expanded polystyrene, polyethelene, and urethane foams","","Loctite ® 0430™ Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive is suitable for bonding expanded polystyrene, polyethelene, and urethane foams. Can be used in applications where solvent-based aerosols are used.","","","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19546","Adhesives|Hot Melt Adhesives",371532,"437",,"Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","",/\4\3\loctite-437-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,/\4\3\loctite-437-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,http://www.48ws.com/images/product/4/3/loctite-437-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,loctite-437-hysol-spraypac-polyshot-hot-melt-adhesive,loctite-437-hysol-spraypac-polyshot-hot-melt-adhesive,,No layout updates.,Block after Info Column,,"Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive",Use config,"http://www.henkelna.com/index.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Formulated for spray application","","Loctite ® 0437™ Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive is formulated for spray applications and is well suited for use on expanded polystyrene or urethane foams.","","","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19546","Adhesives|Hot Melt Adhesives",371533,"450",,"Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","",/\4\5\loctite-450-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,/\4\5\loctite-450-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,http://www.48ws.com/images/product/4/5/loctite-450-hysol-spraypac-polyshot-hot-melt-adhesive.jpg,loctite-450-hysol-spraypac-polyshot-hot-melt-adhesive,loctite-450-hysol-spraypac-polyshot-hot-melt-adhesive,,No layout updates.,Block after Info Column,,"Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive",Use config,"http://www.henkelna.com/index.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Formulated for spray applications","","Loctite ® 0450™ Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive is formulated for spray applications and is well suited for use on expanded polystyrene or urethane foams.","","","Hysol ® SprayPac ® Polyshot™ Hot Melt Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19544","Adhesives|Epoxy",371534,"11C",,"Hysol ® Epoxy Adhesive","","Hysol ® Epoxy Adhesive","",/\1\1\loctite-11c-hysol-epoxy-adhesive.jpg,/\1\1\loctite-11c-hysol-epoxy-adhesive.jpg,http://www.48ws.com/images/product/1/1/loctite-11c-hysol-epoxy-adhesive.jpg,loctite-11C-hysol-epoxy-adhesive,loctite-11C-hysol-epoxy-adhesive,,No layout updates.,Block after Info Column,,"Hysol ® Epoxy Adhesive","Hysol ® Epoxy Adhesive",Use config,"http://www.henkelna.com/index.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"General purpose epoxy, bonds and seals, machinable","","Loctite ® 11C™ Hysol ® Epoxy is a general purpose adhesive that bonds as well as seals and is machinable. 11C is black in color and has a 25 minute worklife.","","","Hysol ® Epoxy Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19541","Adhesives|Adhesives",371535,"1942",,"Hysol ® Hot Melt Adhesive","","Hysol ® Hot Melt Adhesive","",/\1\9\loctite-1942-hysol-hot-melt-adhesive.jpg,/\1\9\loctite-1942-hysol-hot-melt-adhesive.jpg,http://www.48ws.com/images/product/1/9/loctite-1942-hysol-hot-melt-adhesive.jpg,loctite-1942-hysol-hot-melt-adhesive,loctite-1942-hysol-hot-melt-adhesive,,No layout updates.,Block after Info Column,,"Hysol ® Hot Melt Adhesive","Hysol ® Hot Melt Adhesive",Use config,"http://www.henkelna.com/index.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Medium setting, general purpose hot melt adhesive","","Loctite ® 1942™ Hysol ® Hot Melt Adhesive is a medium setting, general purpose hot melt adhesive. Excellent adhesion to wood and many plastics.","","","Hysol ® Hot Melt Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19544","Adhesives|Epoxy",371536,"1C-LV",,"Hysol ® Epoxy Adhesive","","Hysol ® Epoxy Adhesive","",/\1\C\loctite-1c-lv-hysol-epoxy-adhesive.jpg,/\1\C\loctite-1c-lv-hysol-epoxy-adhesive.jpg,http://www.48ws.com/images/product/1/C/loctite-1c-lv-hysol-epoxy-adhesive.jpg,loctite-1C-LV-hysol-epoxy-adhesive,loctite-1C-LV-hysol-epoxy-adhesive,,No layout updates.,Block after Info Column,,"Hysol ® Epoxy Adhesive","Hysol ® Epoxy Adhesive",Use config,"http://www.henkelna.com/index.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"High temperature and chemical resistant, gap filling, impact resistant, medium viscosity","","Loctite ® 1C-LV™ Hysol ® Epoxy is a High Temperature and Chemical Resistant adhesive which offers good gap filling and impact resistance. 1C-LV is a lower viscosity, Light Tan version of 1C with a 20 minute worklife.","","","Hysol ® Epoxy Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19544","Adhesives|Epoxy",371537,"1C",,"Hysol ® Epoxy Adhesive","","Hysol ® Epoxy Adhesive","",/\1\C\loctite-1c-hysol-epoxy-adhesive.jpg,/\1\C\loctite-1c-hysol-epoxy-adhesive.jpg,http://www.48ws.com/images/product/1/C/loctite-1c-hysol-epoxy-adhesive.jpg,loctite-1C-hysol-epoxy-adhesive,loctite-1C-hysol-epoxy-adhesive,,No layout updates.,Block after Info Column,,"Hysol ® Epoxy Adhesive","Hysol ® Epoxy Adhesive",Use config,"http://www.henkelna.com/index.htm",0,,,0,"Loctite",1356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"High temperature and chemical resistant, gap filling high viscosity paste","","Loctite ® 1C™ Hysol ® Epoxy is a High Temperature and Chemical Resistant, high viscosity white paste adhesive with a 20-minute worklife. Excellent gap filling capability.","","","Hysol ® Epoxy Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
