store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2415|25522","Shoe Covers|Shoe and Boot Covers",13463,"36811KC2",,"A10 Light Duty Blue Shoe Covers","","A10 Light Duty Blue Shoe Covers","A10 Light Duty Blue Shoe Covers",/\3\6\A10-Light-Duty-Blue-Shoe.jpg,/\3\6\A10-Light-Duty-Blue-Shoe.jpg,http://www.48ws.com/images/product/3/6/A10-Light-Duty-Blue-Shoe.jpg,A10-Light-Duty-Blue-Shoe-Covers,A10-Light-Duty-Blue-Shoe-Covers,,No layout updates.,Block after Info Column,,"A10 Light Duty Blue Shoe Covers","A10 Light Duty Blue Shoe Covers",Use config,"",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Features / Specifications</u></b><br><br>
<li>300 per case</li>
<li>Lightweight spunbond polypropylene material provides great comfort.</li>
<li>Fully elasticized</li>
<li>Helps keep workers cool and comfortable in a wide range of work situations, from food processing to manufacturing facilities to hospitals to construction sites</li><br>","","","Logistics Supply A10 Light Duty Blue Shoe Covers","A10 Light Duty Blue Shoe Covers",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",37289,"697410",,"Sunshield for V-Guard","","Sunshield for V-Guard","When their office is outdoors, MSA's Sun Shield Assembly's got it covered ... neck, ears and forehead. Perfect for anyone who works outside in the hot sun, the Sun Shield reduces the risk of skin cancer, thanks to the extended brim, keeping wearers cooler",/\6\9\697410-logistics-Supply-Sunshield-for-V.jpg,/\6\9\697410-logistics-Supply-Sunshield-for-V.jpg,http://www.48ws.com/images/product/6/9/697410-logistics-Supply-Sunshield-for-V.jpg,697410-logistics-Supply-Sunshield-for-V-Guard,697410-logistics-Supply-Sunshield-for-V-Guard,,No layout updates.,Block after Info Column,,"Sunshield for V-Guard","Sunshield for V-Guard",Use config,"http://www.logisticssupply.com/697410MSA",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Properties</b>
<br></br>
<li>For V-Gard&reg; Hats Only</li>
<li>Extends the brim all the way around to help protect wearer's ears and neck from sun's rays</li>
<li>Made of polyurethane (front portion is Lexan, smoke tint)</li>","When their office is outdoors, MSA's Sun Shield Assembly's got it covered ... neck, ears and forehead. Perfect for anyone who works outside in the hot sun, the Sun Shield reduces the risk of skin cancer, thanks to the extended brim, keeping wearers cooler and more comfortable throughout the day. And it's tough, too, thanks to its polyurethane/Lexan&reg; material.","","697410 logistics Supply Sunshield for V-Guard","Sunshield for V-Guard",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",37290,"10034018",,"MSA White Cap Fas-Trac Vented","","MSA White Cap Fas-Trac Vented","A hot pick for hot jobs, the V-Gard 500® Cap offers increased airflow and a Glaregard™ anti-reflective brim, making it ideal for warm weather. These caps are designed with lateral contours over the ears as well so it's easy to integrate hearing safeguards",/\1\0\10034018-Logistics-Supply-MSA-White-Cap-Fas-Trac.jpg,/\1\0\10034018-Logistics-Supply-MSA-White-Cap-Fas-Trac.jpg,http://www.48ws.com/images/product/1/0/10034018-Logistics-Supply-MSA-White-Cap-Fas-Trac.jpg,10034018-Logistics-Supply-MSA-White-Cap-Fas-Trac-Vented,10034018-Logistics-Supply-MSA-White-Cap-Fas-Trac-Vented,,No layout updates.,Block after Info Column,,"MSA White Cap Fas-Trac Vented","MSA White Cap Fas-Trac Vented",Use config,"http://www.logisticssupply.com/10034018MSA#productinfo",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Properties</b>
<br></br>
<li>Vented w/4 and 6 Point Fas-Trac&reg; Ratchet Suspension</li>
<li>Consists of a polyethylene shell</li>
<li>Provides cooling vents for improved air circulation and comfort</li>
<li>Lightweight design for added comfort</li>
<li>Lateral contours above the ear for easy integration of hearing protection</li>
<li>Glaregard&trade; underbrim to reduce reflective glare</li>
<li>Meets or exceeds the applicable requirements for a Type 1 helmet (top impact) as outlined in ANSI Z89.1-2003, Class C</li>","A hot pick for hot jobs, the V-Gard 500&reg; Cap offers increased airflow and a Glaregard&trade; anti-reflective brim, making it ideal for warm weather. These caps are designed with lateral contours over the ears as well so it's easy to integrate hearing safeguards. White.","","10034018 Logistics Supply MSA White Cap Fas-Trac Vented","MSA White Cap Fas-Trac Vented",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",37291,"10087220",,"V-Guard Suspension","","V-Guard Suspension","<b>Properties</b>
<br></br>
<li>4 Point Fas-Trac® Replacement Suspensions</li>
<li>For use on Standard (Size: 6 1/2-8), V-Gard® Caps/Hats, and SmoothDome™ Slotted Caps</li>",/\1\0\10087220-Logistics-Supply-V-Guard.jpg,/\1\0\10087220-Logistics-Supply-V-Guard.jpg,http://www.48ws.com/images/product/1/0/10087220-Logistics-Supply-V-Guard.jpg,10087220-Logistics-Supply-V-Guard-Suspension,10087220-Logistics-Supply-V-Guard-Suspension,,No layout updates.,Block after Info Column,,"V-Guard Suspension","V-Guard Suspension",Use config,"http://www.logisticssupply.com/10087220MSA",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Properties</b>
<br></br>
<li>4 Point Fas-Trac&reg; Replacement Suspensions</li>
<li>For use on Standard (Size: 6 1/2-8), V-Gard&reg; Caps/Hats, and SmoothDome&trade; Slotted Caps</li>","","","10087220 Logistics Supply V-Guard Suspension","V-Guard Suspension",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1326|19703","Cleaning Supplies|Cleaning Supplies Holders",37292,"107795SPC",,"5 Gal Spill Kit","","5 Gal Spill Kit","Universal Allwik Portable Spill Kits, from SPC, are there for an emergency. The Economy Spill Kit™ is stored in a bright-yellow bag so it's highly visible at all times and can absorb five gallons of liquid per kit. The Attack Pac™ is a single-use kit pack",/\1\0\107795SPC-Logistics-Supply-5-Gal-Spill.jpg,/\1\0\107795SPC-Logistics-Supply-5-Gal-Spill.jpg,http://www.48ws.com/images/product/1/0/107795SPC-Logistics-Supply-5-Gal-Spill.jpg,107795SPC-Logistics-Supply-5-Gal-Spill-Kit,107795SPC-Logistics-Supply-5-Gal-Spill-Kit,,No layout updates.,Block after Info Column,,"5 Gal Spill Kit","5 Gal Spill Kit",Use config,"http://www.logisticssupply.com/107795SPC",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Allwik Portable Spill Kits, from SPC, are there for an emergency. The Economy Spill Kit&trade; is stored in a bright-yellow bag so it's highly visible at all times and can absorb five gallons of liquid per kit. The Attack Pac&trade; is a single-use kit packed in a silver-color foil bag that's puncture and UV resistant. It absorbs up to seven gallons per each kit.","<b>Contents</b>
<br></br>
<li>10 Pads (15&quot; x 19&quot;)</li>
<li>2 SOCs (3&quot; x 4')</li>
<liNitrile Gloves></li>
<li>1 Disposable Bag</li>
<li>Instruction Sheet</li>","<b>Properties</b>
<br></br>
<li>Highly visible yellow PVC bag is &quot;just right&quot; for small spills</li>
<li>The right price, the right size, and the right value</li>
<li>Absorbs up to 5 gallons per kit</li>
<li>Accidents happen...Be Prepared with SPC's Emergency Spill Kits</li>","","107795SPC Logistics Supply 5 Gal Spill Kit","5 Gal Spill Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",37305,"12440EG",,"Sweat Band","","Sweat Band","Hard hats get hot inside, no doubt about it. Chill-Its® Terry Sweatbands from Ergodyne® help alleviate some of the problem by soaking up sweat and keeping it out of the eyes. Chill-Its are made from 100% cotton for superb comfort, it fits most hard hat su",/\1\2\12440EG-Logistics-Supply-Sweat.jpg,/\1\2\12440EG-Logistics-Supply-Sweat.jpg,http://www.48ws.com/images/product/1/2/12440EG-Logistics-Supply-Sweat.jpg,12440EG-Logistics-Supply-Sweat-Band,12440EG-Logistics-Supply-Sweat-Band,,No layout updates.,Block after Info Column,,"Sweat Band","Sweat Band",Use config,"http://www.logisticssupply.com/12440EG",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Hard hats get hot inside, no doubt about it. Chill-Its&reg; Terry Sweatbands from Ergodyne&reg; help alleviate some of the problem by soaking up sweat and keeping it out of the eyes. Chill-Its are made from 100% cotton for superb comfort, it fits most hard hat suspension systems and are machine washable. One size.","<b>Properties:</b>
<br></br>
<li>Economical way for hard hat wearers to manage moisture</li>
<li>Keeps sweat out of eyes</li>
<li>Absorbent terry headband</li>
<li>Fits most hard hat suspension systems</li>
<li>Machine washable</li>
<li>100% cotton</li>
<li>Applications: Construction, Trades, Maintenance, Landscaping/Grounds, Assembly/Fabrication, Material Handling, Freight/Baggage, Warehousing/Distribution, Iron/Steel Fabrication</li>","<li>Model Number: 12440</li>
<li>UOM: EA</li>
<li>Color: Gray</li>
<li>Size: One Size</li><br></br>","","12440EG Logistics Supply Sweat Band","Sweat Band",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"421|25522","Rubber Boots|Shoe and Boot Covers",37308,"12BNSCRC",,"Boot Covers","","Boot Covers","1.25 oz polypropylene with serged seams and non-skid design. 150 Pair/Case.",/\1\2\12BNSCRC-Logistics-Supply-Boot.jpg,/\1\2\12BNSCRC-Logistics-Supply-Boot.jpg,http://www.48ws.com/images/product/1/2/12BNSCRC-Logistics-Supply-Boot.jpg,12BNSCRC-Logistics-Supply-Boot-Covers,12BNSCRC-Logistics-Supply-Boot-Covers,,No layout updates.,Block after Info Column,,"Boot Covers","Boot Covers",Use config,"http://www.logisticssupply.com/12BNSCRC",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1.25 oz polypropylene with serged seams and non-skid design. 150 Pair/Case.","<b>Properties:</b>
<br></br>
<li>150 pair per case</li>
<li>Non-skid design</li>","Model Number: 12BNSCRC
<br></br>
UOM: CS
<br></br>
Size: Universal
<br></br>
Color: Blue","","12BNSCRC Logistics Supply Boot Covers","Boot Covers",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",37309,"225ANF",,"50 Person First Aid Kit","","50 Person First Aid Kit","ANSI First Aid Kits come in multiple combinations and sizes to address different environments. These kits comply with ANSI standards and meet or exceed federal OSHA regulations, too. They also come with a handy list of kit contents for easy ordering and f",/\2\2\225ANF-Logistics-Supply-50-Person-First-Aid.jpg,/\2\2\225ANF-Logistics-Supply-50-Person-First-Aid.jpg,http://www.48ws.com/images/product/2/2/225ANF-Logistics-Supply-50-Person-First-Aid.jpg,225ANF-Logistics-Supply-50-Person-First-Aid-Kit,225ANF-Logistics-Supply-50-Person-First-Aid-Kit,,No layout updates.,Block after Info Column,,"50 Person First Aid Kit","50 Person First Aid Kit",Use config,"http://www.logisticssupply.com/225ANF",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ANSI First Aid Kits come in multiple combinations and sizes to address different environments. These kits comply with ANSI standards and meet or exceed federal OSHA regulations, too. They also come with a handy list of kit contents for easy ordering and feature labels in both English and Spanish. Contents subject to change without notice.","<b>Kit Includes:</b><br></br>
<li>(100) 1&quot; X 3&quot; Adhesive plastic bandages</li>
<li>(3) 1.75&quot; X 3&quot; Large fingertip fabric bandages</li>
<li>(3) 1.5&quot; X 3&quot; Knuckle fabric bandages</li>
<li>(2) 2&quot; X 4&quot; Elbow & knee plastic bandages</li>
<li>(6) 3&quot; X 3&quot; Gauze dressing pads, (3) 2-packs</li>
<li>(2) 4&quot; X 4&quot; Gauze dressing pads, (1) 2-pack</li>
<li>(1) 5&quot; X 9&quot; Trauma pad</li>
<li>(2) 2&quot; Conforming gauze roll bandages</li>
<li>(1) 40&quot; Triangular sling/bandage, w/2 safety pins</li>
<li>(20) Aspirin tablets, (10) 2-packs</li>
<li>(12) Alcohol cleansing pads</li>
<li>(12) Antiseptic cleansing wipes (sting free)</li>
<li>(6) Triple antibiotic ointment packs</li>
<li>(6) First aid/burn cream, 0.9 gm. packs</li>
<li>(6) Insect sting relief pads</li>
<li>(1) 3&quot; X 5 yd. Latex free elastic bandage</li>
<li>(1) .5&quot; X 5 yd. First aid tape roll</li>
<li>(1) 4&quot; X 5&quot; Instant cold compress</li>
<li>(2) Sterile eye pads</li>
<li>(1) Eye wash, 4 oz</li>
<li>(4) Exam quality vinyl gloves, 2 pair</li>
<li>(1) 4.5&quot; Scissors, nickel plated</li>
<li>(1) 4&quot; Tweezers, plastic</li>
<li>(1) First aid guide</li>","Model Number: 225AN<br>
UOM: EA<br>
Dimensions: 10.75&quot; X 11.25&quot; X 3&quot;<br></br>
<b>Properties:</b>
<li>This 195-piece first aid kit is ideal for contractors, fleet vehicles, worksites or small companies with up to 50 employees</li>
<li>It meets federal OSHA recommendations and carries 20 critical products</li>
<li>The plastic case, with slanted, spill-proof dividers is wall mountable yet has a handle for easy carrying</li>","","225ANF Logistics Supply 50 Person First Aid Kit","50 Person First Aid Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"880|27823","Rubber Gloves|Nitrile Gloves",37312,"40226 Medium",,"Medium Purple Nitrile Gloves","KleenGuard G40 Purple Nitrile Gloves - Logistics Supply","Medium Purple Nitrile Gloves","KleenGuard® G40 Purple Nitrile* Foam Coated Gloves deliver a tactile sensitivity and dexterity that translates to excellent gripping power. Improved grip, in turn, translates to improved productivity. The light, seamless, knit nylon liner increases breath",/\K\l\KleenGuard-G40-Purple-Nitrile-Gloves-Logistics.jpg,/\K\l\KleenGuard-G40-Purple-Nitrile-Gloves-Logistics.jpg,http://www.48ws.com/images/product/K/l/KleenGuard-G40-Purple-Nitrile-Gloves-Logistics.jpg,KleenGuard-G40-Purple-Nitrile-Gloves-Logistics-Supply,KleenGuard-G40-Purple-Nitrile-Gloves-Logistics-Supply,,No layout updates.,Block after Info Column,,"Medium Purple Nitrile Gloves","Medium Purple Nitrile Gloves",Use config,"http://www.logisticssupply.com/4022KC2",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sold by the case; 5 bags, 12 pairs/bag. Black/Purple.","<b>Properties:</b>
<br></br>
<li>60 per case</li>
<li>Deliver a tactile sensitivity and dexterity that translates to excellent gripping power</li>
<li>Improved grip, in turn, translates to improved productivity</li>
<li>Light,seamless knit nylon liner for comfort and breathability</li>
<li>Elasticized wrists improve safety and security</li>
<li>Abrasion resistance rating of 4 out of 4 (EN 388 Standards)</li>
<li>Excellent grip even through oil and dirt</li>
<li>Black and purple color hides oil and dirt</li>
<li>25% better productivity than leather</li>
<li>An excellent choice for any customers in small-parts assembly, materials handling, automotive industries, general maintenance and warehousing/shipping/delivery</li>","KleenGuard&reg; G40 Purple Nitrile* Foam Coated Gloves deliver a tactile sensitivity and dexterity that translates to excellent gripping power. Improved grip, in turn, translates to improved productivity. The light, seamless, knit nylon liner increases breathability for greater comfort and the elasticized wrists improve safety and security. Plus, the durability-boosting purple nitrile coating offers greater protection for hands - scoring four out of four to earn the highest abrasion resistance rating under EN 388. And, these gloves always look fresh on the job, thanks to the black and purple color that masks dirt and oil. Sold by the case; 5 bags, 12 pairs/bag. Black/Purple.","","Medium Purple Nitrile Gloves","Medium Purple Nitrile Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"157|25724","First Aid Kits|First Aid Kits",37317,"930125PF",,"25 Person First Aid Kit","","25 Person First Aid Kit","This special collection of First Aid Kits are designed to meet the needs of several specific jobs and industries that often require a specialized mix of supplies. Each kit also features English and Spanish labels. Contents subject to change without notice",/\9\3\930125PF-Logistics-Supply-25-Person-First-Aid.jpg,/\9\3\930125PF-Logistics-Supply-25-Person-First-Aid.jpg,http://www.48ws.com/images/product/9/3/930125PF-Logistics-Supply-25-Person-First-Aid.jpg,930125PF-Logistics-Supply-25-Person-First-Aid-Kit,930125PF-Logistics-Supply-25-Person-First-Aid-Kit,,No layout updates.,Block after Info Column,,"25 Person First Aid Kit","25 Person First Aid Kit",Use config,"http://www.logisticssupply.com/930125PF",0,,,0,"Logistics Supply",318,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This special collection of First Aid Kits are designed to meet the needs of several specific jobs and industries that often require a specialized mix of supplies. Each kit also features English and Spanish labels. Contents subject to change without notice.","<b>Kit Includes:</b><br></br>
<li>(100) 1&quot; X 3&quot; Adhesive plastic bandages</li>
<li>(3) Knuckle fabric bandages</li>
<li>(3) Fingertip fabric bandages, large</li>
<li>(1) 3&quot; Conforming gauze roll bandage</li>
<li>(1) 40&quot; Triangular sling/bandage, w/2 safety pins</li>
<li>(6) 3&quot; X 3&quot; Gauze dressing pads</li>
<li>(1) 5&quot; X 9&quot; Trauma pad</li>
<li>(42) Antiseptic cleansing wipes (sting free)</li>
<li>(1) First aid/burn cream pack, 0.9 gm, 10/bx</li>
<li>(1) 4&quot; X 5&quot; Instant cold compress</li>
<li>(1) 1/2&quot; X 10 yd. First aid tape roll</li>
<li>(1) 4.5&quot; Scissors, nickel plated</li>
<li>(1) 4&quot; Tweezers, plastic, one time use</li>
<li>(4) Exam quality gloves, 2 pairs</li>
<li>(1) First Aid Guide</li>","<b>Properties:</b><br>
<li>25 Person,176 Piece Bulk Contractors Kit</li>
<li>Plastic Case</li>
<br></br>
Model Number:930125P<br>
UOM: EA<br>
Size: 9.062&quot; X 6.313&quot; X 2.375&quot;","","930125PF Logistics Supply 25 Person First Aid Kit","25 Person First Aid Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
