store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",13383,"FS1504",,"4' Type IA Fiberglass Step","FS1500 Series","4' Type IA Fiberglass Step","Louisville FS1500 Series",/\F\S\Louisville-FS1500.jpg,/\F\S\Louisville-FS1500.jpg,http://www.48ws.com/images/product/F/S/Louisville-FS1500.jpg,Louisville-FS1500-Series,Louisville-FS1500-Series,,No layout updates.,Block after Info Column,,"4' Type IA Fiberglass Step","4' Type IA Fiberglass Step",Use config,"http://louisvilleladder.us.com/products/stepladders/fiberglass/fs1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs.","A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.","","","4' Type IA Fiberglass Step    ","4' Type IA Fiberglass Step",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",13384,"FM1500",,"6' Type IA Fiberglass Double","FM1500 Series","6' Type IA Fiberglass Double","Louisville FM1500 Series
",/\F\M\Louisville-FM1500.jpg,/\F\M\Louisville-FM1500.jpg,http://www.48ws.com/images/product/F/M/Louisville-FM1500.jpg,Louisville-FM1500-Series,Louisville-FM1500-Series,,No layout updates.,Block after Info Column,,"6' Type IA Fiberglass Double","6' Type IA Fiberglass Double",Use config,"http://louisvilleladder.us.com/products/twin-front-ladders/fiberglass-en-2/fm1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A non-conductive Fiberglass twin front ladder with an extra-heavy duty rating capable of supporting up to 300lbs.
","A non-conductive Fiberglass twin front ladder with an extra-heavy duty rating capable of supporting up to 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, the SHOX and heavy steel hinges and inside spreader braces.","","","6' Type IA Fiberglass Double","6' Type IA Fiberglass Double",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"603|23155","Fiberglass Extension Ladders|Extension Ladders",13385,"FE3216",,"16' Type IA Fiberglass Extension Ladder","FE3200 Series","16' Type IA Fiberglass Extension Ladder","Louisville FE3200 Series",/\F\E\Louisville-FE3200.jpg,/\F\E\Louisville-FE3200.jpg,http://www.48ws.com/images/product/F/E/Louisville-FE3200.jpg,Louisville-FE3200-Series,Louisville-FE3200-Series,,No layout updates.,Block after Info Column,,"16' Type IA Fiberglass Extension Ladder","16' Type IA Fiberglass Extension Ladder",Use config,"http://louisvilleladder.us.com/products/extension-ladders/fiberglass-en/fe3200-series-en.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","A non-conductive fiberglass industrial extension ladder with 300lbs. duty rating.
<br></br>
The ladders features outside slide guides, D-shape rungs fully serrated for slip resistant surface, non marring rail end caps, QuickLatch rung lock for better secure operation and swivel safety shoes to be usee as tread down or in spike position.","","","16' Type IA Fiberglass Extension Ladder","16' Type IA Fiberglass Extension Ladder",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",13386,"FP1506",,"6' Platform Ladder Type IA","FP1500 Series","6' Platform Ladder Type IA","Louisville FP1500 Series",/\F\P\Louisville-FP1500.jpg,/\F\P\Louisville-FP1500.jpg,http://www.48ws.com/images/product/F/P/Louisville-FP1500.jpg,Louisville-FP1500-Series,Louisville-FP1500-Series,,No layout updates.,Block after Info Column,,"6' Platform Ladder Type IA","6' Platform Ladder Type IA",Use config,"http://louisvilleladder.us.com/products/platform-ladders/fiberglass-en-2-3/fp1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A non-conductive fiberglass platform ladder capable of supporting 300 lb.","A non-conductive fiberglass platform ladder capable of supporting 300 lb.<br></br>
Equipped with DaBoot, SHOX, top rail guard and slip resistant platform","","","6' Platform Ladder Type IA ","6' Platform Ladder Type IA",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",13387,"L-3016-04",,"4' Type IA Fiberglass Step","L-3016 Series","4' Type IA Fiberglass Step","Louisville L-3016 Series",/\L\3\Louisville-L-3016.jpg,/\L\3\Louisville-L-3016.jpg,http://www.48ws.com/images/product/L/3/Louisville-L-3016.jpg,Louisville-L-3016-Series,Louisville-L-3016-Series,,No layout updates.,Block after Info Column,,"4' Type IA Fiberglass Step","4' Type IA Fiberglass Step",Use config,"http://louisvilleladder.us.com/products/stepladders/fiberglass/l-3016-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","A non-conductive fiberglass stepladder meant for heavy duty use capable of supporting 300lbs.<br></br>
Equipped with equipped with a molded top with handyman tool slots and aluminum angle slip resistan rubber feet.","","","4' Type IA Fiberglass Step","4' Type IA Fiberglass Step",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",89015,"FS1506",,"6' Type IA Fiberglass Step","FS1500 Series","6' Type IA Fiberglass Step","Louisville FS1500 Series",/\F\S\Louisville-FS1500.jpg,/\F\S\Louisville-FS1500.jpg,http://www.48ws.com/images/product/F/S/Louisville-FS1500.jpg,6-Type-IA-Fiberglass-Step,6-Type-IA-Fiberglass-Step,,No layout updates.,Block after Info Column,,"6' Type IA Fiberglass Step","6' Type IA Fiberglass Step",Use config,"http://louisvilleladder.us.com/products/stepladders/fiberglass/fs1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6' Type IA Fiberglass Step","A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.","","","6' Type IA Fiberglass Step","6' Type IA Fiberglass Step",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",89016,"FS1508",,"8' Type IA Fiberglass Step","FS1500 Series","8' Type IA Fiberglass Step","Louisville FS1500 Series",/\F\S\Louisville-FS1500.jpg,/\F\S\Louisville-FS1500.jpg,http://www.48ws.com/images/product/F/S/Louisville-FS1500.jpg,8-Type-IA-Fiberglass-Step,8-Type-IA-Fiberglass-Step,,No layout updates.,Block after Info Column,,"8' Type IA Fiberglass Step","8' Type IA Fiberglass Step",Use config,"http://louisvilleladder.us.com/products/stepladders/fiberglass/fs1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"8' Type IA Fiberglass Step","A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.","","","8' Type IA Fiberglass Step","8' Type IA Fiberglass Step",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",89017,"FS1510",,"10' Type IA Fiberglass Step","FS1500 Series","10' Type IA Fiberglass Step","Louisville FS1500 Series",/\F\S\Louisville-FS1500.jpg,/\F\S\Louisville-FS1500.jpg,http://www.48ws.com/images/product/F/S/Louisville-FS1500.jpg,10-Type-IA-Fiberglass-Step,10-Type-IA-Fiberglass-Step,,No layout updates.,Block after Info Column,,"10' Type IA Fiberglass Step","10' Type IA Fiberglass Step",Use config,"http://louisvilleladder.us.com/products/stepladders/fiberglass/fs1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"10' Type IA Fiberglass Step","A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.","","","10' Type IA Fiberglass Step","10' Type IA Fiberglass Step",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",89018,"FS1512",,"12' Type IA Fiberglass Step","FS1500 Series","12' Type IA Fiberglass Step","Louisville FS1500 Series",/\F\S\Louisville-FS1500.jpg,/\F\S\Louisville-FS1500.jpg,http://www.48ws.com/images/product/F/S/Louisville-FS1500.jpg,12-Type-IA-Fiberglass-Step,12-Type-IA-Fiberglass-Step,,No layout updates.,Block after Info Column,,"12' Type IA Fiberglass Step","12' Type IA Fiberglass Step",Use config,"http://louisvilleladder.us.com/products/stepladders/fiberglass/fs1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"12' Type IA Fiberglass Step","A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.","","","12' Type IA Fiberglass Step","12' Type IA Fiberglass Step",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",89020,"FM1508",,"8' Type IA Fiberglass Double","FM1500 Series","8' Type IA Fiberglass Double","Louisville FM1500 Series
",/\F\M\Louisville-FM1500.jpg,/\F\M\Louisville-FM1500.jpg,http://www.48ws.com/images/product/F/M/Louisville-FM1500.jpg,8-Type-IA-Fiberglass-Double,8-Type-IA-Fiberglass-Double,,No layout updates.,Block after Info Column,,"8' Type IA Fiberglass Double","8' Type IA Fiberglass Double",Use config,"http://louisvilleladder.us.com/products/twin-front-ladders/fiberglass-en-2/fm1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"8' Type IA Fiberglass Double","A non-conductive Fiberglass twin front ladder with an extra-heavy duty rating capable of supporting up to 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, the SHOX and heavy steel hinges and inside spreader braces.","","","8' Type IA Fiberglass Double","8' Type IA Fiberglass Double",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",89021,"FM1510",,"10' Type IA Fiberglass Double","FM1500 Series","10' Type IA Fiberglass Double","Louisville FM1500 Series
",/\F\M\Louisville-FM1500.jpg,/\F\M\Louisville-FM1500.jpg,http://www.48ws.com/images/product/F/M/Louisville-FM1500.jpg,10-Type-IA-Fiberglass-Double,10-Type-IA-Fiberglass-Double,,No layout updates.,Block after Info Column,,"10' Type IA Fiberglass Double","10' Type IA Fiberglass Double",Use config,"http://louisvilleladder.us.com/products/twin-front-ladders/fiberglass-en-2/fm1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"10' Type IA Fiberglass Double","A non-conductive Fiberglass twin front ladder with an extra-heavy duty rating capable of supporting up to 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, the SHOX and heavy steel hinges and inside spreader braces.","","","10' Type IA Fiberglass Double","10' Type IA Fiberglass Double",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",89022,"FM1512",,"12' Type IA Fiberglass Double","FM1500 Series","12' Type IA Fiberglass Double","Louisville FM1500 Series
",/\F\M\Louisville-FM1500.jpg,/\F\M\Louisville-FM1500.jpg,http://www.48ws.com/images/product/F/M/Louisville-FM1500.jpg,12-Type-IA-Fiberglass-Double,12-Type-IA-Fiberglass-Double,,No layout updates.,Block after Info Column,,"12' Type IA Fiberglass Double","12' Type IA Fiberglass Double",Use config,"http://louisvilleladder.us.com/products/twin-front-ladders/fiberglass-en-2/fm1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"12' Type IA Fiberglass Double","A non-conductive Fiberglass twin front ladder with an extra-heavy duty rating capable of supporting up to 300lbs.<br></br>
Equipped with Da Boot for slip resistant footing, the SHOX and heavy steel hinges and inside spreader braces.","","","12' Type IA Fiberglass Double","12' Type IA Fiberglass Double",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"603|23155","Fiberglass Extension Ladders|Extension Ladders",89032,"FE3220",,"20' Type IA Fiberglass Extension Ladder","FE3200 Series","20' Type IA Fiberglass Extension Ladder","Louisville FE3200 Series",/\F\E\Louisville-FE3200.jpg,/\F\E\Louisville-FE3200.jpg,http://www.48ws.com/images/product/F/E/Louisville-FE3200.jpg,20-Type-IA-Fiberglass-Extension-Ladder,20-Type-IA-Fiberglass-Extension-Ladder,,No layout updates.,Block after Info Column,,"20' Type IA Fiberglass Extension Ladder","20' Type IA Fiberglass Extension Ladder",Use config,"http://louisvilleladder.us.com/products/extension-ladders/fiberglass-en/fe3200-series-en.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"20' Type IA Fiberglass Extension Ladder","A non-conductive fiberglass industrial extension ladder with 300lbs. duty rating.
<br></br>
The ladders features outside slide guides, D-shape rungs fully serrated for slip resistant surface, non marring rail end caps, QuickLatch rung lock for better secure operation and swivel safety shoes to be usee as tread down or in spike position.","","","20' Type IA Fiberglass Extension Ladder","20' Type IA Fiberglass Extension Ladder",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"603|23155","Fiberglass Extension Ladders|Extension Ladders",89033,"FE3224",,"24' Type IA Fiberglass Extension Ladder","FE3200 Series","24' Type IA Fiberglass Extension Ladder","Louisville FE3200 Series",/\F\E\Louisville-FE3200.jpg,/\F\E\Louisville-FE3200.jpg,http://www.48ws.com/images/product/F/E/Louisville-FE3200.jpg,24-Type-IA-Fiberglass-Extension-Ladder,24-Type-IA-Fiberglass-Extension-Ladder,,No layout updates.,Block after Info Column,,"24' Type IA Fiberglass Extension Ladder","24' Type IA Fiberglass Extension Ladder",Use config,"http://louisvilleladder.us.com/products/extension-ladders/fiberglass-en/fe3200-series-en.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"24' Type IA Fiberglass Extension Ladder","A non-conductive fiberglass industrial extension ladder with 300lbs. duty rating.
<br></br>
The ladders features outside slide guides, D-shape rungs fully serrated for slip resistant surface, non marring rail end caps, QuickLatch rung lock for better secure operation and swivel safety shoes to be usee as tread down or in spike position.","","","24' Type IA Fiberglass Extension Ladder","24' Type IA Fiberglass Extension Ladder",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"603|23155","Fiberglass Extension Ladders|Extension Ladders",89034,"FE3228",,"28' Type IA Fiberglass Extension Ladder","FE3200 Series","28' Type IA Fiberglass Extension Ladder","Louisville FE3200 Series",/\F\E\Louisville-FE3200.jpg,/\F\E\Louisville-FE3200.jpg,http://www.48ws.com/images/product/F/E/Louisville-FE3200.jpg,28-Type-IA-Fiberglass-Extension-Ladder,28-Type-IA-Fiberglass-Extension-Ladder,,No layout updates.,Block after Info Column,,"28' Type IA Fiberglass Extension Ladder","28' Type IA Fiberglass Extension Ladder",Use config,"http://louisvilleladder.us.com/products/extension-ladders/fiberglass-en/fe3200-series-en.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"28' Type IA Fiberglass Extension Ladder","A non-conductive fiberglass industrial extension ladder with 300lbs. duty rating.
<br></br>
The ladders features outside slide guides, D-shape rungs fully serrated for slip resistant surface, non marring rail end caps, QuickLatch rung lock for better secure operation and swivel safety shoes to be usee as tread down or in spike position.","","","28' Type IA Fiberglass Extension Ladder","28' Type IA Fiberglass Extension Ladder",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"603|23155","Fiberglass Extension Ladders|Extension Ladders",89035,"FE3232",,"32' Type IA Fiberglass Extension Ladder","FE3200 Series","32' Type IA Fiberglass Extension Ladder","Louisville FE3200 Series",/\F\E\Louisville-FE3200.jpg,/\F\E\Louisville-FE3200.jpg,http://www.48ws.com/images/product/F/E/Louisville-FE3200.jpg,32-Type-IA-Fiberglass-Extension-Ladder,32-Type-IA-Fiberglass-Extension-Ladder,,No layout updates.,Block after Info Column,,"32' Type IA Fiberglass Extension Ladder","32' Type IA Fiberglass Extension Ladder",Use config,"http://louisvilleladder.us.com/products/extension-ladders/fiberglass-en/fe3200-series-en.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"32' Type IA Fiberglass Extension Ladder","A non-conductive fiberglass industrial extension ladder with 300lbs. duty rating.
<br></br>
The ladders features outside slide guides, D-shape rungs fully serrated for slip resistant surface, non marring rail end caps, QuickLatch rung lock for better secure operation and swivel safety shoes to be usee as tread down or in spike position.","","","32' Type IA Fiberglass Extension Ladder","32' Type IA Fiberglass Extension Ladder",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"603|23155","Fiberglass Extension Ladders|Extension Ladders",89036,"FE3240",,"40' Type IA Fiberglass Extension Ladder","FE3200 Series","40' Type IA Fiberglass Extension Ladder","Louisville FE3200 Series",/\F\E\Louisville-FE3200.jpg,/\F\E\Louisville-FE3200.jpg,http://www.48ws.com/images/product/F/E/Louisville-FE3200.jpg,40-Type-IA-Fiberglass-Extension-Ladder,40-Type-IA-Fiberglass-Extension-Ladder,,No layout updates.,Block after Info Column,,"40' Type IA Fiberglass Extension Ladder","40' Type IA Fiberglass Extension Ladder",Use config,"http://louisvilleladder.us.com/products/extension-ladders/fiberglass-en/fe3200-series-en.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"40' Type IA Fiberglass Extension Ladder","A non-conductive fiberglass industrial extension ladder with 300lbs. duty rating.
<br></br>
The ladders features outside slide guides, D-shape rungs fully serrated for slip resistant surface, non marring rail end caps, QuickLatch rung lock for better secure operation and swivel safety shoes to be usee as tread down or in spike position.","","","40' Type IA Fiberglass Extension Ladder","40' Type IA Fiberglass Extension Ladder",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"600|23175","Fiberglass Step Ladders|Stepladders",89037,"FP1508",,"8' Platform Ladder Type IA","FP1500 Series","8' Platform Ladder Type IA","Louisville FP1500 Series",/\F\P\Louisville-FP1500.jpg,/\F\P\Louisville-FP1500.jpg,http://www.48ws.com/images/product/F/P/Louisville-FP1500.jpg,8-Platform-Ladder-Type-IA,8-Platform-Ladder-Type-IA,,No layout updates.,Block after Info Column,,"8' Platform Ladder Type IA","8' Platform Ladder Type IA",Use config,"http://louisvilleladder.us.com/products/platform-ladders/fiberglass-en-2-3/fp1500-series.html",0,,,0,"Louisville Ladder",255,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"8' Platform Ladder Type IA","A non-conductive fiberglass platform ladder capable of supporting 300 lb.<br></br>
Equipped with DaBoot, SHOX, top rail guard and slip resistant platform","","","8' Platform Ladder Type IA","8' Platform Ladder Type IA",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
