store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1158|24852","Hole Saw Kits - Metal Drill Bits|Hole Saws",37228,"AV02E",,"Electricians Kit","","Electricians Kit","<li>Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03)</li>
<li>Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03)</li>
<li>General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,",/\A\V\AV02E-The-MK-Morse-Company-Electricians.jpg,/\A\V\AV02E-The-MK-Morse-Company-Electricians.jpg,http://www.48ws.com/images/product/A/V/AV02E-The-MK-Morse-Company-Electricians.jpg,AV02E-The-MK-Morse-Company-Electricians-Kit,AV02E-The-MK-Morse-Company-Electricians-Kit,,No layout updates.,Block after Info Column,,"Electricians Kit","Electricians Kit",Use config,"http://www.mkmorse.com/products/index.aspx?product=92",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<li>Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03)</li>
<li>Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03)</li>
<li>General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,28,32,36,40), 2 Arbors (MK05, MK03)</li>
<li>Master Electricians Kit 14 Piece, 11 AE Hole Saws (MK12,14,18,22,28,32,40,48,58,66,76), 3 Arbors (MK05, MK03, MK04)</li>","<li>More teeth , deeper gullet in the cutting action increases material removal</li>
<li>New tooth form maximizes penetration with a positive rake face</li>
<li>Engineered with the strongest tooth profile available in the marketplace</li>
<li>Increased control in higher torque applications and long wear resistance</li>
<li>Impact resistant while maintaining cutting penetration</li>","Steel plate, pipe, angle iron, wood, composite materials, plastic, sprinkler pipe, electrical box","","AV02E The MK Morse Company Electricians Kit","Electricians Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1158|24852","Hole Saw Kits - Metal Drill Bits|Hole Saws",37230,"AV04P",,"Plumbers Kit","","Plumbers Kit","<li>Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03)</li>
<li>Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03)</li>
<li>General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,",/\A\V\AV04P-The-MK-Morse-Company-Plumbers.jpg,/\A\V\AV04P-The-MK-Morse-Company-Plumbers.jpg,http://www.48ws.com/images/product/A/V/AV04P-The-MK-Morse-Company-Plumbers.jpg,AV04P-The-MK-Morse-Company-Plumbers-Kit,AV04P-The-MK-Morse-Company-Plumbers-Kit,,No layout updates.,Block after Info Column,,"Plumbers Kit","Plumbers Kit",Use config,"http://www.mkmorse.com/products/index.aspx?product=92",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<li>Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03)</li>
<li>Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03)</li>
<li>General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,28,32,36,40), 2 Arbors (MK05, MK03)</li>
<li>Master Electricians Kit 14 Piece, 11 AE Hole Saws (MK12,14,18,22,28,32,40,48,58,66,76), 3 Arbors (MK05, MK03, MK04)</li>","<li>More teeth , deeper gullet in the cutting action increases material removal</li>
<li>New tooth form maximizes penetration with a positive rake face</li>
<li>Engineered with the strongest tooth profile available in the marketplace</li>
<li>Increased control in higher torque applications and long wear resistance</li>
<li>Impact resistant while maintaining cutting penetration</li>","Steel plate, pipe, angle iron, wood, composite materials, plastic, sprinkler pipe, electrical box","","AV04P The MK Morse Company Plumbers Kit","Plumbers Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1158|24852","Hole Saw Kits - Metal Drill Bits|Hole Saws",37233,"AV08E",,"Master Electronics Kit","","Master Electronics Kit","<li>Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03)</li>
<li>Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03)</li>
<li>General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,",/\A\V\AV08E-The-MK-Morse-Company-Master-Electronics.jpg,/\A\V\AV08E-The-MK-Morse-Company-Master-Electronics.jpg,http://www.48ws.com/images/product/A/V/AV08E-The-MK-Morse-Company-Master-Electronics.jpg,AV08E-The-MK-Morse-Company-Master-Electronics-Kit,AV08E-The-MK-Morse-Company-Master-Electronics-Kit,,No layout updates.,Block after Info Column,,"Master Electronics Kit","Master Electronics Kit",Use config,"http://www.mkmorse.com/products/index.aspx?product=92",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<li>Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03)</li>
<li>Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03)</li>
<li>General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,28,32,36,40), 2 Arbors (MK05, MK03)</li>
<li>Master Electricians Kit 14 Piece, 11 AE Hole Saws (MK12,14,18,22,28,32,40,48,58,66,76), 3 Arbors (MK05, MK03, MK04)</li>","<li>More teeth , deeper gullet in the cutting action increases material removal</li>
<li>New tooth form maximizes penetration with a positive rake face</li>
<li>Engineered with the strongest tooth profile available in the marketplace</li>
<li>Increased control in higher torque applications and long wear resistance</li>
<li>Impact resistant while maintaining cutting penetration</li>","Steel plate, pipe, angle iron, wood, composite materials, plastic, sprinkler pipe, electrical box","","AV08E The MK Morse Company Master Electronics Kit","Master Electronics Kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"635|21720","Hand Saws|Hand Saws",37258,"HHB1218",,"12&quot; 18T Hack Saw Blade","Hack Saw Blades","12&quot; 18T Hack Saw Blade","<b>Bi-Metal Hacksaw Blades</b>
<br></br>
Bi-metal hack blades will bend and flex, resisting shattering for safer sawing and longer lasting blades.",/\H\H\HHB1218-The-MK-Morse-Company-Hack-Saw.jpg,/\H\H\HHB1218-The-MK-Morse-Company-Hack-Saw.jpg,http://www.48ws.com/images/product/H/H/HHB1218-The-MK-Morse-Company-Hack-Saw.jpg,HHB1218-The-MK-Morse-Company-Hack-Saw-Blade,HHB1218-The-MK-Morse-Company-Hack-Saw-Blade,,No layout updates.,Block after Info Column,,"12&quot; 18T Hack Saw Blade","12&quot; 18T Hack Saw Blade",Use config,"http://www.mkmorse.com/products/index.aspx?product=7",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bi-metal hack blades will bend and flex, resisting shattering for safer sawing and longer lasting blades.","<li>Vacuum heat treating creates harder edge for faster, easier cutting</li>
<li>High speed steel cutting edge with 8% cobalt for longer blade life</li>
<li>Increased heat and wear resistance for longer life</li>
<li>Flexible to prevent shattering during use</li>
<li>12&quot; X 1/2&quot; X .025 BI-METAL    </li>","<b>Applications</b><br>
Pipe, tubing, solids, wood, plastic or any machinable metal.","","12&quot; 18T Hack Saw Blade","12&quot; 18T Hack Saw Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1157|24852","Hole Saw - Metal Drill Bits|Hole Saws",37259,"M24K",,"1/4&quot; Round Arbor for 9/16&quot; - 1-3/16&quot;","Hole Saw Arbors","1/4&quot; Round Arbor for 9/16&quot; - 1-3/16&quot;","<b>Hole Saw Arbors</b>
<br></br>
Durable, heavy-duty carbon steel arbors come complete with pilot drills. Adapt Morse hole saws to any power drill used by professionals.",/\M\2\M24K-The-MK-Morse-Company-Round.jpg,/\M\2\M24K-The-MK-Morse-Company-Round.jpg,http://www.48ws.com/images/product/M/2/M24K-The-MK-Morse-Company-Round.jpg,M24K-The-MK-Morse-Company-Round-Arbor,M24K-The-MK-Morse-Company-Round-Arbor,,No layout updates.,Block after Info Column,,"1/4&quot; Round Arbor for 9/16&quot; - 1-3/16&quot;","1/4&quot; Round Arbor for 9/16&quot; - 1-3/16&quot;",Use config,"http://www.mkmorse.com/products/index.aspx?product=26",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"M24K The MK Morse Company Round Arbor","<li>Various shank sizes 3/8&quot; or 1/2&quot; drills</li>
<li>Short pilot drills and arbors require a 3-1/16&quot; pilot bit</li>
<li>Long pilot drills and arbors have a pass through shank</li>
<li>Hex arbors with non-slit jaw slots are positive drive</li>
<li>SDS arbors are used in tools having SDS chucks, to drive hole saws in rotary hammers or hammer drills</li>","Durable, heavy-duty carbon steel arbors come complete with pilot drills. Adapt Morse hole saws to any power drill used by professionals.","","1/4&quot; Round Arbor for 9/16&quot; - 1-3/16&quot;","1/4&quot; Round Arbor for 9/16&quot; - 1-3/16&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1157|24852","Hole Saw - Metal Drill Bits|Hole Saws",37260,"ME1210",,"12&quot; Extension for 7/16&quot; Shank Arbor","Hole Saw Extensions","12&quot; Extension for 7/16&quot; Shank Arbor","<b>Hole Saw Extensions</b>
<br></br>
12&quot; (305mm) extensions available for both 7/16&quot; (10.5mm) and 3/8&quot; (9.5mm) arbors. Great for reaching through studs or hard to reach areas.",/\M\E\ME121-The-MK-Morse-Company.jpg,/\M\E\ME121-The-MK-Morse-Company.jpg,http://www.48ws.com/images/product/M/E/ME121-The-MK-Morse-Company.jpg,ME121-The-MK-Morse-Company-Arbor,ME121-The-MK-Morse-Company-Arbor,,No layout updates.,Block after Info Column,,"12&quot; Extension for 7/16&quot; Shank Arbor","12&quot; Extension for 7/16&quot; Shank Arbor",Use config,"http://www.mkmorse.com/products/index.aspx?product=28",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Hole Saw Extensions","","12&quot; (305mm) extensions available for both 7/16&quot; (10.5mm) and 3/8&quot; (9.5mm) arbors. Great for reaching through studs or hard to reach areas.","","12&quot; Extension for 7/16&quot; Shank Arbor","12&quot; Extension for 7/16&quot; Shank Arbor",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1157|24852","Hole Saw - Metal Drill Bits|Hole Saws",37261,"MPD401",,"1/4&quot; x 4-5/16&quot; Pilot Drill","Pilot Drills","1/4&quot; x 4-5/16&quot; Pilot Drill","<b>Hole Saw Arbor: Pilot Drill</b>
<br></br>
Split-point pilot drills available in a variety of lengths and materials. Pilot drills place a starter hole in the material to help guide the hole saw.",/\M\P\MPD401-The-MK-Morse-Company-Pilot.jpg,/\M\P\MPD401-The-MK-Morse-Company-Pilot.jpg,http://www.48ws.com/images/product/M/P/MPD401-The-MK-Morse-Company-Pilot.jpg,MPD401-The-MK-Morse-Company-Pilot-Drill,MPD401-The-MK-Morse-Company-Pilot-Drill,,No layout updates.,Block after Info Column,,"1/4&quot; x 4-5/16&quot; Pilot Drill","1/4&quot; x 4-5/16&quot; Pilot Drill",Use config,"http://www.mkmorse.com/products/index.aspx?product=31",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Hole Saw Arbor: Pilot Drill","<li>HSS tipped pilot bits are for bi-metal hole saws</li>
<li>Carbide tipped pilot bits are for the carbide grit or carbide tipped hole saws</li>
<li>Pilot bits have a 1/4&quot; shank</li>
<li>3-1/16&quot; or 3-1/4&quot; length for short arbors</li>
<li>4&quot; or longer for pass through shank arbors</li>","Split-point pilot drills available in a variety of lengths and materials. Pilot drills place a starter hole in the material to help guide the hole saw.","","1/4&quot; x 4-5/16&quot; Pilot Drill","1/4&quot; x 4-5/16&quot; Pilot Drill",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"721|24990","Reciprocal Saw Blades|Reciprocating Saw Blades",37262,"RB1218T50",,"12&quot; X 3/4&quot; X .035, 18TPI","Reciprocating Saw Blades","12&quot; X 3/4&quot; X .035, 18TPI","<b>Bi-Metal Recip Blades</b>
<br></br>
Extra-tough, professional quality bi-metal recip blades are available in a wide variety of lengths. Over the years we have developed and refined a special manufacturing process designed to lengthen blade life and g",/\R\B\RB1218T50-The-MK-Morse-Company-Recip.jpg,/\R\B\RB1218T50-The-MK-Morse-Company-Recip.jpg,http://www.48ws.com/images/product/R/B/RB1218T50-The-MK-Morse-Company-Recip.jpg,RB1218T50-The-MK-Morse-Company-Recip-Blade,RB1218T50-The-MK-Morse-Company-Recip-Blade,,No layout updates.,Block after Info Column,,"12&quot; X 3/4&quot; X .035, 18TPI","12&quot; X 3/4&quot; X .035, 18TPI",Use config,"http://www.mkmorse.com/products/index.aspx?product=58",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bi-Metal Recip Blades","<li>Fits all popular reciprocating saw machines</li>
<li>8% Cobalt edge offers more wear resistance</li>
<li>Matrix ll cutting edge has shock resistance teeth that resist strippage</li>
<li>Available in a wide variety of lengths and thicknesses</li>
<br><br>
<b>Applications</b>
<br></br>
Machinable metal, wood, nail-embedded wood, composites, rubber, plastic, plaster, and other common building materials.","Extra-tough, professional quality bi-metal recip blades are available in a wide variety of lengths. Over the years we have developed and refined a special manufacturing process designed to lengthen blade life and guarantee quality.","","12&quot; X 3/4&quot; X .035, 18TPI","12&quot; X 3/4&quot; X .035, 18TPI",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",37301,"CSM1080AC",,"10&quot; 80TPI Blade for Aluminum, 5/8&quot; Arbor","Metal Devil® Metal Cutting Circular Saw Blades","10&quot; 80TPI Blade for Aluminum, 5/8&quot; Arbor","Metal Devil® metal cutting circular saw blades are designed with different configurations for steel, stainless, aluminum, thin steel, and even steel studs. Important differences between blade configuration allow for specialty applications - number of teet",/\M\e\Metal-Devil-Metal-Cutting-Circular-Saw.jpg,/\M\e\Metal-Devil-Metal-Cutting-Circular-Saw.jpg,http://www.48ws.com/images/product/M/e/Metal-Devil-Metal-Cutting-Circular-Saw.jpg,Metal-Devil-Metal-Cutting-Circular-Saw-Blades,Metal-Devil-Metal-Cutting-Circular-Saw-Blades,,No layout updates.,Block after Info Column,,"10&quot; 80TPI Blade for Aluminum, 5/8&quot; Arbor","10&quot; 80TPI Blade for Aluminum, 5/8&quot; Arbor",Use config,"http://www.mkmorse.com/products/index.aspx?product=75",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Features & Benefits</b>
<br></br>
<li>Very little friction created while cutting due to the unique metallurgy of the blades, transfering heat away from the work-piece so it can be immediately handled</li>
<li>Hardly any vibration. Feels like cutting through wood rather than steel</li>
<li>Blades range from 5-3/8&quot; to 14&quot; (137-356mm) in diameter</li>
<li>Blades reach their full potential when used on special metal cutting circular saws</li>
<li>Designed to cut angle iron, c-channel, steel plate, thin steel, trusses, rebar, joists, conduit, grading, and aluminum</li>
<li>Tungsten carbide tipped blade for longer blade life</li>","Metal Devil&reg; metal cutting circular saw blades are designed with different configurations for steel, stainless, aluminum, thin steel, and even steel studs. Important differences between blade configuration allow for specialty applications - number of teeth on the blade, carbide grade and the shape of the teeth. (1) per card
","","10&quot; 80TPI Blade for Aluminum, 5/8&quot; Arbor","10&quot; 80TPI Blade for Aluminum, 5/8&quot; Arbor",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1157|24852","Hole Saw - Metal Drill Bits|Hole Saws",89080,"AV14",,"7/8&quot; MK Morse Hole Saw","Hole Saws","7/8&quot; MK Morse Hole Saw","",/\M\K\Hole.jpg,/\M\K\Hole.jpg,http://www.48ws.com/images/product/M/K/Hole.jpg,78-MK-Morse-Hole-Saw,78-MK-Morse-Hole-Saw,,No layout updates.,Block after Info Column,,"7/8&quot; MK Morse Hole Saw","7/8&quot; MK Morse Hole Saw",Use config,"http://www.mkmorse.com/products/index.aspx?product=91",0,,,0,"MK Morse",813,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"7/8&quot; MK Morse Hole Saw","<li>More teeth , deeper gullet in the cutting action increases material removal</li>
<li>New tooth form maximizes penetration with a positive rake face</li>
<li>Engineered with the strongest tooth profile available in the marketplace</li>
<li>Increased control in higher torque applications and long wear resistance</li>
<li>Impact resistant while maintaining cutting penetration</li>","Advanced Edge Bi-Metal Hole Saw
Durability, quality and reliabilty combine to provide the hardest working hole saw in the industry. PTP technology increases material removal and provides more control of the cutting process.","","7/8&quot; MK Morse Hole Saw","7/8&quot; MK Morse Hole Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
