store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",87663,"473334",,"Suspension Only, For Skull Guard, Ratchet Suspension Only","","Suspension Only, For Skull Guard, Ratchet Suspension Only","Fas-Trac Replacement Suspension",/\4\7\MSA-Safety-Works-473334-Suspension-Only-For-Skull-Guard.jpg,/\4\7\MSA-Safety-Works-473334-Suspension-Only-For-Skull-Guard.jpg,http://www.48ws.com/images/product/4/7/MSA-Safety-Works-473334-Suspension-Only-For-Skull-Guard.jpg,MSA-Safety-Works-473334-Suspension-Only-For-Skull-Guard-Ratchet-Suspension-Only,MSA-Safety-Works-473334-Suspension-Only-For-Skull-Guard-Ratchet-Suspension-Only,,No layout updates.,Block after Info Column,,"Suspension Only, For Skull Guard, Ratchet Suspension Only","Suspension Only, For Skull Guard, Ratchet Suspension Only",Use config,"",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Fas-Trac Replacement Suspension","The MSA 473334 Fas-Trac Replacement Suspension uses a ratchet knob to adjust fit for MSA Skullgard Caps and Hats. This ratchet suspension is standard size and will adjust to fit heads 6 1/2 to 8 inches in diameter. This Fas-Trac suspension can even be adjusted while being worn.","<li>Application: Protective caps and Hats</li>
<li>Color: Gray</li>
<li>Material: Nylon</li>
<li>Type: Replacement suspension system</li>
<li>UPC: 641817003398</li>","","MSA Safety Works 473334 Suspension Only, For Skull Guard, Ratchet Suspension Only","Suspension Only, For Skull Guard, Ratchet Suspension Only",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",87664,"475358",,"White V-Guard Cap Ratchet Liner","","White V-Guard Cap Ratchet Liner","Cap, Hard, White",/\4\7\MSA-Safety-Works-475358-White-V-Guard-Cap-Ratchet.jpg,/\4\7\MSA-Safety-Works-475358-White-V-Guard-Cap-Ratchet.jpg,http://www.48ws.com/images/product/4/7/MSA-Safety-Works-475358-White-V-Guard-Cap-Ratchet.jpg,MSA-Safety-Works-475358-White-V-Guard-Cap-Ratchet-Liner,MSA-Safety-Works-475358-White-V-Guard-Cap-Ratchet-Liner,,No layout updates.,Block after Info Column,,"White V-Guard Cap Ratchet Liner","White V-Guard Cap Ratchet Liner",Use config,"",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Cap, Hard, White","<li>V-Gard, V-Gard 500, and SmoothDome Caps and Hats</li>
<li>Tough, lightweight polyethylene shell. Slotted caps permit easy attachment of accessories such as hearing protection. Nonslotted hats with full brim offer extra coverage at sides and back of neck. Vented caps provide improved air circulation.</li>
<li>Type I (top impact)</li>
<li>Hard Cap, Slotted, Color White, Ratchet Suspension, Polyethylene Shell/Suspension, Size 6 1/2 to 8 Inch, Replacement Suspension 4LN52, Standards ANSI Z89.1-2003 Class E and G</li>","<li>Application: General Purpose Head protection</li>
<li>Contents: Suspension System, Strap, Sweatband</li>
<li>Style: Slotted</li>
<li>Type: Hard Hat</li>","","MSA Safety Works 475358 White V-Guard Cap Ratchet Liner","White V-Guard Cap Ratchet Liner",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",87665,"475395",,"Tan Cap Fas-Trac Suspension","","Tan Cap Fas-Trac Suspension","Skullguard Tan Hard Cap Fas-Trac Suspension",/\4\7\MSA-Safety-Works-475395-MSA-Tan-Cap-Fas-Trac.jpg,/\4\7\MSA-Safety-Works-475395-MSA-Tan-Cap-Fas-Trac.jpg,http://www.48ws.com/images/product/4/7/MSA-Safety-Works-475395-MSA-Tan-Cap-Fas-Trac.jpg,MSA-Safety-Works-475395-MSA-Tan-Cap-Fas-Trac-Suspension,MSA-Safety-Works-475395-MSA-Tan-Cap-Fas-Trac-Suspension,,No layout updates.,Block after Info Column,,"Tan Cap Fas-Trac Suspension","Tan Cap Fas-Trac Suspension",Use config,"",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Skullguard Tan Hard Cap Fas-Trac Suspension","Agriculture,Asbestos Abatement,Chemical,Construction,Electric Utility,Hazardous Materials,Mining,Nuclear,Oil & Gas,Paper & Pulp,Sand Blasting,Sanding & Grinding,Water/Wastewater,Welding. Features heavy-duty construction for use as head protection in steel mills and other heavy industries where elevated temperatures are common.","<li>Style: Hard Cap</li>
<li>Suspension: Fas-Trac Ratchet</li>
<li>Color: Natural Tan</li>","","MSA Safety Works 475395 MSA Tan Cap Fas-Trac Suspension","Tan Cap Fas-Trac Suspension",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",87666,"475396",,"White Cap Fas-Trac Suspension","","White Cap Fas-Trac Suspension","MSA: Skullguard White Cap w/ Fas-Trac Suspension",/\4\7\MSA-Safety-Works-475396-MSA-White-Cap-Fas-Trac.jpg,/\4\7\MSA-Safety-Works-475396-MSA-White-Cap-Fas-Trac.jpg,http://www.48ws.com/images/product/4/7/MSA-Safety-Works-475396-MSA-White-Cap-Fas-Trac.jpg,MSA-Safety-Works-475396-MSA-White-Cap-Fas-Trac-Suspension,MSA-Safety-Works-475396-MSA-White-Cap-Fas-Trac-Suspension,,No layout updates.,Block after Info Column,,"White Cap Fas-Trac Suspension","White Cap Fas-Trac Suspension",Use config,"",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"MSA: Skullguard White Cap w/ Fas-Trac Suspension","Skullgard&reg; Caps and Hats feature heavy-duty construction for use as head protection in steel mills and other heavy industries where elevated temperatures are common.","","","MSA Safety Works 475396 MSA White Cap Fas-Trac Suspension","White Cap Fas-Trac Suspension",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",87667,"475407",,"Tan Hat With Fas-Trac Suspension","","Tan Hat With Fas-Trac Suspension","Tan Skullguard Hard Hat",/\4\7\MSA-Safety-Works-475407-MSA-Tan-Hat-With-Fas-Trac.jpg,/\4\7\MSA-Safety-Works-475407-MSA-Tan-Hat-With-Fas-Trac.jpg,http://www.48ws.com/images/product/4/7/MSA-Safety-Works-475407-MSA-Tan-Hat-With-Fas-Trac.jpg,MSA-Safety-Works-475407-MSA-Tan-Hat-With-Fas-Trac-Suspension,MSA-Safety-Works-475407-MSA-Tan-Hat-With-Fas-Trac-Suspension,,No layout updates.,Block after Info Column,,"Tan Hat With Fas-Trac Suspension","Tan Hat With Fas-Trac Suspension",Use config,"",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Tan Skullguard Hard Hat","This MSA Skullgard Protective Hard Hat features Fas-Trac ratcheting suspension, a knob-adjustable system that can be adjusted and fitted to your head, while the hat is being worn. Meets all applicable requirements for a Type I (top impact) helmet as outlined in ANSI/ISEA Z89.1-2009 (Class G) and the ANSI/ISEA Z89.1-2009 voluntary standard for low temperature [LT].","<li>Application: General purpose head protection</li>
<li>Color: Tan</li>
<li>Contents: Suspension System</li>
<li>Style: Non-Slotted</li>
<li>Type: Hard Hat</li>
<li>UPC: 641817003381</li>","","MSA Safety Works 475407 MSA Tan Hat With Fas-Trac Suspension","Tan Hat With Fas-Trac Suspension",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"159|25842","Hard Hats|Hard Hats",87668,"475408",,"White Hat w/ Fas-Trac Suspension","","White Hat w/ Fas-Trac Suspension","Hard Hat, White",/\4\7\MSA-Safety-Works-475408-MSA-White-Hat-w-Fas-Trac.jpg,/\4\7\MSA-Safety-Works-475408-MSA-White-Hat-w-Fas-Trac.jpg,http://www.48ws.com/images/product/4/7/MSA-Safety-Works-475408-MSA-White-Hat-w-Fas-Trac.jpg,MSA-Safety-Works-475408-MSA-White-Hat-w-Fas-Trac-Suspension,MSA-Safety-Works-475408-MSA-White-Hat-w-Fas-Trac-Suspension,,No layout updates.,Block after Info Column,,"White Hat w/ Fas-Trac Suspension","White Hat w/ Fas-Trac Suspension",Use config,"",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Hard Hat, White","<li>Skullgard Protective Caps and Hats</li>
<li>Layers of pressure-laminated, resin-impregnated textiles offer protection where metal splash and high temperatures are common.</li>
<li>Type I (top impact)</li>
<li>Hard Hat, Color White, Ratchet Suspension, Size Standard 6 1/2 to 8 Inch, Resin Impregnated Textile, Replacement Suspension 4LN54, For Steel Mills and Other Heavy Industries, Standards ANSI Z89.1-2003 Class G</li>","<li>Color: White</li>
<li>Headband Size: 6-1/2&quot; to 8&quot;</li>
<li>Material: Laminated Resin-Impregnated Textiles</li>
<li>Style: Full-Brim</li>","","MSA Safety Works 475408 MSA White Hat w/ Fas-Trac Suspension","White Hat w/ Fas-Trac Suspension",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1812|25775","Electrical Accessories|Automated Gas Detector Test Systems",297873,"10107602",,"4X MultiGas Detector - ALTAIR","","4X MultiGas Detector - ALTAIR","",/\1\0\msa-safety-works-10107602-4x-multigas-detector-altair.jpg,/\1\0\msa-safety-works-10107602-4x-multigas-detector-altair.jpg,http://www.48ws.com/images/product/1/0/msa-safety-works-10107602-4x-multigas-detector-altair.jpg,msa-safety-works-10107602-4x-multigas-detector-altair,msa-safety-works-10107602-4x-multigas-detector-altair,,No layout updates.,Block after Info Column,,"4X MultiGas Detector - ALTAIR","4X MultiGas Detector - ALTAIR",Use config,"http://us.msasafety.com/Portable-Gas-Detection/Multi-Gas/ALTAIR%26reg%3B-4X-Multigas-Detector/p/000080001600001022",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"4X MultiGas Detector - ALTAIR","<br><li>Dependable multigas detector tests for LEL, oxygen, carbon monoxide, hydrogen sulfide, sulfur dioxide and nitrogen dioxide</li><br>
<li>Economical construction saves users more than 50% on calibration gas, replacement sensors and maintenance</li><br>
<li>Four-year sensor life means detector lasts 60% longer than the industry average</li><br>
<li>Unit uses 50% less calibration gas per minute than the average detectors within the industry</li><br>
<li>Two-tox CO/H2S sensor removes practically all cross-channel interference</li><br>
<li>Large buttons and high-contrast screen make operation easy in low-light conditions</li><br>
<li>Ribbed rubber housing provides secure grip and high durability</li><br>
<li>Unit features 95+ db alarm and ultra-bright LEDs</li><br>
<li>Exclusive end-of-sensor warning cautions user when unit's sensor needs to be changed</li><br>
<li>MotionAlert option tells others that user has become immobile</li><br>
<li>InstantAlert provides manual alarm to alert others of a dangerous situation</li>
","The ALTAIR 4X is an extremely durable Multigas Detector that simultaneously measures up to four gases from a wide range of XCell(R) sensor options including combustible gases, O2, CO, H2S, SO2 and NO2. The ALTAIR 4X Detector surpasses industry standards in several crucial areas. Its four-year sensor life is 60% longer than the industry average, while its 24-hour run time exceeds the industry average by 71%. This versatile portable detector is a perfect match for industries ranging from fire fighting to welding, and its digital sensor output makes it less likely to suffer from RF interference. The unit features exclusive MotionAlert™, which lets others know if the user has become immobile, and InstantAlert™, a manual alarm that alerts others of potentially dangerous situations. This rugged unit is designed to withstand a drop of up to 20 ft (6m) and uses less than half as much calibration gas as the industry average. ","","","4X MultiGas Detector - ALTAIR",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",447995,"818386",,"Standard V-Gard Hard Capw","","Standard V-Gard Hard Capw","",/\8\1\msa-safety-works-818386-standard-v-gard-hard-capw.jpg,/\8\1\msa-safety-works-818386-standard-v-gard-hard-capw.jpg,http://www.48ws.com/images/product/8/1/msa-safety-works-818386-standard-v-gard-hard-capw.jpg,msa-safety-works-818386-standard-v-gard-hard-capw,msa-safety-works-818386-standard-v-gard-hard-capw,,No layout updates.,Block after Info Column,,"Standard V-Gard Hard Capw","Standard V-Gard Hard Capw",Use config,"http://www.msasafety.com/global/",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","Baltimore Ravens Logo","Standard V-Gard Hard Capw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",447996,"818392",,"Standard V-Gard Hard Capw","","Standard V-Gard Hard Capw","",/\8\1\msa-safety-works-818392-standard-v-gard-hard-capw.jpg,/\8\1\msa-safety-works-818392-standard-v-gard-hard-capw.jpg,http://www.48ws.com/images/product/8/1/msa-safety-works-818392-standard-v-gard-hard-capw.jpg,msa-safety-works-818392-standard-v-gard-hard-capw,msa-safety-works-818392-standard-v-gard-hard-capw,,No layout updates.,Block after Info Column,,"Standard V-Gard Hard Capw","Standard V-Gard Hard Capw",Use config,"http://www.msasafety.com/global/",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","Dallas Cowboys Logo","Standard V-Gard Hard Capw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",447997,"818407",,"NFL Hard Hat","","NFL Hard Hat","",/\8\1\msa-safety-works-818407-nfl-hard-hat.jpg,/\8\1\msa-safety-works-818407-nfl-hard-hat.jpg,http://www.48ws.com/images/product/8/1/msa-safety-works-818407-nfl-hard-hat.jpg,msa-safety-works-818407-nfl-hard-hat,msa-safety-works-818407-nfl-hard-hat,,No layout updates.,Block after Info Column,,"NFL Hard Hat","NFL Hard Hat",Use config,"http://www.msasafety.com/global/",0,,,0,"MSA Safety Works",522,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","Pittsburgh Steelers","NFL Hard Hat",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
