store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"877|19628","Brushes|Scrub Brushes",87487,"191",,"3-Knot Roof Brush","","3-Knot Roof Brush","3 Knot Roof Coat Brush",/\1\9\Magnolia-Brush-Manufacturers-191-3-Knot-Roof.jpg,/\1\9\Magnolia-Brush-Manufacturers-191-3-Knot-Roof.jpg,http://www.48ws.com/images/product/1/9/Magnolia-Brush-Manufacturers-191-3-Knot-Roof.jpg,Magnolia-Brush-Manufacturers-191-3-Knot-Roof-Brush,Magnolia-Brush-Manufacturers-191-3-Knot-Roof-Brush,,No layout updates.,Block after Info Column,,"3-Knot Roof Brush","3-Knot Roof Brush",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3 Knot Roof Coat Brush","<li>Natural tampico fiber 3-knot brush</li>
<li>Wood block with tapered handle hole</li>
<li>Handle NOT INCLUDED</li>
<li>3-1/2&quot; trim length</li>
<li>Use to apply roof tar and heavy coatings</li>
","3 Knot, Roof Coat Brush, Head Only, Natural Tampico Bristles In Sturdy Steel Ferrules, Heavy Duty Wood Block With Threaded Handle Hole, Ideal For Applying Roof Coatings & Sealants.","","Magnolia Brush Manufacturers 191 3-Knot Roof Brush ","3-Knot Roof Brush",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"256|24903","Floor|Floor Sanders",87489,"463",,"Angle Cut House Broom Metal Handle","","Angle Cut House Broom Metal Handle","Magnolia Brush 463-L/H Left Hand Angle Broom without Handle",/\4\6\Magnolia-Brush-Manufacturers-463-Angle-Cut-House-Broom.jpg,/\4\6\Magnolia-Brush-Manufacturers-463-Angle-Cut-House-Broom.jpg,http://www.48ws.com/images/product/4/6/Magnolia-Brush-Manufacturers-463-Angle-Cut-House-Broom.jpg,Magnolia-Brush-Manufacturers-463-Angle-Cut-House-Broom-Metal-Handle,Magnolia-Brush-Manufacturers-463-Angle-Cut-House-Broom-Metal-Handle,,No layout updates.,Block after Info Column,,"Angle Cut House Broom Metal Handle","Angle Cut House Broom Metal Handle",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Magnolia Brush 463-L/H Left Hand Angle Broom without Handle","<li>Flagged crème colored plastic is secured in an angled plastic cap</li>
<li>Angled sweeping surface enables you to sweep hard to reach corners and crevices</li>
<li>Handle not included</li>
<li>Trim length 6 3/4&quot;</li>
<li>Width 12&quot;</li>","","","Magnolia Brush Manufacturers 463 Angle Cut House Broom Metal Handle ","Angle Cut House Broom Metal Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"256|24903","Floor|Floor Sanders",87497,"5524",,"24&quot; Stiff Garage Broom With 1-1/8&quot; x 60&quot; Metal Tip Handle","","24&quot; Stiff Garage Broom With 1-1/8&quot; x 60&quot; Metal Tip Handle","Magnolia Brush 5524-FX 24&quot; Stiff Green Poly Flexsweep Garage Brush",/\5\5\Magnolia-Brush-Manufacturers-5524-24-Stiff-Garage-Broom.jpg,/\5\5\Magnolia-Brush-Manufacturers-5524-24-Stiff-Garage-Broom.jpg,http://www.48ws.com/images/product/5/5/Magnolia-Brush-Manufacturers-5524-24-Stiff-Garage-Broom.jpg,Magnolia-Brush-Manufacturers-5524-24-Stiff-Garage-Broom-With-1-18-x-60-Metal-Tip-Handle,Magnolia-Brush-Manufacturers-5524-24-Stiff-Garage-Broom-With-1-18-x-60-Metal-Tip-Handle,,No layout updates.,Block after Info Column,,"24&quot; Stiff Garage Broom With 1-1/8&quot; x 60&quot; Metal Tip Handle","24&quot; Stiff Garage Broom With 1-1/8&quot; x 60&quot; Metal Tip Handle",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Magnolia Brush 5524-FX 24&quot; Stiff Green Poly Flexsweep Garage Brush","<li>Block Length=24 in, Block Material=Hardwood, Block Finish=Clear Lacquered, Trim Length=3 3/4 in, Bri</li>
<li>Use for wet or dry sweeping rough concrete or asphalt floors</li>
<li>Will not soften when exposed to water, oils or greases</li>
<li>Will sweep finest dust or grit</li>
<li>Requires a FX-60 handle</li>","","","Magnolia Brush Manufacturers 5524 24&quot; Stiff Garage Broom With 1-1/8&quot; x 60&quot; Metal Tip Handle ","24&quot; Stiff Garage Broom With 1-1/8&quot; x 60&quot; Metal Tip Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1326|19659","Cleaning Supplies|Dust Mops",87741,"93612       ",,"36&quot; x 5&quot; Dust Mop, Cover Only","","36&quot; x 5&quot; Dust Mop, Cover Only","36&quot; 4-Ply Dust Mop Headcotten Yarn",/\9\3\Magnolia-Brush-Manufacturers-93612-36-x-5-Dust-Mop-Cover.jpg,/\9\3\Magnolia-Brush-Manufacturers-93612-36-x-5-Dust-Mop-Cover.jpg,http://www.48ws.com/images/product/9/3/Magnolia-Brush-Manufacturers-93612-36-x-5-Dust-Mop-Cover.jpg,Magnolia-Brush-Manufacturers-93612-36-x-5-Dust-Mop-Cover-Only,Magnolia-Brush-Manufacturers-93612-36-x-5-Dust-Mop-Cover-Only,,No layout updates.,Block after Info Column,,"36&quot; x 5&quot; Dust Mop, Cover Only","36&quot; x 5&quot; Dust Mop, Cover Only",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"36&quot; 4-Ply Dust Mop Headcotten Yarn","<li>4-ply yarn is evenly sewn on sanforized duckDust mops provide outstanding performance</li>
<li>Length: 36&quot;</li>
<li>Width: 5&quot;</li>
<li>Material: White Absorbent Cotton Yarn</li>
<li>Weight: 2.17lbs</li>","","","Magnolia Brush Manufacturers 93612 36&quot; x 5&quot; Dust Mop, Cover Only","36&quot; x 5&quot; Dust Mop, Cover Only",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1326|19659","Cleaning Supplies|Dust Mops",87742,"4724",,"Mop, Head Only, 24Oz. Cotton- No Handle","","Mop, Head Only, 24Oz. Cotton- No Handle","24Oz. Cotton Mop Head",/\4\7\Magnolia-Brush-Manufacturers-4724-Mop-Head-Only-24Oz-Cotton.jpg,/\4\7\Magnolia-Brush-Manufacturers-4724-Mop-Head-Only-24Oz-Cotton.jpg,http://www.48ws.com/images/product/4/7/Magnolia-Brush-Manufacturers-4724-Mop-Head-Only-24Oz-Cotton.jpg,Magnolia-Brush-Manufacturers-4724-Mop-Head-Only-24Oz-Cotton-No-Handle,Magnolia-Brush-Manufacturers-4724-Mop-Head-Only-24Oz-Cotton-No-Handle,,No layout updates.,Block after Info Column,,"Mop, Head Only, 24Oz. Cotton- No Handle","Mop, Head Only, 24Oz. Cotton- No Handle",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"24Oz. Cotton Mop Head","<li>Made of 4 ply highly absorbent, long wearing yarns</li>
<li>Mops are sewn 2 times</li>","<li>Mop Size: 24 Oz.</li>
<li>Material: 4 Ply Cotton Yarn</li>
<li>Type: Regular</li>
<li>UPC: 035162047242</li>","","Magnolia Brush Manufacturers 4724 Mop, Head Only, 24Oz. Cotton- No Handle","Mop, Head Only, 24Oz. Cotton- No Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1326|19703","Cleaning Supplies|Cleaning Supplies Holders",87743,"59053",,"7-1/2&quot; Window Squeegee W/ 18&quot; Handle","","7-1/2&quot; Window Squeegee W/ 18&quot; Handle","7-1/2&quot; Deluxe Steel Head Window Squeegee w/ 18&quot; Handle ",/\5\9\Magnolia-Brush-Manufacturers-59053-7-12-Window-Squeegee-W.jpg,/\5\9\Magnolia-Brush-Manufacturers-59053-7-12-Window-Squeegee-W.jpg,http://www.48ws.com/images/product/5/9/Magnolia-Brush-Manufacturers-59053-7-12-Window-Squeegee-W.jpg,Magnolia-Brush-Manufacturers-59053-7-12-Window-Squeegee-W-18-Handle,Magnolia-Brush-Manufacturers-59053-7-12-Window-Squeegee-W-18-Handle,,No layout updates.,Block after Info Column,,"7-1/2&quot; Window Squeegee W/ 18&quot; Handle","7-1/2&quot; Window Squeegee W/ 18&quot; Handle",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"7-1/2&quot; Deluxe Steel Head Window Squeegee w/ 18&quot; Handle ","<li>7-1/2&quot; Deluxe Steel Head Window Squeegee With 18&quot; Wood Handle</li>
<li>EPDM Rubber Blade</li>
<li>Heavy Duty Nylon net</li>
<li>Heavy Duty Sponge</li>","","","Magnolia Brush Manufacturers 59053 7-1/2&quot; Window Squeegee W/ 18&quot; Handle","7-1/2&quot; Window Squeegee W/ 18&quot; Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1326|19659","Cleaning Supplies|Dust Mops",87744,"455-91",,"Mop > Handle Only < 54&quot; > No Head","","Mop > Handle Only < 54&quot; > No Head","Mop, Handle Only",/\4\5\Magnolia-Brush-Manufacturers-455-91-Mop-Handle-Only-54-No.jpg,/\4\5\Magnolia-Brush-Manufacturers-455-91-Mop-Handle-Only-54-No.jpg,http://www.48ws.com/images/product/4/5/Magnolia-Brush-Manufacturers-455-91-Mop-Handle-Only-54-No.jpg,Magnolia-Brush-Manufacturers-455-91-Mop-Handle-Only-54-No-Head,Magnolia-Brush-Manufacturers-455-91-Mop-Handle-Only-54-No-Head,,No layout updates.,Block after Info Column,,"Mop > Handle Only < 54&quot; > No Head","Mop > Handle Only < 54&quot; > No Head",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mop, Handle Only","<li>Heavily zinc plated steel construction securely fastened to a No. 1 grade 18in. diameter, 54 inch handle.</li>
<li>Standard wing nut construction with channel-type cross bar that detaches from one side to allow quick change of mop head.</li>

","<li> Length: 54&quot;</li>
<li>Diameter: 18&quot;</li>
<li>Material: Steel</li>
<li>Finish: Zinc plated</li>
<li>Handle Material: Wood</li>
<li>Used With: 20 to 32 oz. Mop Heads</li>
<li>UPC: 035162800915</li>","","Magnolia Brush Manufacturers 455-91 Mop > Handle Only < 54&quot; > No Head","Mop > Handle Only < 54&quot; > No Head",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"877|19628","Brushes|Scrub Brushes",88741,"4515",,"20&quot; Long Handle Acid Brush","","20&quot; Long Handle Acid Brush","Long Handle Utility Brush",/\4\5\4515-Magnolia-Brush-20-Long-Handle-Acid.jpg,/\4\5\4515-Magnolia-Brush-20-Long-Handle-Acid.jpg,http://www.48ws.com/images/product/4/5/4515-Magnolia-Brush-20-Long-Handle-Acid.jpg,4515-Magnolia-Brush-20-Long-Handle-Acid-Brush,4515-Magnolia-Brush-20-Long-Handle-Acid-Brush,,No layout updates.,Block after Info Column,,"20&quot; Long Handle Acid Brush","20&quot; Long Handle Acid Brush",Use config,"http://www.magnoliabrush.com/pdf-files/_Magnolia%20Catalog%202011%20smaller.pdf",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Long Handle Utility Brush","<li>Long handle</li>
<li>Will not absorb water</li>
<li>Use where sanitation is required</li>
<li>Trim length 2&quot;</li>
<li>Handle material foam plastic</li>","","","4515 Magnolia Brush 20&quot; Long Handle Acid Brush","20&quot; Long Handle Acid Brush",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"877|24897","Brushes|End Brushes",88742,"9851",,"Handle Brace","","Handle Brace","Heavy Duty Handle Brace",/\9\8\9851-Magnolia-Brush-Handle.jpg,/\9\8\9851-Magnolia-Brush-Handle.jpg,http://www.48ws.com/images/product/9/8/9851-Magnolia-Brush-Handle.jpg,9851-Magnolia-Brush-Handle-Brace,9851-Magnolia-Brush-Handle-Brace,,No layout updates.,Block after Info Column,,"Handle Brace","Handle Brace",Use config,"http://www.magnoliabrush.com/pdf-files/_Magnolia%20Catalog%202011%20smaller.pdf",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Heavy Duty Handle Brace","Made of Aluminum Bar Stock","","","9851 Magnolia Brush Handle Brace","Handle Brace",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19799","Squeegee Replacement Blades and Refills",88743,"4124",,"24&quot; Squeegee","","24&quot; Squeegee","Squeegee frame is made of 1&quot; angle aluminum to which a 2&quot; wide x 1/4&quot; thick strip of high-grade black squeegee rubber or neoprene is attached with cadmium plated screws",/\4\1\4124-Magnolia-Brush-24.jpg,/\4\1\4124-Magnolia-Brush-24.jpg,http://www.48ws.com/images/product/4/1/4124-Magnolia-Brush-24.jpg,magnolia-brush-manufacturers-4124-24-squeegee,magnolia-brush-manufacturers-4124-24-squeegee,,No layout updates.,Block after Info Column,,"24&quot; Squeegee","24&quot; Squeegee",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Squeegee frame is made of 1&quot; angle aluminum to which a 2&quot; wide x 1/4&quot; thick strip of high-grade black squeegee rubber or neoprene is attached with cadmium plated screws","<li>Non-Sparking</li>
<li>Straight Squeegee with Tapered Handle Socket</li>
<li>Frame Material: Aluminum</li>","","","4124 Magnolia Brush 24&quot; Squeegee","24&quot; Squeegee",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19799","Squeegee Replacement Blades and Refills",88744,"4636",,"36&quot; Curved Squeegee w/ No Handle","","36&quot; Curved Squeegee w/ No Handle","This Magnolia Curved Squeegee frame is made of 1 inch angle aluminum to which a 2 inch wide by 1/4 inch thick strip of high-grade flexible black squeegee rubber is attached with cadmium plated screws. These squeegees are equipped with a tapered handle soc",/\4\6\4636-Magnolia-Brush-36-Curved-Squeegee-w-No.jpg,/\4\6\4636-Magnolia-Brush-36-Curved-Squeegee-w-No.jpg,http://www.48ws.com/images/product/4/6/4636-Magnolia-Brush-36-Curved-Squeegee-w-No.jpg,magnolia-brush-manufacturers-4636-36-curved-squeegee-w-no-handle,magnolia-brush-manufacturers-4636-36-curved-squeegee-w-no-handle,,No layout updates.,Block after Info Column,,"36&quot; Curved Squeegee w/ No Handle","36&quot; Curved Squeegee w/ No Handle",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This Magnolia Curved Squeegee frame is made of 1 inch angle aluminum to which a 2 inch wide by 1/4 inch thick strip of high-grade flexible black squeegee rubber is attached with cadmium plated screws. These squeegees are equipped with a tapered handle socket.","","","","4636 Magnolia Brush 36&quot; Curved Squeegee w/ No Handle","36&quot; Curved Squeegee w/ No Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19659","Dust Mops",88745,"5136",,"36&quot; Dust Mop Head","","36&quot; Dust Mop Head","Frames constructed of 1/4&quot; nickel plated steel rods. Snap on frames",/\5\1\5136-Magnolia-Brush-36-x-5-Wire-Dustmop.jpg,/\5\1\5136-Magnolia-Brush-36-x-5-Wire-Dustmop.jpg,http://www.48ws.com/images/product/5/1/5136-Magnolia-Brush-36-x-5-Wire-Dustmop.jpg,magnolia-brush-manufacturers-5136-36-dust-mop-head,magnolia-brush-manufacturers-5136-36-dust-mop-head,,No layout updates.,Block after Info Column,,"36&quot; Dust Mop Head","36&quot; Dust Mop Head",Use config,"http://www.magnoliabrush.com/products/industrial-grade-looped-end-0",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mop heads are made of 4 ply, looped end white cotton yarn evenly sewn on Sanforized duck. Outside yarn is sewn on duck with two rows of lock stitching. Convenient zipper for easy changing of mop head.","Corrosion resistant, powder coated, heavy-duty metal frame for durable performance.","","","5136 Magnolia Brush 36&quot; x 5&quot; Wire Dustmop Frame","36&quot; Dust Mop Head",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1326|19659","Cleaning Supplies|Dust Mops",88746,"60353",,"Yellow Plastic Mop Bucket Combo","","Yellow Plastic Mop Bucket Combo","",/\6\0\60353-Magnolia-Brush-Yellow-Plastic-Mop-Bucket.jpg,/\6\0\60353-Magnolia-Brush-Yellow-Plastic-Mop-Bucket.jpg,http://www.48ws.com/images/product/6/0/60353-Magnolia-Brush-Yellow-Plastic-Mop-Bucket.jpg,60353-Magnolia-Brush-Yellow-Plastic-Mop-Bucket-Combo,60353-Magnolia-Brush-Yellow-Plastic-Mop-Bucket-Combo,,No layout updates.,Block after Info Column,,"Yellow Plastic Mop Bucket Combo","Yellow Plastic Mop Bucket Combo",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Yellow mop bucket with wringer designed for durability</li>
<li>Bucket is corrosion resistant</li>
<li>No cracks or crevices to collect dirt</li>
<li>Wringer is resistant to cleaning chemicals</li>
<li>Comes with standard 3&quot; ball bearing casters</li>
<li>20 lbs.</li>","","","60353 Magnolia Brush Yellow Plastic Mop Bucket Combo","Yellow Plastic Mop Bucket Combo",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1326|19703","Cleaning Supplies|Cleaning Supplies Holders",88747,"A60",,"60&quot; Threaded Wood Handle","","60&quot; Threaded Wood Handle","One end rounded and the other end is standard wood thread",/\A\6\A60-Magnolia-Brush-60-Threaded-Wood.jpg,/\A\6\A60-Magnolia-Brush-60-Threaded-Wood.jpg,http://www.48ws.com/images/product/A/6/A60-Magnolia-Brush-60-Threaded-Wood.jpg,12803-Magnolia-Brush-60-Threaded-Wood-Handle,12803-Magnolia-Brush-60-Threaded-Wood-Handle,,No layout updates.,Block after Info Column,,"60&quot; Threaded Wood Handle","60&quot; Threaded Wood Handle",Use config,"",0,,,0,"Magnolia Brush Manufacturers",487,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"One end rounded and the other end is standard wood thread","<li>Length: 60&quot;</li>
<li>Diameter: 1-1/8&quot;</li>
<li>Handle Tip Material: Straight-Grained Hardwood</li>
<li>Finish: Clear Lacquered</li>","","","A60 Magnolia Brush 60&quot; Threaded Wood Handle","60&quot; Threaded Wood Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
