store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"238|27828","Mechanic Gloves|Deerskin Gloves",101970,"2150DP",,"Double Palm Deerskin Gloves","","Double Palm Deerskin Gloves","",/\2\1\Majestic-2150DP-Double-Palm-Deerskin.jpg,/\2\1\Majestic-2150DP-Double-Palm-Deerskin.jpg,http://www.48ws.com/images/product/2/1/Majestic-2150DP-Double-Palm-Deerskin.jpg,majestic-2150DP-,majestic-2150DP-,,No layout updates.,Block after Info Column,,"Double Palm Deerskin Gloves","Double Palm Deerskin Gloves",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Grain Deerskin with Patched Palms</li><br>
<li>Patched Thumb Crotch Area</li><br>
<li>Patched Fingertips</li><br>
<li>Vented Gussets, Stretch Knit Back</li><br>
<li>Neoprene Knuckle Area</li><br>
<li>Velcro Wrist Closure</li>","","","Majestic 2150DP Double Palm Deerskin Gloves","Double Palm Deerskin Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",101971,"1549",,"Single Palm Deerskin Mechanics Gloves","Majestic Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves","",/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,http://www.48ws.com/images/product/1/5/Majestic-Single-Palm-Deerskin-Mechanics.jpg,majestic-1549-,majestic-1549-,,No layout updates.,Block after Info Column,,"Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Deerskin in a True Mechanics Style Glove</li><br>
<li>Seamless Palm</li><br>
<li>Wing Thumb</li><br>
<li>Stretch Knit Back</li><br>
<li>Neoprene Knuckle Area</li>","","","A Grade Black Deerskin Palm, Black Mesh Back, Neoprene Knuckle, Velcro Closure, Mechanics Style","Single Palm Deerskin Mechanics Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",101972,"2148",,"Single Palm Deerskin Mechanics Gloves","Majestic Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves","",/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,http://www.48ws.com/images/product/1/5/Majestic-Single-Palm-Deerskin-Mechanics.jpg,majestic-2148-,majestic-2148-,,No layout updates.,Block after Info Column,,"Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Majestic Single Palm Deerskin Mechanics Gloves","<br>
<li>Deerskin in a True Mechanics Style Glove</li><br>
<li>Seamless Palm</li><br>
<li>Wing Thumb</li><br>
<li>Stretch Knit Back</li><br>
<li>Neoprene Knuckle Area</li>","","","A Grade Gold Deerskin Palm, Black Mesh Back, Neoprene Knuckle, Velcro Closure, Mechanics Style","Single Palm Deerskin Mechanics Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",101973,"2149",,"Single Palm Deerskin Mechanics Gloves","Majestic Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves","",/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,http://www.48ws.com/images/product/1/5/Majestic-Single-Palm-Deerskin-Mechanics.jpg,majestic-2149-,majestic-2149-,,No layout updates.,Block after Info Column,,"Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Majestic Single Palm Deerskin Mechanics Gloves","<br>
<li>Deerskin in a True Mechanics Style Glove</li><br>
<li>Seamless Palm</li><br>
<li>Wing Thumb</li><br>
<li>Stretch Knit Back</li><br>
<li>Neoprene Knuckle Area</li>","","","Black Deerskin Palm, Mesh Back","Single Palm Deerskin Mechanics Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",101974,"2150",,"Single Palm Deerskin Mechanics Gloves","Majestic Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves","",/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,http://www.48ws.com/images/product/1/5/Majestic-Single-Palm-Deerskin-Mechanics.jpg,majestic-2150-,majestic-2150-,,No layout updates.,Block after Info Column,,"Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Majestic Single Palm Deerskin Mechanics Gloves","<br>
<li>Deerskin in a True Mechanics Style Glove</li><br>
<li>Seamless Palm</li><br>
<li>Wing Thumb</li><br>
<li>Stretch Knit Back</li><br>
<li>Neoprene Knuckle Area</li>","","","A Grade Gold Deerskin Palm, Black Stretch Back, Velcro Closure, Mechanics Style","Single Palm Deerskin Mechanics Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",101975,"2151",,"Single Palm Deerskin Mechanics Gloves","Majestic Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves","",/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,http://www.48ws.com/images/product/1/5/Majestic-Single-Palm-Deerskin-Mechanics.jpg,majestic-2151-,majestic-2151-,,No layout updates.,Block after Info Column,,"Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Majestic Single Palm Deerskin Mechanics Gloves","<br>
<li>Deerskin in a True Mechanics Style Glove</li><br>
<li>Seamless Palm</li><br>
<li>Wing Thumb</li><br>
<li>Stretch Knit Back</li><br>
<li>Neoprene Knuckle Area</li>","","","A Grade Black Deerskin Palm, Black Stretch Back, Velcro Closure, Mechanics Style","Single Palm Deerskin Mechanics Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",101976,"2150GR",,"Single Palm Deerskin Mechanics Gloves","Majestic Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves","",/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,/\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,http://www.48ws.com/images/product/1/5/Majestic-Single-Palm-Deerskin-Mechanics.jpg,majestic-2150GR-,majestic-2150GR-,,No layout updates.,Block after Info Column,,"Single Palm Deerskin Mechanics Gloves","Single Palm Deerskin Mechanics Gloves",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Majestic Single Palm Deerskin Mechanics Gloves","<br>
<li>Deerskin in a True Mechanics Style Glove</li><br>
<li>Seamless Palm</li><br>
<li>Wing Thumb</li><br>
<li>Stretch Knit Back</li><br>
<li>Neoprene Knuckle Area</li>","","","A Grade Gold Deerskin Palm, Green Stretch Back, Velcro Closure, Mechanics Style","Single Palm Deerskin Mechanics Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"238|25827","Mechanic Gloves|Mechanics Gloves",101977,"2140",,"Deersplit Mechanics Gloves","","Deersplit Mechanics Gloves","A Grade Gray Deersplit Palm, Black Knit Back For Comfort, Velcro wrist Closure",/\2\1\Majestic-2140-Deersplit-Mechanics.jpg,/\2\1\Majestic-2140-Deersplit-Mechanics.jpg,http://www.48ws.com/images/product/2/1/Majestic-2140-Deersplit-Mechanics.jpg,majestic-2140-,majestic-2140-,,No layout updates.,Block after Info Column,,"Deersplit Mechanics Gloves","Deersplit Mechanics Gloves",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A Grade Gray Deersplit Palm, Black Knit Back For Comfort, Velcro wrist Closure","<br>
<li>Deersplit Palm with Black Stretch Back</li><br>
<li>Velcro Wrist Closure</li><br>
<li>Extraordinary comfort</li>","","","Majestic 2140 Deersplit Mechanics Gloves","Deersplit Mechanics Gloves",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"237|25826","Leather Gloves|Leather Palm Gloves",102068,"2152",,"Pigskin Single Palm, Velcro Closure","Majestic Pigskin Single Palm, Velcro Closure","Pigskin Single Palm, Velcro Closure","",/\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,/\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,http://www.48ws.com/images/product/2/1/Majestic-Pigskin-Single-Palm-Velcro.jpg,majestic-2152-,majestic-2152-,,No layout updates.,Block after Info Column,,"Pigskin Single Palm, Velcro Closure","Pigskin Single Palm, Velcro Closure",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Pigskin Palm</li><br>
<li>Neoprene Knuckle Area</li><br>
<li>Velcro Wrist Closure</li>","","","A Grade Beige Pigskin Palm, Blue Stretch Back, Neoprene Knuckle, Velcro Closure, Mechanics Style","Pigskin Single Palm, Velcro Closure",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"237|25826","Leather Gloves|Leather Palm Gloves",102076,"2130BK",,"Pigskin Single Palm, Velcro Closure","Majestic Pigskin Single Palm, Velcro Closure","Pigskin Single Palm, Velcro Closure","",/\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,/\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,http://www.48ws.com/images/product/2/1/Majestic-Pigskin-Single-Palm-Velcro.jpg,majestic-2130BK-,majestic-2130BK-,,No layout updates.,Block after Info Column,,"Pigskin Single Palm, Velcro Closure","Pigskin Single Palm, Velcro Closure",Use config,"http://www.majesticglove.com/",0,,,0,"Majestic",705,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Majestic Pigskin Single Palm, Velcro Closure","<br>
<li>Pigskin Palm</li><br>
<li>Neoprene Knuckle Area</li><br>
<li>Velcro Wrist Closure</li>","","","Gold brushed pigskin palm with a stretch knit back and velcro wrist closure. Neoprene Knuckle Area","Pigskin Single Palm, Velcro Closure",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
