store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"24852","Hole Saws",462081,"HF1",," 1-3/8&quot; Quick Action Carbide Tipped Hole Saw",""," 1-3/8&quot; Quick Action Carbide Tipped Hole Saw","",/\H\F\malco-hf1-quick-action-carbide-tipped-hole-saw-1-38.jpg,/\H\F\malco-hf1-quick-action-carbide-tipped-hole-saw-1-38.jpg,http://www.48ws.com/images/product/H/F/malco-hf1-quick-action-carbide-tipped-hole-saw-1-38.jpg,malco-HF1-1-38-quick-action-carbide-tipped-hole-saw,malco-HF1-1-38-quick-action-carbide-tipped-hole-saw,,No layout updates.,Block after Info Column,," 1-3/8&quot; Quick Action Carbide Tipped Hole Saw"," 1-3/8&quot; Quick Action Carbide Tipped Hole Saw",Use config,"http://malcoproducts.com/product/roofing-siding-gutter/siding-vinyl/saw-blades-hole-saws/quick-action-carbide-tipped-hole-saws",0,,,0,"Malco",1524,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Aggressive carbide tipped teeth with deep self-cleaning gullets and a generous 2-1/4 in. (57 mm) cup depth make “Quick Action” Hole Saws versatile for cutting through a variety of thick or layered wood, wall tile, fiberglass, plastic and tough fiber-cement siding (including popular James Hardie fiber-cement products). 

The full selection of “Quick Action” Hole Saws (19 sizes in all) share a unique “Quick Connect” Arbor design that is compatible with industry standard 5/8-18 hole saw threads. The arbor easily holds or releases Malco “Quick Change” Pilot Drills. The arbor’s quick release feature also ejects saw plugs with ease!

“Quick Change” Pilot Drills are available in both high speed steel and carbide tipped designs and feature a built-in 10 mm hex shank for tight gripping in a 1/2 in. (12.7 mm) drill. The extra length of these pilot drills allows the drill point to extend 1 in. (25.4 mm) out from the hole saw cup teeth for cutting uneven surfaces like lap siding. Cutting a vent hole in the rim joist or outside wall of a house clad in fiber-cement siding is a breeze!","<li>Aggressive carbide tips</li>
    <li>Deep self-cleaning gullets</li>
    <li>Generous cup depth</li>
    <li>Extra-long &quot;Quick Change&quot; HSS and carbide tipped pilot drills</li>
    <li>&quot;Quick Connect&quot; Arbor</li>
    <li>Easy plug ejection</li>","<table>

                        <tbody><tr>

                            <th scope=&quot;col&quot;>Catalog #</th>

                            <th scope=&quot;col&quot;>Description</th>

                            
                                <th scope=&quot;col&quot;>Hole Diameter in. (mm)</th>

                                
                                <th scope=&quot;col&quot;>Cutting Depth in. (mm)</th>

                                
                                <th scope=&quot;col&quot;>Thread Size</th>

                                
                            </tr>

                            
                            
                                
                                
                                <tr>

                                    
                                    
                                        <td>HF1</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>1-3/8 (35)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF2</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>1-7/8 (48)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF3</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2 (51)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF4</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2-3/8 (60)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF5</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2-1/2 (64)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF6</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2-3/4 (70)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF7</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>3 (76)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF8</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>3-1/2 (89)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF9</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>4 (102)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF10</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>4-1/8 (105)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF11</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>4-1/2 (114)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF12</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>5 (127)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF13</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>5-1/4 (133)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF14</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>5-1/2 (140)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF15</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>6 (152)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF16</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>6-5/16 (160)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF17</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2-9/16 (65)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF18</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>3-5/8 (92)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF19</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>4-5/8 (117)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                        </tbody></table>

                        <table cellspacing=&quot;1&quot; cellpadding=&quot;1&quot; border=&quot;1&quot; align=&quot;left&quot; width=&quot;200&quot;>
    <caption>Quick Connect Arbor</caption>
    <thead>
        <tr>
            <th scope=&quot;col&quot;>Catalog #</th>
            <th scope=&quot;col&quot;>Thread Size</th>
            <th scope=&quot;col&quot;>Hex Opening mm</th>
            <th scope=&quot;col&quot;>For Hole Saws in.(mm)</th>
            <th scope=&quot;col&quot;>Use with Pilot Drills</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>HA3</td>
            <td>5/8 - 18</td>
            <td>10.32</td>
            <td>1-3/8 - 6-5/16 (35-160)</td>
            <td>HH4, HH5, HHA4, HHA5</td>
        </tr>
    </tbody>
</table>
<pre>&nbsp;</pre>
<p>&nbsp;</p>
<table cellspacing=&quot;1&quot; cellpadding=&quot;1&quot; border=&quot;1&quot; align=&quot;left&quot; width=&quot;200&quot;>
    <caption>
    <p>&nbsp;</p>
    <p>Quick Change Pilot Drills</p>
    </caption>
    <thead>
        <tr>
            <th scope=&quot;col&quot;>Catalog #</th>
            <th scope=&quot;col&quot;>Drill</th>
            <th scope=&quot;col&quot;>Hex Shank mm</th>
            <th scope=&quot;col&quot;>Overall Length in.(mm)</th>
            <th scope=&quot;col&quot;>Drill Chuck in.(mm)</th>
            <th scope=&quot;col&quot;>Use with Arbor</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>HH4</td>
            <td>High Speed Steel</td>
            <td>10</td>
            <td>7-3/4 (196)</td>
            <td>1/2 (12.7)</td>
            <td>HA3</td>
        </tr>
        <tr>
            <td>HH5</td>
            <td>Carbide Tipped</td>
            <td>10</td>
            <td>7-3/4 (196)</td>
            <td>1/2 (12.7)</td>
            <td>HA3</td>
        </tr>
    </tbody>
</table>
<p>&nbsp;</p>
<table cellspacing=&quot;1&quot; cellpadding=&quot;1&quot; border=&quot;1&quot; align=&quot;left&quot; width=&quot;200&quot;>
    <caption>
    <p>&nbsp;</p>
    <p>Quick Release Sets - Arbor with Pilot Drill</p>
    </caption>
    <thead>
        <tr>
            <th scope=&quot;col&quot;>Catalog #</th>
            <th scope=&quot;col&quot;>Drill</th>
            <th scope=&quot;col&quot;>Hex Shank mm</th>
            <th scope=&quot;col&quot;>Overall Length in.(mm)</th>
            <th scope=&quot;col&quot;>Drill Chuck in.(mm)</th>
            <th scope=&quot;col&quot;>For Hole Saws in.(mm)</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>HHA4</td>
            <td>High Speed Steel</td>
            <td>10</td>
            <td>7-3/4 (196)</td>
            <td>1/2 (12.7)</td>
            <td>1-3/8 - 6-5/16 (35-160)</td>
        </tr>
        <tr>
            <td>HHA5</td>
            <td>Carbide Tipped</td>
            <td>10</td>
            <td>7-3/4 (196)</td>
            <td>1/2 (12.7)</td>
            <td>1-3/8 - 6-5/16 (35-160</td>
        </tr>
    </tbody>
</table>
<p>&nbsp;</p>
<p>&nbsp;</p>","","1-3/8 (35)"," 1-3/8&quot; Quick Action Carbide Tipped Hole Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24852","Hole Saws",462082,"HF2",,"1-7/8&quot; Quick Action Carbide Tipped Hole Saw ","","1-7/8&quot; Quick Action Carbide Tipped Hole Saw ","",/\H\F\malco-hf2-quick-action-carbide-tipped-hole-saw-1-78.jpg,/\H\F\malco-hf2-quick-action-carbide-tipped-hole-saw-1-78.jpg,http://www.48ws.com/images/product/H/F/malco-hf2-quick-action-carbide-tipped-hole-saw-1-78.jpg,malco-HF2-1-78-quick-action-carbide-tipped-hole-saw,malco-HF2-1-78-quick-action-carbide-tipped-hole-saw,,No layout updates.,Block after Info Column,,"1-7/8&quot; Quick Action Carbide Tipped Hole Saw ","1-7/8&quot; Quick Action Carbide Tipped Hole Saw ",Use config,"http://malcoproducts.com/product/roofing-siding-gutter/siding-vinyl/saw-blades-hole-saws/quick-action-carbide-tipped-hole-saws",0,,,0,"Malco",1524,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Aggressive carbide tipped teeth with deep self-cleaning gullets and a generous 2-1/4 in. (57 mm) cup depth make “Quick Action” Hole Saws versatile for cutting through a variety of thick or layered wood, wall tile, fiberglass, plastic and tough fiber-cement siding (including popular James Hardie fiber-cement products). 

The full selection of “Quick Action” Hole Saws (19 sizes in all) share a unique “Quick Connect” Arbor design that is compatible with industry standard 5/8-18 hole saw threads. The arbor easily holds or releases Malco “Quick Change” Pilot Drills. The arbor’s quick release feature also ejects saw plugs with ease!

“Quick Change” Pilot Drills are available in both high speed steel and carbide tipped designs and feature a built-in 10 mm hex shank for tight gripping in a 1/2 in. (12.7 mm) drill. The extra length of these pilot drills allows the drill point to extend 1 in. (25.4 mm) out from the hole saw cup teeth for cutting uneven surfaces like lap siding. Cutting a vent hole in the rim joist or outside wall of a house clad in fiber-cement siding is a breeze!","<li>Aggressive carbide tips</li>
    <li>Deep self-cleaning gullets</li>
    <li>Generous cup depth</li>
    <li>Extra-long &quot;Quick Change&quot; HSS and carbide tipped pilot drills</li>
    <li>&quot;Quick Connect&quot; Arbor</li>
    <li>Easy plug ejection</li>","<table>

                        <tbody><tr>

                            <th scope=&quot;col&quot;>Catalog #</th>

                            <th scope=&quot;col&quot;>Description</th>

                            
                                <th scope=&quot;col&quot;>Hole Diameter in. (mm)</th>

                                
                                <th scope=&quot;col&quot;>Cutting Depth in. (mm)</th>

                                
                                <th scope=&quot;col&quot;>Thread Size</th>

                                
                            </tr>

                            
                            
                                
                                
                                <tr>

                                    
                                    
                                        <td>HF1</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>1-3/8 (35)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF2</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>1-7/8 (48)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF3</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2 (51)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF4</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2-3/8 (60)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF5</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2-1/2 (64)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF6</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2-3/4 (70)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF7</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>3 (76)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF8</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>3-1/2 (89)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF9</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>4 (102)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF10</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>4-1/8 (105)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF11</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>4-1/2 (114)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF12</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>5 (127)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF13</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>5-1/4 (133)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF14</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>5-1/2 (140)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF15</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>6 (152)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF16</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>6-5/16 (160)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF17</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>2-9/16 (65)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF18</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>3-5/8 (92)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                                
                                <tr>

                                    
                                    
                                        <td>HF19</td>

                                        
                                    
                                        <td>Quick Action Carbide Tipped Hole Saw</td>

                                        
                                    
                                        <td>4-5/8 (117)</td>

                                        
                                    
                                        <td>2-1/4 (57)</td>

                                        
                                    
                                        <td>5/8-18</td>

                                        
                                    
                                </tr>

                            
                        </tbody></table>

                        <table cellspacing=&quot;1&quot; cellpadding=&quot;1&quot; border=&quot;1&quot; align=&quot;left&quot; width=&quot;200&quot;>
    <caption>Quick Connect Arbor</caption>
    <thead>
        <tr>
            <th scope=&quot;col&quot;>Catalog #</th>
            <th scope=&quot;col&quot;>Thread Size</th>
            <th scope=&quot;col&quot;>Hex Opening mm</th>
            <th scope=&quot;col&quot;>For Hole Saws in.(mm)</th>
            <th scope=&quot;col&quot;>Use with Pilot Drills</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>HA3</td>
            <td>5/8 - 18</td>
            <td>10.32</td>
            <td>1-3/8 - 6-5/16 (35-160)</td>
            <td>HH4, HH5, HHA4, HHA5</td>
        </tr>
    </tbody>
</table>
<pre>&nbsp;</pre>
<p>&nbsp;</p>
<table cellspacing=&quot;1&quot; cellpadding=&quot;1&quot; border=&quot;1&quot; align=&quot;left&quot; width=&quot;200&quot;>
    <caption>
    <p>&nbsp;</p>
    <p>Quick Change Pilot Drills</p>
    </caption>
    <thead>
        <tr>
            <th scope=&quot;col&quot;>Catalog #</th>
            <th scope=&quot;col&quot;>Drill</th>
            <th scope=&quot;col&quot;>Hex Shank mm</th>
            <th scope=&quot;col&quot;>Overall Length in.(mm)</th>
            <th scope=&quot;col&quot;>Drill Chuck in.(mm)</th>
            <th scope=&quot;col&quot;>Use with Arbor</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>HH4</td>
            <td>High Speed Steel</td>
            <td>10</td>
            <td>7-3/4 (196)</td>
            <td>1/2 (12.7)</td>
            <td>HA3</td>
        </tr>
        <tr>
            <td>HH5</td>
            <td>Carbide Tipped</td>
            <td>10</td>
            <td>7-3/4 (196)</td>
            <td>1/2 (12.7)</td>
            <td>HA3</td>
        </tr>
    </tbody>
</table>
<p>&nbsp;</p>
<table cellspacing=&quot;1&quot; cellpadding=&quot;1&quot; border=&quot;1&quot; align=&quot;left&quot; width=&quot;200&quot;>
    <caption>
    <p>&nbsp;</p>
    <p>Quick Release Sets - Arbor with Pilot Drill</p>
    </caption>
    <thead>
        <tr>
            <th scope=&quot;col&quot;>Catalog #</th>
            <th scope=&quot;col&quot;>Drill</th>
            <th scope=&quot;col&quot;>Hex Shank mm</th>
            <th scope=&quot;col&quot;>Overall Length in.(mm)</th>
            <th scope=&quot;col&quot;>Drill Chuck in.(mm)</th>
            <th scope=&quot;col&quot;>For Hole Saws in.(mm)</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>HHA4</td>
            <td>High Speed Steel</td>
            <td>10</td>
            <td>7-3/4 (196)</td>
            <td>1/2 (12.7)</td>
            <td>1-3/8 - 6-5/16 (35-160)</td>
        </tr>
        <tr>
            <td>HHA5</td>
            <td>Carbide Tipped</td>
            <td>10</td>
            <td>7-3/4 (196)</td>
            <td>1/2 (12.7)</td>
            <td>1-3/8 - 6-5/16 (35-160</td>
        </tr>
    </tbody>
</table>
<p>&nbsp;</p>
<p>&nbsp;</p>","","1-7/8 (48)","1-7/8&quot; Quick Action Carbide Tipped Hole Saw ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
