store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2005|24934","Tie Wire|Rebar Tie Wire",88938,"MM Soft Annealed Wire",,"Premium","","Premium","Mar Mac Premium Soft Annealed Tie Wire",/\M\M\Mar-Mac-Wire-MM-Soft-Annealed-Wire.jpg,/\M\M\Mar-Mac-Wire-MM-Soft-Annealed-Wire.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-MM-Soft-Annealed-Wire.jpg,Mar-Mac-Wire-MM-Soft-Annealed-Wire-Premium,Mar-Mac-Wire-MM-Soft-Annealed-Wire-Premium,,No layout updates.,Block after Info Column,,"Premium","Premium",Use config,"http://www.marmacwire.com/images/pdf/productflyerpremiumprod.pdf",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mar Mac Premium Soft Annealed Tie Wire","<li>It is manufactured in 18, 16.5, 16, 15 and 14 gauge, with each coil weighing 3.5 lbs.</li>
<li>. It is packaged 20 coils per carton, and 48 cartons per pallet.</li>
","","","Mar Mac Wire MM Soft Annealed Wire Premium ","Premium",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2005|24934","Tie Wire|Rebar Tie Wire",88939,"MM Speed Wire",,"Premium","","Premium","Mar Mac Premium Speed Wire",/\M\M\Mar-Mac-Wire-MM-Speed-Wire.jpg,/\M\M\Mar-Mac-Wire-MM-Speed-Wire.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-MM-Speed-Wire.jpg,Mar-Mac-Wire-MM-Speed-Wire-Premium,Mar-Mac-Wire-MM-Speed-Wire-Premium,,No layout updates.,Block after Info Column,,"Premium","Premium",Use config,"http://www.marmacwire.com/images/pdf/productflyerpremiumprod.pdf",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mar Mac Premium Speed Wire","<li>Due to the lighter 16.5 gauge, our Speed wire offers 14% more length on 3.5lb  coil, so the reel can be refilled less often, plus it is easier to cut and twist.</li>
<li>Speed Wire is also packaged 20 coils per carton, and 48 cartons per pallet.</li>","","","Mar Mac Wire MM Speed Wire Premium","Premium",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2005|24934","Tie Wire|Rebar Tie Wire",88940,"MM Gold ",,"Gold Premium","","Gold Premium","Mar Mac Premium Gold ",/\M\M\Mar-Mac-Wire-MM-Gold.jpg,/\M\M\Mar-Mac-Wire-MM-Gold.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-MM-Gold.jpg,Mar-Mac-Wire-MM-Gold-Premium,Mar-Mac-Wire-MM-Gold-Premium,,No layout updates.,Block after Info Column,,"Gold Premium","Gold Premium",Use config,"http://www.marmacwire.com/images/pdf/productflyerpremiumprod.pdf",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mar Mac Premium Gold ","<li>Mar Mac Premium Gold offers a plastic encapsulated annealed wire that helps protect the epoxy coating and minimize corrosion.</li>
<li>Available in 16, 16.5, and 17 gauge, Mar Mac Gold in 3.0lb coils, with 20 coils per carton and 48 cartons per pallet.</li>
<li>Mar Mac Gold is also available as looped-end wire ties in 16 gauge, and 100# merchant coils in 9 to 16 gauges.</li>","","","Mar Mac Wire MM Gold Premium","Gold Premium",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2005|24934","Tie Wire|Rebar Tie Wire",88941,"MM Sharkskin",,"Premium","","Premium","Mar Mac Premium Sharkskin ",/\M\M\Mar-Mac-Wire-MM-Sharkskin.jpg,/\M\M\Mar-Mac-Wire-MM-Sharkskin.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-MM-Sharkskin.jpg,Mar-Mac-Wire-MM-Sharkskin-Premium,Mar-Mac-Wire-MM-Sharkskin-Premium,,No layout updates.,Block after Info Column,,"Premium","Premium",Use config,"http://www.marmacwire.com/images/pdf/productflyerpremiumprod.pdf",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mar Mac Premium Sharkskin ","<li>Mar-Mac Sharkskin is a plastic-coated wire product similar to Mar-Mac Gold, that is also used for tying FBE-coated rebar, yet offers a unique, textured surface that provides greater friction and strength at the tied joint.</li>
<li>Mar-Mac Sharkskin is also available in 16, 16.5 and 17 gauge, and is packaged in 3.0 lb., coils, with 20 coils per carton and 48 cartons per pallet.</li>","","","Mar Mac Wire MM Sharkskin Premium ","Premium",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"863|26755","Metal Stakes | Pins|Concrete Metal Stakes",88942,"MM Nail Stakes",,"Nail Stakes","","Nail Stakes","Contractor Nail Stakes",/\M\M\Mar-Mac-Wire-Nail.jpg,/\M\M\Mar-Mac-Wire-Nail.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-Nail.jpg,Mar-Mac-Wire-Nail-Stakes,Mar-Mac-Wire-Nail-Stakes,,No layout updates.,Block after Info Column,,"Nail Stakes","Nail Stakes",Use config,"http://www.marmacwire.com/images/pdf/productflyercontractorbrand.pdf",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Contractor Nail Stakes","<li>Nail Stakes are ideal for stabilizing metal or wooden forms for concrete foundations, slabs, bulkheads, retaining walls, curbs, and gutters, and are now available in sleeves of ten stakes with 3/4&quot; diameters, in 12&quot;, 18&quot;, 24&quot;, 30&quot;, 36&quot;, 42&quot;, and 48&quot; lengths.</li>","","","Mar Mac Wire Nail Stakes","Nail Stakes",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2004|24800","Tying Tools|Rebar Tying Tools",88943,"MM AWT",,"Automatic Wire Twister","","Automatic Wire Twister","Automatic Wire Twister",/\M\M\Mar-Mac-Wire-MM-AWT-Automatic-Wire.jpg,/\M\M\Mar-Mac-Wire-MM-AWT-Automatic-Wire.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-MM-AWT-Automatic-Wire.jpg,Mar-Mac-Wire-MM-AWT-Automatic-Wire-Twister,Mar-Mac-Wire-MM-AWT-Automatic-Wire-Twister,,No layout updates.,Block after Info Column,,"Automatic Wire Twister","Automatic Wire Twister",Use config,"http://www.marmacwire.com/images/pdf/MMW-ToolsAccessories%20Flyer07REV.pdf",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Automatic Wire Twister","<li> The Mar-Mac Automatic Wire Twister features a durable non-slip rubber handle
and a racheting spring-actuated mechanism that spins the hook to quickly secure looped-end wire ties.</li>","","","Mar Mac Wire MM AWT Automatic Wire Twister","Automatic Wire Twister",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2004|24800","Tying Tools|Rebar Tying Tools",88945,"MM TWT",,"Tie Twister","","Tie Twister","Mar Mac Wire Tie twister",/\M\M\Mar-Mac-Wire-MM-TWT-Tie.jpg,/\M\M\Mar-Mac-Wire-MM-TWT-Tie.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-MM-TWT-Tie.jpg,Mar-Mac-Wire-MM-TWT-Tie-Twister,Mar-Mac-Wire-MM-TWT-Tie-Twister,,No layout updates.,Block after Info Column,,"Tie Twister","Tie Twister",Use config,"http://www.marmacwire.com/images/pdf/MMW-ToolsAccessories%20Flyer07REV.pdf",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mar Mac Wire Tie twister","<li>Our Mar Mac Wire Tie Twister is a wooden-handled tool with a durable carbon-steel hook that is perfect for looped-end wire ties, and is built to last for years.</li>","","","Mar Mac Wire MM TWT Tie Twister","Tie Twister",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2004|24800","Tying Tools|Rebar Tying Tools",88947,"MM QDH ",,"QuickDraw Holster","","QuickDraw Holster","Mar Mac QuickDraw Holster",/\M\M\Mar-Mac-Wire-MM-QDH-QuickDraw.jpg,/\M\M\Mar-Mac-Wire-MM-QDH-QuickDraw.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-MM-QDH-QuickDraw.jpg,Mar-Mac-Wire-MM-QDH-QuickDraw-Holster,Mar-Mac-Wire-MM-QDH-QuickDraw-Holster,,No layout updates.,Block after Info Column,,"QuickDraw Holster","QuickDraw Holster",Use config,"http://www.marmacwire.com/toolsandaccessories.html",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mar Mac QuickDraw Holster","<li>Used for Tie Wire Tools</li>","","","Mar Mac Wire MM QDH QuickDraw Holster","QuickDraw Holster",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2005|24934","Tie Wire|Rebar Tie Wire",88948,"MM TW ",,"Wire Ties","","Wire Ties","Mar Mac Wire Ties",/\M\M\Mar-Mac-Wire-MM-TW-Wire.jpg,/\M\M\Mar-Mac-Wire-MM-TW-Wire.jpg,http://www.48ws.com/images/product/M/M/Mar-Mac-Wire-MM-TW-Wire.jpg,Mar-Mac-Wire-MM-TW-Wire-Ties,Mar-Mac-Wire-MM-TW-Wire-Ties,,No layout updates.,Block after Info Column,,"Wire Ties","Wire Ties",Use config,"http://www.marmacwire.com/premiumproducts.html",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mar Mac Wire Ties","<li>Mar Mac's Premium Tie Wire Product line also included galvanized, stainless steel, and double-strand black annealed wire, offered in a variety of gauges for specialized applications and job requirements.</li>","","","Mar Mac Wire MM TW Wire Ties","Wire Ties",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24934","Rebar Tie Wire",462899,"MAR-MAC-GOLD",,"Plastic Coated Tie Wire","","Plastic Coated Tie Wire","",/\M\A\mar-mac-wire-mar-mac-gold-plastic-coated-tie-wire.jpg,/\M\A\mar-mac-wire-mar-mac-gold-plastic-coated-tie-wire.jpg,http://www.48ws.com/images/product/M/A/mar-mac-wire-mar-mac-gold-plastic-coated-tie-wire.jpg,mar-mac-wire-MAR-MAC-GOLD-plastic-coated-tie-wire,mar-mac-wire-MAR-MAC-GOLD-plastic-coated-tie-wire,,No layout updates.,Block after Info Column,,"Plastic Coated Tie Wire","Plastic Coated Tie Wire",Use config,"http://marmacinc.com/building-products/premium-products/merchant-coils/plastic-coated/",0,,,0,"Mar Mac Wire",549,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<br><li>Packaging options: Sold as single coils in weights of 25, 50 or 100 lb.</li>
<li>Alternative trade names: merchant wire, shoulder wire, plastic coated wire, Number 9 wire, #9 wire, big wire, catch weight coils</li><br><li>Sizes: 9, 11, 12, and 16 gauge</li><br><li>Packaging options: Sold as single coils in weights of 25, 50 or 100 lb.</li><br><li>Alternative trade names: merchant wire, shoulder wire, plastic coated wire, Number 9 wire, #9 wire, big wire, catch weight coils</li><br>","MAR-MAC PREMIUM Plastic Coated Merchant Coils are made of a softer wire – making the wire easier to tie, so user-fatigue is minimized and productivity is maximized.","","","<li>Sizes: 9, 11, 12, and 16 gauge</li>","Plastic Coated Tie Wire",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
