store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"25954","Disposable Respirators",107595,"4200",,"4200N95 Series AirWave®  Disposable Respirators","4200N95 Series AirWave®  Disposable Respirators","4200N95 Series AirWave®  Disposable Respirators","",/\4\2\Moldex-4200N95-Series-Air-Wave-Disposable.jpg,/\4\2\Moldex-4200N95-Series-Air-Wave-Disposable.jpg,http://www.48ws.com/images/product/4/2/Moldex-4200N95-Series-Air-Wave-Disposable.jpg,moldex-4200-4200n95-series-airwave-disposable-respirators,moldex-4200-4200n95-series-airwave-disposable-respirators,,No layout updates.,Block after Info Column,,"4200N95 Series AirWave®  Disposable Respirators","4200N95 Series AirWave®  Disposable Respirators",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/4200n95.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Exclusive easy-breathing wave design</li>
<li>Less resistance than other leading disposable respirators</li>
<li>Even less exhale resistance than the leading valved respirators</li>
<li>Unique waves double the filter surface area of our comparable respirator </li>
<li>Dura-Mesh shell provides bi-directional protection from dirt on the outside and moisture on the inside</li>
<li>FlexFit design expands and contracts as you move and speak, for optimal comfort</li>
<li>Pinch-free molded nose bridge eliminates metal nose-band readjustment and discomfort</li>
<li>Exclusive easy-breathing wave design</li>","Breathes easier by design
 
  AirWave®  — the valve-free respirator that breathes easier:

  Less resistance than other leading disposable respirators*
  Even less exhale resistance than the leading valved respirators*
  

More surface, more airflow
The outstanding performance of
  AirWave®is due to its patented, wave design technology. It allows more airflow in and out of the respirator for cool comfort and  easier breathing. 

      Unique waves double the filter surface area of our comparable respirator 

    
  
      Dura-Mesh®    shell provides bi-directional protection from dirt on the outside  and moisture on the inside
  

Comfort inside and out
By providing more surface area, AirWave ensures cool comfort inside the respirator, without a valve. Plus our exclusive 
  FlexFit®design provides added comfort and compliance over time. 

  
    FlexFit® 
    design expands and contracts as you move and speak, for optimal comfort

    
  Pinch-free molded nose bridge eliminates metal nose-band  readjustment and discomfort

Applications

	Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.

Features
Exclusive easy-breathing wave design

  Less resistance, better breathability*

    Ideal where unvalved respirators are preferred

    Less cost than valved respirators

    Longer wear means less cost    
     Softspun®  lining for increased comfort and durability.
    
    Soft foam nose cushion and contour shaped for comfort
    Pinch free nose bridge                
    Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.","","Medium/Large","4200N95 Series AirWave®  Disposable Respirators",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25954","Disposable Respirators",107597,"1200N95",,"1200N95 Series Dirt Dawgs®  Particulate Respirator","1200N95 Series Dirt Dawgs®  Particulate Respirator","1200N95 Series Dirt Dawgs®  Particulate Respirator","",/\1\2\Moldex-1200N95-Series-Dirt-Dawgs-Particulate.jpg,/\1\2\Moldex-1200N95-Series-Dirt-Dawgs-Particulate.jpg,http://www.48ws.com/images/product/1/2/Moldex-1200N95-Series-Dirt-Dawgs-Particulate.jpg,moldex-1200N95-1200n95-series-dirt-dawgs-particulate-respirator,moldex-1200N95-1200n95-series-dirt-dawgs-particulate-respirator,,No layout updates.,Block after Info Column,,"1200N95 Series Dirt Dawgs®  Particulate Respirator","1200N95 Series Dirt Dawgs®  Particulate Respirator",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/dirt-dawgs.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>100% PVC-Free</li>
<li>Durability at an affordable price.</li>
<li>Dura-Mesh shell resists collapsing in heat and humidity.</li>
<li>Molded nose bridge seals easily without a metal noseband.</li>
<li>Facepiece is naturally contoured without pressure points.</li>
<li>Straps are securely attached so they don’t break at the seal.</li>
<li>Softspun lining for increased comfort and durability.</li>
<li>NIOSH certified to have a filter efficiency of 95% or greater for non-oil based particulates.</li>
<li>Certified under 42CFR84.</li>
<li>Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.</li>","last longer, use fewer
 Take a bite out of your disposable respirator costs with Dirt Dawgs®! The Dura-Mesh®shell, exclusive to Moldex® protects the filter 
media so it stays cleaner-looking longer. The 
shell resists collapsing, even in heat and 
humidity so the respirator holds its shape 
longer. The result is fewer respirators used 
and lower costs.

easy fit, more comfort The molded nose bridge provides the 
wearer an easy comfortable fit. There’s no 
metal noseband to adjust, and the seal is 
maintained without pressure points. 
The Softspun® lining is soft to the touch, 
which means workers won’t mind wearing it 
for an entire shift.
Applications

	Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.

Features

 
	100% PVC-Free®.

	Durability at an 
affordable price.     
		  Dura-Mesh® shell resists 
	  collapsing in heat and 
	  humidity.     
		  Molded nose bridge 
	  seals easily without 
	  a metal noseband.     
		  Facepiece is naturally 
	  contoured without 
	  pressure points.     
		  Straps are securely 
	  attached so they don’t 
	  break at the seal.     
		  Softspun® lining for 
	  increased comfort 
	  and durability.     
		  NIOSH certified to have a 
	  filter efficiency of 95% or 
	  greater for non-oil based 
	  particulates.     
	  Certified under 42CFR84. 
Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.","","Medium/Large","1200N95 Series Dirt Dawgs®  Particulate Respirator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25954","Disposable Respirators",107599,"2200N95HV",,"High Visibility Particulate Respirator","","High Visibility Particulate Respirator","",/\2\2\Moldex-2200N95HV-High-Visibility-Particulate.jpg,/\2\2\Moldex-2200N95HV-High-Visibility-Particulate.jpg,http://www.48ws.com/images/product/2/2/Moldex-2200N95HV-High-Visibility-Particulate.jpg,moldex-2200N95HV-,moldex-2200N95HV-,,No layout updates.,Block after Info Column,,"High Visibility Particulate Respirator","High Visibility Particulate Respirator",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/2200n95hv.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>100% PVC-Free</li><br>
<li>High visibility green color stands out in a crowd.</li><br>
<li>Easy compliance checks.</li><br>
<li>Collapse-resistant Dura-Mesh shell.</li><br>
<li>Contour molded nose bridge comfortably fits the wearer's face.</li><br>
<li>No uncomfortable metal noseband to pinch.</li><br>
<li>Softspun inner lining feels soft on the face.</li><br>
<li>Soft foam nose cushion eliminates pressure points.</li><br>
<li>Proven durability and cost savings.</li><br>
<li>Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.</li><br>
<li>The bright green color is a trademark of Moldex-Metric, Inc. and also provides easy compliance checks.</li>","","","Moldex 2200N95HV High Visibility Particulate Respirator ","High Visibility Particulate Respirator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25954","Disposable Respirators",107601,"2200N95",,"2200N95 Series Particulate Respirators","2200N95 Series Particulate Respirators","2200N95 Series Particulate Respirators","",/\2\2\Moldex-2200N95-Series-Particulate.jpg,/\2\2\Moldex-2200N95-Series-Particulate.jpg,http://www.48ws.com/images/product/2/2/Moldex-2200N95-Series-Particulate.jpg,moldex-2200N95-2200n95-series-particulate-respirators,moldex-2200N95-2200n95-series-particulate-respirators,,No layout updates.,Block after Info Column,,"2200N95 Series Particulate Respirators","2200N95 Series Particulate Respirators",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/2200n95.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>100% PVC-Free</li>
<li>Available in three sizes to fit more workers and increase OSHA compliance.</li>
<li>Dura-Mesh shell resists collapsing in heat and humidity.</li>
<li>Molded nose bridge seals easily without a metal noseband.</li>
<li>Facepiece is naturally contoured without pressure points.</li>
<li>Straps are securely attached so they don’t break at the seal.</li>
<li>Softspun lining for increased comfort and durability.</li>
<li>Soft foam nose cushion for added comfort.</li>
<li>Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.</li>","easy fit, more comfort
 The molded nose bridge with soft 
foam nose cushion provides the wearer 
an easy comfortable fit. There’s no 
metal noseband to adjust and the seal 
is maintained without pressure points.
last longer, use fewer
 The Dura-Mesh® shell, exclusive to 
Moldex®, protects the filter media so it 
stays cleaner-looking longer. The shell 
resists collapsing, even in heat and 
humidity so the respirator holds its 
shape longer. The result is fewer respirators used and lower costs. 
Applications

	Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.

Features

 
	100% PVC-Free®.
    
		  Available in three sizes to fit more workers and increase OSHA compliance.
		  Dura-Mesh® shell resists 
	  collapsing in heat and 
	  humidity.     
		  Molded nose bridge 
	  seals easily without 
	  a metal noseband.     
		  Facepiece is naturally 
	  contoured without 
	  pressure points.     
		  Straps are securely 
	  attached so they don’t 
	  break at the seal.     
		  Softspun® lining for 
	  increased comfort 
	  and durability.     
		  Soft foam nose cushion 
	  for added comfort.    
	Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.","","Medium/Large","2200N95 Series Particulate Respirators",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25964","Nuisance Dust and Procedural Masks",107606,"2112N95",,"FastFit Flat Fold Particulate Respirator","","FastFit Flat Fold Particulate Respirator","",/\2\1\Moldex-2112N95-FastFit-Flat-Fold-Particulate.jpg,/\2\1\Moldex-2112N95-FastFit-Flat-Fold-Particulate.jpg,http://www.48ws.com/images/product/2/1/Moldex-2112N95-FastFit-Flat-Fold-Particulate.jpg,moldex-2112N95-,moldex-2112N95-,,No layout updates.,Block after Info Column,,"FastFit Flat Fold Particulate Respirator","FastFit Flat Fold Particulate Respirator",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/2112-flat-fold.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Flat fold convenience with contour molded comfort</li><br>
<li>Quick and easy to put on, unlike any other flat fold</li><br>
<li>Individually packaged for hygiene</li><br>
<li>Packed in a dispenser box for easy access</li><br>
<li>Exclusive Dura-Mesh shell resists collapsing in heat and humidity</li><br>
<li>Molded nose bridge with soft foam nose cushion increases comfort and seals easily without a metal noseband</li><br>
<li>Softspun lining for increased comfort and durability</li><br>
<li>Proven durability and cost savings</li><br>
<li>Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1</li><br>
<li>NIOSH certified to have a filter efficiency of 95% or greater for non-oil based particulates</li><br>
<li>Certified under 42CFR84</li>","","","Moldex 2112N95 FastFit Flat Fold Particulate Respirator","FastFit Flat Fold Particulate Respirator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25954","Disposable Respirators",107607,"2300N95",,"2300N95 series particulate respirators with exhale valve","2300N95 series particulate respirators

  with exhale valve","2300N95 series particulate respirators with exhale valve","",/\2\3\Moldex-2300N95-Series-Particulate-Respirators-with-Exhale.jpg,/\2\3\Moldex-2300N95-Series-Particulate-Respirators-with-Exhale.jpg,http://www.48ws.com/images/product/2/3/Moldex-2300N95-Series-Particulate-Respirators-with-Exhale.jpg,moldex-2300N95-2300n95-series-particulate-respirators-with-exhale-valve,moldex-2300N95-2300n95-series-particulate-respirators-with-exhale-valve,,No layout updates.,Block after Info Column,,"2300N95 series particulate respirators with exhale valve","2300N95 series particulate respirators with exhale valve",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/2300n95.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>100% PVC-Free</li>
<li>Available in three sizes to fit most workers in today's workplace.</li>
<li>Exhale valve lets workers breathe easy and stay cool.</li>
<li>Exclusive Dura-Mesh shell resists collapsing in 
heat and humidity.</li>
<li>Molded nosebridge seals easily and comfortably without a metal noseband.</li>
<li>Facepiece is naturally contoured without pressure points.</li>
<li>Soft, foam nose cushion for added comfort.</li>
<li>Softspun lining for increased comfort and durability.</li>
<li>Suitable for most welding applications.</li>
<li>Meets heat and flame resistance in accordance with ANSI/ISEA 110.2003 Section 7.11.1.</li>","stay cool on the job.
 Workers stay cooler with an exhale valve 
  that reduces hot air build up. There’s less 
  breathing resistance and workers don’t 
  have to break midshift to cool off. 
easy fit, more comfort.
 The molded nosebridge with soft foam 
  nose cushion provides the wearer an 
  easy, comfortable fit. There’s no metal 
  noseband to adjust and the seal is 
  maintained without pressure points. 
last longer, use fewer.
 The exclusive Dura-Mesh® shell protects the filter 
  media so it stays cleaner-looking longer. 
  The shell resists collapsing, even in heat 
  and humidity so the respirator holds 
  its shape longer. The result is fewer 
  respirators used and lower costs. 
suitable for welding.
 2300 Series Particulate Respirators are 
  suitable for most welding applications. 
  Dura-Mesh® shell resists collapsing 
  in hot humid conditions common to most 
  welding applications. Meets heat and flame resistance in accordance with ANSI/ISEA 110.2003 Section 7.11.1.
Applications

Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.Features


  100% PVC-Free®. 
  Available in three sizes to fit most workers in today's workplace. 
   Exhale valve lets workers 
    breathe easy and stay cool. 
   Exclusive Dura-Mesh® shell resists 
    collapsing in 

    heat and 
    humidity. 
   Molded nosebridge 
    seals easily and 
    comfortably without 
    a metal noseband. 
   Facepiece is naturally 
    contoured without  pressure points. 
   Soft, foam nose cushion 
    for added comfort. 
   Softspun® lining for 
    increased comfort 
    and durability. 
   Suitable for most welding 
    applications. 
  Meets heat and flame resistance in accordance with ANSI/ISEA 110.2003 Section 7.11.1.","","Medium/Large","2300N95 series particulate respirators with exhale valve",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25954","Disposable Respirators",107611,"2310N99",,"Premium Particulate Respirator","","Premium Particulate Respirator","",/\2\3\Moldex-2310N99-Premium-Particulate.jpg,/\2\3\Moldex-2310N99-Premium-Particulate.jpg,http://www.48ws.com/images/product/2/3/Moldex-2310N99-Premium-Particulate.jpg,moldex-2310N99-,moldex-2310N99-,,No layout updates.,Block after Info Column,,"Premium Particulate Respirator","Premium Particulate Respirator",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/2310n99.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>100% PVC-Free</li><br>
<li>Can be used against most welding fumes.</li><br>
<li>Exhale valve lets workers breathe easy and stay cool.</li><br>
<li>Exclusive Dura-Mesh shell resists collapsing 
in heat and humidity.</li><br>
<li>Softspun liner for increased comfort and durability.</li><br>
<li>Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.</li><br>
<li>Molded nose bridge with soft foam nose cushion.</li><br>
<li>Facepiece is naturally contoured without pressure points.</li><br>
<li>Straps are securely attached so they don’t break at the seal.</li>","","","Moldex 2310N99  Premium Particulate Respirator","Premium Particulate Respirator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25954","Disposable Respirators",107614,"2400N95",,"2400N95 particulate respirator plus nuisance levels of ozone and organic vapors","","2400N95 particulate respirator plus nuisance levels of ozone and organic vapors","",/\2\4\Moldex-2400N95-Particulate-Respirator-Plus-Nuisance-Levels.jpg,/\2\4\Moldex-2400N95-Particulate-Respirator-Plus-Nuisance-Levels.jpg,http://www.48ws.com/images/product/2/4/Moldex-2400N95-Particulate-Respirator-Plus-Nuisance-Levels.jpg,moldex-2400N95-2400n95-particulate-respirator-plus-nuisance-levels-of-ozone-and-organic-vapors,moldex-2400N95-2400n95-particulate-respirator-plus-nuisance-levels-of-ozone-and-organic-vapors,,No layout updates.,Block after Info Column,,"2400N95 particulate respirator plus nuisance levels of ozone and organic vapors","2400N95 particulate respirator plus nuisance levels of ozone and organic vapors",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/2400n95.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Medium/Large","<br>
<li>100% PVC-Free</li><br>
<li>Added carbon layer helps filter out nuisance levels of ozone and organic vapors (less than OSHA PEL).</li><br>
<li>Can be used against most welding fumes (free of oil).</li><br>
<li>Added carbon layer helps relieve against nuisance ozone and organic vapors.</li><br>
<li>Exhale valve lets workers breathe easy and stay cool.</li><br>
<li>Exclusive Dura-Mesh shell resists collapsing 
in heat and humidity.</li><br>
<li>Molded nose bridge with soft foam nose 
cushion increases comfort.</li><br>
<li>Facepiece is naturally contoured without pressure points.</li><br>
<li>Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.</li>","n95 plus nuisance oV/Ozone relief
NIOSH certified under 42CFR84 regulations to have a filter efficiency level of 95% 
  or greater against particulate aerosols free 
  of oil. Added carbon layer helps 
  filter out ozone 
  and organic vapor odors (less than OSHA PEL). Suitable for most 
  welding fumes (free of oil). Fits easily under welding 
  hoods. 
cool and comfortable
 Workers stay cooler with an exhale valve 
  that reduces breathing resistance and hot 
  air build up. 
soft foam nose cushion
 Easier to wear and more comfortable. 
  Seals without a metal noseband.
Dura-Mesh® shell lasts longer
 The exclusive Dura-Mesh® shell protects the filter 
  media so it stays cleaner looking longer. 
  Plus it resists collapsing, even in heat and 
  humidity so the respirator holds its shape 
  longer. The result is fewer respirators used and lower cost.
Applications Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. Welding and foundry operations, lab settings, agriculture, chemical processing, printing, food processing, paint and varnish manufacturing, waste processing and sewage treatment. No oils present.
Features

 
	100% PVC-Free®.
	Added carbon layer helps filter out nuisance 
	  levels of ozone and organic vapors (less than OSHA PEL).

	
	 Can be used against most 
	  welding fumes (free of oil). 
	 Exhale valve lets workers 
	  breathe easy and stay cool. 
	 Exclusive Dura-Mesh® shell resists 
	  collapsing 

	  in heat and 
	  humidity. 
	 Molded nose bridge with 
	  soft foam nose 

	  cushion 
	  increases comfort. 
	 Facepiece is naturally 
	  contoured without pressure points. 
	Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 
	  Section 7.11.1.","","Moldex 2400N95 Particulate Respirator Plus Nuisance Levels of Ozone and Organic Vapors ","2400N95 particulate respirator plus nuisance levels of ozone and organic vapors",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25954","Disposable Respirators",107617,"2500N95",,"2400N95 particulate respirator plus nuisance levels of ozone and organic vapors","","2400N95 particulate respirator plus nuisance levels of ozone and organic vapors","",/\2\5\Moldex-2500N95-Particulate-Respirator-Plus-Nuisance-Levels.jpg,/\2\5\Moldex-2500N95-Particulate-Respirator-Plus-Nuisance-Levels.jpg,http://www.48ws.com/images/product/2/5/Moldex-2500N95-Particulate-Respirator-Plus-Nuisance-Levels.jpg,moldex-2500N95-2400n95-particulate-respirator-plus-nuisance-levels-of-ozone-and-organic-vapors,moldex-2500N95-2400n95-particulate-respirator-plus-nuisance-levels-of-ozone-and-organic-vapors,,No layout updates.,Block after Info Column,,"2400N95 particulate respirator plus nuisance levels of ozone and organic vapors","2400N95 particulate respirator plus nuisance levels of ozone and organic vapors",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/standard-2-strap/2500n95.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Medium/Large","<br>
<li>100% PVC-Free</li><br>
<li>Plus Relief From Nuisance Levels (less than OSHA Permissible Exposure Limit) of Acid Gas Irritants.</li><br>
<li>Added sorbent helps filter out nuisance levels of 
acid gas irritants.</li><br>
<li>Exhale valve lets workers breathe easy and stay cool.</li><br>
<li>Dura-Mesh shell resists collapsing in heat and humidity.</li><br>
<li>Softspun lining for increased comfort and durability.</li><br>
<li>Molded nose bridge with soft foam nose 
cushion increases comfort.</li><br>
<li>Facepiece is naturally contoured without pressure points.</li><br>
<li>Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1</li>","n95 plus nuisance acid gas relief
  NIOSH certified under 42CFR84 
  regulations to have a filter efficiency 
  level of 95% or greater against particulate aerosols free of oil up to 10XPEL. 
  Added sorbent helps relieve workers 
  of nuisance levels (less than OSHA 
  Permissible Exposure Limit) of Acid 
  Gas Irritants. The 2500N95 can be used 
  when oil aerosols are not present in 
  industries such as aluminum reduction, 
  paper mills, coal-fired utility plants, 
  petrochemicals, chemical processing 
  and glass etching.
cool and comfortable
 Workers stay cooler with an exhale 
valve that reduces breathing resistance 
and hot air build up. Soft foam nose 
cushion is comfortable. Seals without a 
metal noseband.
Dura-Mesh® shell lasts longer
 The Dura-Mesh® shell protects the 
filter media so it stays cleaner looking 
longer. The shell resists collapsing, even 
in heat and humidity so the respirator 
holds its shape longer. The result is 
fewer respirators used and lower cost.
Applications Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. Aluminum, copper, zinc, brass, bronze smelters, glass etching, paper mills, breweries, fertilizer production, ceramic and clay processing, and chemical processing. No oils present.
Features

 
	100% PVC-Free®.

	Plus relief from nuisance 
	  levels (less than OSHA 
	  permissible exposure 
	  limit) of acid gas irritants.
     Exhale valve lets workers 
	  breathe easy and stay cool.     
		  Dura-Mesh® shell resists 
	  collapsing in heat and 
	  humidity.     
		  Softspun® lining for 
	  increased comfort and 
	  durability.
    	  Molded nose bridge with 
	  soft foam nose 

	  cushion 
	  increases comfort.     
		  Facepiece is naturally 
	  contoured without 
	  pressure points.    
	Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.","","Moldex 2500N95 Particulate Respirator Plus Nuisance Levels Of Acid Gas Irritants ","2400N95 particulate respirator plus nuisance levels of ozone and organic vapors",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25954","Disposable Respirators",107634,"2600N95",,"2600N95 particulate respirators with HandyStrap®","2600N95 particulate respirators with HandyStrap®","2600N95 particulate respirators with HandyStrap®","",/\2\6\Moldex-2600N95-Particulate-Respirators-With.jpg,/\2\6\Moldex-2600N95-Particulate-Respirators-With.jpg,http://www.48ws.com/images/product/2/6/Moldex-2600N95-Particulate-Respirators-With.jpg,moldex-2600N95-2600n95-particulate-respirators-with-handystrap,moldex-2600N95-2600n95-particulate-respirators-with-handystrap,,No layout updates.,Block after Info Column,,"2600N95 particulate respirators with HandyStrap®","2600N95 particulate respirators with HandyStrap®",Use config,"http://www.moldex.com/respiratory-protection/disposable-respirators/handystrap/2600n95.php",0,,,0,"Moldex",818,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>100% PVC-Free</li>
<li>HandyStrap with buckle, allows mask to hang down around the user's neck when not in use</li>
<li>Cloth HandyStrap feels cool and comfortable.
Soft foam nose cushion for added comfort 
and no pressure points</li>
<li>Exclusive HandyStrap shell resists collapsing 
in heat and humidity.</li>
<li>Softspun lining for increased comfort and durability.</li>
<li>Available in two sizes, for most workers and OSHA compliance. </li>","hangs loose!
  HandyStrap® allows mask to conveniently 
  hang down around the user's neck. You’ll find it’s a convenient place to keep it when you’re not using 
  it. And during wear the elastic cloth strap 
  feels comfortable and cool.
soft foam nose cushion.
 Easier to wear and more all-day comfort 
for the majority of the work force. Contoured nose 
bridge with a soft foam nose cushion for 
comfortable seal. Comes without a metal 
noseband to adjust.
Dura-Mesh® shell lasts longer.
 The exclusive Dura-Mesh® shell protects the 
filter media so it stays cleaner-looking longer. 
The shell also resists collapsing in hot, humid 
environments so the respirator holds its shape 
longer. The result is fewer respirators used and 
lower costs.
Applications

	Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.

Features

 
	100% PVC-Free®.

	HandyStrap® with 
	  buckle, allows mask 
	  to hang down around the user's neck 
	  when not in use.     
		  Cloth HandyStrap® 
	  feels cool and 
	  comfortable.     
		  Soft foam nose cushion 
	  for added comfort 

	  and 
	  no pressure points.     
		  Exclusive Dura-Mesh® shell 
	  resists collapsing 

	  in 
	  heat and humidity.     
		  Softspun®  lining for 
	  increased comfort 
	  and durability.     
		  Available in two sizes, 
	  for most workers and 
	  OSHA compliance.","","Medium/Large","2600N95 particulate respirators with HandyStrap®",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
