store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"26030","Exit and Entry Signs",307018,"7310",,"EXIT- GLOBRITE","","EXIT- GLOBRITE","",/\7\3\national-marker-co-7310-exit-globrite.jpg,/\7\3\national-marker-co-7310-exit-globrite.jpg,http://www.48ws.com/images/product/7/3/national-marker-co-7310-exit-globrite.jpg,national-marker-co-7310-exit-globrite,national-marker-co-7310-exit-globrite,,No layout updates.,Block after Info Column,,"EXIT- GLOBRITE","EXIT- GLOBRITE",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"EXIT, GLOBRITE, FRAMED, RED REFLECTIVE, 8.25 x 13.25 x .75","","","","EXIT, GLOBRITE, FRAMED, RED REFLECTIVE, 8.25 x 13.25 x .75","EXIT- GLOBRITE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26030","Exit and Entry Signs",307019,"7320",,"EXIT- GLOBRITE","","EXIT- GLOBRITE","",/\7\3\national-marker-co-7320-exit-globrite.jpg,/\7\3\national-marker-co-7320-exit-globrite.jpg,http://www.48ws.com/images/product/7/3/national-marker-co-7320-exit-globrite.jpg,national-marker-co-7320-exit-globrite,national-marker-co-7320-exit-globrite,,No layout updates.,Block after Info Column,,"EXIT- GLOBRITE","EXIT- GLOBRITE",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"EXIT, GLOBRITE, FRAMED, GREEN REFLECTIVE, 8.25 x 13.25 x .75","","","","EXIT, GLOBRITE, FRAMED, GREEN REFLECTIVE, 8.25 x 13.25 x .75","EXIT- GLOBRITE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",307020,"50F-5SN",,"NYC NOT AN EXIT SIGN- 6.5X5.5","","NYC NOT AN EXIT SIGN- 6.5X5.5","",/\5\0\national-marker-co-50f-5sn-nyc-not-an-exit-sign-65x55.jpg,/\5\0\national-marker-co-50f-5sn-nyc-not-an-exit-sign-65x55.jpg,http://www.48ws.com/images/product/5/0/national-marker-co-50f-5sn-nyc-not-an-exit-sign-65x55.jpg,national-marker-co-50F-5SN-nyc-not-an-exit-sign-65x55,national-marker-co-50F-5SN-nyc-not-an-exit-sign-65x55,,No layout updates.,Block after Info Column,,"NYC NOT AN EXIT SIGN- 6.5X5.5","NYC NOT AN EXIT SIGN- 6.5X5.5",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"NYC NOT AN EXIT SIGN, 6.5X5.5, FLEX, 7550 GLO BRITE, MEA APPROVED","","","","NYC NOT AN EXIT SIGN, 6.5X5.5, FLEX, 7550 GLO BRITE, MEA APPROVED","NYC NOT AN EXIT SIGN- 6.5X5.5",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23314","DOT Labels",307021,"A1172Y",,"PIPEMARKER- PS VINYL","","PIPEMARKER- PS VINYL","",/\A\1\national-marker-co-a1172y-pipemarker-ps-vinyl.jpg,/\A\1\national-marker-co-a1172y-pipemarker-ps-vinyl.jpg,http://www.48ws.com/images/product/A/1/national-marker-co-a1172y-pipemarker-ps-vinyl.jpg,national-marker-co-A1172Y-pipemarker-ps-vinyl,national-marker-co-A1172Y-pipemarker-ps-vinyl,,No layout updates.,Block after Info Column,,"PIPEMARKER- PS VINYL","PIPEMARKER- PS VINYL",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PIPEMARKER, PS VINYL, NATURAL GAS, 2X14  1 1/4&quot; CAP HEIGHT","","","","PIPEMARKER, PS VINYL, NATURAL GAS, 2X14  1 1/4&quot; CAP HEIGHT","PIPEMARKER- PS VINYL",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",307022,"ADA1WBL",,"ADA- BRAILLE","","ADA- BRAILLE","",/\A\D\national-marker-co-ada1wbl-ada-braille.jpg,/\A\D\national-marker-co-ada1wbl-ada-braille.jpg,http://www.48ws.com/images/product/A/D/national-marker-co-ada1wbl-ada-braille.jpg,national-marker-co-ADA1WBL-ada-braille,national-marker-co-ADA1WBL-ada-braille,,No layout updates.,Block after Info Column,,"ADA- BRAILLE","ADA- BRAILLE",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ADA, BRAILLE, MEN, BLUE, 8X8","","","","ADA, BRAILLE, MEN, BLUE, 8X8","ADA- BRAILLE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",307023,"ADA2WBL",,"ADA- BRAILLE","","ADA- BRAILLE","",/\A\D\national-marker-co-ada2wbl-ada-braille.jpg,/\A\D\national-marker-co-ada2wbl-ada-braille.jpg,http://www.48ws.com/images/product/A/D/national-marker-co-ada2wbl-ada-braille.jpg,national-marker-co-ADA2WBL-ada-braille,national-marker-co-ADA2WBL-ada-braille,,No layout updates.,Block after Info Column,,"ADA- BRAILLE","ADA- BRAILLE",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ADA, BRAILLE, WOMEN, BLUE, 8X8","","","","ADA, BRAILLE, WOMEN, BLUE, 8X8","ADA- BRAILLE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",307024,"ADA4WBL",,"ADA- BRAILLE","","ADA- BRAILLE","",/\A\D\national-marker-co-ada4wbl-ada-braille.jpg,/\A\D\national-marker-co-ada4wbl-ada-braille.jpg,http://www.48ws.com/images/product/A/D/national-marker-co-ada4wbl-ada-braille.jpg,national-marker-co-ADA4WBL-ada-braille,national-marker-co-ADA4WBL-ada-braille,,No layout updates.,Block after Info Column,,"ADA- BRAILLE","ADA- BRAILLE",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ADA, BRAILLE, MEN (W/HANDICAP SYMBOL), BLUE, 8X8","","","","ADA, BRAILLE, MEN (W/HANDICAP SYMBOL), BLUE, 8X8","ADA- BRAILLE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",307025,"ADA5WBL",,"ADA- BRAILLE","","ADA- BRAILLE","",/\A\D\national-marker-co-ada5wbl-ada-braille.jpg,/\A\D\national-marker-co-ada5wbl-ada-braille.jpg,http://www.48ws.com/images/product/A/D/national-marker-co-ada5wbl-ada-braille.jpg,national-marker-co-ADA5WBL-ada-braille,national-marker-co-ADA5WBL-ada-braille,,No layout updates.,Block after Info Column,,"ADA- BRAILLE","ADA- BRAILLE",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ADA, BRAILLE, WOMEN (W/HANDICAP SYMBOL), BLUE, 8X8","","","","ADA, BRAILLE, WOMEN (W/HANDICAP SYMBOL), BLUE, 8X8","ADA- BRAILLE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",307026,"ADA9WBL",,"ADA- BRAILLE","","ADA- BRAILLE","",/\A\D\national-marker-co-ada9wbl-ada-braille.jpg,/\A\D\national-marker-co-ada9wbl-ada-braille.jpg,http://www.48ws.com/images/product/A/D/national-marker-co-ada9wbl-ada-braille.jpg,national-marker-co-ADA9WBL-ada-braille,national-marker-co-ADA9WBL-ada-braille,,No layout updates.,Block after Info Column,,"ADA- BRAILLE","ADA- BRAILLE",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ADA, BRAILLE, RESTROOMS (W/HANDICAP SYMBOL), BLUE, 8X8","","","","ADA, BRAILLE, RESTROOMS (W/HANDICAP SYMBOL), BLUE, 8X8","ADA- BRAILLE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",307027,"AS34",,"WOMEN- 3 1/2X11","","WOMEN- 3 1/2X11","",/\A\S\national-marker-co-as34-women-3-12x11.jpg,/\A\S\national-marker-co-as34-women-3-12x11.jpg,http://www.48ws.com/images/product/A/S/national-marker-co-as34-women-3-12x11.jpg,national-marker-co-AS34-women-3-12x11,national-marker-co-AS34-women-3-12x11,,No layout updates.,Block after Info Column,,"WOMEN- 3 1/2X11","WOMEN- 3 1/2X11",Use config,"http://nationalmarker.com/",0,,,0,"National Marker Company",1262,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"WOMEN, 3 1/2X11, .125 ACRYLIC","","","","WOMEN, 3 1/2X11, .125 ACRYLIC","WOMEN- 3 1/2X11",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
