store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"19530","Caulk Guns",37569,"46435",,"SKELETON CAULK GUN","","SKELETON CAULK GUN","Caulking Gun",/\4\6\SKELETON-CAULK.jpg,/\4\6\SKELETON-CAULK.jpg,http://www.48ws.com/images/product/4/6/SKELETON-CAULK.jpg,newborn-brothers-co-46435-skeleton-caulk-gun,newborn-brothers-co-46435-skeleton-caulk-gun,,No layout updates.,Block after Info Column,,"SKELETON CAULK GUN","SKELETON CAULK GUN",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Caulking Gun","<li>5:1 Ratio</li><li>10 oz.</li>","","","Newborn Brothers - SKELETON CAULK GUN","SKELETON CAULK GUN",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19530","Caulk Guns",37572,"46420",,"Quart Cradle Ratchet Rod","","Quart Cradle Ratchet Rod","Caulking Gun",/\4\6\Quart-Cradle-Ratchet.jpg,/\4\6\Quart-Cradle-Ratchet.jpg,http://www.48ws.com/images/product/4/6/Quart-Cradle-Ratchet.jpg,newborn-brothers-co-46420-quart-cradle-ratchet-rod,newborn-brothers-co-46420-quart-cradle-ratchet-rod,,No layout updates.,Block after Info Column,,"Quart Cradle Ratchet Rod","Quart Cradle Ratchet Rod",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Caulking Gun","<li>3:1 Ratio</li>","","","Newborn Brothers - Quart Cradle Ratchet Rod","Quart Cradle Ratchet Rod",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19530","Caulk Guns",37575,"077",,"Cradle Ratchet Rod Caulking Gun","","Cradle Ratchet Rod Caulking Gun","10 oz. Caulking Gun",/\0\7\Cradle-Ratchet-Rod-Caulking.jpg,/\0\7\Cradle-Ratchet-Rod-Caulking.jpg,http://www.48ws.com/images/product/0/7/Cradle-Ratchet-Rod-Caulking.jpg,newborn-brothers-co-077-,newborn-brothers-co-077-,,No layout updates.,Block after Info Column,,"Cradle Ratchet Rod Caulking Gun","Cradle Ratchet Rod Caulking Gun",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"10 oz. Caulking Gun","<li>5:1 Ratio</li><li>Cradle Ratchet Rod</li>","","","Newborn Brothers - Cradle Ratchet Rod Caulking Gun","Cradle Ratchet Rod Caulking Gun",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19530","Caulk Guns",37576,"46438",,"Quart Skeleton Ratchet Rod","","Quart Skeleton Ratchet Rod","Quart Skeleton Ratchet Rod Caulking Gun",/\4\6\Quart-Skeleton-Ratchet.jpg,/\4\6\Quart-Skeleton-Ratchet.jpg,http://www.48ws.com/images/product/4/6/Quart-Skeleton-Ratchet.jpg,newborn-brothers-co-46438-quart-skeleton-ratchet-rod,newborn-brothers-co-46438-quart-skeleton-ratchet-rod,,No layout updates.,Block after Info Column,,"Quart Skeleton Ratchet Rod","Quart Skeleton Ratchet Rod",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quart Skeleton Ratchet Rod Caulking Gun","<li>10:1 Ratio</li>","","","Newborn Brothers - Quart Skeleton Ratchet Rod","Quart Skeleton Ratchet Rod",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19530","Caulk Guns",37578,"215",,"Quart Cradle Ratchet Rod","","Quart Cradle Ratchet Rod","Quart Cradle Ratchet Rod Caulking Gun",/\2\1\Quart-Cradle-Ratchet.jpg,/\2\1\Quart-Cradle-Ratchet.jpg,http://www.48ws.com/images/product/2/1/Quart-Cradle-Ratchet.jpg,newborn-brothers-co-215-quart-cradle-ratchet-rod,newborn-brothers-co-215-quart-cradle-ratchet-rod,,No layout updates.,Block after Info Column,,"Quart Cradle Ratchet Rod","Quart Cradle Ratchet Rod",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quart Cradle Ratchet Rod Caulking Gun","<li>6:1 Ratio</li>","","","Newborn Brothers - Quart Cradle Ratchet Rod","Quart Cradle Ratchet Rod",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19530","Caulk Guns",37580,"250",,"10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun","","10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun","10 Oz. Revolving Skeleton Frame Caulking Gun",/\2\5\10-oz-Revolving-Skeleton-Frame-Smooth-Rod-Caulking.jpg,/\2\5\10-oz-Revolving-Skeleton-Frame-Smooth-Rod-Caulking.jpg,http://www.48ws.com/images/product/2/5/10-oz-Revolving-Skeleton-Frame-Smooth-Rod-Caulking.jpg,newborn-brothers-co-250-10-oz-revolving-skeleton-frame-smooth-rod-caulking-gun,newborn-brothers-co-250-10-oz-revolving-skeleton-frame-smooth-rod-caulking-gun,,No layout updates.,Block after Info Column,,"10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun","10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"10 Oz. Revolving Skeleton Frame Caulking Gun","<li>18:1 Ratio</li>","","","10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun","10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"817|26731","Epoxy|Concrete Epoxy Injection",37582,"535 XSP",,"2 Part Epoxy Gun","","2 Part Epoxy Gun","Epoxy Gun",/\5\3\2-Part-Epoxy.jpg,/\5\3\2-Part-Epoxy.jpg,http://www.48ws.com/images/product/5/3/2-Part-Epoxy.jpg,newborn-brothers-co-535-XSP-2-part-epoxy-gun,newborn-brothers-co-535-XSP-2-part-epoxy-gun,,No layout updates.,Block after Info Column,,"2 Part Epoxy Gun","2 Part Epoxy Gun",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Epoxy Gun","<li>2 Part Epoxy Gun</li><li>Comfort grip handle</li>","","","Newborn Brothers - 2 Part Epoxy Gun","2 Part Epoxy Gun",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19530","Caulk Guns",37584,"624 GTS",,"Caulking Gun for Bulk/Sausage","","Caulking Gun for Bulk/Sausage","Caulking gun for 24 Oz. Sausage/Bulk Pack",/\6\2\Caulking-Gun-for- 1.jpg,/\6\2\Caulking-Gun-for- 1.jpg,http://www.48ws.com/images/product/6/2/Caulking-Gun-for- 1.jpg,newborn-brothers-co-624-GTS-caulking-gun-for-bulksausage,newborn-brothers-co-624-GTS-caulking-gun-for-bulksausage,,No layout updates.,Block after Info Column,,"Caulking Gun for Bulk/Sausage","Caulking Gun for Bulk/Sausage",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Caulking gun for 24 Oz. Sausage/Bulk Pack","<li> 24 Oz. Capacity</li><li>Comfort Grip Handle</li>","","","Newborn Brothers - Caulking Gun for Bulk/Sausage","Caulking Gun for Bulk/Sausage",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19530","Caulk Guns",37586,"750 XSP",,"750 ML Dual Comp. Gun Manual","","750 ML Dual Comp. Gun Manual","Manual Dual Comp Gun",/\7\5\750-ML-Dual-Comp-Gun.jpg,/\7\5\750-ML-Dual-Comp-Gun.jpg,http://www.48ws.com/images/product/7/5/750-ML-Dual-Comp-Gun.jpg,newborn-brothers-co-750-XSP-750-ml-dual-comp-gun-manual,newborn-brothers-co-750-XSP-750-ml-dual-comp-gun-manual,,No layout updates.,Block after Info Column,,"750 ML Dual Comp. Gun Manual","750 ML Dual Comp. Gun Manual",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Manual Dual Comp Gun","<li>Comfort Grip Handle</li>","","","Newborn Brothers - 750 ML Dual Comp. Gun Manual","750 ML Dual Comp. Gun Manual",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19533","Epoxy Applicator Accessories",37588,"FPT 02",,"Follow Plate for 2 Gallons","Follow Plates","Follow Plate for 2 Gallons","Follow Plate",/\F\P\Follow-Plate-for-2.jpg,/\F\P\Follow-Plate-for-2.jpg,http://www.48ws.com/images/product/F/P/Follow-Plate-for-2.jpg,newborn-brothers-co-FPT-02-follow-plate-for-2-gallons,newborn-brothers-co-FPT-02-follow-plate-for-2-gallons,,No layout updates.,Block after Info Column,,"Follow Plate for 2 Gallons","Follow Plate for 2 Gallons",Use config,"http://www.newborncaulkguns.com/",0,,,0,"Newborn Brothers Co.",344,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Follow Plate","<li>Metal Follow Plate</li>","","","Follow Plate for 2 Gallons","Follow Plate for 2 Gallons",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
