store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"19675|28278","Cleaning Floor Polishers|Rental Floor Equipment",12832,"SPINTEC 343H",,"SPINTEC 343 H High Speed Single Disc Polisher","Nilfisk-Alto SPINTEC 343 Single Disc Polisher","SPINTEC 343 H High Speed Single Disc Polisher","Nilfisk-Alto SPINTEC 343 H High Speed Single Disc Polisher",/\S\P\Nilfisk-Alto-SPINTEC-343-H-High-Speed-Single-Disc.jpg,/\S\P\Nilfisk-Alto-SPINTEC-343-H-High-Speed-Single-Disc.jpg,http://www.48ws.com/images/product/S/P/Nilfisk-Alto-SPINTEC-343-H-High-Speed-Single-Disc.jpg,Nilfisk-Alto-SPINTEC-343-H-High-Speed-Single-Disc-Polisher,Nilfisk-Alto-SPINTEC-343-H-High-Speed-Single-Disc-Polisher,,No layout updates.,Block after Info Column,,"SPINTEC 343 H High Speed Single Disc Polisher","SPINTEC 343 H High Speed Single Disc Polisher",Use config,"http://www.nilfisk-alto.com/Products/FloorCleaning-Maintenance/SingleDiscs/HighSpeedSingleDiscs/SPINTEC343H/Introduction.aspx",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nilfisk-Alto SPINTEC 343 H High Speed Single Disc Polisher","<li>Belt driven with offset motor.</li><li>
Rugged steel tube and frame resist knocks and bumps without breaking.</li><li>
Long life with a minimum of service costs.</li><li>
Cable hook, where the cable can be easily wind up on the machine.</li><li>
Extruded vinyl bumper protects the inventory and machine from damages.</li><li>
Adjustable handle.</li>","This SPINTEC 343 H polisher is designed for medium-duty usage suitable for scrubbing and high speed floor polishing.

This SPINTEC 343 polisher is designed for medium-duty usage suitable for scrubbing, wet/dry polishing, shampooing and floor polishing.","","High Speed","SPINTEC 343 H High Speed Single Disc Polisher",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19675|28278","Cleaning Floor Polishers|Rental Floor Equipment",12834,"SPINTEC 343",,"Low Speed Single Disc Polisher","Nilfisk-Alto SPINTEC 343 Single Disc Polisher","Low Speed Single Disc Polisher","Nilfisk-Alto SPINTEC 343 Low Speed Single Disc Polisher",/\S\P\Nilfisk-Alto-SPINTEC-343-Low-Speed-Single-Disc.jpg,/\S\P\Nilfisk-Alto-SPINTEC-343-Low-Speed-Single-Disc.jpg,http://www.48ws.com/images/product/S/P/Nilfisk-Alto-SPINTEC-343-Low-Speed-Single-Disc.jpg,Nilfisk-Alto-SPINTEC-343-Low-Speed-Single-Disc-Polisher,Nilfisk-Alto-SPINTEC-343-Low-Speed-Single-Disc-Polisher,,No layout updates.,Block after Info Column,,"Low Speed Single Disc Polisher","Low Speed Single Disc Polisher",Use config,"http://www.nilfisk-alto.com/Products/FloorCleaning-Maintenance/SingleDiscs/LowSpeedSingleDiscs/SPINTEC343/Introduction.aspx",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nilfisk-Alto SPINTEC 343 Low Speed Single Disc Polisher","<li>Belt driven with offset motor.</li><li>
Rugged steel tube and frame resist knocks and bumps without breaking.</li><li>
Long life with a minimum of service costs.</li><li>
Cable hook, where the cable can be easily wind up on the machine.</li><li>
Extruded vinyl bumper protects the inventory and machine from damages.</li><li>
Adjustable handle</li>","This SPINTEC 343 polisher is designed for medium-duty usage suitable for scrubbing, wet/dry polishing, shampooing and floor polishing.

This SPINTEC 343 H polisher is designed for medium-duty usage suitable for scrubbing and high speed floor polishing.","","Low Speed","Low Speed Single Disc Polisher",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19675|28278","Cleaning Floor Polishers|Rental Floor Equipment",12835,"SPIN 43 LOW SPEED",,"Single Disc Polisher","SPIN 43 Single Disc Polishers","Single Disc Polisher","Nilfisk-Alto SPIN 43 Low Speed Single Disc Polisher",/\S\P\Nilfisk-Alto-SPIN-43-Low-Speed-Single-Disc.jpg,/\S\P\Nilfisk-Alto-SPIN-43-Low-Speed-Single-Disc.jpg,http://www.48ws.com/images/product/S/P/Nilfisk-Alto-SPIN-43-Low-Speed-Single-Disc.jpg,Nilfisk-Alto-SPIN-43-Low-Speed-Single-Disc-Polisher,Nilfisk-Alto-SPIN-43-Low-Speed-Single-Disc-Polisher,,No layout updates.,Block after Info Column,,"Single Disc Polisher","Single Disc Polisher",Use config,"http://www.nilfisk-alto.com/Products/FloorCleaning-Maintenance/SingleDiscs/LowSpeedSingleDiscs/SPIN43/Introduction.aspx",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nilfisk-Alto SPIN 43 Low Speed Single Disc Polisher","<li>Belt driven with offset motor.</li><li>
Rugged steel tube and frame resist knocks and bumps without breaking.</li><li>
Long life with a minimum service cost.</li><li>
Cable hook, where the cable can be easily wind up on the machine.</li><li>
Extruded vinyl bumper protects the inventory and machine from damages.</li><li>
Adjustable handle</li>","430 mm disc polisher - exceeds the toughest demands

This ALTO SPIN 43 polisher exceeds the demands for stripping, scrubbing, wet/dry polishing, shampooing and floor polishing. Leaves a clean floor with high gloss.","","Nilfisk-Alto SPIN 43 Low Speed Single Disc Polisher","Single Disc Polisher",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19675|28278","Cleaning Floor Polishers|Rental Floor Equipment",12836,"SPIN 43 HIGH SPEED",,"Single Disc Polisher","SPIN 43 Single Disc Polishers","Single Disc Polisher","Nilfisk-Alto SPIN 43 High Speed Single Disc Polisher",/\S\P\Nilfisk-Alto-SPIN-43-High-Speed-Single-Disc.jpg,/\S\P\Nilfisk-Alto-SPIN-43-High-Speed-Single-Disc.jpg,http://www.48ws.com/images/product/S/P/Nilfisk-Alto-SPIN-43-High-Speed-Single-Disc.jpg,Nilfisk-Alto-SPIN-43-High-Speed-Single-Disc-Polisher,Nilfisk-Alto-SPIN-43-High-Speed-Single-Disc-Polisher,,No layout updates.,Block after Info Column,,"Single Disc Polisher","Single Disc Polisher",Use config,"http://www.nilfisk-alto.com/Products/FloorCleaning-Maintenance/SingleDiscs/HighSpeedSingleDiscs/SPIN43HIGHSPEED/Introduction.aspx",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nilfisk-Alto SPIN 43 High Speed Single Disc Polisher","<li>Belt driven with offset motor.</li><li>
Rugged steel tube and frame resist knocks and bumps without breaking.</li><li>
Long life with a minimum of service costs.</li><li>
Cable hook, where the cable can be easily wind up on the machine.</li><li>
Extruded vinyl bumper protects the inventory and machine from damage.</li><li>
Adjustable handle</li>","430 mm disc polisher - exceeds the toughest demands

This ALTO SPIN 43 polisher exceeds the demands for stripping, scrubbing, wet/dry polishing, shampooing and floor polishing. Leaves a clean floor with high gloss.","","Nilfisk-Alto SPIN 43 High Speed Single Disc Polisher","Single Disc Polisher",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"945|19675|28278","Floor Care|Cleaning Floor Polishers|Rental Floor Equipment",12838,"SPIN 43 DUO SPEED",,"Single Disc Polisher","SPIN 43 Single Disc Polishers","Single Disc Polisher","Nilfisk-Alto SPIN 43 Duo Speed Single Disc Polisher",/\S\P\Nilfisk-Alto-SPIN-43-Duo-Speed-Single-Disc.jpg,/\S\P\Nilfisk-Alto-SPIN-43-Duo-Speed-Single-Disc.jpg,http://www.48ws.com/images/product/S/P/Nilfisk-Alto-SPIN-43-Duo-Speed-Single-Disc.jpg,Nilfisk-Alto-SPIN-43-Duo-Speed-Single-Disc-Polisher,Nilfisk-Alto-SPIN-43-Duo-Speed-Single-Disc-Polisher,,No layout updates.,Block after Info Column,,"Single Disc Polisher","Single Disc Polisher",Use config,"http://www.nilfisk-alto.com/Products/FloorCleaning-Maintenance/SingleDiscs/TwoSpeedSingleDiscs/SPIN43DUOSPEED/Introduction.aspx",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nilfisk-Alto SPIN 43 Duo Speed Single Disc Polisher","<li>Belt driven with offset motor.</li><li>
Rugged steel tube and frame resist knocks and bumps without breaking.</li><li>
Long life with a minimum of service costs.</li><li>
Cable hook, where the cable can be easily wind up on the machine.</li><li>
Extruded vinyl bumper protects the inventory and machine from damage.</li><li>
Adjustable handle</li>","430 mm disc polisher - exceeds the toughest demands

This ALTO SPIN 43 polisher exceeds the demands for stripping, scrubbing, wet/dry polishing, shampooing and floor polishing. Leaves a clean floor with high gloss.","","Nilfisk-Alto SPIN 43 Duo Speed Single Disc Polisher","Single Disc Polisher",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29054","Shop Vacuums",453299,"GM-80",,"SILVER BULLET HEPA VACUUM 38018 GAL / 120V / 1790132","SILVER BULLET HEPA VACUUM 38018 GAL / 120V / 1790132","SILVER BULLET HEPA VACUUM 38018 GAL / 120V / 1790132","",/\G\M\nilfisk-alto-gm-80-silver-bullet-hepa-vacuum-38018-gal-120v-1790132.jpg,/\G\M\nilfisk-alto-gm-80-silver-bullet-hepa-vacuum-38018-gal-120v-1790132.jpg,http://www.48ws.com/images/product/G/M/nilfisk-alto-gm-80-silver-bullet-hepa-vacuum-38018-gal-120v-1790132.jpg,nilfisk-alto-GM-80-,nilfisk-alto-GM-80-,,No layout updates.,Block after Info Column,,"SILVER BULLET HEPA VACUUM 38018 GAL / 120V / 1790132","SILVER BULLET HEPA VACUUM 38018 GAL / 120V / 1790132",Use config,"http://www.nilfiskcfm.com/IndustrialVacuums/GM_80_Vacuum/1",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Nilfisk Model GM-80 HEPA-Filter Vacuum Includes: 30' Power Cord, 32MM Tapered Plastic Hose w/Curved Plastic Tube, 2 Straight Steel Wands and a package of 5 Paper Bags
","","Lightweight and portable, the Nilfisk GM 80 is a versatile machine providing the durability and performance required by dust control professionals. Featuring a 3 1/4-gallon tank capacity, it can be used in both portable and stationary applications. It features a standard multi-stage filtration system with a paper dust bag, main filter, microfilter and HEPA exhaust filter. The GM 80 has become a vacuum cleaner icon in a variety of industries.
","","","SILVER BULLET HEPA VACUUM 38018 GAL / 120V / 1790132",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29054","Shop Vacuums",453823,"11730410",,"MICRO FILTER FOR GM80              ","COTTON MICRO FILTER","MICRO FILTER FOR GM80              ","",/\1\1\nilfisk-alto-11730410-cotton-micro-filter.jpg,/\1\1\nilfisk-alto-11730410-cotton-micro-filter.jpg,http://www.48ws.com/images/product/1/1/nilfisk-alto-11730410-cotton-micro-filter.jpg,nilfisk-alto-11730410-,nilfisk-alto-11730410-,,No layout updates.,Block after Info Column,,"MICRO FILTER FOR GM80              ","MICRO FILTER FOR GM80              ",Use config,"https://www.nilfisk.com/en/products/Pages/product.aspx?pid=11730410",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","","MICRO FILTER FOR GM80              ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25948","Respiratory",453824,"61543000",,"REPLACEMENT STANDARD COTTON MAIN FILTER [RETAINS 0.998 @ 3 MICRONS]","REPLACEMENT STANDARD COTTON MAIN FILTER [RETAINS 0.998 @ 3 MICRONS]","REPLACEMENT STANDARD COTTON MAIN FILTER [RETAINS 0.998 @ 3 MICRONS]","",/\6\1\nilfisk-alto-61543000-replacement-standard-cotton-main-filter-retains-0998-3-microns.jpg,/\6\1\nilfisk-alto-61543000-replacement-standard-cotton-main-filter-retains-0998-3-microns.jpg,http://www.48ws.com/images/product/6/1/nilfisk-alto-61543000-replacement-standard-cotton-main-filter-retains-0998-3-microns.jpg,nilfisk-alto-61543000-replacement-standard-cotton-main-filter-retains-0998-3-microns,nilfisk-alto-61543000-replacement-standard-cotton-main-filter-retains-0998-3-microns,,No layout updates.,Block after Info Column,,"REPLACEMENT STANDARD COTTON MAIN FILTER [RETAINS 0.998 @ 3 MICRONS]","REPLACEMENT STANDARD COTTON MAIN FILTER [RETAINS 0.998 @ 3 MICRONS]",Use config,"https://www.nilfisk.com/en/products/Pages/product.aspx?pid=61543000",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","5.7154920041e+012","","REPLACEMENT STANDARD COTTON MAIN FILTER [RETAINS 0.998 @ 3 MICRONS]",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29054","Shop Vacuums",453825,"81620000",,"FILTER BAGS FOR GM80 [5 BAGS PER PKT]","FILTER BAGS FOR GM80 [5 BAGS PER PKT]","FILTER BAGS FOR GM80 [5 BAGS PER PKT]","",/\8\1\nilfisk-alto-81620000-filter-bags-for-gm80-5-bags-per-pkt.jpg,/\8\1\nilfisk-alto-81620000-filter-bags-for-gm80-5-bags-per-pkt.jpg,http://www.48ws.com/images/product/8/1/nilfisk-alto-81620000-filter-bags-for-gm80-5-bags-per-pkt.jpg,nilfisk-alto-81620000-,nilfisk-alto-81620000-,,No layout updates.,Block after Info Column,,"FILTER BAGS FOR GM80 [5 BAGS PER PKT]","FILTER BAGS FOR GM80 [5 BAGS PER PKT]",Use config,"https://www.nilfisk.com/en/products/Pages/product.aspx?pid=81620000",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","","FILTER BAGS FOR GM80 [5 BAGS PER PKT]",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27689","Vacuum Hose",456218,"15805",,"10' HOSE COMPLETE","","10' HOSE COMPLETE","",/\1\5\nilfisk-alto-15805-10-hose-complete.jpg,/\1\5\nilfisk-alto-15805-10-hose-complete.jpg,http://www.48ws.com/images/product/1/5/nilfisk-alto-15805-10-hose-complete.jpg,nilfisk-alto-15805-10-hose-complete,nilfisk-alto-15805-10-hose-complete,,No layout updates.,Block after Info Column,,"10' HOSE COMPLETE","10' HOSE COMPLETE",Use config,"http://www.globalindustrial.com/p/janitorial-maintenance/floor-care/vacuums-wet-dry/nilfisk-alto-attix-30-50-complete-hose?infoParam.campaignId=T9F&gclid=CMamvsyazsMCFUVgfgod-3UABg",0,,,0,"Nilfisk-Alto",182,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","","10' HOSE COMPLETE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
