store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"29018","Concrete Cutting",12595,"C1320P",,"Gasoline Small Push Saw","","Gasoline Small Push Saw","Norton C1320P Gasoline Small Push Saw",/\C\1\Norton-C1320P-Gasoline-Small-Push.jpg,/\C\1\Norton-C1320P-Gasoline-Small-Push.jpg,http://www.48ws.com/images/product/C/1/Norton-C1320P-Gasoline-Small-Push.jpg,norton-C1320P-,norton-C1320P-,,No layout updates.,Block after Info Column,,"Gasoline Small Push Saw","Gasoline Small Push Saw",Use config,"http://www.nortonconstructionproducts.com/product/C1320P-GasPushSaw.aspx",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Norton C1320P Gasoline Small Push Saw","<li>Uncomplicated motor tensioning for reduced labor time with belt changes</li><li>
Four V-belts to transferring maximum power to the blade shaft</li><li>
Reinforced frame and axle is the strongest in its class</li>","Small to medium contractor work demands performance with an economical solution. The C1320P brings the contractor the ideal saw with a heavy-duty box frame that resists bending and supported with the high-performing Honda 13HP engine. The heavy frame also provides a straighter cut. Changing or adjusting belts is simple with the single screw tensioner. The C1320P is in a class by itself.","","Norton C1320P Gasoline Small Push Saw","Gasoline Small Push Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12596,"C1318P",,"Gasoline Small Push Saw","","Gasoline Small Push Saw","Norton C1318P Gasoline Small Push Saw",/\C\1\Norton-C1318P-Gasoline-Small-Push.jpg,/\C\1\Norton-C1318P-Gasoline-Small-Push.jpg,http://www.48ws.com/images/product/C/1/Norton-C1318P-Gasoline-Small-Push.jpg,norton-C1318P-,norton-C1318P-,,No layout updates.,Block after Info Column,,"Gasoline Small Push Saw","Gasoline Small Push Saw",Use config,"http://www.nortonconstructionproducts.com/product/C1318P-GasPushSaw.aspx",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Norton C1318P Gasoline Small Push Saw","<li>Quick belt tensioning feature provides fast and accurate belt tensioning</li><li>
Shock-absorbing handle bars reduce vibrations up to 40%</li><li>
No hassle, fast, blade guard securing lock</li>","The next generation of 13HP saws, the Norton Clipper C1318P features shock-absorbing handle bars. the new sleek design of the water tank, with increased capacity and improved securing, adds an additional 1.5 gallons of water over the cut. And, a newly-designed belt tensioning system helps keep the saw cutting tried and true. All these features, coupled with the Honda 13HP engine, makes the C1318P the premiere choice for rental and service work.","","Norton C1318P Gasoline Small Push Saw","Gasoline Small Push Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|22689","Abrasive Wheels|Abrasive Wheel Adapters",162590,"02757",,"Abrasive Blade - Metal - Aluminum Oxide","","Abrasive Blade - Metal - Aluminum Oxide","Standard aluminum oxide with good performance and life when cutting metal.",/\0\2\Abrasive-Blade-Metal-Aluminum.png,/\0\2\Abrasive-Blade-Metal-Aluminum.png,http://www.48ws.com/images/product/0/2/Abrasive-Blade-Metal-Aluminum.png,02757-Norton-Abrasive-Blade-Metal-Aluminum-Oxide,02757-Norton-Abrasive-Blade-Metal-Aluminum-Oxide,,No layout updates.,Block after Info Column,,"Abrasive Blade - Metal - Aluminum Oxide","Abrasive Blade - Metal - Aluminum Oxide",Use config,"http://www.nortonconstructionproducts.com/uploadedFiles/SGnortonclipper/Documents/PDFs_Catalog_Sections/PortableHandHeld-AbrasiveBlades-.pdf",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Standard aluminum oxide with good performance and life when cutting metal.","<li>Size: 6 x .040 x 7/8</li>
<li>Max RPM: 10185</li>","","","Abrasive Blade - Metal - Aluminum Oxide","Abrasive Blade - Metal - Aluminum Oxide",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28175","Coring Drills and Machines",224501,"701846 00917 1",,"HHDETOL Hand-Held Core Drill","","HHDETOL Hand-Held Core Drill","",/\H\H\Hand-Held-Core.jpg,/\H\H\Hand-Held-Core.jpg,http://www.48ws.com/images/product/H/H/Hand-Held-Core.jpg,norton-701846-00917-1-,norton-701846-00917-1-,,No layout updates.,Block after Info Column,,"HHDETOL Hand-Held Core Drill","HHDETOL Hand-Held Core Drill",Use config,"http://www.nortonconstructionproducts.com/product/HHDETOL-Core-Drill.aspx",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weighing only 13 pounds, the Norton Clipper HHDETOL is a Cardi hand-held core drill, with a 15 amp motor.","</br>
<li>1-1/4&quot; – 7 spindle with 5/8-11 threaded adaptor allows additional bit types to be used.</li>
<li>Heavy-duty, light-weight, high-impact plastic carrying case protects drill during transportation.</li>
<li>Optional stand provides additional drilling flexibility, and a sturdy column and carriage for smooth drilling.</li>
<li>The “Smart Electronic” system protects it from system overload.</li>
<li>Ideal for electricians, plumbers and the professional contractor.</li>
<li><b>Includes:</b> a durable plastic carrying case, safety clutch, 5/8-11 threaded adapter and 1-1/4-7 threaded spindle.</li>","</br>
<li><b>Gears:</b> 2</li>
<li><b>Motor Type:</b> Electric</li>
<li><b>Voltage:</b> 115 volts</li>
<li><b>Cycle*/Current/Phase:</b> 60Hz/AC/1</li>
<li><b>Amperage*:</b> 15 Amps</li>
<li><b>RPM (No Load):</b> 1,180/2,150</li>
<li><b>Smart Electronics:</b> YES</li>
<li><b>Weight Crated - lbs.(kg):</b> 19(8.6)</li>
<li><b>Weight Uncrated - lbs.(kg):</b> 13(5.9)</li>
<li><b>Recommended Bit Sizes:</b></br> 
&emsp;&emsp;<i>Low-in.(mm)</i> - 2&quot; to 4&quot; (50 to 102)</br>
&emsp;&emsp;<i>High-in.(mm)</i> - 1/2&quot; to 2&quot; (12 to 50)</br>
</br>
<i>*=DATA PROVIDED BY MOTOR MANUFACTURER</i>","","HHDETOL Hand-Held Core Drill","HHDETOL Hand-Held Core Drill",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28|24978","Masonry Saws|Masonry Saws",224581,"BBM307",,"Blockbuster Mini Masonry Saw","","Blockbuster Mini Masonry Saw","The innovative design of these small masonry saws has been copied many times due to its compact, all-steel unibody construction, giving the best weight-to-strength distribution.",/\B\B\Blockbuster-Mini-Masonry.png,/\B\B\Blockbuster-Mini-Masonry.png,http://www.48ws.com/images/product/B/B/Blockbuster-Mini-Masonry.png,BBM307-Norton-Blockbuster-Mini-Masonry-Saw,BBM307-Norton-Blockbuster-Mini-Masonry-Saw,,No layout updates.,Block after Info Column,,"Blockbuster Mini Masonry Saw","Blockbuster Mini Masonry Saw",Use config,"",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The innovative design of these small masonry saws has been copied many times due to its compact, all-steel unibody construction, giving the best weight-to-strength distribution.","</br>
<li><b>All Steel Construction -</b> All welded strong honeycomb reinforcement design.</li>
<li><b>Pivoting Locking Head -</b> Plunge/step cutting and jam cutting (all the way down).</li>
<li><b>Clear View Cutting System -</b> Offset of motor and blade allows operator to see the complete cutting surface.</li>
<li><b>Wet or Dry Cutting -</b> Quick attach garden hose water system.</li>","<img src=&quot;/images/product/B/B/Blockbuster-Mini-Masonry-%201.png&quot; alt=&quot;Norton Blockbuster Mini Masonry Saw Specifications&quot; />","","Blockbuster Mini Masonry Saw","Blockbuster Mini Masonry Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27764","Cut-Off and Chop Wheels",459813,"07660701617",,"4-1/2 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23101","","4-1/2 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23101","",/\0\7\norton-07660701617-4-12-x-045-x-78-metal-cut-off-wheel-a60s-23101.jpg,/\0\7\norton-07660701617-4-12-x-045-x-78-metal-cut-off-wheel-a60s-23101.jpg,http://www.48ws.com/images/product/0/7/norton-07660701617-4-12-x-045-x-78-metal-cut-off-wheel-a60s-23101.jpg,norton-07660701617-4-12-x-045-x-78-metal-cut-off-wheel-a60s-23101,norton-07660701617-4-12-x-045-x-78-metal-cut-off-wheel-a60s-23101,,No layout updates.,Block after Info Column,,"4-1/2 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23101","4-1/2 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23101",Use config,"",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Norton 4-1/2 in. Metal cut-off blade is extra thin and designed for fast, quick cutting using right angle grinders. Has a .040 in. thickness and 7/8 in. arbor. Max RPM: 13,580
Unique, thin design for:

Cleaning, slotting, cutting metal
Cutting metal studs, angle iron, tubing
Cutting autobody panels
Cutting sheet metal","","","","4-1/2 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23101",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27764","Cut-Off and Chop Wheels",459814,"7660702757",,"6 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23106","","6 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23106","",/\7\6\norton-7660702757-6-x-045-x-78-metal-cut-off-wheel-a60s-23106.jpg,/\7\6\norton-7660702757-6-x-045-x-78-metal-cut-off-wheel-a60s-23106.jpg,http://www.48ws.com/images/product/7/6/norton-7660702757-6-x-045-x-78-metal-cut-off-wheel-a60s-23106.jpg,norton-7660702757-6-x-045-x-78-metal-cut-off-wheel-a60s-23106,norton-7660702757-6-x-045-x-78-metal-cut-off-wheel-a60s-23106,,No layout updates.,Block after Info Column,,"6 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23106","6 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23106",Use config,"",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","6X.040X7/8 METAL ALUM OX TY1","","","","6 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23106",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27764","Cut-Off and Chop Wheels",459815,"07660775938",,"9 X 1/4 X 5/8-11 METAL DISC TYPE 27 20096","","9 X 1/4 X 5/8-11 METAL DISC TYPE 27 20096","",/\0\7\norton-07660775938-9-x-14-x-58-11-metal-disc-type-27-20096.jpg,/\0\7\norton-07660775938-9-x-14-x-58-11-metal-disc-type-27-20096.jpg,http://www.48ws.com/images/product/0/7/norton-07660775938-9-x-14-x-58-11-metal-disc-type-27-20096.jpg,norton-07660775938-9-x-14-x-58-11-metal-disc-type-27-20096,norton-07660775938-9-x-14-x-58-11-metal-disc-type-27-20096,,No layout updates.,Block after Info Column,,"9 X 1/4 X 5/8-11 METAL DISC TYPE 27 20096","9 X 1/4 X 5/8-11 METAL DISC TYPE 27 20096",Use config,"",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Norton Metal Wheels - 07660775938
Low initial cost per wheel.
Ideal for grinding alloys, metals, steels and ferrous metals.
Ideal for on-site and small-unit jobs.","","","","9 X 1/4 X 5/8-11 METAL DISC TYPE 27 20096",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27764","Cut-Off and Chop Wheels",459816,"7660789088",,"7 X 3/32 X 5/8 METAL CUT OFF WHEEL A24R 23234","","7 X 3/32 X 5/8 METAL CUT OFF WHEEL A24R 23234","",/\7\6\norton-7660789088-7-x-332-x-58-metal-cut-off-wheel-a24r-23234.jpg,/\7\6\norton-7660789088-7-x-332-x-58-metal-cut-off-wheel-a24r-23234.jpg,http://www.48ws.com/images/product/7/6/norton-7660789088-7-x-332-x-58-metal-cut-off-wheel-a24r-23234.jpg,norton-7660789088-7-x-332-x-58-metal-cut-off-wheel-a24r-23234,norton-7660789088-7-x-332-x-58-metal-cut-off-wheel-a24r-23234,,No layout updates.,Block after Info Column,,"7 X 3/32 X 5/8 METAL CUT OFF WHEEL A24R 23234","7 X 3/32 X 5/8 METAL CUT OFF WHEEL A24R 23234",Use config,"",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","7X1/8XDM-5/8 MASNRY SILCAR TY1","","","","7 X 3/32 X 5/8 METAL CUT OFF WHEEL A24R 23234",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27764","Cut-Off and Chop Wheels",459817,"07660789405",,"14 X 3/32 X 1 METAL CUTTING BLADE 24039","","14 X 3/32 X 1 METAL CUTTING BLADE 24039","",/\0\7\norton-07660789405-14-x-332-x-1-metal-cutting-blade-24039.jpg,/\0\7\norton-07660789405-14-x-332-x-1-metal-cutting-blade-24039.jpg,http://www.48ws.com/images/product/0/7/norton-07660789405-14-x-332-x-1-metal-cutting-blade-24039.jpg,norton-07660789405-14-x-332-x-1-metal-cutting-blade-24039,norton-07660789405-14-x-332-x-1-metal-cutting-blade-24039,,No layout updates.,Block after Info Column,,"14 X 3/32 X 1 METAL CUTTING BLADE 24039","14 X 3/32 X 1 METAL CUTTING BLADE 24039",Use config,"",0,,,0,"Norton",157,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Norton® GEMINI® Reinforced Cut Off Wheel of 14&quot; Dia is ideally designed for cutting steel studs masonry or steel and is used with chop saw on steel studs. Type 1 cut off wheel of thickness 7/64&quot; is able to rotate at 4365 RPM using 1&quot; arbors for delivering high performance with fast cutting and is made from aluminum oxide abrasive with thin side reinforcement for enhanced durability, sold as 10 per pack.","","","","14 X 3/32 X 1 METAL CUTTING BLADE 24039",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
