store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1232|20352","Anchor Products|Anchor Bolts | Foundation Bolts",164389,"AB6218HDG",,"Anchor Bolts","Anchor Bolts","Anchor Bolts","",/\A\B\ocm-inc-ab6218hdg-anchor-bolts.png,/\A\B\ocm-inc-ab6218hdg-anchor-bolts.png,http://www.48ws.com/images/product/A/B/ocm-inc-ab6218hdg-anchor-bolts.png,ocm-inc-AB6218HDG-anchor-bolts,ocm-inc-AB6218HDG-anchor-bolts,,No layout updates.,Block after Info Column,,"Anchor Bolts","Anchor Bolts",Use config,"http://ocm.xbx.com/docs/Anchor%20Bolt.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Anchor Bolts with Galvanized Nut and Washer","<li>Plain or HDG per ASTM A307</li><li>Rolled Thread</li>","","","Dia: 5/8&quot;, Length: 18&quot;","Anchor Bolts",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1232|20352","Anchor Products|Anchor Bolts | Foundation Bolts",164390,"AB6208HDG",,"Anchor Bolts","Anchor Bolts","Anchor Bolts","",/\A\B\ocm-inc-ab6208hdg-.png,/\A\B\ocm-inc-ab6208hdg-.png,http://www.48ws.com/images/product/A/B/ocm-inc-ab6208hdg-.png,ocm-inc-AB6208HDG-,ocm-inc-AB6208HDG-,,No layout updates.,Block after Info Column,,"Anchor Bolts","Anchor Bolts",Use config,"http://ocm.xbx.com/docs/Anchor%20Bolt.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Anchor Bolts with Galvanized Nut and Washer","<li>Plain or HDG per ASTM A307</li><li>Rolled Thread</li>","","","Dia: 5/8&quot;, Length: 8&quot;","Anchor Bolts",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"597|27681","Forming Accessories - Light Forming|Form Pins",164391,"AFP-RH",,"Aluminum Form Pins","Aluminum Form Pins","Aluminum Form Pins","",/\A\F\Aluminum-Form- 1.png,/\A\F\Aluminum-Form- 1.png,http://www.48ws.com/images/product/A/F/Aluminum-Form- 1.png,ocm-inc-AFP-RH-aluminum-form-pins,ocm-inc-AFP-RH-aluminum-form-pins,,No layout updates.,Block after Info Column,,"Aluminum Form Pins","Aluminum Form Pins",Use config,"http://ocm.xbx.com/docs/aluminum_form_pin.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","Round Head, Dia: 5/8&quot;, Length 2-3/4&quot;","Aluminum Form Pins",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"597|27681","Forming Accessories - Light Forming|Form Pins",164392,"AFP-FH",,"Aluminum Form Pins","Aluminum Form Pins","Aluminum Form Pins","",/\A\F\Aluminum-Form- 1.png,/\A\F\Aluminum-Form- 1.png,http://www.48ws.com/images/product/A/F/Aluminum-Form- 1.png,ocm-inc-AFP-FH-aluminum-form-pins,ocm-inc-AFP-FH-aluminum-form-pins,,No layout updates.,Block after Info Column,,"Aluminum Form Pins","Aluminum Form Pins",Use config,"http://ocm.xbx.com/docs/aluminum_form_pin.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","Flat Head, Dia: 5/8&quot;, Length 2-1/4&quot;","Aluminum Form Pins",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"597|27681","Forming Accessories - Light Forming|Form Pins",164393,"AFP-CP",,"Aluminum Form Pins","Aluminum Form Pins","Aluminum Form Pins","",/\A\F\Aluminum-Form- 1.png,/\A\F\Aluminum-Form- 1.png,http://www.48ws.com/images/product/A/F/Aluminum-Form- 1.png,ocm-inc-AFP-CP-aluminum-form-pins,ocm-inc-AFP-CP-aluminum-form-pins,,No layout updates.,Block after Info Column,,"Aluminum Form Pins","Aluminum Form Pins",Use config,"http://ocm.xbx.com/docs/aluminum_form_pin.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","Combo Pin, Dia: 5/8&quot;, Length 4-3/4&quot;","Aluminum Form Pins",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"597|27682","Forming Accessories - Light Forming|Form Wedges",164394,"AFT-SW",,"Aluminum Form Wedges","Aluminum Form Wedges","Aluminum Form Wedges","",/\A\F\Aluminum-Form- 2.png,/\A\F\Aluminum-Form- 2.png,http://www.48ws.com/images/product/A/F/Aluminum-Form- 2.png,ocm-inc-AFT-SW-aluminum-form-wedges,ocm-inc-AFT-SW-aluminum-form-wedges,,No layout updates.,Block after Info Column,,"Aluminum Form Wedges","Aluminum Form Wedges",Use config,"http://ocm.xbx.com/docs/Aluminum_Form_Wedge.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","Flat","Aluminum Form Wedges",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"597|27682","Forming Accessories - Light Forming|Form Wedges",164395,"AFT-CW",,"Aluminum Form Wedges","Aluminum Form Wedges","Aluminum Form Wedges","",/\A\F\Aluminum-Form- 2.png,/\A\F\Aluminum-Form- 2.png,http://www.48ws.com/images/product/A/F/Aluminum-Form- 2.png,ocm-inc-AFT-CW-aluminum-form-wedges,ocm-inc-AFT-CW-aluminum-form-wedges,,No layout updates.,Block after Info Column,,"Aluminum Form Wedges","Aluminum Form Wedges",Use config,"http://ocm.xbx.com/docs/Aluminum_Form_Wedge.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","Curved","Aluminum Form Wedges",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"597|26921","Forming Accessories - Light Forming|Concrete Form Ties",164396,"AFT06FRETQN",,"Aluminum Form Ties","Aluminum Form Ties","Aluminum Form Ties","",/\A\F\Aluminum-Form.png,/\A\F\Aluminum-Form.png,http://www.48ws.com/images/product/A/F/Aluminum-Form.png,ocm-inc-AFT06FRETQN-aluminum-form-ties,ocm-inc-AFT06FRETQN-aluminum-form-ties,,No layout updates.,Block after Info Column,,"Aluminum Form Ties","Aluminum Form Ties",Use config,"http://ocm.xbx.com/docs/Aluminum_Form_Tie_kai.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Round End<li><li>Safe Working Load: 3,600 lbs</li>","","","6&quot;, Type: Full","Aluminum Form Ties",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"597|26921","Forming Accessories - Light Forming|Concrete Form Ties",164397,"AFT08FRETQN",,"Aluminum Form Ties","Aluminum Form Ties","Aluminum Form Ties","",/\A\F\Aluminum-Form.png,/\A\F\Aluminum-Form.png,http://www.48ws.com/images/product/A/F/Aluminum-Form.png,ocm-inc-AFT08FRETQN-aluminum-form-ties,ocm-inc-AFT08FRETQN-aluminum-form-ties,,No layout updates.,Block after Info Column,,"Aluminum Form Ties","Aluminum Form Ties",Use config,"http://ocm.xbx.com/docs/Aluminum_Form_Tie_kai.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Round End<li><li>Safe Working Load: 3,600 lbs</li>","","","8&quot;, Type: Full","Aluminum Form Ties",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"597|26921","Forming Accessories - Light Forming|Concrete Form Ties",164398,"AFT09FRETQN",,"Aluminum Form Ties","Aluminum Form Ties","Aluminum Form Ties","",/\A\F\Aluminum-Form.png,/\A\F\Aluminum-Form.png,http://www.48ws.com/images/product/A/F/Aluminum-Form.png,ocm-inc-AFT09FRETQN-aluminum-form-ties,ocm-inc-AFT09FRETQN-aluminum-form-ties,,No layout updates.,Block after Info Column,,"Aluminum Form Ties","Aluminum Form Ties",Use config,"http://ocm.xbx.com/docs/Aluminum_Form_Tie_kai.pdf",0,,,0,"OCM, Inc.",1094,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Round End<li><li>Safe Working Load: 3,600 lbs</li>","","","9&quot;, Type: Full","Aluminum Form Ties",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
