store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"19596","Duct and Cloth Tapes",457524,"B00ATDDZGY",,"General Purpose Duct Tape","","General Purpose Duct Tape","",/\B\0\ors-nasco-b00atddzgy-general-purpose-duct-tape.jpg,/\B\0\ors-nasco-b00atddzgy-general-purpose-duct-tape.jpg,http://www.48ws.com/images/product/B/0/ors-nasco-b00atddzgy-general-purpose-duct-tape.jpg,ors-nasco-B00ATDDZGY-general-purpose-duct-tape,ors-nasco-B00ATDDZGY-general-purpose-duct-tape,,No layout updates.,Block after Info Column,,"General Purpose Duct Tape","General Purpose Duct Tape",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li> Ideal for hazardous materials handling to secure protective clothing","","","","General Purpose Duct Tape",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21633","C Clamps",457559,"ANCHOR 102-404C",,"4&quot; DROPPED FORGED C CLAMP ","","4&quot; DROPPED FORGED C CLAMP ","",/\A\N\ors-nasco-anchor-102-404c-4-dropped-forged-c-clamp.jpg,/\A\N\ors-nasco-anchor-102-404c-4-dropped-forged-c-clamp.jpg,http://www.48ws.com/images/product/A/N/ors-nasco-anchor-102-404c-4-dropped-forged-c-clamp.jpg,ors-nasco-ANCHOR-102-404C-4-dropped-forged-c-clamp,ors-nasco-ANCHOR-102-404C-4-dropped-forged-c-clamp,,No layout updates.,Block after Info Column,,"4&quot; DROPPED FORGED C CLAMP ","4&quot; DROPPED FORGED C CLAMP ",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Extra throat depth<br> <li>Individually boxed for easy storage and protection<br> <li>Non-slip clamping on all shapes<br> <li>Steel spindles are copper plated for spatter protection<br> <li>Swivel pads adjust freely to bear evenly on clamped part","","","","4&quot; DROPPED FORGED C CLAMP ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21633","C Clamps",457560,"ANCHOR 406P",,"6&quot; DROP FORGED C-CLAMP 102-406C ","","6&quot; DROP FORGED C-CLAMP 102-406C ","",/\A\N\ors-nasco-anchor-406p-6-drop-forged-c-clamp-102-406c.jpg,/\A\N\ors-nasco-anchor-406p-6-drop-forged-c-clamp-102-406c.jpg,http://www.48ws.com/images/product/A/N/ors-nasco-anchor-406p-6-drop-forged-c-clamp-102-406c.jpg,ors-nasco-ANCHOR-406P-6-drop-forged-c-clamp-102-406c,ors-nasco-ANCHOR-406P-6-drop-forged-c-clamp-102-406c,,No layout updates.,Block after Info Column,,"6&quot; DROP FORGED C-CLAMP 102-406C ","6&quot; DROP FORGED C-CLAMP 102-406C ",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","Wilton 14257 406-P, 400-P Series C-Clamp, 0-Inch-6-1/16-Inch Jaw Opening, 4-1/8-Inch Throat Depth","","","6&quot; DROP FORGED C-CLAMP 102-406C ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21633","C Clamps",457561,"ANCHOR 408P",,"8&quot; DROP FORGED C-CLAMP 102-408C ","","8&quot; DROP FORGED C-CLAMP 102-408C ","",/\A\N\ors-nasco-anchor-408p-8-drop-forged-c-clamp-102-408c.jpg,/\A\N\ors-nasco-anchor-408p-8-drop-forged-c-clamp-102-408c.jpg,http://www.48ws.com/images/product/A/N/ors-nasco-anchor-408p-8-drop-forged-c-clamp-102-408c.jpg,ors-nasco-ANCHOR-408P-8-drop-forged-c-clamp-102-408c,ors-nasco-ANCHOR-408P-8-drop-forged-c-clamp-102-408c,,No layout updates.,Block after Info Column,,"8&quot; DROP FORGED C-CLAMP 102-408C ","8&quot; DROP FORGED C-CLAMP 102-408C ",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","Wilton 14271 408-P, 400-P Series C-Clamp, 0-Inch-8-1/4-Inch Jaw Opening, 5-Inch Throat Depth","","","8&quot; DROP FORGED C-CLAMP 102-408C ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21633","C Clamps",457562,"ANCHOR 410P",,"10&quot; DROP FORGED C-CLAMP 102-410C ","","10&quot; DROP FORGED C-CLAMP 102-410C ","",/\A\N\ors-nasco-anchor-410p-10-drop-forged-c-clamp-102-410c.jpg,/\A\N\ors-nasco-anchor-410p-10-drop-forged-c-clamp-102-410c.jpg,http://www.48ws.com/images/product/A/N/ors-nasco-anchor-410p-10-drop-forged-c-clamp-102-410c.jpg,ors-nasco-ANCHOR-410P-10-drop-forged-c-clamp-102-410c,ors-nasco-ANCHOR-410P-10-drop-forged-c-clamp-102-410c,,No layout updates.,Block after Info Column,,"10&quot; DROP FORGED C-CLAMP 102-410C ","10&quot; DROP FORGED C-CLAMP 102-410C ",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","Wilton 14285 410-P, 400-P Series C-Clamp 2-Inch-10-1/8-Inch Jaw Opening, 6-Inch Throat Depth","","","10&quot; DROP FORGED C-CLAMP 102-410C ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21633","C Clamps",457563,"ANCHOR 412P ",,"12&quot; DROP FORGED C-CLAMP 102-412C ","","12&quot; DROP FORGED C-CLAMP 102-412C ","",/\A\N\ors-nasco-anchor-412p-12-drop-forged-c-clamp-102-412c.jpg,/\A\N\ors-nasco-anchor-412p-12-drop-forged-c-clamp-102-412c.jpg,http://www.48ws.com/images/product/A/N/ors-nasco-anchor-412p-12-drop-forged-c-clamp-102-412c.jpg,ors-nasco-ANCHOR-412P-12-drop-forged-c-clamp-102-412c,ors-nasco-ANCHOR-412P-12-drop-forged-c-clamp-102-412c,,No layout updates.,Block after Info Column,,"12&quot; DROP FORGED C-CLAMP 102-412C ","12&quot; DROP FORGED C-CLAMP 102-412C ",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","Wilton 14299 412-P, 400-P Series C-Clamp, 2-Inch-12-1/4-Inch Jaw Opening, 6-5/16-Inch Throat Depth","","","12&quot; DROP FORGED C-CLAMP 102-412C ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25945","Rainsuits",457762,"ANCHOR 3-PC RAIN SUIT YELLOW PVC",,"35MIL X-LARGE 101-9000-XL","","35MIL X-LARGE 101-9000-XL","",/\A\N\ors-nasco-anchor-3-pc-rain-suit-yellow-pvc-35mil-x-large-101-9000-xl.jpg,/\A\N\ors-nasco-anchor-3-pc-rain-suit-yellow-pvc-35mil-x-large-101-9000-xl.jpg,http://www.48ws.com/images/product/A/N/ors-nasco-anchor-3-pc-rain-suit-yellow-pvc-35mil-x-large-101-9000-xl.jpg,ors-nasco-ANCHOR-3-PC-RAIN-SUIT-YELLOW-PVC-35mil-x-large-101-9000-xl,ors-nasco-ANCHOR-3-PC-RAIN-SUIT-YELLOW-PVC-35mil-x-large-101-9000-xl,,No layout updates.,Block after Info Column,,"35MIL X-LARGE 101-9000-XL","35MIL X-LARGE 101-9000-XL",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","","35MIL X-LARGE 101-9000-XL",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25841","Hard Hat Suspensions",485659,"3RW2",,"SUSPENSION WEB W/ RATCHET","","SUSPENSION WEB W/ RATCHET","",/\3\R\ors-nasco-3rw2-suspension-web-w-ratchet.jpg,/\3\R\ors-nasco-3rw2-suspension-web-w-ratchet.jpg,http://www.48ws.com/images/product/3/R/ors-nasco-3rw2-suspension-web-w-ratchet.jpg,ors-nasco-3RW2-suspension-web-w-ratchet,ors-nasco-3RW2-suspension-web-w-ratchet,,No layout updates.,Block after Info Column,,"SUSPENSION WEB W/ RATCHET","SUSPENSION WEB W/ RATCHET",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Fibre-Metal® offers three headband adjustments for hard hat suspensions
The 360 degree degree padded sweatband provides extra comfort for all day wear
The patented SwingStrap™ combines the benefits of both the ratchet and the 360 padded sweatband with the added ability to convert from forward to reverse wearing position without having to remove and reinstall the suspension
The ratchet headband is strip proof and provides easy adjustment","","","","","SUSPENSION WEB W/ RATCHET",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",485660,"FMPSB1",,"SUNBRERO SUNSHIELD HAT S (FULL BRIM)","","SUNBRERO SUNSHIELD HAT S (FULL BRIM)","",/\F\M\ors-nasco-fmpsb1-sunbrero-sunshield-hat-s-full-brim.jpg,/\F\M\ors-nasco-fmpsb1-sunbrero-sunshield-hat-s-full-brim.jpg,http://www.48ws.com/images/product/F/M/ors-nasco-fmpsb1-sunbrero-sunshield-hat-s-full-brim.jpg,ors-nasco-FMPSB1-sunbrero-sunshield-hat-s-full-brim,ors-nasco-FMPSB1-sunbrero-sunshield-hat-s-full-brim,,No layout updates.,Block after Info Column,,"SUNBRERO SUNSHIELD HAT S (FULL BRIM)","SUNBRERO SUNSHIELD HAT S (FULL BRIM)",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","One piece, requires no assembly
Gray tint blocks 99% of UV rays
Available for both hat and cap style hard hats","","","SUNBRERO SUNSHIELD HAT S (FULL BRIM)",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25936","Sports Drinks and Thirst Quenchers",485661,"3944",,"VARIETY PK - LIME, GRAPE ORANGE,FRUIT PUNCH 2.5GL","","VARIETY PK - LIME, GRAPE ORANGE,FRUIT PUNCH 2.5GL","",/\3\9\ors-nasco-3944-variety-pk-lime-grape-orangefruit-punch-25gl.jpg,/\3\9\ors-nasco-3944-variety-pk-lime-grape-orangefruit-punch-25gl.jpg,http://www.48ws.com/images/product/3/9/ors-nasco-3944-variety-pk-lime-grape-orangefruit-punch-25gl.jpg,ors-nasco-3944-variety-pk-lime-grape-orangefruit-punch-25gl,ors-nasco-3944-variety-pk-lime-grape-orangefruit-punch-25gl,,No layout updates.,Block after Info Column,,"VARIETY PK - LIME, GRAPE ORANGE,FRUIT PUNCH 2.5GL","VARIETY PK - LIME, GRAPE ORANGE,FRUIT PUNCH 2.5GL",Use config,"",0,,,0,"ORS Nasco",1491,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","","","VARIETY PK - LIME, GRAPE ORANGE,FRUIT PUNCH 2.5GL",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
