store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"26136","Tool and Work Belts",204952,"5080",,"Pro Framer Tool Belt Package","Pro Framer™ Tool Belt Package","Pro Framer Tool Belt Package","",/\5\0\Pro-Framer-Tool-Belt- 1.jpg,/\5\0\Pro-Framer-Tool-Belt- 1.jpg,http://www.48ws.com/images/product/5/0/Pro-Framer-Tool-Belt- 1.jpg,occidental-leather-5080-pro-framer-tool-belt-package,occidental-leather-5080-pro-framer-tool-belt-package,,No layout updates.,Block after Info Column,,"Pro Framer Tool Belt Package","Pro Framer Tool Belt Package",Use config,"http://www.occidentalleather.com/product.php?sku=5080&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<p>For more than 30 years, the Pro Framer has been the benchmark by which all other tool belts have been measured. Designed by and for the professional builder, this traditional belt set is fine tuned for optimum efficiency and comfort.</p><p>The Pro Leather Series is constructed of premium top grain cow hides tanned to stringent specifications with a special blend of oils and waxes that meet the demands of heavy outdoor use.</p><p><strong> Features </strong></p><ul><li>Premium Top-Grain Leather</li><li>Hand-Specific Tool Holders Promote Maximum Working Rhythm on the Job</li><li>Copper Rivets Reinforce Main Bags</li><li>NoSpill Tool Holder System</li><li>Function Engineered for the Modern Builder</li></ul><p>&nbsp;</p><p><strong>Made in USA!</strong></p><p><strong>Specifications</strong></p><ul><li>Pockets &amp; Tool Holders : <b>21</b></li><li>Belt Sizes : <b>SM-XXXL</b></li><li>Weight : <b>5.4 lbs.</b></li><li>Available for lefties in LH option with double outer bags as 5080DBLH</li></ul>","For more than 30 years, the Pro Framer™ has been the benchmark by which all other tool belts have been measured. Designed by and for the professional builder, this traditional belt set is fine tuned for optimum efficiency and comfort.

The Pro Leather™ Series is constructed of premium top grain cow hides tanned to stringent specifications with a special blend of oils and waxes that meet the demands of heavy outdoor use.
<br>
<br><th><b>Specifications</b></th><br>
<br>
<li>Pockets & Tool Holders : 21</li><br>
<li>Available for lefties in LH option with double outer bags as 5080DBLH</li>
","","Belt Sizes : SM-XXXL","Pro Framer Tool Belt Package",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26136","Tool and Work Belts",204953,"8585",,"Heritage Fat Lip Tool Belt Set","Heritage Fat Lip™ Tool Belt Set","Heritage Fat Lip Tool Belt Set","",/\8\5\Heritage-Fat-Lip-Tool-Belt.jpg,/\8\5\Heritage-Fat-Lip-Tool-Belt.jpg,http://www.48ws.com/images/product/8/5/Heritage-Fat-Lip-Tool-Belt.jpg,occidental-leather-8585-heritage-fat-lip-tool-belt-set,occidental-leather-8585-heritage-fat-lip-tool-belt-set,,No layout updates.,Block after Info Column,,"Heritage Fat Lip Tool Belt Set","Heritage Fat Lip Tool Belt Set",Use config,"http://www.occidentalleather.com/product.php?sku=8585&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The FatLip™ Tool Belt Set style bags are available in our Adjustable Series as the 9850 Adjust-to-Fit™ FatLip™ Tool Bag Set - Black.","<p>A new, unique design for production carpenters. These bags are 10&quot; deep and feature a full leather boot along with a distinctive leather FatLip bag mouth. The leather FatLip keeps the bag formed, open, and protected against abrasion.</p><p>The FatLip Tool Belt Set style bags are available in our Adjustable Series as the 9850 Adjust-to-Fit FatLip Tool Bag Set - Black.</p><p>*Patent No.: US D531,401 S</p><p><strong>Features</strong></p><ul><li>Designed with Hand Specific Tool Holders</li><li>Padded Two Ply Tool Bags Keep Their Shape</li><li>Extremely Abrasion Resistant Industrial Nylon</li><li>Leather Tool Holders and Corner Reinforcing</li><li>Available for Left Handed builders as 8585LH</li></ul><p><strong>Made in USA!</strong></p><p><strong>Specifications</strong></p><ul><li>Pockets &amp; Tool Holders : <b>25</b></li><li>Belt Sizes : <b>SM-XXXL</b></li><li>Weight : <b>5.2 lbs.</b></li></ul>","A new, unique design for production carpenters. These bags are 10&quot; deep and feature a full leather boot along with a distinctive leather FatLip™ bag mouth. The leather FatLip™ keeps the bag formed, open, and protected against abrasion.

The FatLip™ Tool Belt Set style bags are available in our Adjustable Series as the 9850 Adjust-to-Fit™ FatLip™ Tool Bag Set - Black.
<br>
<br><th><b>Specifications</b></th><br>
<br>
<li>Pockets & Tool Holders : 25</li>
","","Belt Sizes : SM-XXXL","Heritage Fat Lip Tool Belt Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26136","Tool and Work Belts",204954,"9596",,"Adjust-to-Fit Industrial Pro Electrician","Adjust-to-Fit™ Industrial Pro Electrician","Adjust-to-Fit Industrial Pro Electrician","",/\9\5\Adjust-to-Fit-Industrial-Pro.jpg,/\9\5\Adjust-to-Fit-Industrial-Pro.jpg,http://www.48ws.com/images/product/9/5/Adjust-to-Fit-Industrial-Pro.jpg,occidental-leather-9596-adjust-to-fit-industrial-pro-electrician,occidental-leather-9596-adjust-to-fit-industrial-pro-electrician,,No layout updates.,Block after Info Column,,"Adjust-to-Fit Industrial Pro Electrician","Adjust-to-Fit Industrial Pro Electrician",Use config,"http://www.occidentalleather.com/product.php?sku=9596&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Adjust To Fit Pro Electrician","<p>Top of the line all leather bag Adjust-to-Fit set for the commercial electrician provides a full range of adjustment from pant waist size 32&quot; to 40&quot;. Efficient, hand specific tool and fastener organization, function engineered. The leather NoSpill&amp;Trade; tool holders form to your tools and give years of durable service. For the journeyman that requires the highest quality available.</p><p><strong>Specifications</strong></p><ul><li>Belt Sizes : <strong>Adjustable</strong></li><li>Weight : <strong>5.2 lbs.</strong></li></ul><p>Made in the USA!</p>","<h2>Description</h2><ul>
<li>Top of the line all leather bag Adjust-to-Fit set for the commercial electrician provides a full range of adjustment from pant waist size 32&quot; to 40&quot;.</li><li>Efficient, hand specific tool and fastener organization, function engineered.</li><li>The leather NoSpill &Trade; tool holders form to your tools and give years of durable service.</li><li>For the journeyman that requires the highest quality available.
</li></ul>","","Adjust-to-Fit™ Industrial Pro Electrician","Adjust-to-Fit Industrial Pro Electrician",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26136","Tool and Work Belts",204955,"8385",,"Black Belt Rough Framer Tool Belt Set","Black Belt Rough Framer™ Tool Belt Set","Black Belt Rough Framer Tool Belt Set","Strong, hard working, and light weight! Nylon and leather combined to give the ultimate in performance in a cost effective comfortable design suited for simple carpentry and rough framing.",/\8\3\Black-Belt-Rough-Framer-Tool-Belt.jpg,/\8\3\Black-Belt-Rough-Framer-Tool-Belt.jpg,http://www.48ws.com/images/product/8/3/Black-Belt-Rough-Framer-Tool-Belt.jpg,occidental-leather-8385-black-belt-rough-framer-tool-belt-set,occidental-leather-8385-black-belt-rough-framer-tool-belt-set,,No layout updates.,Block after Info Column,,"Black Belt Rough Framer Tool Belt Set","Black Belt Rough Framer Tool Belt Set",Use config,"http://www.occidentalleather.com/product.php?sku=8385&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Strong, hard working, and light weight! Nylon and leather combined to give the ultimate in performance in a cost effective comfortable design suited for simple carpentry and rough framing.","<p>Strong, hard working, and light weight! Nylon and leather combined to give the ultimate in performance in a cost effective comfortable design suited for simple carpentry and rough framing. Tool holders for common tools with a back bag that accepts a speed square. </p><p><strong>Features</strong></p><ul><li>Lightweight Professional Design</li><li>3&quot; Padded Nylon &amp; Leather Work Belt Provides Comfort</li><li>Leather Reinforced Corners</li><li>Durable Double Walled Commercial Nylon Bags</li><li>Professional System Maximizes Working Rhythm</li></ul><p><strong>Made in USA!</strong></p><p><strong>Specifications</strong></p><ul><li>Pockets &amp; Tool Holders : <b>20</b></li><li>Belt Sizes : <b>SM-XXL</b></li><li>Weight : <b>3.5 lbs.</b></li></ul>","Strong, hard working, and light weight! Nylon and leather combined to give the ultimate in performance in a cost effective comfortable design suited for simple carpentry and rough framing. Tool holders for common tools with a back bag that accepts a speed square.<br>

<br><th><b>Specifications</b></th><br>
<br>
<li>Pockets & Tool Holders : 20</li>
","","Belt Sizes : SM-XXL","Black Belt Rough Framer Tool Belt Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26136","Tool and Work Belts",204956,"5017",,"2 Pouch Pro Tool Bag","2 Pouch Pro Tool Bag","2 Pouch Pro Tool Bag","The most popular tool bag design with all the features of the 5018DB without an extra outer pouch and tape pocket. Holders for pencils, work knife, lumber crayon, chisel, torpedo level, hammer.",/\5\0\2-Pouch-Pro-Tool.jpg,/\5\0\2-Pouch-Pro-Tool.jpg,http://www.48ws.com/images/product/5/0/2-Pouch-Pro-Tool.jpg,occidental-leather-5017-2-pouch-pro-tool-bag,occidental-leather-5017-2-pouch-pro-tool-bag,,No layout updates.,Block after Info Column,,"2 Pouch Pro Tool Bag","2 Pouch Pro Tool Bag",Use config,"http://www.occidentalleather.com/product.php?sku=5017&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"2 Pouch Pro Tool Bag","<p>The most popular tool bag design with all the features of the 5018DB without an extra outer pouch and tape pocket.Holders for pencils, work knife, lumber crayon, chisel, torpedo level, hammer.</p><p><b>Specifications:</b></p><ul><li>Pockets &amp; Tool Holders: <b>9</b></li><li>Weight: <b>1.7 lbs.</b></li><li>Main Bag: <b>9&quot; x 8&quot;</b></li><li>Outer Bag: <b>5.5&quot; x 5.5&quot;</b></li></ul><p>Tool Bags hold the tools most often accessed with the right hand (hammer, pencils, utility knife, chisels, etc.) and are worn on the right side of the body.</p><h3>Made in the USA</h3> ","<h2>Description</h2><p>
Main bag - 10&quot;W x 8&quot;D. Outer bag - 6&quot;W x 5&quot;D. All the holders of the 5016, pus 2 more for chisel and torpedo level.
</p>","","Main Bag: 9&quot; x 8&quot; Outer Bag: 5.5&quot; x 5.5&quot;","2 Pouch Pro Tool Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26136","Tool and Work Belts",204957,"5060",,"3 Pouch Pro Fastener Bag","3 Pouch Pro Fastener Bag","3 Pouch Pro Fastener Bag","The most popular leather fastener bag. Highly recommended for framing and general carpentry applications. Holders for 1” blade square, angle square, cat’s paw loop, driver bits, etc.",/\5\0\3-Pouch-Pro-Fastener.jpg,/\5\0\3-Pouch-Pro-Fastener.jpg,http://www.48ws.com/images/product/5/0/3-Pouch-Pro-Fastener.jpg,occidental-leather-5060-3-pouch-pro-fastener-bag,occidental-leather-5060-3-pouch-pro-fastener-bag,,No layout updates.,Block after Info Column,,"3 Pouch Pro Fastener Bag","3 Pouch Pro Fastener Bag",Use config,"http://www.occidentalleather.com/product.php?sku=5060&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3 Pouch Pro Fastener Bag","<p>The most popular leather fastener bag.Highly recommended for framing and general carpentry applications.Holders for 1” blade square, angle square, cat’s paw loop, driver bits, etc.</p><p><b>Specifications:</b></p><ul><li>Pockets &amp; Tool Holders: <b>9</b></li><li>Weight: <b>1.9 lbs.</b></li><li>Main Bag: <b>9&quot; x 8&quot;</b></li><li>Outer Bag: <b>7&quot; x 6&quot;</b></li><li>Upper Bag: <b>4.5&quot; x 4.5&quot;</b></li><li>Also available for left hand builders as 5060LH</li></ul><p>Fastener Bags hold the tools and fasteners most often accessed with the left hand (nail sets, tri-square, cat\'s paw, driver bits, angle square, etc.) and are worn on the left side of the body.</p><h3>Made in the USA</h3> ","<h2>Description</h2><p>
Highly recommended for framing and general carpentry applications.
</P>
<h3>Product Available</h3><ul>
<li><b>Standard </b>(Fastener bags are worn on the left side)
</li><li><b>Left Handed</b> (Left Handed Fastener bags are worn on the Right Side)
</li></ul>","","Main Bag: 9&quot; x 8&quot; Outer Bag: 7&quot; x 6&quot; Upper Bag: 4.5&quot; x 4.5&quot;","3 Pouch Pro Fastener Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26136","Tool and Work Belts",204958,"8582",,"FatLip Tool Bag","FatLip™ Tool Bag","FatLip Tool Bag","These bags are 10&quot; deep and feature a full leather boot along with a distinctive leather FatLip™ bag mouth. The leather FatLip™ keeps the bag formed, open, and protected against abrasion.",/\8\5\FatLip-Tool.jpg,/\8\5\FatLip-Tool.jpg,http://www.48ws.com/images/product/8/5/FatLip-Tool.jpg,occidental-leather-8582-fatlip-tool-bag,occidental-leather-8582-fatlip-tool-bag,,No layout updates.,Block after Info Column,,"FatLip Tool Bag","FatLip Tool Bag",Use config,"http://www.occidentalleather.com/product.php?sku=8582&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"These bags are 10&quot; deep and feature a full leather boot along with a distinctive leather FatLip™ bag mouth. The leather FatLip™ keeps the bag formed, open, and protected against abrasion.","<p>These bags are 10&quot; deep and feature a full leather boot along with a distinctive leather FatLip bag mouth. The leather FatLip keeps the bag formed, open, and protected against abrasion.</p><p><b>Specifications:</b></p><ul><li>Pockets &amp; Tool Holders: <b>13</b></li><li>Weight: <b>1.9 lbs.</b></li><li>Main Tool Bag: <b>10&quot; x 10&quot;</b></li><li>Outer Bag: <b>6.5&quot; x 5.5&quot;</b></li><li>Not available in left hand model. </li></ul><p>Tool Bags hold the tools most often accessed with the right hand (hammer, pencils, utility knife, chisels, etc.) and are worn on the right side of the body.</p><h3>Made in the USA</h3> ","These bags are 10&quot; deep and feature a full leather boot along with a distinctive leather FatLip™ bag mouth. The leather FatLip™ keeps the bag formed, open, and protected against abrasion.  Tool Bags hold the tools most often accessed with the right hand (hammer, pencils, utility knife, chisels, etc.) and are worn on the right side of the body.","","Main Tool Bag: 10&quot; x 10&quot; Outer Bag: 6.5&quot; x 5.5&quot;","FatLip Tool Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26136","Tool and Work Belts",204959,"5019",,"Pro Leather Utility Bag","Pro Leather Utility Bag","Pro Leather Utility Bag","<br><li>Made in the USA</li>
",/\5\0\Pro-Leather-Utility.jpg,/\5\0\Pro-Leather-Utility.jpg,http://www.48ws.com/images/product/5/0/Pro-Leather-Utility.jpg,occidental-leather-5019-pro-leather-utility-bag,occidental-leather-5019-pro-leather-utility-bag,,No layout updates.,Block after Info Column,,"Pro Leather Utility Bag","Pro Leather Utility Bag",Use config,"http://www.occidentalleather.com/product.php?sku=5019&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Universal Bag","<p>All leather compact pouch.No tool holders.Great for that third bag in the back.</p><p><b>Specifications:</b></p><ul><li>Weight: <b>0.7 lbs.</b></li><li>Main Bag: <b>7.5&quot; x 8&quot;</b></li></ul><h3>Made in the USA</h3> ","<h2>Description</h2><p>
All leather compact pouch. Great for that third bag in back.
</p>","","Main Bag: 7.5&quot; x 8&quot;","Pro Leather Utility Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26136","Tool and Work Belts",204960,"5523",,"Clip-On 4 in 1 Tool/Tape Holder","Tool Holder","Clip-On 4 in 1 Tool/Tape Holder","4 times the tool capacity in the belt space of one holder.Holders for tape, lumber crayon or screw driver, pencil, plus, it features a FREE 2003 Oxy Tool Shield™ for sharp tools such as chisel or work knife",/\5\5\Clip-On-4-in-1-ToolTape.jpg,/\5\5\Clip-On-4-in-1-ToolTape.jpg,http://www.48ws.com/images/product/5/5/Clip-On-4-in-1-ToolTape.jpg,occidental-leather-5523-clip-on-4-in-1-tooltape-holder,occidental-leather-5523-clip-on-4-in-1-tooltape-holder,,No layout updates.,Block after Info Column,,"Clip-On 4 in 1 Tool/Tape Holder","Clip-On 4 in 1 Tool/Tape Holder",Use config,"http://www.occidentalleather.com/product.php?sku=5523&type=",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Tool Holder - Clip On","<p>4 times the tool capacity in the belt space of one holder.Holders for tape, lumber crayon or screw driver, pencil, plus, it features a FREE 2003 Oxy Tool Shield for sharp tools such as chisel or work knife. Designed for professionals and weekend warriors. Extra heavy duty steel clip accommodates up to 2&quot; belt.</p><p>Sturdy American leather ensures years of endurance in the field.</p><p><strong>Made in USA!</strong></p> ","<h2>Description</h2><p>
Holders for tape, lumber crayon or screw driver, pencil, plus, it features a 2003 Oxy Tool Shield for sharp tools such as chisels or work knife. Designed for professionals and weekend warriors
</p>","","Type - Clip On","Clip-On 4 in 1 Tool/Tape Holder",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"162|26136","Tool Belts|Tool and Work Belts",241836,"5191-M",,"Pro Carpenter 5 Bag Assembly - Medium","Pro Carpenter 5 Bag Assembly","Pro Carpenter 5 Bag Assembly - Medium","",/\5\1\occidental-leather-5191-m-pro-carpenter-5-bag-assembly-medium.jpg,/\5\1\occidental-leather-5191-m-pro-carpenter-5-bag-assembly-medium.jpg,http://www.48ws.com/images/product/5/1/occidental-leather-5191-m-pro-carpenter-5-bag-assembly-medium.jpg,occidental-leather-5191-M-pro-carpenter-5-bag-assembly-medium,occidental-leather-5191-M-pro-carpenter-5-bag-assembly-medium,,No layout updates.,Block after Info Column,,"Pro Carpenter 5 Bag Assembly - Medium","Pro Carpenter 5 Bag Assembly - Medium",Use config,"http://www.occidental-leather.com/systems/5191.html",0,,,0,"Occidental Leather",1177,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pro Carpenter 5 Bag Assembly - Medium","<h2>Pro Carpenter 5 Bag Assembly</h2><ul>
<li>Fully loaded with 21 pockets and tool holders
</li><li>sheepskin lining and other features.
</li></ul>","<h2>Description</h2>
<p>This one-piece leather design forms to your body distributing the load evenly. This handcrafted, classic American design is sure to become one of your most valued and trusted tools.</p>
<b>Components</b><ul>
<li>Single Piece Construction
</li></ul>","7.5924414975e+011","Size - Medium","Pro Carpenter 5 Bag Assembly - Medium",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
