store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2593|27232","Specialty Safety Products|Simpson Specialty Products",391283,"LUX-900",,"Value Seat Belt Cover","","Value Seat Belt Cover","",/\L\U\occunomix-lux-900-value-seat-belt-cover.jpg,/\L\U\occunomix-lux-900-value-seat-belt-cover.jpg,http://www.48ws.com/images/product/L/U/occunomix-lux-900-value-seat-belt-cover.jpg,occunomix-LUX-900-value-seat-belt-cover,occunomix-LUX-900-value-seat-belt-cover,,No layout updates.,Block after Info Column,,"Value Seat Belt Cover","Value Seat Belt Cover",Use config,"http://www.occunomix.com/products/high-visibility/high-visibility-accessories/value-seat-belt-cover.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Hook & loop closure</li><br>
<li>100% Polyester Tricot</li>","","","Color: Orange or Yellow","Value Seat Belt Cover",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2593|26144","Specialty Safety Products|Hats",391284,"LUX-BCAP",,"Hi-Viz Ball Cap","","Hi-Viz Ball Cap","",/\L\U\occunomix-lux-bcap-hi-viz-ball-cap.jpg,/\L\U\occunomix-lux-bcap-hi-viz-ball-cap.jpg,http://www.48ws.com/images/product/L/U/occunomix-lux-bcap-hi-viz-ball-cap.jpg,occunomix-LUX-BCAP-hi-viz-ball-cap,occunomix-LUX-BCAP-hi-viz-ball-cap,,No layout updates.,Block after Info Column,,"Hi-Viz Ball Cap","Hi-Viz Ball Cap",Use config,"http://www.occunomix.com/products/high-visibility/high-visibility-accessories/hi-viz-ball-cap.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>100% polyester with 100% cotton sweatband</li><br>
<li>Mesh side and back panels for cooling air flow</li><br>
<li>Hard bill</li><br>
<li>Adjustable snap closure</li>
","","","Color: Orange or Yellow","Hi-Viz Ball Cap",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2593|26144","Specialty Safety Products|Hats",391285,"LUX-RNG",,"Hi-Viz Ranger Hat","","Hi-Viz Ranger Hat","",/\L\U\occunomix-lux-rng-hi-viz-ranger-hat.jpg,/\L\U\occunomix-lux-rng-hi-viz-ranger-hat.jpg,http://www.48ws.com/images/product/L/U/occunomix-lux-rng-hi-viz-ranger-hat.jpg,occunomix-LUX-RNG-hi-viz-ranger-hat,occunomix-LUX-RNG-hi-viz-ranger-hat,,No layout updates.,Block after Info Column,,"Hi-Viz Ranger Hat","Hi-Viz Ranger Hat",Use config,"http://www.occunomix.com/products/high-visibility/high-visibility-accessories/hi-viz-ranger-hat.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>2” Silver reflective tape: backed by contrasting fabric</li><br>
<li>100% Polyester Mesh</li>
","","","Color: Yellow; Size: M/L/XL","Hi-Viz Ranger Hat",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2605","Specialty Protective & Safety Clothing",391286,"LUX-SG",,"Value Leg Gaiter","","Value Leg Gaiter","",/\L\U\occunomix-lux-sg-value-leg-gaiter.jpg,/\L\U\occunomix-lux-sg-value-leg-gaiter.jpg,http://www.48ws.com/images/product/L/U/occunomix-lux-sg-value-leg-gaiter.jpg,occunomix-LUX-SG-value-leg-gaiter,occunomix-LUX-SG-value-leg-gaiter,,No layout updates.,Block after Info Column,,"Value Leg Gaiter","Value Leg Gaiter",Use config,"http://www.occunomix.com/products/high-visibility/high-visibility-accessories/value-leg-gaiter.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>2” Silver reflective tape</li><br>
<li>100% lightweight Polyester Mesh</li><br>
<li>Hook and loop closure</li>
","","","Color: Orange or Yellow","Value Leg Gaiter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",391287,"SP-TBV",,"Speed Collection Premium Tool Belt Vest","","Speed Collection Premium Tool Belt Vest","",/\S\P\occunomix-sp-tbv-speed-collection-premium-tool-belt-vest.jpg,/\S\P\occunomix-sp-tbv-speed-collection-premium-tool-belt-vest.jpg,http://www.48ws.com/images/product/S/P/occunomix-sp-tbv-speed-collection-premium-tool-belt-vest.jpg,occunomix-SP-TBV-,occunomix-SP-TBV-,,No layout updates.,Block after Info Column,,"Speed Collection Premium Tool Belt Vest","Speed Collection Premium Tool Belt Vest",Use config,"http://www.occunomix.com/products/high-visibility/high-visibility-accessories/speed-collection.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Reflexite™ prismatic yellow gloss tape</li><br>
<li>65/35 ANSI Polyester/ Cotton</li><br>
<li>600 Denier Oxford ripstop foam-lined tool pockets</li><br>
<li>600 Denier Oxford polyester for inner lining support and belt</li><br>
<li>Expandable chest with 2 zippers</li><br>
<li>Easy carry handle/loop design offers easy storage without spilling contents</li><br>
<li>Tool belt system: front right – 1 nail pouch with 8 outer side and 3 inner tool pockets, metal padded hammer holder, metal chain tape thong, front left - 1 main pocket with metal tape clip holder, 4 outer side and 1 inner pocket, back – 1 nail/screw pouch.</li><br>
<li>Heavy weight loop with carabiner</li><br>
<li>Pockets: 1 phone pocket</li>

","","","Color: Yellow; Size: 3/4X, M/L, XL/2X","Speed Collection Premium Tool Belt Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",391288,"ECO-G",,"Value Solid Standard Safety Vest","","Value Solid Standard Safety Vest","",/\E\C\occunomix-eco-g-value-solid-standard-safety-vest.jpg,/\E\C\occunomix-eco-g-value-solid-standard-safety-vest.jpg,http://www.48ws.com/images/product/E/C/occunomix-eco-g-value-solid-standard-safety-vest.jpg,occunomix-ECO-G-,occunomix-ECO-G-,,No layout updates.,Block after Info Column,,"Value Solid Standard Safety Vest","Value Solid Standard Safety Vest",Use config,"http://www.occunomix.com/products/high-visibility/class-2-high-visibility-vests/value-solid-standard.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Class 2</li><br>
<li>2” Silver reflective tape</li><br>
<li>100% ANSI Polyester Tricot</li><br>
<li>Hook & loop closure</li>
","","","Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL","Value Solid Standard Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",391289,"ECO-GC",,"Value Mesh Standard Safety Vest","","Value Mesh Standard Safety Vest","",/\E\C\occunomix-eco-gc-value-mesh-standard-safety-vest.jpg,/\E\C\occunomix-eco-gc-value-mesh-standard-safety-vest.jpg,http://www.48ws.com/images/product/E/C/occunomix-eco-gc-value-mesh-standard-safety-vest.jpg,occunomix-ECO-GC-,occunomix-ECO-GC-,,No layout updates.,Block after Info Column,,"Value Mesh Standard Safety Vest","Value Mesh Standard Safety Vest",Use config,"http://www.occunomix.com/products/high-visibility/class-2-high-visibility-vests/value-mesh-standard.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Class 2</li><br>
<li>2” Silver reflective tape</li><br>
<li>100% ANSI Polyester Mesh</li><br>
<li>Pockets: 1 inside left chest w/ hook & loop closure</li><br>
<li>Hook & Loop closure</li>
","","","Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL","Value Mesh Standard Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",391290,"ECO-GC2T",,"Value Mesh Two-Tone Safety Vest","","Value Mesh Two-Tone Safety Vest","",/\E\C\occunomix-eco-gc2t-value-mesh-two-tone-safety-vest.jpg,/\E\C\occunomix-eco-gc2t-value-mesh-two-tone-safety-vest.jpg,http://www.48ws.com/images/product/E/C/occunomix-eco-gc2t-value-mesh-two-tone-safety-vest.jpg,occunomix-ECO-GC2T-,occunomix-ECO-GC2T-,,No layout updates.,Block after Info Column,,"Value Mesh Two-Tone Safety Vest","Value Mesh Two-Tone Safety Vest",Use config,"http://www.occunomix.com/products/high-visibility/class-2-high-visibility-vests/value-mesh-two-tone.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Class 2</li><br>
<li>2” Silver reflective tape backed by contrasting ANSI compliant trim</li><br>
<li>100% ANSI Polyester Mesh</li><br>
<li>Pockets: 1 left inner chest</li><br>
<li>Hook & loop closure</li>
","","","Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL","Value Mesh Two-Tone Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",391291,"ECO-GCB",,"Value Mesh 5-pt. Break-Away Safety Vest","","Value Mesh 5-pt. Break-Away Safety Vest","",/\E\C\occunomix-eco-gcb-value-mesh-5-pt-break-away-safety-vest.jpg,/\E\C\occunomix-eco-gcb-value-mesh-5-pt-break-away-safety-vest.jpg,http://www.48ws.com/images/product/E/C/occunomix-eco-gcb-value-mesh-5-pt-break-away-safety-vest.jpg,occunomix-ECO-GCB-,occunomix-ECO-GCB-,,No layout updates.,Block after Info Column,,"Value Mesh 5-pt. Break-Away Safety Vest","Value Mesh 5-pt. Break-Away Safety Vest",Use config,"http://www.occunomix.com/products/high-visibility/class-2-high-visibility-vests/value-mesh-5-pt-break-away.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Class 2</li><br>
<li>2” Silver reflective tape</li><br>
<li>100% ANSI Polyester Mesh</li><br>
<li>Pockets: 2 inner chest</li>
","","","Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL","Value Mesh 5-pt. Break-Away Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",391292,"ECO-GCS",,"Value Mesh Surveyor Safety Vest","","Value Mesh Surveyor Safety Vest","",/\E\C\occunomix-eco-gcs-value-mesh-surveyor-safety-vest.jpg,/\E\C\occunomix-eco-gcs-value-mesh-surveyor-safety-vest.jpg,http://www.48ws.com/images/product/E/C/occunomix-eco-gcs-value-mesh-surveyor-safety-vest.jpg,occunomix-ECO-GCS-,occunomix-ECO-GCS-,,No layout updates.,Block after Info Column,,"Value Mesh Surveyor Safety Vest","Value Mesh Surveyor Safety Vest",Use config,"http://www.occunomix.com/products/high-visibility/class-2-high-visibility-vests/value-mesh-surveyor.html",0,,,0,"OccuNomix",1362,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Class 2</li><br>
<li>2” Silver reflective tape</li><br>
<li>100% ANSI Polyester Mesh</li><br>
<li>Pockets: 2 inner lower w/ pen compartment, 4 pen on outer right chest, 1 outer left double w/ 4 pen compartments</li><br>
<li>Zipper closure</li>
","","","Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL","Value Mesh Surveyor Safety Vest",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
