store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104576,"PLSHVR505R",,"MID RANGE ROTARY LASER","","MID RANGE ROTARY LASER","The PLS HVR 505R is a compact, mid range laser designed for light commercial, residential, and remodeling projects. Horizontal and vertical applications; the PLS HVR 505R is versatile for short and mid range interior and exterior layout with an accuracy o",/\P\L\Pacific-Laser-Systems-MID-RANGE-ROTARY-LASER.jpg,/\P\L\Pacific-Laser-Systems-MID-RANGE-ROTARY-LASER.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-MID-RANGE-ROTARY-LASER.jpg,pacific-laser-systems-PLSHVR505R-mid-range-rotary-laser,pacific-laser-systems-PLSHVR505R-mid-range-rotary-laser,,No layout updates.,Block after Info Column,,"MID RANGE ROTARY LASER","MID RANGE ROTARY LASER",Use config,"http://plslaser.com/rotary-lasers/pls-hvr-505-r",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The PLS HVR 505R is a compact, mid range laser designed for light commercial, residential, and remodeling projects. Horizontal and vertical applications; the PLS HVR 505R is versatile for short and mid range interior and exterior layout with an accuracy of +/-1/8 inch at 100 feet. DUAL SLOPE AXIS","<br>
<li>The HVR 505R is rugged, compact, easy to use, and very affordable.</li><br>
<li>This rotary laser is ideal for mid-range outdoor horizontal and vertical layout, as well as interior acoustic ceiling and drywall installation.</li><br>
<li>The HVR 505R is fully automatic, self-leveling to within five degrees, has a radius range of +/- 500 feet, and is accurate to +/- 1/8 of an inch at 100 feet.</li><br>
<li>Use your HVR 505 remote control to manage the laser from a distance, and your HVD laser detector to capture the laser beam in bright sunlight.</li><br>
<li>The full accessory package includes the laser, remote control, carrying case, laser detector, battery charger, both Alkaline and NIMH battery packs, magnetic laser targets, and the wall bracket.</li><br>
<li>Pacific Laser Systems – The professional standard.</li>","","","Pacific Laser Systems MID RANGE ROTARY LASER PLSHVR505R","MID RANGE ROTARY LASER",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104580,"PLSHVR505G",,"HIGHLY VISIBLE ROTARY LASER","","HIGHLY VISIBLE ROTARY LASER","The PLS HVR 505G is a compact, Green Beam laser designed for long range interior layout projects. Horizontal and vertical applications; the PLS HVR 505G is designed to give up to 3 times the visibility of traditional rotary lasers. Accuracy of +/-1/8 inch",/\P\L\Pacific-Laser-Systems-HIGHLY-VISIBLE-ROTARY-LASER.jpg,/\P\L\Pacific-Laser-Systems-HIGHLY-VISIBLE-ROTARY-LASER.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-HIGHLY-VISIBLE-ROTARY-LASER.jpg,pacific-laser-systems-PLSHVR505G-highly-visible-rotary-laser,pacific-laser-systems-PLSHVR505G-highly-visible-rotary-laser,,No layout updates.,Block after Info Column,,"HIGHLY VISIBLE ROTARY LASER","HIGHLY VISIBLE ROTARY LASER",Use config,"http://plslaser.com/rotary-lasers/pls-hvr-505-g",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The PLS HVR 505G is a compact, Green Beam laser designed for long range interior layout projects. Horizontal and vertical applications; the PLS HVR 505G is designed to give up to 3 times the visibility of traditional rotary lasers. Accuracy of +/-1/8 inch at 100 feet. DUAL SLOPE AXIS","<br>
<li>The 505G is easy to use, and up to three times brighter than traditional red beam rotary lasers.</li><br>
<li>This rotary laser tool is well-suited for mid- or long-range interior layout, and ideal for drywall, and acoustic ceiling layout.</li><br>
<li>Use on horizontal and vertical axes, with an accuracy of +/- 1/8 of an inch at 100 feet.</li><br>
<li>The PLS HVR 505G is fully self-leveling to within 5 degrees, sets up quickly, and gives bright, clear laser lines.</li><br>
<li>The PLS HVR 505G comes complete with laser, remote control, laser detector, charger, wall bracket, both Alkaline and NIMH battery packs, magnetic laser targets, and carrying case. </li>","","","Pacific Laser Systems HIGHLY VISIBLE ROTARY LASER PLSHVR505G","HIGHLY VISIBLE ROTARY LASER",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104583,"PLS90",,"PRECISE 90 DEGREE LAYOUT","","PRECISE 90 DEGREE LAYOUT","Fully self leveling, the PLS90 is a unique laser level. No more 3-4-5. Use your PLS90 and our universal base-tripod adapter for fast, accurate and dependable square layout for flooring-tile, framing (metal stud or wood), concrete foundations, pads and mor",/\P\L\Pacific-Laser-Systems-PRECISE-90-DEGREE-LAYOUT.jpg,/\P\L\Pacific-Laser-Systems-PRECISE-90-DEGREE-LAYOUT.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-PRECISE-90-DEGREE-LAYOUT.jpg,pacific-laser-systems-PLS90-precise-90-degree-layout,pacific-laser-systems-PLS90-precise-90-degree-layout,,No layout updates.,Block after Info Column,,"PRECISE 90 DEGREE LAYOUT","PRECISE 90 DEGREE LAYOUT",Use config,"",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<p>The PLS 90 from Pacific Laser Systems is an interior and exterior laser level, designed specifically for laying out 90 degree angles.<br>

No More 3-4-5, sagging string lines, or guesswork.<br>

Get fast, accurate and dependable square layouts.<br>

Use the PLS90 in bright sunlight or interior environments, square on slab or square on slope applications.<br>

The PLS90 is easy to use with a working range of +/- 250 feet, a battery life of up to 30 hours and a self leveling range of 6 degrees.<br>

Use the laser on the ground or on a tripod - save valuable layout time.? PLS Lasers are designed by contractors for contractors.<br>

The PLS90 tool comes complete with carrying case, universal base, floor target, and operating manual. The PLS90 system and kit also includes a SLD laser detector. The 5/8-11 Tripod is included with the PLS90 kit.<br>

PLS Lasers – the professional standard.</p>","<b>Specifications</b><ul>
<li>Accuracy: +/- 1/8 inch @ 100 Feet (3mm @ 30 meters)</li>
<li>Working Range: +/- 250 Feet (76 meters) w/SLD Detector</li>
<li>Operating Time: 25 Hrs</li>
<li>Dimensions: 5&quot; x 2 1/4&quot; x 4 1/2&quot;</li>
<li>Weight: 1.7lbs. (.77kg.)</li>
<li>Power Supply: 3 &quot;AA&quot; Batteries</li>
<li>Self Leveling Range: 6 Degrees</li>
<li>Multiple Functions</li></ul><br>
","<b>Tools Includes</b><ul>
<li>PLS90 Tool</li>
<li>Carrying Case</li>
<li>Universal Base</li>
<li>Floor Target</li>
<li>Operating Manual</li>
<li>Effective May 1, 2011 New 3 Year to Life Warranty. Contact PLS or your local PLS dealer for details.</li></ul><br>

<b>System Includes</b><ul>
<li>Everything Included with the Tool</li>
<li>SLD Laser Detector</li></ul><br>

<b>Kit Includes</b><ul>
<li>Everything included with the System</li>
<li>5/8-11 Tripod</li></ul><br>

<b>Applications</b><br>
<p>Concrete Forms And Exterior</p>
The PLS90 is designed to tackle one of the most challenging layout tasks on the job... Precise 90º visible and pulsed reference lines for interior and exterior layout of square on the jobsite.<br>

<p>Glaziers</p>
The PLS5 and PLS90 are designed for layout of control points and lines in outdoor conditions and bright sunlight. Working range is 250+ feet with an accuracy of +/- 1/8&quot; at 100 feet. Lay out conduit, anchor bolts and square on slab faster than ever before. Eliminate time consuming set up of expensive infrared rotary lasers. PLS offers more utility outdoors at a fraction of the cost of typical rotary lasers.<br>","","Precise 90 Degree Layout","PRECISE 90 DEGREE LAYOUT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104584,"PLS360",,"360 DEGREE LASER LEVEL","","360 DEGREE LASER LEVEL","Fully self leveling, the PLS360 provides a continuous 360 degree line of reference. The PLS360 offers one button set up for indoor-outdoor applications. Unlike rotary lasers with sensitive moving parts, this compact, bright and durable tool has no complic",/\P\L\Pacific-Laser-Systems-360-DEGREE-LASER-LEVEL.jpg,/\P\L\Pacific-Laser-Systems-360-DEGREE-LASER-LEVEL.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-360-DEGREE-LASER-LEVEL.jpg,pacific-laser-systems-PLS360-360-degree-laser-level,pacific-laser-systems-PLS360-360-degree-laser-level,,No layout updates.,Block after Info Column,,"360 DEGREE LASER LEVEL","360 DEGREE LASER LEVEL",Use config,"http://plslaser.com/line-lasers/pls360",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<p>The PLS360 from Pacific Laser Systems is a fully self-leveling laser tool.<br>

Unlike rotary lasers with sensitive moving parts, the PLS360 has no complicated features or multiple knob adjustments.<br>

Just a one-button setup for indoor and outdoor applications. How long does it take you to set up your rotary laser?<br>

Tired of the same old spin? Save time and simplify your workday with this compact, bright and durable tool.<br>

The PLS360 operates on 3 D batteries for more than 55 hours, has a working range of +/- 250 feet, and is accurate to +/- 1/8 of an inch at 100 feet.<br>

The PLS360 tool comes complete with carrying case, ceiling wall bracket, & operating manual. The PLS360 system and kit also includes a SLD laser detector. The 5/8-11 Tripod and grade rod is included with the PLS360 kit.<br>

PLS Lasers – the professional standard</p>","<b>Specifications</b><ul>
<li>Accuracy: +/- 1/8 inch @ 100 Feet (3mm @ 30 meters)</li>
<li>Working Range: +/- 250' (76 meters) w/ SLD Detector</li>
<li>Operating Time: +35 Hrs</li>
<li>Dimensions: 3 1/8&quot; x 5&quot; x 4 1/2&quot;</li>
<li>Weight: 2.0lbs.</li>
<li>Power Supply: 3 &quot;D&quot; Batteries</li>
<li>Leveling Range: 6 Degrees</li></ul><br>","<b>Tools Includes</b><ul>
<li>PLS360 Laser Unit</li>
<li>Carrying Case</li>
<li>Ceiling Wall Bracket</li>
<li>Operating Manual</li>
<li>Effective May 1, 2011 New 3 Year to Life Warranty. Contact PLS or your local PLS dealer for details.</li></ul><br>

<b>System Includes</b><ul>
<li>Everything Included With The Tool</li>
<li>SLD Laser Detector</li></ul><br>

<b>Kit Includes</b><ul>
<li>Everything Included With The System</li>
<li>5/8-11 Tripod</li>
<li>Grade Rod</li></ul><br>

<b>Applications</b><br>
<p>Remodeling</p>
Use PLS laser tools to determine existing conditions and to lay out cabinetry fixtures, backsplash, mirrors, lights and more.<br>

<p>Acoustic Ceiling Contractors</p>
Use our PLS360 or PLS180 to lay out T bar and grid. One button gives your self leveling PLS360 a complete level laser line or reference all around the room.<br>
","","Pacific Laser Systems 360 Degree Horizontal Laser Level","360 DEGREE LASER LEVEL",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104585,"PLS180",,"PALM LASER INTERIOR-EXTERIOR HORIZONTAL-VERTICAL LAYOUT","","PALM LASER INTERIOR-EXTERIOR HORIZONTAL-VERTICAL LAYOUT","The PLS180 System, with our exclusive PLS SLD detector, is a simple, easy solution for short and mid-range interior and exterior horizontal and vertical layout tasks. Plumb, level and square laser reference in the palm of your hand.",/\P\L\Pacific-Laser-Systems-PALM-LASER-INTERIOR-EXTERIOR.jpg,/\P\L\Pacific-Laser-Systems-PALM-LASER-INTERIOR-EXTERIOR.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-PALM-LASER-INTERIOR-EXTERIOR.jpg,pacific-laser-systems-PLS180-palm-laser-interior-exterior-horizontal-vertical-layout,pacific-laser-systems-PLS180-palm-laser-interior-exterior-horizontal-vertical-layout,,No layout updates.,Block after Info Column,,"PALM LASER INTERIOR-EXTERIOR HORIZONTAL-VERTICAL LAYOUT","PALM LASER INTERIOR-EXTERIOR HORIZONTAL-VERTICAL LAYOUT",Use config,"http://plslaser.com/line-lasers/pls180",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The PLS180 System, with our exclusive PLS SLD detector, is a simple, easy solution for short and mid-range interior and exterior horizontal and vertical layout tasks. Plumb, level and square laser reference in the palm of your hand.","<br>
<li>Fast, accurate and portable, this plumb, level, and square laser line tool will be such a time saver, your bubble vial level or rotary laser will become obsolete.</li><br>
<li>Our exclusive PLS SLD Detector expands the utility of the PLS180 to exterior use – execute short and mid-range exterior horizontal and vertical layout tasks simply and easily.</li><br>
<li>The PLS180 weighs less than 10 ounces, and has a self-leveling range of 6 degrees.</li><br>
<li>The PLS180 operates on 3 AA batteries for over 30 hours.</li><br>
<li>The PLS180 tool comes complete with carrying case, wall bracket, PLS180 pouch, batteries, & operating manual. The PLS180 system also includes a SLD laser detector.</li><br>
<li>PLS Lasers – the professional standard</li>","","","Pacific Laser Systems PALM LASER INTERIOR-EXTERIOR HORIZONTAL-VERTICAL LAYOUT  PLS180","PALM LASER INTERIOR-EXTERIOR HORIZONTAL-VERTICAL LAYOUT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104589,"PLS3",,"PLUMB AND LEVEL POINT-TO-POINT ALIGNMENT INFORMATION","","PLUMB AND LEVEL POINT-TO-POINT ALIGNMENT INFORMATION","Lay out reference points faster than traditional, labor intensive construction levels. No more swinging plumb bobs. Plumb instantly from floor to ceiling or from 50 feet off the ground! Use PLS as your partner on the jobsite. Self-leveling: no time wasted",/\P\L\Pacific-Laser-Systems-PLUMB-AND-LEVEL-POINT-TO-POINT.jpg,/\P\L\Pacific-Laser-Systems-PLUMB-AND-LEVEL-POINT-TO-POINT.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-PLUMB-AND-LEVEL-POINT-TO-POINT.jpg,pacific-laser-systems-PLS3-plumb-and-level-point-to-point-alignment-information,pacific-laser-systems-PLS3-plumb-and-level-point-to-point-alignment-information,,No layout updates.,Block after Info Column,,"PLUMB AND LEVEL POINT-TO-POINT ALIGNMENT INFORMATION","PLUMB AND LEVEL POINT-TO-POINT ALIGNMENT INFORMATION",Use config,"http://plslaser.com/point-lasers/pls3-tool",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Lay out reference points faster than traditional, labor intensive construction levels. No more swinging plumb bobs. Plumb instantly from floor to ceiling or from 50 feet off the ground! Use PLS as your partner on the jobsite. Self-leveling: no time wasted with bubble vials. Turn it on and go to work. Take clear, stable reference points indoors and outdoors.","<br>
<li>Pacific Laser Systems introduces the PLS3 Laser Tool</li><br>
<li>The PLS3 laser provides point-to-point indoors and outdoors alignment information quickly and easily. It does not omit lines; only points.</li><br>
<li>Production framers, H-Vac, electrical contractors and industrial technicians will drastically reduce layout time for walls, fixtures, pipe, conduit, door and window frames, and more.</li><br>
<li>The PLS3 is self-leveling to 6 degrees, and accurate to +/- 1/4 of an inch at +/- 100 feet. It’s compact, durable, and at just 12 ounces – the PLS3 is definitely portable. The cantilevered nose makes for easy sight of the down beam over tracks and plates</li><br>
<li>The PLS3 from Pacific Laser Systems means no more plumb lines swinging in the wind and makes traditional construction levels obsolete.</li><br>
<li>The PLS3 Laser Tool includes the carrying pouch, floor stand, & magnetic wall bracket.</li><br>
<li>PLS Lasers – The professional standard.</li>","","","Pacific Laser Systems PLUMB AND LEVEL POINT-TO-POINT ALIGNMENT INFORMATION PLS3","PLUMB AND LEVEL POINT-TO-POINT ALIGNMENT INFORMATION",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104593,"PLS5",,"Laser","","Laser","Lay out reference points faster than traditional, labor intensive construction levels. No more swinging plumb bobs. Plumb instantly from floor to ceiling or from 50 feet off the ground! Use PLS as your partner on the jobsite. Self-leveling: no time wasted",/\P\L\Pacific-Laser-Systems-Laser.jpg,/\P\L\Pacific-Laser-Systems-Laser.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-Laser.jpg,pacific-laser-systems-PLS5-laser,pacific-laser-systems-PLS5-laser,,No layout updates.,Block after Info Column,,"Laser","Laser",Use config,"http://plslaser.com/point-lasers/pls5-tool",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<p>The new PLS5 is smaller, lighter, and more durable and self-leveling to within 6 degrees – it’s the most versatile construction laser alignment tool for the professional contractor.<br>

The new PLS5 has 5 bright points with all beams square to each other. This tool does not shoot lines; only points. Plumb from floor to ceiling or from 50 feet off the ground.<br>

Shoot level benchmarks and square-on-slab, even in bright sunlight, using the unique PLS pendulum target and laser detector.<br>

Save time and money when your bubble vial level or rotary laser is too limited or too complicated for the job.<br>

The PLS5 provides the professional contractor more utility than any other construction laser tool in the industry.<br>

The PLS5 tool comes complete with pouch, pendulum layout target, magnetic wall bracket, floor stand, and carrying case. The new PLS5 system includes the PLS HVD laser detector.<br>

PLS Laser - The professional standard.</p>","<b>Specifications</b><ul>
<li>Working Range: +/- 100 Feet (30 meters)</li>
<li>Accuracy (all beams): +/- 1/8 inch @ 100 Feet (+/- 3mm @ 30 meters)</li>
<li>Leveling: Automatic</li>
<li>Leveling Range: 6 Degrees</li>
<li>Power Supply: 3 &quot;AA&quot; Batteries</li>
<li>Operating Time: + 30 Hrs. continuous</li>
<li>Dimensions: 2&quot; x 4&quot; x 4 3/4&quot;</li>
<li>Weight: 1.13 lbs. (.52 kg.)</li></ul><br>


<b>System Includes</b><ul>
<li>Everything Included With The TOOL</li>
<li>HVD 500 Detector</li>
<li>Bracket for Pendulum Layout Target</li></ul><br>","<b>Tools Includes</b><ul>
<li>PLS5 Laser Unit</li>
<li>Magnetic Wall Bracket</li>
<li>Pendulum Layout Target</li>
<li>Floor Stand</li>
<li>Compact Carrying Pouch</li>
<li>Carrying Case</li>
<li>Operating Manual</li>
<li>Effective May 1, 2011 New 3 Year to Life Warranty. Contact PLS or your local PLS dealer for details.</li></ul><br>


<b>Applicaions</b><br>
<p>Metal Studs And Wood Framers</p>
Lay out and install track for commercial or residential projects. Using the PLS5 and our target accessory, project 90 degree angles in a fraction of the time. No more 3-4-5. When installing top and bottom track or plates, place the PLS laser directly over the outside edge of your bottom track or plate. The PLS top reference point will mark where the outside edge of your top track or plate should be.<br>

<p>Steel Erectors</p>
Using our PLS180 System or the PLS5, contractors can determine horizontal and vertical reference lines outside in bright sunlight.?<br>

<p>Remolding</p>
Use PLS laser tools to determine existing conditions and to lay out cabinetry fixtures, backsplash, mirrors, lights and more.<br>","","Plumb, Level And Square Point-To-Point Alignment Information","Laser",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28287","Surveying Equipment",104595,"PLS24X",,"AUTOMATIC OPTICAL LEVEL Laser","","AUTOMATIC OPTICAL LEVEL Laser","Traditional optical level for general construction layout. Rugged cover for weather and dust resistant usage. High quality optics. Automatic compensator, light weight.",/\P\L\Pacific-Laser-Systems-AUTOMATIC-OPTICAL-LEVEL-Laser.jpg,/\P\L\Pacific-Laser-Systems-AUTOMATIC-OPTICAL-LEVEL-Laser.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-AUTOMATIC-OPTICAL-LEVEL-Laser.jpg,pacific-laser-systems-PLS24X-,pacific-laser-systems-PLS24X-,,No layout updates.,Block after Info Column,,"AUTOMATIC OPTICAL LEVEL Laser","AUTOMATIC OPTICAL LEVEL Laser",Use config,"http://plslaser.com/construction-levels/pls24x",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Traditional optical level for general construction layout. Rugged cover for weather and dust resistant usage. High quality optics. Automatic compensator, light weight.","<br>
<li>Magnification Power 24x</li><br>
<li>Working Range: +/- 150 Feet</li><br>
<li>Clear Objective Aperture</li><br>
<li>Accuracy: +/- 1/16&quot; @ 100 Degrees</li><br>
<li>1 Year Warranty</li>","<b>Tools Includes</b><ul>
<li>Optical Level</li>
<li>Carrying Case</li>
<li>Operating Manual</li></ul><br>

<b>Kit Includes</b><ul>
<li>Everything Included With The Tool</li>
<li>5/8-11 Tripod</li>
<li>9 Foot Grade Rod</li></ul><br>
","","Pacific Laser Systems AUTOMATIC OPTICAL LEVEL Laser PLS24X","AUTOMATIC OPTICAL LEVEL Laser",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104600,"PLS HVL100",,"360 DEGREE HORIZONTAL AND VERTICAL LINES FULLY SELF LEVELING","","360 DEGREE HORIZONTAL AND VERTICAL LINES FULLY SELF LEVELING","Who says you can't have it all? Bright multiple laser lines for layout and plumb, level and square. Reference for bathrooms, kitchens, soffit and decks.",/\P\L\Pacific-Laser-Systems-360-DEGREE-HORIZONTAL-AND-VERTICAL.jpg,/\P\L\Pacific-Laser-Systems-360-DEGREE-HORIZONTAL-AND-VERTICAL.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-360-DEGREE-HORIZONTAL-AND-VERTICAL.jpg,pacific-laser-systems-PLS-HVL100-360-degree-horizontal-and-vertical-lines-fully-self-leveling,pacific-laser-systems-PLS-HVL100-360-degree-horizontal-and-vertical-lines-fully-self-leveling,,No layout updates.,Block after Info Column,,"360 DEGREE HORIZONTAL AND VERTICAL LINES FULLY SELF LEVELING","360 DEGREE HORIZONTAL AND VERTICAL LINES FULLY SELF LEVELING",Use config,"http://plslaser.com/line-lasers/pls-hvl100",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<br>
<li>Pacific Laser Systems introduces the HVL 100 multi-purpose laser line tool.</li><br>
<li>The HVL 100 is the tool of choice for demanding remodeling projects.</li><br>
<li>Ideal for laying out kitchen cabinets, bath or shower tile, wallpaper, electrical, and HVAC jobs.</li><br>
<li>The fully self-leveling HVL 100 sets up easily and provides a 360 degree line of reference three times – horizontal and vertical with 90 degree layout. That means ceiling, walls and floor are all aligned with one easy-to-use tool and with the PLS SLD detector, its utility is enhanced for exterior layouts too.</li><br>
<li>Accurate to within an +/- 1/8 of an inch at 60 feet, and effective at up to a 100 feet, the HVL 100 is versatile and dependable for a variety of layout tasks.</li><br>
<li>Mount the tool to the PLS Elevator Tripod or the PLS Wall Bracket.</li><br>
<li>The PLS HVL 100 tool comes complete with carrying case, heavy-duty wall bracket, layout targets, operating manual and Rechargeable NiMH Batteries. The PLS HVL 100 system also includes a SLD laser receiver.</li><br>
<li>PLS Lasers are designed by contractors for contractors.</li><br>
<li>Pacific Laser Systems - the professional standard</li>","<b>Specifications</b><ul>
<li>Accuracy: +/- 1/8&quot; @ 60 Feet (+/- 3mm @ 20 meters)</li>
<li>Working Range: +/-100 Feet (+/- 30 meters)  (outdoor w/detector)</li>
<li>Leveling Range: +/- 4 Degrees</li>
<li>Mounts To PLS Elevator Tripod And PLS Wall Bracket</li>
<li>Power Source: 4 NIMH Rechargeable Batteries</li>
<li>Weight: 4lb. 6 oz. (2kg) including batteries</li>
<li>Dimensions: 8 inch x 3 ¾ inch x 11 ½ inch (20cm x 10cm x28cm)</li></ul><br>
","<b>Tools Includes</b><ul>
<li>HVL 100</li>
<li>Heavy Duty Wall Bracket</li>
<li>Rechargeable NiMH Batteries</li>
<li>Layout Targets</li>
<li>Carrying Case</li></li></ul><br>

<b>System Includes</b><ul>
<li>Everything Included In The Tool</li>
<li>SLD Receiver</li></ul><br>

<b>Applications</b><br>
<p>Remodeling</p>
<li>Use PLS laser tools to determine existing conditions and to lay out cabinetry fixtures, backsplash, mirrors, lights and more.</li><br>","","360 Degree Horizontal And Vertical Lines Fully Self Leveling Pls Hvl100","360 DEGREE HORIZONTAL AND VERTICAL LINES FULLY SELF LEVELING",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21795","Electronic and Laser Leveling Kits",104604,"PLS2",,"HORIZONTAL-VERTICAL LAYOUT","","HORIZONTAL-VERTICAL LAYOUT","The PLS 2 Palm Laser is a simple, easy solution for short and mid-range interior horizontal and vertical layout tasks. This compact, laser line tool is brighter than most rotary lasers at a fraction of the cost. Save time everyday in layout and installati",/\P\L\Pacific-Laser-Systems-HORIZONTAL-VERTICAL-LAYOUT.jpg,/\P\L\Pacific-Laser-Systems-HORIZONTAL-VERTICAL-LAYOUT.jpg,http://www.48ws.com/images/product/P/L/Pacific-Laser-Systems-HORIZONTAL-VERTICAL-LAYOUT.jpg,pacific-laser-systems-PLS2-horizontal-vertical-layout,pacific-laser-systems-PLS2-horizontal-vertical-layout,,No layout updates.,Block after Info Column,,"HORIZONTAL-VERTICAL LAYOUT","HORIZONTAL-VERTICAL LAYOUT",Use config,"http://plslaser.com/line-lasers/pls2",0,,,0,"Pacific Laser Systems",270,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The PLS 2 Palm Laser is a simple, easy solution for short and mid-range interior horizontal and vertical layout tasks. This compact, laser line tool is brighter than most rotary lasers at a fraction of the cost. Save time everyday in layout and installation.","<br>
<li>Accuracy: +/- 1/8 “ @ 30‘ (+/- 3mm @ 10 meters)</li><br>
<li>Weight: 10 oz. (.28 kg.)(including batteries)</li><br>
<li>Power supply: 3 AA batteries</li><br>
<li>Dimensions: 2” x 2 7/8” x 3 3/8”</li><br>
<li>Range: +/- 100 feet (30 meters)</li><br>
<li>Self Leveling Range: +/- 6 Degrees</li><br>
<li>Operating Time: +25 Hrs.Continuous</li>","<b>Tools Includes</b><ul>
<li>Pouch</li>
<li>Magnetic Wall Bracket</li>
<li>Batteries</li>
<li>Operating Manual</li>
<li>Effective May 1, 2011 New 3 Year to Life Warranty. Contact PLS or your local PLS dealer for details.</li></ul><br>
","","Horizontal-Vertical Layout Pls2","HORIZONTAL-VERTICAL LAYOUT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
