store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"24970","Diamond Saw Blades",90094,"DIA08CSP",,"- P5 8&quot; General Purpose Segmented Blade","P5 Granite Turbo Blade","- P5 8&quot; General Purpose Segmented Blade","General Purpose Waved Core Turbo Blade",/\D\I\Pearl-Abrasive-Company-P5-Granite-Turbo.jpg,/\D\I\Pearl-Abrasive-Company-P5-Granite-Turbo.jpg,http://www.48ws.com/images/product/D/I/Pearl-Abrasive-Company-P5-Granite-Turbo.jpg,pearl-abrasive-company-DIA08CSP-,pearl-abrasive-company-DIA08CSP-,,No layout updates.,Block after Info Column,,"- P5 8&quot; General Purpose Segmented Blade","- P5 8&quot; General Purpose Segmented Blade",Use config,"http://www.pearlabrasive.com/Custom/Pages/Home.aspx",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pearl Abrasive Company - P5 8&quot; General Purpose Segmented Blade","<li>4 x .070 x 20mm, 5/8&quot;</li>
<li>Max RPM: 13,700</li>","","","Pearl Abrasive Company - P5 8&quot; General Purpose Segmented Blade","- P5 8&quot; General Purpose Segmented Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",90096,"DIA045SEC",,"- P5 4-1/2 General Purpose Turbo","P5 Granite Turbo Blade","- P5 4-1/2 General Purpose Turbo","General Purpose Waved Core Turbo Blade",/\D\I\Pearl-Abrasive-Company-P5-Granite-Turbo.jpg,/\D\I\Pearl-Abrasive-Company-P5-Granite-Turbo.jpg,http://www.48ws.com/images/product/D/I/Pearl-Abrasive-Company-P5-Granite-Turbo.jpg,pearl-abrasive-company-DIA045SEC-,pearl-abrasive-company-DIA045SEC-,,No layout updates.,Block after Info Column,,"- P5 4-1/2 General Purpose Turbo","- P5 4-1/2 General Purpose Turbo",Use config,"http://www.pearlabrasive.com/Custom/Pages/Home.aspx",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pearl Abrasive Company - P5 4-1/2 General Purpose Turbo","<li>4 x .070 x 20mm, 5/8&quot;</li>
<li>Max RPM: 13,700</li>","","","Pearl Abrasive Company - P5 4-1/2 General Purpose Turbo","- P5 4-1/2 General Purpose Turbo",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|24964","Abrasive Wheels|Circular Saw Blades",106584,"DIA045MC",,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","",/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,http://www.48ws.com/images/product/D/I/Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,,No layout updates.,Block after Info Column,,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",Use config,"http://www.pearlabrasive.com",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.
<br>
<br>
<li>Extra long life</li><br>
<li>Fast clean cut</li><br>
<li>12&quot; to 16&quot; blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding.</li><br>
<li>Vacuum brazed technology fused to steel core for protection, durability and heat resistance.</li><br>
<li>Designed to be used on a variety of materials</li><br>
<li>Excellent for emergency situations</li><br>
<li>Dry cutting</li>","","","4-1/2 x .080 x 7/8, 5/8","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|24964","Abrasive Wheels|Circular Saw Blades",106586,"DIA005MC",,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","",/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,http://www.48ws.com/images/product/D/I/Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,,No layout updates.,Block after Info Column,,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",Use config,"http://www.pearlabrasive.com",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","<br>
Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.
<br>
<br>
<li>Extra long life</li><br>
<li>Fast clean cut</li><br>
<li>12&quot; to 16&quot; blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding.</li><br>
<li>Vacuum brazed technology fused to steel core for protection, durability and heat resistance.</li><br>
<li>Designed to be used on a variety of materials</li><br>
<li>Excellent for emergency situations</li><br>
<li>Dry cutting</li>","","","5 x .080 x 7/8, 5/8","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|24964","Abrasive Wheels|Circular Saw Blades",106587,"DIA007MC",,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","",/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,http://www.48ws.com/images/product/D/I/Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,,No layout updates.,Block after Info Column,,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",Use config,"http://www.pearlabrasive.com",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","<br>
Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.
<br>
<br>
<li>Extra long life</li><br>
<li>Fast clean cut</li><br>
<li>12&quot; to 16&quot; blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding.</li><br>
<li>Vacuum brazed technology fused to steel core for protection, durability and heat resistance.</li><br>
<li>Designed to be used on a variety of materials</li><br>
<li>Excellent for emergency situations</li><br>
<li>Dry cutting</li>","","","7 x .095 x 7/8, 5/8","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|24964","Abrasive Wheels|Circular Saw Blades",106588,"DIA012MC",,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","",/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,http://www.48ws.com/images/product/D/I/Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,,No layout updates.,Block after Info Column,,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",Use config,"http://www.pearlabrasive.com",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","<br>
Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.
<br>
<br>
<li>Extra long life</li><br>
<li>Fast clean cut</li><br>
<li>12&quot; to 16&quot; blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding.</li><br>
<li>Vacuum brazed technology fused to steel core for protection, durability and heat resistance.</li><br>
<li>Designed to be used on a variety of materials</li><br>
<li>Excellent for emergency situations</li><br>
<li>Dry cutting</li>","","","12 x .125 x 1, 20mm w/ side protection","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|24964","Abrasive Wheels|Circular Saw Blades",106589,"DIA014MC",,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","",/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,http://www.48ws.com/images/product/D/I/Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,,No layout updates.,Block after Info Column,,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",Use config,"http://www.pearlabrasive.com",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","<br>
Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.
<br>
<br>
<li>Extra long life</li><br>
<li>Fast clean cut</li><br>
<li>12&quot; to 16&quot; blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding.</li><br>
<li>Vacuum brazed technology fused to steel core for protection, durability and heat resistance.</li><br>
<li>Designed to be used on a variety of materials</li><br>
<li>Excellent for emergency situations</li><br>
<li>Dry cutting</li>","","","14 x .125 x 1, 20mm w/ side protection","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1729|24964","Abrasive Wheels|Circular Saw Blades",106590,"DIA016MC",,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","",/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,/\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,http://www.48ws.com/images/product/D/I/Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive-Blade,,No layout updates.,Block after Info Column,,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",Use config,"http://www.pearlabrasive.com",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade","<br>
Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.
<br>
<br>
<li>Extra long life</li><br>
<li>Fast clean cut</li><br>
<li>12&quot; to 16&quot; blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding.</li><br>
<li>Vacuum brazed technology fused to steel core for protection, durability and heat resistance.</li><br>
<li>Designed to be used on a variety of materials</li><br>
<li>Excellent for emergency situations</li><br>
<li>Dry cutting</li>","","","16 x .125 x 1, 20mm w/ side protection","Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1732|19483","Flap Discs|Flap Discs",106599,"MX6040ZT",,"Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","",/\M\X\Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap.jpg,/\M\X\Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap.jpg,http://www.48ws.com/images/product/M/X/Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap.jpg,Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap-Disc,Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap-Disc,,No layout updates.,Block after Info Column,,"Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc",Use config,"http://www.pearlabrasive.com",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
Max RPM: 10,200","","","6 x 7/8 - Z40 Grit","Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1732|19483","Flap Discs|Flap Discs",106601,"MX640ZTH",,"Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","",/\M\X\Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap.jpg,/\M\X\Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap.jpg,http://www.48ws.com/images/product/M/X/Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap.jpg,Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap-Disc,Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap-Disc,,No layout updates.,Block after Info Column,,"Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc",Use config,"http://www.pearlabrasive.com",0,,,0,"Pearl Abrasive Company",565,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc","<br>
Max RPM: 10,200","","","6 x 5/8-11 - Z40 Grit","Pearl Abrasives 6&quot; Zirconia Silver Line Maxidisc Flap Disc",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
