store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"628|24124","Carpet|Surface Protection Films",113389,"Carpet Mask",,"Self Adhesive Carpet Protection","","Self Adhesive Carpet Protection","Self Adhesive Carpet Protection",/\C\a\PolyTak-Carpet-Mask-Self-Adhesive-Carpet.jpg,/\C\a\PolyTak-Carpet-Mask-Self-Adhesive-Carpet.jpg,http://www.48ws.com/images/product/C/a/PolyTak-Carpet-Mask-Self-Adhesive-Carpet.jpg,PolyTak-Carpet-Mask-Self-Adhesive-Carpet-Protection,PolyTak-Carpet-Mask-Self-Adhesive-Carpet-Protection,,No layout updates.,Block after Info Column,,"Self Adhesive Carpet Protection","Self Adhesive Carpet Protection",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Self Adhesive Carpet Protection","<br>
<li>The most effective way to temporarily protect synthetic carpets from damage during high traffic times. Carpet Protection Film brand is the choice of professional contractors, home builders and property managers.</li><br>
<li>A tough, 3mil linear low density polyethylene film with a solvent based adhesive applied to one side. The product is highly resistant to tearing and puncturing, stays in place, has a skid resistant surface and is easy to remove.</li><br>
","","","PolyTak Carpet Mask Self Adhesive Carpet Protection","Self Adhesive Carpet Protection",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",113400,"Eco-Board",,"Environmentally Friendly Surface Protection","","Environmentally Friendly Surface Protection","Environmentally safe surface protection.",/\E\c\PolyTak-Eco-Board-Environmentally-Friendly-Surface.jpg,/\E\c\PolyTak-Eco-Board-Environmentally-Friendly-Surface.jpg,http://www.48ws.com/images/product/E/c/PolyTak-Eco-Board-Environmentally-Friendly-Surface.jpg,PolyTak-Eco-Board-Environmentally-Friendly-Surface-Protection,PolyTak-Eco-Board-Environmentally-Friendly-Surface-Protection,,No layout updates.,Block after Info Column,,"Environmentally Friendly Surface Protection","Environmentally Friendly Surface Protection",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Environmentally safe surface protection.","<br>
<li>An environmentally friendly, heavy-duty temporary floor protection. It is manufactured with Reinforced Fiber-Flex Technology and protects new and existing floors while allowing moisture and vapors to escape for curing.</li><br>
<li>Designed to protect Wood Floors, Tile, Concrete (including Colored or Stamped), Marble, Stone, Linoleum, Vinyl and many others from damage of foot traffic, hand trucks, fork lifts, scissor lifts etc, during construction and finishing.</li><br>
<li>Roll Size: 38&quot; x 100'(317 sf)</li><br>
<li>Weight (approx): 50 lbs</li><br>
<li>Thinkness (approx): 50 mil</li><br>
<li>Heavy-Duty surface protection</li><br>
<li>Reinforced Fiber-Flex Technology</li><br>
<li>Installs fast and flat</li><br>
<li>100% Recyclable - green product</li><br>
<li>Reusable</li><br>
<li>Saves time and money from damage, repairs and clean up</li>","","","PolyTak Eco-Board - Environmentally Friendly Surface Protection","Environmentally Friendly Surface Protection",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"567|27772","Plastic Tape|Fiberglass Tapes",113403,"250AR",,"- 2.5 oz Fiberglass Mesh Tape - White","2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White","",/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,http://www.48ws.com/images/product/2/5/PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,,No layout updates.,Block after Info Column,,"- 2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>Special adhesive formulation to work in a variety of conditions.</li><br>
<li>Self-Adhesive saves time by eliminating the pre-bedding step.</li><br>
<li>Fiberglass mesh adds strength and eliminates bubbles and blisters.</li><br>
<li>Mold resistant - unlike paper tape</li><br>
<li>Available in 3 Colors  - White, Yellow, Blue</li><br>
<li>Alkaline Resistant available for cement board application(A/R)</li><br>
<li>Wide widths available from 6&quot; - 36&quot; for superior crack stopping and plaster wall repairs.</li>","","","2&quot; x 50' - A/R","- 2.5 oz Fiberglass Mesh Tape - White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"567|27772","Plastic Tape|Fiberglass Tapes",113404,"2300ARW",,"- 2.5 oz Fiberglass Mesh Tape - White","2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White","",/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,http://www.48ws.com/images/product/2/5/PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,,No layout updates.,Block after Info Column,,"- 2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PolyTak - 2.5 oz Fiberglass Mesh Tape - White","<br>
<li>Special adhesive formulation to work in a variety of conditions.</li><br>
<li>Self-Adhesive saves time by eliminating the pre-bedding step.</li><br>
<li>Fiberglass mesh adds strength and eliminates bubbles and blisters.</li><br>
<li>Mold resistant - unlike paper tape</li><br>
<li>Available in 3 Colors  - White, Yellow, Blue</li><br>
<li>Alkaline Resistant available for cement board application(A/R)</li><br>
<li>Wide widths available from 6&quot; - 36&quot; for superior crack stopping and plaster wall repairs.</li>","","","2&quot; x 300' - A/R","- 2.5 oz Fiberglass Mesh Tape - White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"567|27772","Plastic Tape|Fiberglass Tapes",113406,"2150W",,"- 2.5 oz Fiberglass Mesh Tape - White","2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White","",/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,http://www.48ws.com/images/product/2/5/PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,,No layout updates.,Block after Info Column,,"- 2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PolyTak - 2.5 oz Fiberglass Mesh Tape - White","<br>
<li>Special adhesive formulation to work in a variety of conditions.</li><br>
<li>Self-Adhesive saves time by eliminating the pre-bedding step.</li><br>
<li>Fiberglass mesh adds strength and eliminates bubbles and blisters.</li><br>
<li>Mold resistant - unlike paper tape</li><br>
<li>Available in 3 Colors  - White, Yellow, Blue</li><br>
<li>Alkaline Resistant available for cement board application(A/R)</li><br>
<li>Wide widths available from 6&quot; - 36&quot; for superior crack stopping and plaster wall repairs.</li>","","","2&quot; x 150'","- 2.5 oz Fiberglass Mesh Tape - White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"567|27772","Plastic Tape|Fiberglass Tapes",113407,"2300W",,"- 2.5 oz Fiberglass Mesh Tape - White","2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White","",/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,http://www.48ws.com/images/product/2/5/PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,,No layout updates.,Block after Info Column,,"- 2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PolyTak - 2.5 oz Fiberglass Mesh Tape - White","<br>
<li>Special adhesive formulation to work in a variety of conditions.</li><br>
<li>Self-Adhesive saves time by eliminating the pre-bedding step.</li><br>
<li>Fiberglass mesh adds strength and eliminates bubbles and blisters.</li><br>
<li>Mold resistant - unlike paper tape</li><br>
<li>Available in 3 Colors  - White, Yellow, Blue</li><br>
<li>Alkaline Resistant available for cement board application(A/R)</li><br>
<li>Wide widths available from 6&quot; - 36&quot; for superior crack stopping and plaster wall repairs.</li>","","","2&quot; x 300'","- 2.5 oz Fiberglass Mesh Tape - White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"567|27772","Plastic Tape|Fiberglass Tapes",113408,"2500W",,"- 2.5 oz Fiberglass Mesh Tape - White","2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White","",/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,http://www.48ws.com/images/product/2/5/PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,,No layout updates.,Block after Info Column,,"- 2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PolyTak - 2.5 oz Fiberglass Mesh Tape - White","<br>
<li>Special adhesive formulation to work in a variety of conditions.</li><br>
<li>Self-Adhesive saves time by eliminating the pre-bedding step.</li><br>
<li>Fiberglass mesh adds strength and eliminates bubbles and blisters.</li><br>
<li>Mold resistant - unlike paper tape</li><br>
<li>Available in 3 Colors  - White, Yellow, Blue</li><br>
<li>Alkaline Resistant available for cement board application(A/R)</li><br>
<li>Wide widths available from 6&quot; - 36&quot; for superior crack stopping and plaster wall repairs.</li>","","","2&quot; x 500'","- 2.5 oz Fiberglass Mesh Tape - White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"567|27772","Plastic Tape|Fiberglass Tapes",113409,"25300W",,"- 2.5 oz Fiberglass Mesh Tape - White","2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White","",/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,http://www.48ws.com/images/product/2/5/PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,,No layout updates.,Block after Info Column,,"- 2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PolyTak - 2.5 oz Fiberglass Mesh Tape - White","<br>
<li>Special adhesive formulation to work in a variety of conditions.</li><br>
<li>Self-Adhesive saves time by eliminating the pre-bedding step.</li><br>
<li>Fiberglass mesh adds strength and eliminates bubbles and blisters.</li><br>
<li>Mold resistant - unlike paper tape</li><br>
<li>Available in 3 Colors  - White, Yellow, Blue</li><br>
<li>Alkaline Resistant available for cement board application(A/R)</li><br>
<li>Wide widths available from 6&quot; - 36&quot; for superior crack stopping and plaster wall repairs.</li>","","","2.5&quot; x 300'","- 2.5 oz Fiberglass Mesh Tape - White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"567|27772","Plastic Tape|Fiberglass Tapes",113410,"3150W",,"- 2.5 oz Fiberglass Mesh Tape - White","2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White","",/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,http://www.48ws.com/images/product/2/5/PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,,No layout updates.,Block after Info Column,,"- 2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PolyTak - 2.5 oz Fiberglass Mesh Tape - White","<br>
<li>Special adhesive formulation to work in a variety of conditions.</li><br>
<li>Self-Adhesive saves time by eliminating the pre-bedding step.</li><br>
<li>Fiberglass mesh adds strength and eliminates bubbles and blisters.</li><br>
<li>Mold resistant - unlike paper tape</li><br>
<li>Available in 3 Colors  - White, Yellow, Blue</li><br>
<li>Alkaline Resistant available for cement board application(A/R)</li><br>
<li>Wide widths available from 6&quot; - 36&quot; for superior crack stopping and plaster wall repairs.</li>","","","3&quot; x 150'","- 2.5 oz Fiberglass Mesh Tape - White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"567|27772","Plastic Tape|Fiberglass Tapes",113411,"3300W",,"- 2.5 oz Fiberglass Mesh Tape - White","2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White","",/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,/\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,http://www.48ws.com/images/product/2/5/PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,PolyTak-25-oz-Fiberglass-Mesh-Tape-White,,No layout updates.,Block after Info Column,,"- 2.5 oz Fiberglass Mesh Tape - White","- 2.5 oz Fiberglass Mesh Tape - White",Use config,"http://www.polytak.com/index.shtml",0,,,0,"PolyTak",905,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PolyTak - 2.5 oz Fiberglass Mesh Tape - White","<br>
<li>Special adhesive formulation to work in a variety of conditions.</li><br>
<li>Self-Adhesive saves time by eliminating the pre-bedding step.</li><br>
<li>Fiberglass mesh adds strength and eliminates bubbles and blisters.</li><br>
<li>Mold resistant - unlike paper tape</li><br>
<li>Available in 3 Colors  - White, Yellow, Blue</li><br>
<li>Alkaline Resistant available for cement board application(A/R)</li><br>
<li>Wide widths available from 6&quot; - 36&quot; for superior crack stopping and plaster wall repairs.</li>","","","3&quot; x 300'","- 2.5 oz Fiberglass Mesh Tape - White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
