store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"29050","Air Hoses",38644,"60350",,"3/8&quot; x 50' Rubber Air Hose 1/4&quot; NPT Male Brass Fittings","","3/8&quot; x 50' Rubber Air Hose 1/4&quot; NPT Male Brass Fittings","3/8&quot; x 50' Rubber Air Compressor",/\6\0\DeWalt-60350-38-x-50-Rubber-Air-Hose-14-NPT-Male-Brass.jpg,/\6\0\DeWalt-60350-38-x-50-Rubber-Air-Hose-14-NPT-Male-Brass.jpg,http://www.48ws.com/images/product/6/0/DeWalt-60350-38-x-50-Rubber-Air-Hose-14-NPT-Male-Brass.jpg,dewalt-60350-,dewalt-60350-,,No layout updates.,Block after Info Column,,"3/8&quot; x 50' Rubber Air Hose 1/4&quot; NPT Male Brass Fittings","3/8&quot; x 50' Rubber Air Hose 1/4&quot; NPT Male Brass Fittings",Use config,"",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3/8&quot; x 50' Rubber Air Compressor","<li>Premium PVC cover with heavy-duty spiral reinforcement</li>
<li>Abrasion resistant, non-marring</li>
<li>1/4&quot; NPT male brass fittings with ferrules on both ends</li>","","","DeWalt 60350 3/8&quot; x 50' Rubber Air Hose 1/4&quot; NPT Male Brass Fittings","3/8&quot; x 50' Rubber Air Hose 1/4&quot; NPT Male Brass Fittings",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"94|28346","Reciprocating Saws | Blades|Reciprocating Saws",98288,"PC75TRS",,"7.5 Amp Reciprocating Saw","","7.5 Amp Reciprocating Saw","Corded, Reciprocating Saw.",/\P\C\Porter-Cable-PC75TRS-75-Amp-Reciprocating.jpg,/\P\C\Porter-Cable-PC75TRS-75-Amp-Reciprocating.jpg,http://www.48ws.com/images/product/P/C/Porter-Cable-PC75TRS-75-Amp-Reciprocating.jpg,Porter-Cable-PC75TRS-75-Amp-Reciprocating-Saw,Porter-Cable-PC75TRS-75-Amp-Reciprocating-Saw,,No layout updates.,Block after Info Column,,"7.5 Amp Reciprocating Saw","7.5 Amp Reciprocating Saw",Use config,"http://www.portercable.com/Products/ProductDetail.aspx?ProductID=24261",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Corded, Reciprocating Saw.","<br><li>Heavy-duty 7.5 Amp motor for fast cutting in a variety of applications.
</li><br><li>Twist lock tool-free blade change for quick & easy blade changes.
</li><br><li>Variable-speed trigger maintains speed for multiple cutting tasks.</li><br>
<li>Pivoting shoe easily maneuvers around objects while cutting.</li><br>
<li>Tooled shoe adjustment easily allows depth adjustment and extends blade life.
</li><br><li>Compact and lightweight design prevents user fatigue.</li>

","<b>Specifications:</b><br><br>
<li><b>Amps:</b> 7.5 Amps, <b>Voltage:</b> 120v, <b>Strokes/Min:</b>3,200 spm, <b>Stroke length:</b> 1-1/8&quot;, <b>Keyless Blade Clamp:</b> Yes, <b>Orbital Action:</b> No, <b>Adjustable Shoe:</b> Yes, <b>Variable-Speed Trigger:</b> Yes, <b>Anti-Slip Comfort Grip:</b> Yes, <b>Weight:</b> 6.8 lbs. </li>","","Porter Cable PC75TRS 7.5 Amp Reciprocating Saw","7.5 Amp Reciprocating Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"94|28346","Reciprocating Saws | Blades|Reciprocating Saws",98290,"PC85TRSOK",,"8.5 Amp Orbital Reciprocating Tigersaw","","8.5 Amp Orbital Reciprocating Tigersaw","Corded, 8.5 amp, Orbital Reciprocating Saw.",/\P\C\Porter-Cable-PC85TRSOK-85-Amp-Orbital-Reciprocating.jpg,/\P\C\Porter-Cable-PC85TRSOK-85-Amp-Orbital-Reciprocating.jpg,http://www.48ws.com/images/product/P/C/Porter-Cable-PC85TRSOK-85-Amp-Orbital-Reciprocating.jpg,Porter-Cable-PC85TRSOK-85-Amp-Orbital-Reciprocating-Tigersaw,Porter-Cable-PC85TRSOK-85-Amp-Orbital-Reciprocating-Tigersaw,,No layout updates.,Block after Info Column,,"8.5 Amp Orbital Reciprocating Tigersaw","8.5 Amp Orbital Reciprocating Tigersaw",Use config,"http://www.portercable.com/Products/ProductDetail.aspx?ProductID=24262",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Corded, 8.5 amp, Orbital Reciprocating Saw.","<br><li>Heavy-duty 8.5 Amp, 3,200 SPM motor for effective cutting in a variety of applications.</li><br>
<li>Orbital action allows for more aggressive cutting tasks.</li><br>
<li>Twist lock tool-free blade change for quick & easy blade change.</li><br>
<li>Variable speed trigger allows quick speed adjustment for every task.</li><br>
<li>Tool-free adjustable shoe depth prolongs blade life and helps with demolition jobs.</li><br>
<li>Pivoting shoe easily maneuvers around objects while cutting.</li>","<b>Specifications:</b><br><br>
<li><b>Amps:</b> 8.5 Amps, <b>Voltage:</b> 120V, <b>Strokes/Min:</b> 3,200 spm, <b>Stroke Length:</b> 1-1/8&quot;, <b>Keyless Blade Clamp:</b> Yes, <b>Orbital Action:</b> Yes, <b>Adjustable Shoe:</b> Yes, <b> Variable-Speed trigger:</b> Yes, <b>Anti-Slip Comfort Grip:</b> Yes, <b>Weight:</b> 7.4 lbs</li>","","Porter Cable PC85TRSOK 8.5 Amp Orbital Reciprocating Tigersaw","8.5 Amp Orbital Reciprocating Tigersaw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2705|24961","Standard Band Saws|Band Saws",98292,"PCB330BS",,"2-Speed 14&quot; Band Saw","","2-Speed 14&quot; Band Saw","",/\P\C\Porter-Cable-PCB330BS-2-Speed-14-Band.jpg,/\P\C\Porter-Cable-PCB330BS-2-Speed-14-Band.jpg,http://www.48ws.com/images/product/P/C/Porter-Cable-PCB330BS-2-Speed-14-Band.jpg,Porter-Cable-PCB330BS-2-Speed-14-Band-Saw,Porter-Cable-PCB330BS-2-Speed-14-Band-Saw,,No layout updates.,Block after Info Column,,"2-Speed 14&quot; Band Saw","2-Speed 14&quot; Band Saw",Use config,"http://www.portercable.com/Products/ProductDetail.aspx?ProductID=24029",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Two operating speeds (1630/2730 FPM) for cutting different materials such as soft and hard woods.</li><br>
<li>Cabinet style base for storage of accessories or extra blades.
</li><br>
<li>Large cast iron work table (16&quot; x 16&quot;) provides a stable work support suface.</li><br>
<li>Work table tilts up to 45 degree for accurate bevel cutting.</li><br>
<li>Sawdust port (2-1/2&quot; diameter) designed for hookup to wet/dry vacuum.</li><br>
<li>Miter slot is t-slotted for provided Miter Gauge. Provides support for accurate crosscutting.</li><br>
<li>Dual Voltage (120/230V) 10.0/5.0A Induction motor for different shop electrical setups.</li>","<b>Specifications:</b><br><br>
<li><b>Motor:</b> 10/5 Amp (120/240V), <b>Motor Control:</b> On/Off Toggle, <b>Blade Width:</b> 1/8-1/2&quot;, <b>Speeds:</b> 1630/2730 FPM, <b>Capacity Blade to Frame:</b> 14&quot;, <b>Capacity Under Guide And Wheel:</b> 6&quot;, <b>Table Size:</b> 16 x 16&quot;, <b>Table Tilt:</b> 0-45&deg;, <b>Table Height:</b> 43&quot;, <b>Height:</b> 66&quot;, <b>Width:</b> 21&quot;, <b>Depth:</b> 25-1/2&quot;, <b>Weight:</b> 190.97 lbs., <b>Shipping Weight:</b> 207.05 lbs.</li> ","","Porter Cable PCB330BS 2-Speed 14&quot; Band Saw","2-Speed 14&quot; Band Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28005","Corded Circular Saws",98293,"314",,"4-1/2&quot; Trim Saw","","4-1/2&quot; Trim Saw","Corded, Circular Saw.",/\3\1\Porter-Cable-314-4-12-Trim.jpg,/\3\1\Porter-Cable-314-4-12-Trim.jpg,http://www.48ws.com/images/product/3/1/Porter-Cable-314-4-12-Trim.jpg,porter-cable-314-,porter-cable-314-,,No layout updates.,Block after Info Column,,"4-1/2&quot; Trim Saw","4-1/2&quot; Trim Saw",Use config,"http://www.portercable.com/Products/ProductDetail.aspx?ProductID=11002",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Corded, Circular Saw.","<br><li>Rugged worm gear drive.</li><br>
<li>100% ball bearings.</li><br>
<li>Cuts 1-5/16&quot; at 90° & 1-1/16&quot; at 45°</li>","<b>Specifications:</b><br><br>
<li><b>Motor:</b> 120 VAC, 25-60 HZ/120 VDC, <b>Blade Diameter:</b> 4-1/2&quot;, <b>Amps:</b> 4.5 AC/DC Amps, <b>Speed:</b> 4,500 rpm, <b>Capacity at 45° Cut:</b> 1-1/16&quot;, <b>Capacity at 90° Cut:</b> 1-5/16&quot;, <b>Arbor:</b> 3/8, <b>Weight:</b> 7 lbs. </li>","","Porter Cable 314 4-1/2&quot; Trim Saw","4-1/2&quot; Trim Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28005","Corded Circular Saws",98295,"PC13CSL",,"13 Amp 1-1/4&quot; Circular Laser Saw","","13 Amp 1-1/4&quot; Circular Laser Saw","Corded, Circular Laser Saw.",/\P\C\Porter-Cable-PC13CSL-13-Amp-1-14-Circular-Laser- 2.jpg,/\P\C\Porter-Cable-PC13CSL-13-Amp-1-14-Circular-Laser- 2.jpg,http://www.48ws.com/images/product/P/C/Porter-Cable-PC13CSL-13-Amp-1-14-Circular-Laser- 2.jpg,porter-cable-PC13CSL-,porter-cable-PC13CSL-,,No layout updates.,Block after Info Column,,"13 Amp 1-1/4&quot; Circular Laser Saw","13 Amp 1-1/4&quot; Circular Laser Saw",Use config,"http://www.portercable.com/Products/ProductDetail.aspx?ProductID=20715",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Corded, Circular Laser Saw.","<br><li>Heavy-duty 13 amp motor provides power and torque for any job.</li><br>
<li>Laser cutting guide aligns the blade to the cut line.</li><br>
<li>Bevel adjustment allows for a variety of cutting applications and uses.</li><br>
<li>Depth adjustment allows for cutting depth control.</li><br>
<li>Ball bearing construction provides longer tool life and accuracy.</li><br>
<li>Kerf cut indicator aligns the blade to the indicator for accurate line cuts.</li><br>
<li>Soft grips rear handle and boot minimizes vibration for prolonged cutting.</li>","<b>Specifications:</b><br><br>
<li><b>Motor:</b> 120VAC, 25-60 HZ/120 VDC, <b>Blade Diameter:</b> 7-1/4&quot;, <b>Amps:</b> 13 Amps, <b>Speed:</b> 5,000 rpm, <b>Capacity at 45° Cut:</b> 1-1/16&quot;, <b>Capacity at 90° Cut:</b> 2-3/8&quot;, <b>Arbor:</b> Standard, <b>Weight:</b> 11.7 lbs.</li>","","Porter Cable PC13CSL 13 Amp 1-1/4&quot; Circular Laser Saw","13 Amp 1-1/4&quot; Circular Laser Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28005","Corded Circular Saws",98300,"PC15CSLK",,"15 Amp 7-1/4&quot; Circular Laser Saw","","15 Amp 7-1/4&quot; Circular Laser Saw","Corded, Circular Laser Saw.",/\P\C\Porter-Cable-PC15CSLK-15-Amp-7-14-Circular-Laser.jpg,/\P\C\Porter-Cable-PC15CSLK-15-Amp-7-14-Circular-Laser.jpg,http://www.48ws.com/images/product/P/C/Porter-Cable-PC15CSLK-15-Amp-7-14-Circular-Laser.jpg,porter-cable-PC15CSLK-,porter-cable-PC15CSLK-,,No layout updates.,Block after Info Column,,"15 Amp 7-1/4&quot; Circular Laser Saw","15 Amp 7-1/4&quot; Circular Laser Saw",Use config,"http://www.portercable.com/Products/ProductDetail.aspx?ProductID=20716",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Corded, Circular Laser Saw.","<br>
<li>Heavy-duty 15 Amp motor provides power and torque for any job.</li><br>
<li>Ball bearing construction provides longer tool life and accuracy.</li><br>
<li>Spindle lock feature allows for single wrench bit changes.</li><br>
<li>Kerf cut indicator aligns the blade to the indicator for accurate line cuts.</li><br>
<li>Bevel adjustment allows for a variety of cutting applications and uses.</li><br>
<li>Depth adjustment allows for cutting depth control.</li><br>
<li>Soft grips rear handle and boot minimizes vibration for prolonged cutting.</li><br>
<li>24-tooth carbide blade provides best cutting performance in a variety of materials.</li><br>
<li>Laser guide aligns the blade to the cut line.</li>","<b>Specifications:</b><br><br>
<li><b>Motor:</b> 120 VAC, 25-60 HZ/120 VDC, <b>Blade Diameter:</b> 7-1/4 &quot;, <b>Amps:</b> 15 Amps, <b>Speed:</b> 5,000 rpm, <b>Capacity at 45° Cut:</b> 1-13/16 &quot;, <b>Capacity at 90° Cut:</b> 2-3/8 &quot;, <b>Arbor:</b> Standard, <b>Weight:</b> 11.7 lbs.</li>","","Porter Cable PC15CSLK 15 Amp 7-1/4&quot; Circular Laser Saw","15 Amp 7-1/4&quot; Circular Laser Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28005","Corded Circular Saws",98301,"PC15TCSMK",,"15 Amp 7-1/4&quot; Heavy-Duty Circular Saw","","15 Amp 7-1/4&quot; Heavy-Duty Circular Saw","Corded, Heavy-Duty, Circular Saw.",/\P\C\Porter-Cable-PC15TCSMK-15-Amp-7-14-Heavy-Duty-Circular.jpg,/\P\C\Porter-Cable-PC15TCSMK-15-Amp-7-14-Heavy-Duty-Circular.jpg,http://www.48ws.com/images/product/P/C/Porter-Cable-PC15TCSMK-15-Amp-7-14-Heavy-Duty-Circular.jpg,porter-cable-PC15TCSMK-,porter-cable-PC15TCSMK-,,No layout updates.,Block after Info Column,,"15 Amp 7-1/4&quot; Heavy-Duty Circular Saw","15 Amp 7-1/4&quot; Heavy-Duty Circular Saw",Use config,"http://www.portercable.com/Products/ProductDetail.aspx?ProductID=23604",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Corded, Heavy-Duty, Circular Saw.","<br><li>Heavy-duty 15 amp motor delivers power and torque through the toughest applications.</li><br>
<li>9.5 lb. Lightweight saw reduces fatigue & improves user handling.
</li><br>
<li>55 degree bevel capacity with stops at 22.5 and 45 degrees provide quick and accurate bevel adjustments.</li><br>
<li>Cast magnesium shoe with optimum line of sight provides an accurate and lightweight construction.</li><br>
<li>Outside mounted depth of cut lever is easy to reach even with gloves.</li><br>
<li>Cast bevel and depth cut levers provide a larger grabbing surface made of durable material.</li><br>
<li>10 ft. high grade cord reaches past a 4 x 8 sheet of material and reacts well in all weather climates.</li>","<b>Specifications:</b><br><br>
<li><b>Motor:</b> 120 VAC, 25-60 HZ/120 VDC, <b>Blade Diameter:</b> 7-1/4 &quot;, <b>Amps:</b> 15 Amps, <b>Speed:</b> 5,600 rpm, <b>Capacity at 45° Cut:</b> 1-13/16 &quot;, <b>Capacity at 90° Cut:</b> 2-3/8 &quot;, <b>Arbor:</b> Standard, <b>Weight:</b> 9.5 lbs</li>","","Porter Cable PC15TCSMK 15 Amp 7-1/4&quot; Heavy-Duty Circular Saw","15 Amp 7-1/4&quot; Heavy-Duty Circular Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"121|24882","Sanders | Accessories|Belt Sanders",224502,"352VS",,"3&quot; X 21&quot; Variable-Speed Belt Sander","","3&quot; X 21&quot; Variable-Speed Belt Sander","",/\3\5\3-X-21-Variable-Speed-Belt.jpg,/\3\5\3-X-21-Variable-Speed-Belt.jpg,http://www.48ws.com/images/product/3/5/3-X-21-Variable-Speed-Belt.jpg,352VX-Porter-Cable-3-X-21-Variable-Speed-Belt-Sander,352VX-Porter-Cable-3-X-21-Variable-Speed-Belt-Sander,,No layout updates.,Block after Info Column,,"3&quot; X 21&quot; Variable-Speed Belt Sander","3&quot; X 21&quot; Variable-Speed Belt Sander",Use config,"http://www.portercable.com/products/ProductDetail.aspx?ProductID=11062",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3&quot; X 21&quot; Variable-Speed Belt Sander","</br>
<li>8 Amp motor, AC only</li>
<li>Variable-speed dial 850-1,300 SFPM</li>
<li>Belt and gear drive system transfers power from the motor to the sanding belt</li>
<li>Designed for flush sanding up to vertical surfaces</li>
<li>Dust Bag Swivels 360°</li>
<li>Fingertip belt-tracking knob</li>
<li>Quick-release belt-change lever</li>
<li>Motor is located over platen for maximum performance and perfect balance</li>
<li><b>Includes:</b> 100g ceramic aluminum oxide belt and Dust Bag Assembly #39334.</li>","</br>
<li><b>Power:</b> 120 VAC, 25-60 HZ</li>
<li><b>Amps:</b> 8 Amps</li>
<li><b>SFPM:</b> 850-1,300</li>
<li><b>Belt Size:</b> 3&quot; x 21&quot;</li>
<li><b>Length:</b> 12.5 &quot;</li>
<li><b>Width:</b> 5.75 &quot;</li>
<li><b>Height:</b> 10.38 &quot;</li>
<li><b>Weight:</b> 10.75 lbs</li>
<li><b>Shipping Weight:</b> 12.5 lbs</li>","","3&quot; X 21&quot; Variable-Speed Belt Sander","3&quot; X 21&quot; Variable-Speed Belt Sander",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",456731,"9748",,"11.5 Amp Variable-Speed, Dual Action Quik-Change TIGER SAW","TIGER RECIP SAW KIT W/QUICK CHANGE BLADE CLAMP [9747]","11.5 Amp Variable-Speed, Dual Action Quik-Change TIGER SAW","",/\9\7\porter-cable-9748-tiger-recip-saw-kit-wquick-change-blade-clamp-9747.jpg,/\9\7\porter-cable-9748-tiger-recip-saw-kit-wquick-change-blade-clamp-9747.jpg,http://www.48ws.com/images/product/9/7/porter-cable-9748-tiger-recip-saw-kit-wquick-change-blade-clamp-9747.jpg,porter-cable-9748-tiger-recip-saw-kit-wquick-change-blade-clamp-9747,porter-cable-9748-tiger-recip-saw-kit-wquick-change-blade-clamp-9747,,No layout updates.,Block after Info Column,,"11.5 Amp Variable-Speed, Dual Action Quik-Change TIGER SAW","11.5 Amp Variable-Speed, Dual Action Quik-Change TIGER SAW",Use config,"",0,,,0,"Porter Cable",680,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<ul>
<li>Extra-heavy-duty 11.5 AMP motor provides maximum power for all cutting applications</li>
<li>Ergonomic handle with soft grip</li>
<li>Electronic variable speed, 0-2,600 SPM, maintains speed under load for smooth consistent cutting</li>
<li>Quik-Change blade clamp for keyless blade changes in seconds</li>
<li>Quik-Change front shoe can be extended to utilize more of the blade's teeth in the cutting action</li>
<li>Allows for orbital cutting in wood and reciprocating cutting in metal for increased versatility</li>
<li>Full 1 1/8&quot; cutting stroke length cuts more stock in less time than shorted stroke saws</li>
</ul>","<div class=&quot;container collateral-accordion-trigger collateral-specifications&quot;>
                            <div class=&quot;slanted-header&quot;>
                                <h4 id=&quot;collateral-specifications&quot;>Specifications</h4>
                            </div>
                        </div>
                        <div class=&quot;collateral-accordion-content container&quot;>
                            <div class=&quot;content&quot;><table class=&quot;table table-striped data-table specifications&quot; id=&quot;product-attribute-specs-table&quot;>
    <tbody>
                        <tr>
                <td class=&quot;label&quot;>Display SKU</td>
                <td class=&quot;data&quot;>9748</td>
            </tr>
                                <tr>
                <td class=&quot;label&quot;>UPC / ISBN</td>
                <td class=&quot;data&quot;>028877559254</td>
            </tr>
                                <tr>
                <td class=&quot;label&quot;>Brand</td>
                <td class=&quot;data&quot;>Porter Cable</td>
            </tr>
                                                        <tr>
                <td class=&quot;label&quot;>Shipping Weight</td>
                <td class=&quot;data&quot;>18.0000</td>
            </tr>
                                <tr>
                <td class=&quot;label&quot;>Condition</td>
                <td class=&quot;data&quot;>New</td>
            </tr>
                                            <tr>
                <td class=&quot;label&quot;>Manufacturer's Warranty</td>
                <td class=&quot;data&quot;>3 Years</td>
            </tr>
                                <tr>
                <td class=&quot;label&quot;>Return Policy</td>
                <td class=&quot;data&quot;>90 Days</td>
            </tr>
                                <tr>
                <td class=&quot;label&quot;>Addl Specs</td>
                <td class=&quot;data&quot;><ul>
<li><strong>Stroke (Orbital/Recip.)</strong>: 1 1/8&quot;</li>
<li><strong>Motor Amps</strong>: 11.5</li>
<li><strong>No-load Speed (SPM)</strong>: 0-2,600</li>
<li><strong>Weight</strong>: 9.3 lbs.</li>
</ul></td>
            </tr>
                                                                                            <tr>
                <td class=&quot;label&quot;>Package Type</td>
                <td class=&quot;data&quot;>Individual</td>
            </tr>
                                <tr>
                <td class=&quot;label&quot;>Power Source</td>
                <td class=&quot;data&quot;>Electric - Corded</td>
            </tr>
                            </tbody>
</table>
</div>
                        </div>","","","11.5 Amp Variable-Speed, Dual Action Quik-Change TIGER SAW",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
