store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"995|417|24124","Fire Barrier (INACTIVE)|Poly|Surface Protection Films",92285,"0620RENFR",,"Re-Enforced Fire Retardant 6 Mil Poly 20' x 100'","","Re-Enforced Fire Retardant 6 Mil Poly 20' x 100'","Flame-Retardant 20x100 ft",/\0\6\PrimeSource-Building-Products-Re-Enforced-Fire-Retardant-6.jpg,/\0\6\PrimeSource-Building-Products-Re-Enforced-Fire-Retardant-6.jpg,http://www.48ws.com/images/product/0/6/PrimeSource-Building-Products-Re-Enforced-Fire-Retardant-6.jpg,PrimeSource-Building-Products-Re-Enforced-Fire-Retardant-6-Mil-Poly-20-x-100,PrimeSource-Building-Products-Re-Enforced-Fire-Retardant-6-Mil-Poly-20-x-100,,No layout updates.,Block after Info Column,,"Re-Enforced Fire Retardant 6 Mil Poly 20' x 100'","Re-Enforced Fire Retardant 6 Mil Poly 20' x 100'",Use config,"",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Flame-Retardant 20x100 ft","","","","PrimeSource Building Products Re-Enforced Fire Retardant 6 Mil Poly 20' x 100'","Re-Enforced Fire Retardant 6 Mil Poly 20' x 100'",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1778|26962","Concrete Screws|Concrete Screws",92286,"CB114",,"Cement Board Screw 8&quot; x 1-1/4&quot;","Cement Board Screws","Cement Board Screw 8&quot; x 1-1/4&quot;","",/\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,/\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,http://www.48ws.com/images/product/C/B/PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x-1-14,PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x-1-14,,No layout updates.,Block after Info Column,,"Cement Board Screw 8&quot; x 1-1/4&quot;","Cement Board Screw 8&quot; x 1-1/4&quot;",Use config,"http://protwist.com/files/procat.pdf",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Cement Board to Wood or Light Gauge Steel Studs","Designed to fasten cement board to wood or light gauge steel studs (25-20 gauge). Nibs under the head allow it to countersink into the board. The spade point penetrates the board without cracking and high-low threads ensure high withdrawal resistance. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.","","8&quot; x 1-1/4&quot;","Cement Board Screw 8&quot; x 1-1/4&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1778|26962","Concrete Screws|Concrete Screws",92288,"CB158",,"Cement Board Screw 8&quot; x 1-5/8&quot;","Cement Board Screws","Cement Board Screw 8&quot; x 1-5/8&quot;","",/\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,/\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,http://www.48ws.com/images/product/C/B/PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,PrimeSource-Building-Products-CB158-Cement-Board-Screw-8-x-1-58,PrimeSource-Building-Products-CB158-Cement-Board-Screw-8-x-1-58,,No layout updates.,Block after Info Column,,"Cement Board Screw 8&quot; x 1-5/8&quot;","Cement Board Screw 8&quot; x 1-5/8&quot;",Use config,"http://protwist.com/files/procat.pdf",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PrimeSource Building Products CB158 Cement Board Screw 8&quot; x 1-5/8&quot;","Cement Board to Wood or Light Gauge Steel Studs","Designed to fasten cement board to wood or light gauge steel studs (25-20 gauge). Nibs under the head allow it to countersink into the board. The spade point penetrates the board without cracking and high-low threads ensure high withdrawal resistance. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.","","8&quot; x 1-5/8&quot;","Cement Board Screw 8&quot; x 1-5/8&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1778|26962","Concrete Screws|Concrete Screws",92289,"CB214",,"Cement Board Screw 8&quot; x 2-1/4&quot;","Cement Board Screws","Cement Board Screw 8&quot; x 2-1/4&quot;","",/\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,/\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,http://www.48ws.com/images/product/C/B/PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,PrimeSource-Building-Products-CB214-Cement-Board-Screw-8-x-2-14,PrimeSource-Building-Products-CB214-Cement-Board-Screw-8-x-2-14,,No layout updates.,Block after Info Column,,"Cement Board Screw 8&quot; x 2-1/4&quot;","Cement Board Screw 8&quot; x 2-1/4&quot;",Use config,"http://protwist.com/files/procat.pdf",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PrimeSource Building Products CB214 Cement Board Screw 8&quot; x 2-1/4&quot;","Cement Board to Wood or Light Gauge Steel Studs","Designed to fasten cement board to wood or light gauge steel studs (25-20 gauge). Nibs under the head allow it to countersink into the board. The spade point penetrates the board without cracking and high-low threads ensure high withdrawal resistance. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.","","8&quot; x 2-1/4&quot;","Cement Board Screw 8&quot; x 2-1/4&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1227|20525","Self Drilling Screws|Self Drilling Screws",92290,"CBD114",,"Self-Drilling Cement Board Screw with Nib 8&quot; x 1-1/4&quot;","Self-Drilling Cement Board Screws with Nibs","Self-Drilling Cement Board Screw with Nib 8&quot; x 1-1/4&quot;","",/\C\B\PrimeSource-Building-Products-Self-Drilling-Cement-Board.jpg,/\C\B\PrimeSource-Building-Products-Self-Drilling-Cement-Board.jpg,http://www.48ws.com/images/product/C/B/PrimeSource-Building-Products-Self-Drilling-Cement-Board.jpg,PrimeSource-Building-Products-Self-Drilling-Cement-Board-Screw-with-Nib-8-x-1-14,PrimeSource-Building-Products-Self-Drilling-Cement-Board-Screw-with-Nib-8-x-1-14,,No layout updates.,Block after Info Column,,"Self-Drilling Cement Board Screw with Nib 8&quot; x 1-1/4&quot;","Self-Drilling Cement Board Screw with Nib 8&quot; x 1-1/4&quot;",Use config,"http://protwist.com/files/procat.pdf",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Cement Board to Steel Studs","Designed to fasten cement board to metal studs (20-14 gauge). Nibs under the heal allow it to countersink into the board. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.","","8&quot; x 1-1/4&quot;","Self-Drilling Cement Board Screw with Nib 8&quot; x 1-1/4&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1227|20525","Self Drilling Screws|Self Drilling Screws",92291,"CBD158",,"Self-Drilling Cement Board Screws with Nibs 8&quot; x 1-5/8&quot;","Self-Drilling Cement Board Screws with Nibs","Self-Drilling Cement Board Screws with Nibs 8&quot; x 1-5/8&quot;","",/\C\B\PrimeSource-Building-Products-Self-Drilling-Cement-Board.jpg,/\C\B\PrimeSource-Building-Products-Self-Drilling-Cement-Board.jpg,http://www.48ws.com/images/product/C/B/PrimeSource-Building-Products-Self-Drilling-Cement-Board.jpg,PrimeSource-Building-Products-Self-Drilling-Cement-Board-Screws-with-Nibs-8-x-1-58,PrimeSource-Building-Products-Self-Drilling-Cement-Board-Screws-with-Nibs-8-x-1-58,,No layout updates.,Block after Info Column,,"Self-Drilling Cement Board Screws with Nibs 8&quot; x 1-5/8&quot;","Self-Drilling Cement Board Screws with Nibs 8&quot; x 1-5/8&quot;",Use config,"http://protwist.com/files/procat.pdf",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PrimeSource Building Products Self-Drilling Cement Board Screws with Nibs 8&quot; x 1-5/8&quot;","Cement Board to Steel Studs","Designed to fasten cement board to metal studs (20-14 gauge). Nibs under the heal allow it to countersink into the board. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.","","8&quot; x 1-5/8&quot;","Self-Drilling Cement Board Screws with Nibs 8&quot; x 1-5/8&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24147","Ceiling Tiles",92292,"GWH1212",,"Hanger Wire 12 Gauge 12'","","Hanger Wire 12 Gauge 12'","",/\G\W\PrimeSource-Building-Products-GWH1212-Hanger-Wire-12-Gauge.jpg,/\G\W\PrimeSource-Building-Products-GWH1212-Hanger-Wire-12-Gauge.jpg,http://www.48ws.com/images/product/G/W/PrimeSource-Building-Products-GWH1212-Hanger-Wire-12-Gauge.jpg,primesource-building-products-GWH1212-,primesource-building-products-GWH1212-,,No layout updates.,Block after Info Column,,"Hanger Wire 12 Gauge 12'","Hanger Wire 12 Gauge 12'",Use config,"http://www.grip-rite.com/us/en/products/wire-fence-and-accessories",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","For hanging suspended ceiling grid","","","PrimeSource Building Products GWH1212 Hanger Wire 12 Gauge 12'","Hanger Wire 12 Gauge 12'",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27879","Collated Plastic Strip Nails",92293,"GR408HG",,"21° Round Head Plastic Stick Nail 3&quot; x .120","","21° Round Head Plastic Stick Nail 3&quot; x .120","3&quot; x 120",/\G\R\PrimeSource-Building-Products-GR408HG-21-Round-Head-Plastic.jpg,/\G\R\PrimeSource-Building-Products-GR408HG-21-Round-Head-Plastic.jpg,http://www.48ws.com/images/product/G/R/PrimeSource-Building-Products-GR408HG-21-Round-Head-Plastic.jpg,primesource-building-products-GR408HG-,primesource-building-products-GR408HG-,,No layout updates.,Block after Info Column,,"21° Round Head Plastic Stick Nail 3&quot; x .120","21° Round Head Plastic Stick Nail 3&quot; x .120",Use config,"http://www.grip-rite.com/us/en/products/collated-fasteners",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3&quot; x 120","<li>Size: 10D 3&quot;x.120</li>
<li>Shank Style: Ring</li>
<li>Nail Type: Sinker</li>
<li>Quantity: 4M Carton</li>","","","PrimeSource Building Products GR408HG 21° Round Head Plastic Stick Nail 3&quot; x .120","21° Round Head Plastic Stick Nail 3&quot; x .120",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1207|20515","Drywall Bugle Head|Drywall Screws",92294,"CS200",,"Bugle Head Course Drywall Screw #7 x 2&quot;","Bugle Head Course Drywall Screws","Bugle Head Course Drywall Screw #7 x 2&quot;","",/\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,/\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,http://www.48ws.com/images/product/C/S/PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,PrimeSource-Building-Products-CS200-Bugle-Head-Course-Drywall-Screw-7-x-2,PrimeSource-Building-Products-CS200-Bugle-Head-Course-Drywall-Screw-7-x-2,,No layout updates.,Block after Info Column,,"Bugle Head Course Drywall Screw #7 x 2&quot;","Bugle Head Course Drywall Screw #7 x 2&quot;",Use config,"http://protwist.com/files/procat.pdf",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","For attaching gypsum board to wood studs. Bugle head No. 2 Reduced Phillips Recess.","","#7 x 2&quot;","Bugle Head Course Drywall Screw #7 x 2&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1207|20515","Drywall Bugle Head|Drywall Screws",92295,"CS312",,"Bugle Head Course Drywall Screw #10 x 3-1/2&quot;","Bugle Head Course Drywall Screws","Bugle Head Course Drywall Screw #10 x 3-1/2&quot;","",/\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,/\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,http://www.48ws.com/images/product/C/S/PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,PrimeSource-Building-Products-CS312-Bugle-Head-Course-Drywall-Screw-10-x-3-12,PrimeSource-Building-Products-CS312-Bugle-Head-Course-Drywall-Screw-10-x-3-12,,No layout updates.,Block after Info Column,,"Bugle Head Course Drywall Screw #10 x 3-1/2&quot;","Bugle Head Course Drywall Screw #10 x 3-1/2&quot;",Use config,"http://protwist.com/files/procat.pdf",0,,,0,"PrimeSource Building Products",594,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"PrimeSource Building Products CS312 Bugle Head Course Drywall Screw #10 x 3-1/2&quot;","","For attaching gypsum board to wood studs. Bugle head No. 2 Reduced Phillips Recess.","","#10 x 3-1/2&quot;","Bugle Head Course Drywall Screw #10 x 3-1/2&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
